Data da opinião,Nota,Título,Conteúdo
11 de dez.,5,Ótimo Hotel,"Adorei o hotel, atendentes, manobristas foram muito educados. Limpeza impecável, quarto muito bom. Área de lazer maravilhosa, piscina, sauna, massagem, jogos tem muito o que se fazer o que torna a experiência no hotel muito boa! Recomendo!!!"
9 de dez.,2,Péssimo serviço,"Hotel com serviço muito ruim. Não tem coca zero no frigobar, qdo solicitei informaram não ser possível.  Elevador péssimo, um hotel enorme tendo um evento e ficamos mais de 10min esperando elevador pq eles não ligavam os outros dois.  Não arrumaram o quarto no meu segundo dia de hospedagem, no terceiro dia chegaram para arrumar as 19h.  Telefone quebrou sem poder pedir serviço de quarto, so voltou a funcionar no dia seguinte.  Café da manhã ótimo.  Não recomendo pelo serviço que é ruim."
7 de dez.,2,Hotel de prestígio mas claramente não existe investimento em melhorias,"Hotel de prestígio mas claramente não existe investimento em melhorias. Problema nos elevadores por serem antigos, causaram uma fila de mais de 12 minutos para conseguir descer 23 andares. Falta de sistema de segurança e proteção contra incêndio nos quartos."
7 de dez.,2,Bom Café somente.,"O que salva é o café da manhã, colchão em péssimo estado, chuveiro do banheiro tem uma prateleira em baixo que você não consegue entrar debaixo dele fazendo com se tome banho de lado. Se pretende se hospedar um dia neste hotel não conte com elevadores que são o pior do hotel, ficamos no 10 andar e o elevador quando para está lotado, a salvação é ir até o elevador de serviço após esperar por muito tempo. Quando pensa que a lerdeza acabou evite guardar seu carro no estacionamento deles pois são totalmente desorganizados e não conseguem achar os carros rapidamente. Péssima gerência uma pena pois o hotel tem uma área e localização. Espero que os investidores um dia vejam o que estão fazendo com patrimônio deles."
6 de dez.,4,Poderia ser melhor pelo valor,"Banheiros precisa de reforma urgente. Pelo valor precisava ter banheiro mais bem acabados e vazamentos na pia, o piso defasado e feio. Porem de resto muito bom, os funcionarios sao educados, restaurante muito bem atendidos, voltaria mas olharia a suite antes de hospedar. Adoramos as camas e o ar condicionado."
6 de dez.,1,Hotel está jogado e descuidado!,Área comum sem reparos. Áreas sujas. Lobby extremamente cheio e sem preocupação sanitária. Academia suja e com pesos espalhados. Elevadores quebrados. Ambientes sem reparos. Café da manhã sem lugar para sentar.
6 de dez.,4,Hospedagem excelente - Hotel friendly (com restrições),"A estadia no Outo Minas foi excelente. O Hotel é muito bonito, os funcionários são cordiais e o café da manhã é maravilhoso.  O quarto tinha alguns itens precisando de reparo, mas nada de importante.  O Hotel é petfriendly -mediante pagamento de taxa-, oferece caminha e recipientes para o pet, mas vc só pode transitar com seu pet pelo hotel no colo. Acho que essa regra (que não está clara no regulamento) vai de encontro ao conceito de ser petfriendly.  Mas no geral a experiência foi muito positiva!! E o hotel ainda tem a vantagem de estar em frente ao Minas Shopping!"
6 de dez.,5,Vontade de não ir embora,"Sempre excelente! Tudo mt organizado e confortável! Todas as partes do hotel nos convidam a querer ficar mais um pouco! Quarto impecável, camas mt confortáveis. Alimentação de pimeira e equipe sem defeitos!"
6 de dez.,4,Visitei com a minha filha,"Ficamos apenas uma diária para comemorar o aniversário de 10 anos da minha filha. Ela gostou muito, ficou encantada. Tirando a parte do serviço de quarto que solicitamos por duas vezes em dias diferentes e não fomos atendidos, todo o resto foi muito bom. Recomendo muito."
5 de dez.,5,"Boa localização e excelente estrutura, conforto e atendimento.","O Hotel Ouro Minas é conceituado e sua fama se dá pela qualidade no atendimento e conforto das instalações. A localização é boa, não é perto dos pontos turísticos, mas um shopping e uma churrascaria de frente a ele compensa essa falta.  A avenida Cristiano Machado, onde está localizado, também tem acesso fácil para o aeroporto, ao centro da cidade ou à região da Pampulha."
5 de dez.,4,Tradicional e muito bom !!!,"Hotel tradicional, um pouco desgastado pelo tempo, porém ainda muito bom.  café da manhã bem variado, excelente atendimento, restaurante fantástico e área de lazer muito bem conservada.  Os quartos podem receber uma modernização, mas o chuveiro...esse é maravilhoso !!!"
1 de dez.,5,10,"Foi minha primeira experiência no hotel. Uma escolha de minha empresa que me deixou muito satisfeita pela escolha, em todos os aspectos principalmente na limpeza e cuidado com minha saúde. eu necessitei de agendamento de taxi e a recepção realizou o agendamento. Me proporcionando um profissional totalmente legalizado e habilitado para realizar."
nov. de 2022,4,]Jantar romântico,"Localização muito boa. Quartos arrumados, limpos, banheiro excelente. O ponto que deve melhorar é o atendimento do restaurante, a equipe de garçons precisa ser treinada no serviço de vinhos e conhecer o cardápio."
nov. de 2022,4,Muito bom,"Gostei demais da decoração do quarto,roupa de cama excelente e tudo muito limpo. Os funcionários são educados . O café da manhã no quarto demorou muito pra chegar e o jantar no restaurante do hotel também, fora isso, gostei de tudo."
nov. de 2022,5,Voltarei!!,"Quarto confortável, roupa de cama de primeira, ducha excelente, tudo muito limpo, localização e cama muito boa. Não provei o café da manhã por sair muito cedo do hotel e valor da diária é compatível com o nível do hotel. Tudo muito bom."
nov. de 2022,5,Congresso Ieprev,"Excelente instalações, a receptividade de todos os funcionários, gentis, educados e sempre te atende de.pronto quando necessitados.O café - da - manhã...maravilhoso!Grande diversidade de pães, sucos, queijos.Super indico"
nov. de 2022,4,ÓTIMA OPÇÃO,Ótimo hotel. Ótima localização. Estrutura magnífica. Quartos confortáveis e muito bem limpos. Banheiro excepcional. Café da manha muito bom. Somente não recomento o uso do bar do hotel. Atendimento e os drinks não são bons.
nov. de 2022,5,Hotel realmente de qualidade,"O hotel tem boa aparência, o quarto é amplo e limpo, o chuveiro é excelente, o café da manhã tem muita variedade. Os funcionários são muito atenciosos e educados. O serviço de quarto é rápido e muito gostoso."
nov. de 2022,5,Hotel Maravilhoso,"Hotel muito aconchegante, lindo e com aquele jeitinho mineiro de receber que a gente tanto gosta.  Hotel limpo e muito bem estruturado para reuniões e convenções.  Café da manhã farto de delícias mineiras num ambiente muito acolhedor."
nov. de 2022,5,Ótimo hotel,"Ótimo hotel bem localizado café da manhã impecável delicioso e acomodações excelentes,a única coisa que não gostei é que é cobrado r$120 para receber um convidado no quarto mas do resto não tenho do que reclamar o local é limpo os quartos um verdadeiro luxo e funcionários atencioso s ansioso pra voltar"
nov. de 2022,5,Noite Romântica,Gostei muito! Foi bem tratada e minha noite romântica foi ótima. Obrigada a todos funcionários e com certeza recomendo o hotel pra meus amigos e familiares. Voltarei outras vezes e também achei interessante ter um pacote com tudo incluso já num preço total.
nov. de 2022,3,Problemas no check in e ruidos.,"Demoraram pra encontrar a reserva. Depois recebi a chave de um apartamento ocupado. Preocupante e constrangedor. Muito ruído a noite. Outros hospedes espancaram as paredes na tentativa de fazer cessar os barulho! Coisas quebradas no quarto e isolamento acústico com o quarto ao lado sofrível. Bem decorado, mas precisa de reformas!"
nov. de 2022,1,"“Bronze Minas”, um hotel em franca decadência. Evite a todo custo!","Sou empresário e trabalho com diversas empresas, das quais para algumas, presto condultoria.    Costumo dizer que assim como existe um protocolo para o êxito, existe também um protocolo para que um negócio não se concretize, venha ao fracasso ou até mesmo a total falência!    É exatamente e infelizmente esse segundo protocolo que o Hotel Ouro Minas, ao qual passo a chamar de “Bronze Minas”, está seguindo à risca.    Há cerca de 2 semanas eu e meu filho de 8 anos decidimos passar um final de semana lá!    Sou Pai separado, moro no exterior e venho visitar o meu filho sempre que posso. Logo, detalhes como os lugares aonde frequentaremos e principalmente, onde iremos nos hospedar são de suma importância e podem fazer da nossa viagem um momento inesquecível, tanto para o bem quanto para o mal.    Me hospedo no Hotel Ouro Minas desde 2011, com ênfases para os anos de 2014-2017, quando lá me hospedei com mais frequência.    O mesmo era sinônimo de excelência.    Hoje, tal adjetivo se limita a grande parte do staff, encabeçados pela ultra profissional Mona Alvarenga, que realmente se esforça e com dua equipe, tenta fazer de tudo para reverter os problemas no hotel.    Exemplos:    - Como pode um hotel 5 Estrelas não oferecer talher a seus hóspedes, e quando assim o faz, oferece talheres descartáveis ao preço de $3 Reais. Detalhe: O hóspede tem que ir buscar! Imagine que eu e meu filho estávamos no 22° andar e diversas vezes precisei descer para buscar utensílios.    - Por falar em descer, os elevadores; um deles com o botão quebrado, não oara a no nosso andar. Precisamos utilizar a escada de emergência (ou aguardar os outros elevadores que demoravam MUITO!)    - Uma das razões pelas quais me hospedei lá, dessa ve em especial, foi pela piscina interna, pois com meu filho que ama nadar, caso chovesse, a chuva não atrapalharia o passeio. Pense numa piscina abarrotada de cloro, com em um dos dias, um grupo se pessoas cantando sertanejo em altíssimo volume, como se estivessem na sua piscina particular. Aonde está um responsável para dizer que o limite de um hóspede se encerra aonde começa a afetar o dos outros? Uma bagunça generalizada!    - Houveram alguns outros problemas contornados pela exímia Mona Alvarenga, e por isso não irei menciona-los, mas o que posso dizer e concluo é:    Não via a hora da minha reserva terminar (paga antecipadamente) para que eu pudesse trocar de hotel, e que, com tristeza digo que jamais quero me hospedar nesse hotel novamente.    É triste porém necessário dizer isso, pois não quero ver outros pais, ou famílias, passando pelo desgaste que passamos.    Triste também em ver um hotel que já foi um marco na cidade, entrar em franca decadência desse modo. Me lembrou muito, o Maksoud Plaza, que assim como o Ouro Minas, seguiu o protocolo da falência, até atingi-lo.    Se você é pai, mãe, e deseja passar um final de semana em um hotel em Belo Horizonte, procure outras opções. Ah não ser que deseje se frustrar como eu fiquei, tanto na minha estadia, quanto agora em ter que fazer essa critica, a um outrora Hotel que já foi Ouro e hoje na melhor das hipóteses é Bronze."
nov. de 2022,5,Ótima experiência,"Tudo perfeito. Funcionários receptivos e atenciosos. Café da manhã excelente. Cama confortável e quarto espaçoso. A unica coisa chata é em relação aos pagamentos na hora que se pede a comida, geralmente o valor é pago no final da hospedagem"
nov. de 2022,4,Instalações muito confortáveis e ótima comida,"o hotel tem uma boa localização, com ótimas instalações e comodidades, como a piscina, o lobby e o restaurante. O único ponto negativo que achei foram os elevadores, pois eu estava num evento com muitas pessoas e o transporte estava muito demorado. São 4 elevadores, mas um deles não estava funcionando no periodo em que estive lá."
nov. de 2022,4,Bom hotel para eventos,"Hotel bom com boa infraestrutura, piscina excelente.Serviço muito bom com funcionários muito prestativos. Senti falta de algum terraço ao ar livre. Fui para um evento e o elevador congestionava por conta do movimento. Não havia opçoes de escada para andares mais baixos."
nov. de 2022,4,Nós voltamos!,"Hotel muito bom, e o atendimento nota 10.. A cama é muito confortável e o ambiente muito agradável. Funcionários são atenciosos e o café da manha é ótimo, diversificado. A noite jantar com piano é super! Os serviços prestados em geral são bons, piscina. A localização é boa e de fácil acesso."
nov. de 2022,4,"Bom hotel com decoração clássica e de qualidade, boa localização.","Hotel renomado que mantem sua decoração clássica, móveis de qualidade e bom gosto, alimentação muito boa, apesar dos preços um pouco supervalorizados, vale a pena o jantar, café da manha muito bom, profissionais educados e prestativos.    Bebidas com preço muito acima da média e do esperado, precisa de algumas manutenções pontuais em detalhes do quarto. Esperava uma qualidade melhor dos amenities."
nov. de 2022,1,"Reforma urgente , péssimo quarto , pelo valor , demorou uma hora e meia pra chegar um vinho rosé é quente a demora","Demorou mais de 1 hora pra conseguir falar na recepção , chegou um vinho rosé quente , gelo no balde pela metade , quarto antigo acabado toalhas velhas péssimo atendimento e qualidade em tudo, sai no meio a madrugada e fui pra outro hotel"
nov. de 2022,5,Muito bom,"hotel lindo, muito limpo, ben organizado, atendentes muito atenciosos e educados.  O quarto é ótimo, ar condicionado silencioso, cama confortável.  ótimo café da manhã, muita variedade, alimentos deliciosos."
nov. de 2022,5,Agradecimento Sergio Garçom,"Queria primeiramente agradecer ao Sergio o garçom, atendimento excelente de todos os funcionários mas em especial o Sergio foi um amigo! Amei o hotel e as estadias foi muito bom de verdade perfeito !!!"
nov. de 2022,4,Hotel muito bom,"Quarto amplo, confortável, apesar do barulho do ar condicionado. Limpo.  Refeições do hotel muito boas.  Serviço muito bom, funcionários educados e prestativos.  Aponto o problema do fluxo dos elevadores no momento de maior fluxo. Muito lento, com filas e para piorar um dos elevadores esteve fora de serviçotodo final de semana.  A grande quantidade de pessoas ao mesmo tempo no almoço e jantar poderia ter sido melhor organizado na linha de servir."
nov. de 2022,4,Estada de uma noite em Belo Horizonte em viagem a trabalho,"Suíte ampla e confortável, café da manhã bem variado com muitas opções, além de estar bem localizado.    Como a minha viagem foi a trabalho, fiz check in à noite e check out no dia seguinte após o café da manhã, não tive oportunidade de conhecer bem todas as comodidades que o hotel oferece aos seus hóspedes."
nov. de 2022,5,Hotel maravilhoso,"atendimento perfeito, café da manhã perfeito, quarto confortável, preço acessível, com profissionais altamente capacitados. Viajo muito a trabalho no brasil e já fiquei em inúmeros hoteis, mas o ouro minas me surpreendeu. estão de Parabéns!"
nov. de 2022,5,Hotel com excelência em vários âmbitos,"O hotel apresentou em diversos momentos ter a capacidade de ser considerado 5 estrelas, desde o atendimento até a hospedagem em si, na qual o conforto, limpeza, atendimento e café da manhã prevaleceram."
nov. de 2022,5,a estrutura do local é sensacional.,"Estrutura excelente, ótimo atendimento, preço acessivel comprofissionais altamente capacitados.  Viajo o brasil todo a negócios, já fiquei em inúmeros hoteis, mas o ouro minas me surpreendeu.  estão de Parabéns!"
nov. de 2022,5,Estadia perfeita em BH!!,"Café da manhã excelente!  Quartos confortáveis!  Área de lazer do hotel show!  Atendimento solícito!  Enfim...Estadia perfeita em BH!  Já era opção da minha família de estadia em BH, agora virou a minha também!"
nov. de 2022,5,Maravilhoso,"Funcionários receptivos e muito educados, quartos aconchegantes, somente os travesseiros que achei um pouco altos, mais isso é na minha opinião, já meu esposo achou maravilhoso, chuveiro é um sonho, valeu a pena."
nov. de 2022,4,Valeu cada minuto!!,"Uma bela estadia... Muito conforto, uma ótima recepção , funcionários muito bem trajados e educados. quartos muito bem cuidados, alimentação de ótima qualidade e escolha. muito limpo e organizado. parabéns a todos os funcioários deste EXCELENTE HOTEL.!!!"
nov. de 2022,3,"muito bom hotel, mas com banheira ridícula","a banheira do quarto não tem ladrão para a água e cai no piso do banheiro alagando-o todo.... compraram uma banheira de baixa qualidade para um hotel de nível superior.... não era assim ... falha grave na higiene e no conforto do hóspede, que fica fazendo trabalho de enxugar e limpar banheiro !! ponto horrível !!  a sauna não privilegia o relaxamento: pagote alto e ninguém para servir... tem de telefonar para atendente vir e aguardar um bocado...  estrutura e demais serviços muito bons !!"
nov. de 2022,5,Excelente experiência,"Funcionários cordiais, quarto espaçoso e silencioso apesar da localização, roupas de cama de excelente qualidade, café da manhã bem variado. Shopping com serviços, lojas e restaurantes em frente, com possibilidade de ir a pé."
nov. de 2022,5,Ótima experiência,"A estadia foi ótima, a cama era muito boa (acho que podiam ter mais travesseiros, mas sei que se pedisse levariam pra mim), o café da manhã também é muito bom. Jantamos no restaurante que também surpreendeu positivamente, embora no dia estivessem poucas pessoas trabalhando e não tenham levado nossa bebida embora tenhamos solicitado duas vezes, mas a comida estava deliciosa, então no fim valeu a pena. A piscina e sauna são ótimas (podem só melhorar os jatos de massagem que só tinham dois funcionando). Desejamos voltar!"
nov. de 2022,5,Fantástico resume o Ouro Minas,"Hotel maravilhoso, atendimento e limpeza impecável. Café da manhã incrível, o restaurante é sensacional uma experiência gastronômica que vale muito a pena. Tudo maravilhoso com certeza retornarei mais vezes porque virei fã.."
out. de 2022,5,Excelente,"Maravilhoso hotel.Limpeza impecável,café da manhã perfeito.Atendimento muito bom.  O hotel estava lotado e nem por isso deixou a desejar,a localização é excelente,em frente ao shopping.  Recomendo,ótimo custo benefício."
