Data da opinião,Nota,Título,Conteúdo
dez. de 2022,4,Não tem erro.,"Olhe… pra quem ja se hospedou no Ibis então não tem segredo. Todos seguem o mesmo padrão de qualidade. Quarto ok, chuveiro quente, ar cond funcionando corretamente, café da manhã com bastante variedades e atendimento bom. Agora não se engane … fica de frente para o Mar mas não vi ngm tomando banho nos dias em que estive e também é muito cheio de pedras. Estacionamento é 28 por dia."
nov. de 2022,4,Uma boa opção em Salvador,"Uma equipe super atenciosa, uma localização ótima, acomodações satisfatórias e um bom custo benefício. O café da manhã e ótimo, bem servido com bastante variedade e com os itens sendos reposto prontamente por uma equipe rápida e atenciosa A recepção e ágil e cortes Pontos para melhorar; Precisavam realizar algumas reformas para conservação, e parece que estão fazendo. A tv do quarto é um pouco pequena e a sintonia não é boa O Ar-condicionado apesar de eficiente precisa de limpeza, pois tivemos um problemas com rinite alérgica ao liga-ló. Precisava ter cofres nos quartos, o que é curioso, pois acionamos um documento como se existisse um cofre, mas não há"
nov. de 2022,3,Boa localização,"O quarto é bom, com ar condicionado funcionando perfeitamente, a TV com bons canais. A ducha do banho com boa pressão. E silencioso para dormir. O café da manhã com muita variedade de opções e tudo saboroso. Os quartos e banheiros precisam de uma reforma de modernização. O Check-in foi bem rápido."
out. de 2022,5,Muito bom!,"O hotel é uma gracinha, bem ao lado de uma praia. Fica no bairro boêmio de Salvador, o Rio Vermelho. Para quem é de SP, ele pode ser comparado a Vila Madalena. Mas voltando ao hotel: atendimento impecável! O único porém foi que nao tinha café da manhã incluso na nossa reserva, no mais só elogios!"
set. de 2022,4,"Boa localização, check-in demorado","O hotel fica em um bairro cheio de restaurantes e bares, ou seja, não vai faltar o que fazer à noite. Dá para ir à Praia do Buracão à pé - prainha meio escondida, boa para quem não está a fim de lugares muvucados. Porém não recomendo essa praia para crianças ou para quem gosta de ficar na água: as ondas são bastante fortes! Voltando ao hotel, a única coisa que me desagradou foi ter feito o check-in on-line, ter chegado tarde da noite, muito cansada, molhada de chuva e ter tido que esperar uns 15, 20 minutos para ter a chave do meu quarto. A funcionária disse que o check-in on-line não funciona!!! No mais, quarto espaçoso, boa vista para o mar, café da manhã muito bom. O hotel não tem restaurante. Há uma empresa de turismo que tem um ""stand"" no hotel e organiza passeios."
set. de 2022,5,Casal,"Hotel fantástico,quarto confortável, café delicioso,ótima localização,perto de restaurantes, preço acessível, tudo muito limpo, funcionários educadissimos,solicitos( dona LU,camareira muito gentil ),ambiente familiar, uma mesa de bilhar maravilhosa ........."
set. de 2022,4,Salvador 5 dias,Excelente custo benefício.  Localização ótima pra quem está sem carro.  Limpeza ok.  Cama boa.  Chuveiro bom.  Café da manhã excelente acima do padrão Ibis.  Vista parcial do mar. Apto 483  Reforma (não escutei nada)  Funcionários cordiais  Toalhas fedidas (pedi pra trocar) fui atendida.  Instalações antigas (Feia) precisa de reforma interna também.
set. de 2022,1,Hotel em obra - Decepção,"Reservei o hotel pelo hoteis.com p minha filha e meu genro, ao chegarem no hotel, se depararam com o hotel em obra, frustrante! O barulho começa às 09 da manhã e vai até às 17 horas...    Poderiam ter avisado...    Decepção total..."
set. de 2022,4,Localização muito boa.,"Estilo Ibis de sempre, porém este é um pouco superior. // ótima localização bem perto das principais atrações do Rio Vermelho.. dá para fazer tudo a pé // Quarto com cama e chuveiro muito bons// café cobrado a parte com ótimas opções."
ago. de 2022,5,Custo benefício,"Fui bem atendido pelo Jean que deu o drink de boas vindas caprichado com roska de abacaxi, excelente funcionário. Em relação ao hotel , tem um bom custo benefício. Chuveiro bom. Localização excelente."
ago. de 2022,3,Hotel com boa localização,"Hotel com boa localização, funcionários muito solícitos e dispostos a ajudar, porém, a estrutura do hotel em si está bem abaixo do esperado. Cama ruim, chuveiro que não sai muita água, móveis já muito batidos. Para viagens rápidas, hotel ok, agora para férias, onde se procura um pouco mais de conforto, existem opções melhores para custos parecidos."
ago. de 2022,3,Precisa de reformas!,"Estive no hotel entre 21 e 24/08. Localização muito boa, próximo a vários restaurantes e bares. No momento o hotel passa por uma reforma na fachada, nada que atrapalhe a estadia. Café da manhã no valor de R$32,00, não tem muitas opções mas atende bem, funcionários bem educados e sempre dispostos a ajudar. Pontos negativos são: 1 - a cama possui um colchão bem fino, não tão confortável; 2 - manutenção do quarto precisa melhorar, televisão ficava mudando de cor, móveis lascados, frigobar não gelava direito.  Pelo valor da diária que paguei (aprox. R$200,00) e para uma viagem a trabalho acho que vale a pena voltar, se for a turismo considere outras opções com mais infraestrutura."
ago. de 2022,5,Rede de hotéis top.,"melhor rede de hotéis, sempre boa localização e funcionários sempre atendendo das melhores formas possíveis, preços acessíveis, segurança, estacionamento, limpeza top, café da manha muito bom bem como o restaurante."
ago. de 2022,4,Excelente custo-benefício,"Tive pela primeira vez na minha vida, uma experiência horrível com a recepcionista de nome Suely. Que me recebeu com falta de educação, mau humor, sem empatia e sem Simpatia. Me agrediu com palavras e me repassou um valor incorreto da estadia. Completamente despreparada para estar em uma recepção e lidar com clientes"
jul. de 2022,5,Tranquilidade,"Estadia ótima tudo dentro da normalidade. Não deixou nada a desejar desde o chek in até ao chek out. Atendentes atenciosos, limpeza em ordem, cafe da manhã super completo. Super recomendo vale a pena ."
jul. de 2022,5,Ótima Estadia,"Eu e meu marido ficamos hospedados por 4 noites no Ibis e gostamos muito da estrutura do hotel, quartos silenciosos, limpos e com bom espaço. A região do Rio Vermelho é ótima, cheia de bares e restaurantes, possui policiamento constante, nos sentimos seguros. Ótimo custo- benefício."
jul. de 2022,2,Paredes do quarto com mofo e infiltração,"Muito embora entenda que o hotel esteja passando por reformas na fachada, é inconcebível um hotel da Accor com tantas infiltrações e mofo na parede do quarto. Como único ponto positivo, a simpatia dos funcionários."
jul. de 2022,5,Três estrelas com qualidade de quatro,"O hotel fica num bairro boêmio, vida noturna bem movimentada, porém mais afastado do Pelourinho e da Barra, os principais pontos turísticos. Ao entrar no hotel sempre está com um cheiro bem agradável. Fiquei no quarto no lado oposto da reforma, atende às necessidades básicas, porém no banheiro foi encontrado cabelos na pia e no papel higiênico. A limpeza não foi um ponto positivo. A acústica do quarto é ótima. O café da manhã bem servido, mas quando dá 9h30 não renovam a bancada de comidas, sendo que às 9h o pão de queijo havia acabado e não colocaram novamente. Nos finais de semana e feriados o café vai até às 11h, o que é muito bom. Funcionários bem simpáticos e atenciosos."
