Data da opinião,Nota,Título,Conteúdo
nov. de 2022,5,Fácil para pontos turísticos,"Ótima localização de pontos turístico torre de TV e fonte, shopping para se alimentar e ou passear (Brasília Shop), estadio mane garrincha e ginasio nilson nelson estes faz a pé. Deslocamento fácil para congresso, Catedral aeroporto e outros. Área de lazer em manutenção não me fez falta."
nov. de 2022,1,Hospedagem com barulhos de obra,"Eu estou hospedada no hotel e não consegui dormir com os barulhos de obra no hotel, barulhos insuportáveis até ontem a noite e começou hoje bem cedo… reclamei na recepção e sequer obtive reposta! Não consigo sequer dormir no quarto"
nov. de 2022,1,Barulho quebrando parede o tempo todo,"No dia de ontem e desde cedo hoje (01/11) barulho de marreta em cima do quarto e ao lado o tempo todo, impossível de ficar no quarto. O prédio está em reforma, deveriam interditar os quartos próximos a obra, pois desse jeito não dá para ficar."
out. de 2022,5,Excelente estadia,"O hotel é muito agradável, quartos limpos e amplo , atendimento cordial, . Funcionários bem treinados, café da manhã bem servido e delicioso, localização perfeita.  A piscina está em reforma, porém não me fez falta."
ago. de 2022,4,Confortável e com fácil acesso a tudo.,"Hotel localizado na Asa Norte, próximo a supermercados, farmácias, convêniências. Literalmente no coração de Brasilia. Me hospedei durante o período da quarentena, portanto não consegui avaliar a piscina e nem o restaurante. Quarto ventilado, andar alto, com sacada com vista para o Planalto, camas confortáveis, chuveiro adequado e funcionários gentis. Recomendo, nota 8."
jul. de 2022,5,Quarto confortável e ótimo atendimento,"Excelente atendimento, boa localização e quartos confortáveis. Hotel com infraestrutura boa com piscina, sala de ginástica. Inquérito era amplo, o atendimento prestado pelo pessoal da recepção foi muito bom. Recomendo e voltaria a me hospedar no hotel."
jun. de 2022,5,hospitalidade fantástica,"Passei o final de semana de 26/06/2022 e posso dizer que desde a recepção, hospitalidade, limpeza e café da manhã são excelentes. O estabelecimento dispõe de piscina, sauna e academia, com um horário amplo de funcionamento. Eles são muito solícitos. Recomendo."
jun. de 2022,5,Hospitalidade premium,Boa estrutura hoteleira com uma excelente localização no SHN. Atendimento primoroso com pessoas bem educadas e profissionais. Bom café da manhã. Equipe cordial. boa limpeza. Excelente custo-benefício.
mai. de 2022,4,Atendimento muito bom!,"Me hospedei na noite do dia 26/05 o hotel tem estrutura antiga seria bom uma reforma, mas o hotel é bem limpo e o que me chamou a atenção é o atendimento nota 10!  Funcionários simpáticos e comunicativos. Deixo um elogio em especial ao atendente Josefe, mesmo tendo chegado de madrugada fui recebida com um sorriso receptivo e um atendimento muito simpático! Ahh e o café também, maravilhoso!!!"
mai. de 2022,5,Ótimo hotel,"Hotel maravilhoso, com ótimo serviço e todos os funcionários super atenciosos!!!! Me hospedei a trabalho e foi uma ótima experiência, apesar de breve. Recomendarei para todos os meus conhecidos, também voltarei com certeza."
mai. de 2022,2,hospedagem,"em outras oportunidades estive no hotel e gostei muito , porém desta vez achei horrível e nunca mais votarei.  fiquei no quarto 611. a porta do armario onde ficam o frigobar emperrada . deixei lixo no quaro em sacolas não foi recolhido. reclamei na recepçao e não adiantou . telefone da recepçãp sempre ocupado. um horror. somente o cafe da manha foi maravilhoso"
mai. de 2022,5,Excelente opção em Brasília,"O hotel Mercure Brasília Líder é uma excelente opção, sou cliente frequente, retornei agora, após 2 anos de pandemia. Só senti falta do bar e restaurante do térreo que não estavam operacionais ainda por restrição da Covid"
mai. de 2022,3,"Aparentemente, toda a rede ACCOR está em baixa, incluido este hotel.","Quarto bom e amplo, bem localizado, bom banheiro e ducha, mas a manutenção muito ruim, as TVs nao conectam celular (Smart) apesar de possuírem esta opção, poucas aguas disponíveis, as que tem sao garrafas minusculas (330ml), a luz de cabeceira quebrada, cofre nao funciona, funcionários consultados para ver os problemas ficam colocando a culpa em outros, etc."
mai. de 2022,4,Boa experiência de hospedagem,"Bom hotel,vista maravilhosa da cidade e para o planalto central,boas acomodações e quarto confortável,bem localizado e fácil acesso a outras regiões pela vias rápidas,shoppings próximo e ideal para uma boa caminhada a fim de dia,recomendo."
mar. de 2022,4,Ótimo custo-benefício,"Ficamos no 15° andar, com uma linda vista da cidade. Bem localizado, próximo a shoppings, igrejas, restaurantes e pontos turísticos. O check-in foi um pouco demorado, já o check-out bem rápido. Quarto amplo, limpo, camas confortáveis. Não havia cobertas, mas nos enviaram quando solicitado. Limpeza e troca de toalhas diárias. O café da manhã gostoso, porém senti falta de uma tapioca e de um cuscuz mais caprichado, porém satisfatório. Valeu super a pena a estadia nesse hote. Recomendo!!!"
mar. de 2022,3,Melhor achar outra opção,"Hotel em termos de estrutura física é boa. Café da manhã pelo padrão achei poucas opções. Cama muito boa e chuveiro também, mas a pia ser do lado de fora achei muito estranho. Tomadas? Não, praticamente não tem, se você precisar dormir perto do celular carregando, adeus, trabalhar com notebook não tem como, poucas tomadas e fica inviável. Ah, estacionamento é pago, achei sem noção isso.  Resumindo, se puderem, arrumem outro hotel pela comodidade."
mar. de 2022,4,Ótima localização,"O hotel é próximo a um shopping e alguns pontos turísticos. O check-in demorou bastante e nos colocaram em um quarto inferior ao que pagamos, mas o problema foi resolvido. Se puderem escolher, prefiram andares mais altos. Os quartos já estão um pouco velhos, senti que o hotel merece uma reforma. O restaurante é ok, os pratos que pedi estavam bons. Café da manhã e wi-fi são ótimos. Academia é suficiente, mas pequena."
jan. de 2022,4,Otima localizaçao e facil acesso,"Pontos positivos: Proximo aos pontos turisticos(pode-se fazer andando), tem 3 shoppings e restaurantes a 5 minutos a pe do hotel, uma bela vista da varanda do quarto e arrumaçao dos quartos sao feitos diariamente( em tempos de pandemia , ja estive em hotel que nao fazia limpeza diaria , somente em estadias de 5 dias).  Pontos negativos: O chuveiro para deixar em uma temperatura agradavel é quase impossivel ou é muito gelado ou muito quente, pouca opçao no cafe da manha, o ambiente esta precisando de uma reforma e nao disponibilizaram mas coberta e travesseiro."
nov. de 2021,1,Somente vale pela localização,"O hotel Brasília Mercure somente vale pela localização.No coração do plano piloto junto ao Brasília shopping e ID perto de tudo que você precisa.  Conta com uma belíssima vista da torre de TV e se ficar em andar alto dá pra ver um bom pedaço da cidade.Mas pára por aí.  A recepção do hotel e mais especificamente o check in é sofrível.Fiz o meu check in on LINE e mesmo assim aguardei 20 minutos para conseguir um quarto.O recepcionista não localizava minha reserva e queria dar algo inferior ao que havia já reservado e pago.Sim, paguei tudo com antecedência e não arrendei o pé até conseguir o que tinha direito.Isso sem falar que me hospedei com 04 malas e uma senhora de 85 anos.Em tempo, não existe no hotel carregadores e ninguém te ajuda com as malas.  Ou seja, você carrega suas malas até o andar sem que ninguém venha em seu auxílio.  Passada a fase inicial,ficamos num quarto com cozinha ....surpresa.. não tem na dita cozinha objetos de cozinha  .Não há garfo,faca e pratos.  O frigobar está vazio e dependendo da hora que vc chegue vai ficar com sede.  O papel higiênico .... hehehe limitado a dois rolos por dia!"
nov. de 2021,2,PÉSSIMA EXPERIÊNCIA,"A chegar na recepção por volta das 20:00hs fui informado que o restaurante estava fechado e que não havia possibilidade de solicitar nem mesmo room service. Fui orientado a ligar para um outro hotel Mercure e fazer um pedido. Perguntei sobre o cardápio e fui informado que não havia cardápio, porém o atendente me passaria os pratos disponíveis por telefone. Liguei e solicitei o pedido que veio errado e sem possibilidade de colocar na conta do hotel. Tive que pagar na hora. Pior hotel da rede Accor que estive na minha vida."
nov. de 2021,1,Atendimento e Sujeira,"Fiz 3 reservas pelo aplicativo Accor, chegando ao hotel somente uma foi localizada, pediram para aguardar, após 2 horas de espera finalmente 1 apartamento liberado levamos as malas e saímos almoçar com a promessa que no retorno todos estariam disponíveis.  Quando retornamos do almoço esperamos mais 40 minutos na recepção até a liberação dos outros dois quartos.  Quando realmente entro para descansar me deparo com banheiro sujo, parede com infiltrações e pelos, cabelo nos lençóis.  Retorno a recepção para reclamar e aonde estou por mais de 40 minutos esperando novo quarto!  Realmente uma vergonha para rede, somos clientes frequentes da accor platinum e gold."
nov. de 2021,4,Muito bom,"há um porém que talvez seja insignificante para a ADM do Mercure Brasília, mas para os hóspedes é uma distração em horas vagas, o sinal de tv e canais a cabo apresenta chuvisco ou falta de sinal e o conteúdo disponível via cabo e todo ele do grupo midiático globo, não há opção de conteúdo de concorrentes, ou seja o hóspede seja ele brasileiro ou gringo e enfiado no má camisa de força para assistir apenas produtos do conglomerado globo."
nov. de 2021,3,Pode melhorar,Problemas repetitivos de anos anteriores de alagamento do box do chuveiro; Atendentes na recepção sobrecarregados; barulho excessivo do exaustor do banheiro; corredores do quartos sem ventilação e com mau cheiro.
