Data da opinião,Nota,Título,Conteúdo
uma avaliação Hoje,5,Excelente atendimento,"Gostaria de deixar meus parabéns ao excelente atendimento da Luciana, supervisora de checkin. Ela foi muito simpática e nos atendeu muito. O hotel é muito bem localizado e com excelente acústica, principalmente por ser ao lado do aeroporto."
11 de dez.,5,Mais uma vez um ótima estadia!,"Gostaria de destacar o excelente comodidade que fiquei e o ótimo atendimento de todos os colaboradores, com destaque para a Tais Costa da recepção que foi muito cordial, gentil e eficaz, superando as nossas expectativas ao nos até atender! Está de parabéns!"
11 de dez.,4,ATENDIMENTO ROOFTOP PISCINA PÉSSIMO,"Meus pontos negativos vão para o atendimento rooftop da piscina horrível, atendimento preguiçoso, pareciam que não queriam vender e para a Tv do quarto que tem Smart não pode ter acesso ao YouTube e Netflix    Mas de resto hotel impecável, adorei a experiência, café da manhã e quartos! Tudo lindo!"
10 de dez.,5,Uma experiência inrsquecível,"Estivemos no Prodigy para comemorar o nosso aniversário de casamento. Atendimento excelente, uma vista deslumbrante da linda paisagem do Rio de Janeiro, um café da manhã com grande variedade, somos gratos por tudo que nos foi proporcionado. Retornaremos e recomendaremos aos nossos familiares e amigos. Gratidão!!!!!!"
4 de dez.,4,Fácil acesso e boa relação custo benefíco,"O hotel fica colado no aeroporto Santos Dumont, o que facilita bastante o acesso. Depois para ir às praias ou aos pontos turísticos é preciso pegar um transporte, como o trem, o táxi ou Uber.  O quarto tem um tamanho razoável, com lençóis limpos e chão limpo, o que é importante.  O café da manhã é bem servido, tem diversas opções de frutas, pães, bolos, sucos, só a tapioca feita na hora que é mini. Para quem opta por comer no terraço aberto, a vista é muito bonita, mas faz bastante calor dependendo do dia e horário.  A piscina tem uma boa vista.  O aspecto ruim do hotel são os corredores largos, compridos e poucos iluminados, chega a parecer uma detenção. A torneira do chuveiro é difícil de ser usada, um modelo bonito e pouco usual em que o misturador de água fria e quente está na mesma torneira."
nov. de 2022,5,Muito bom o Atendimento pós hospedagem.,"Esqueci meu óculos de sol no quarto pós hospedagem, telefonei para o hotels e falei com recepcionista Luiza Araujo que não mediu esforços para recuperar meu óculos de sol com sucesso.  Muito Obrigado. Marcelo Modenesi"
nov. de 2022,4,Pontos positivos e negativos,"Excelente localização, café da manhã perfeito, quarto muito bom , chuveiro pouca pressão e banheiro sem ventilação.  Utensílios, Copo plástico que se usa para servir na área da piscina desgastado com aparência suja.  Funcionários atenciosos , em especial os da recepção, Cíntia e Michelli. E na área de alimentação o Renan sempre atencioso e solícito.  Preços alimentação e bebidas elevados , porém compatível."
nov. de 2022,5,Vista Incrível,"A vista para a baia de Guanabara é simplesmente sensacional, o quarto da suíte Master é lindo e extremamente confortável, tivemos uma excelente experiência. O atendimento do staff também é impecável e o café da manhã contempla diversas opções."
out. de 2022,5,Avaliação,"Yuri Neves, Gregori e Felipe são recepcionistas incríveis e atenciosos.  Obrigada por tê-los parabéns  Profissionais incríveis  Estou muito feliz de conhecer o rio neste lugar  Hotel muito incrível graças a eles"
out. de 2022,5,Surpreendente,"As dependências do hotel são muito limpas e confortáveis.  O atendimento foi excelente, principalmente a Taís e a Michelle, ambas da recepção.  O café é muito bom.  A vista do café no restaurante é fantástica!"
