Data da opinião,Nota,Título,Conteúdo
16 de dez.,5,Melhor vista de Copacabana !!!,"Sugestões ;  1) Colocar barra de segurança nos box dos banheiros , facilita os idosos .  2) Colocar uma pequena bica de agua em um dos cantos da entrada do hotel para lavar os pés e sandálias da areia que carregamos da praia deixando assim de sujarmos as dependências do hotel e elevadores .  3) Funcionamento do bar da piscina coincidir com o horário da mesma ."
13 de dez.,5,Boa opção em Copacabana,"Chegamos ao hotel através do nosso aplicativo de reservas, escolhendo-o por conta da localização. O hotel satisfez todas as nossas expectativas em termos de conforto, limpeza e eficiência. O café da manhã merece elogios também, pela variedade de itens e pela gentileza do serviço de garçons e gerência. O grande destaque - e o que deve nos fazer voltar ao estabelecimento- é a extrema cortesia e profissionalismo da equipe , com destaque para o Sr Francisco da recepção, que nos acolheu calorosamente e não mediu esforços para satisfazer nossas necessidades. Recomendo o hotel efusivamente."
12 de dez.,5,Escelente,"Hotel muito acolhedor, com boas instalações. Atendimento excelente. Funcionários muito prestativos, gentis e simpáticos. Agradeço todo o serviço prestado, em especial a Marcela, que desde o inicio até o fim de minha estadia me recebeu de braços abertos, com seu carisma e gentileza. Recomendo este hotel a todos os meus amigos e colegas. Até breve. Mais uma vez gratidão a Marcela e em nome dela a todos os demais funcionários do hotel."
12 de dez.,5,Estadia Orla,"Hotel incrível, super preparado para receber pessoas de todas os lugares. Recepção incrível. Hotel extremamente cheiroso. Café da manhã incrível. Equipe sensacional, com destaque para a Marcela, integrante da equipe, que com seu carisma e elegância pode nos orientar em nossas demandas. Todos são extremamente educados. Os quartos são muito limpinhos, e as camareiras estão de parabéns. Sem dúvidas não há como colocar pontos negativos já que tudo que é oferecido brilha aos olhos. A área do décimo terceiro andar proporciona uma vista panorâmica para toda Copacabana. Vista linda, hotel perfeito, e equipe sensacional"
12 de dez.,4,"usei pouco do hotel, mas atendeu perfeitamente","já fiquei com vista para o mar é muito bom, piscina na cobertura, vista privilegiada,      uma variedade no café da manhã. atendentes solícitos e muito educados.  ficarei novamente hospedada agora em dezembro novamente pela localização e todos os custos benefícios,    me atende muito ."
9 de dez.,5,MARAVILHA,"Tivemos um upgrade, na nossa acomodação, como o quarto só tinha cama de casal, fomos atendidos, por uma camareira maravilhosa, que colocou mais uma cama no quarto. Quarto e banheiro confortável e limpos, localização do hotel maravilhosa, funcionários altamente capacitados e atenciosos. Só faltou no café da manhã colocar alguma raiz, tipo inhame, mandioca ou batata doce."
8 de dez.,5,Hotel com excelente qualidade,"Hotel com ótima localização, pessoal gentis, quarto limpo e organizado. Café da manhã com excelente qualidade, e o pessoal de apoio prestativos e atenciosos.  Preço praticado não elevado, aspecto físico do hotel bem conservado.  Nos concederam um quarto de frente para orla de Copacabana proporcionando um excelente visão."
5 de dez.,5,Excelência em hospitalidade,"10 em tudo, cordialidade, limpeza, localização e a simpatia de todos colaboradores. Sempre que venho ao Rio de Janeiro, hospedo-me no Orla, tão pela sua estratégica localização como pela estrutura do hotel, com quartos espaçosos e super bem funcionais, assim como a limpeza impecável"
3 de dez.,5,Excelente,"Nossa experiência foi incrível, gostaria de frisar a Marcela que foi cordial e ética nos fazendo nos sentir seguros e com a certeza que escolhemos o melhor Hotel para desfrutar nossos dias.  Tudo maravilhoso e encantador, a vista do Hotel é incrível, serviço de quarto, limpeza, organização, sem palavras quanto a educação dos funcionários, desde o momento de chegada prontamente capacitados para auxiliar. Nos ajudaram m sanar dúvidas, momento de checkout solicitaram táxi de confiança do hotel e tudo isso faz diferença, já temos nosso destino e hotel preferido."
1 de dez.,5,Otimo,"Foi uma experiencia muito legal, as persoas que trabalhan lá são atentas e agradaveis, em especial Marcela. Foi de muita ajuda para obter aderesos, restaurantes para comer e lugares para visitar. Ella foi de grande ajuda para nossas necesidades."
