Data da opinião,Nota,Título,Conteúdo
16 de dez.,5,Detalhes que fazem a diferença,"Delicia de hotel, frente da praia, check in super rápido e quarto espaçoso… peguei a suíte com vista pro mar e valeu a pena. A caipirinha do bar do lobby feita pelo Jackson é tudo de bom (cachaça magnífica)! Fez a diferença na minha chegada ao Brasil juntamente com o bolinho de bacalhau também servido no bar do lobby. Só vai."
nov. de 2022,4,Ótimo hotel na Barra,"Hotel com instalações ótimas e bem localizado na Barra da Tijuca. Participei de evento de trabalho que o hotel suportou muito bem. Equipe solícita, mas o check in e check foram muito demorados. Café da manhã excelente. Quarto confortável. Deixou a desejar o sistema de ar condicionado do quarto que não estava ajustando a temperatura e fazia um barulho alto quando ligava e desligava, atrapalhando durante a noite."
nov. de 2022,5,"O Windsor Barra ""Rio continua lindo"".","Tudo no Windsor Barra é feito para você se sentir acolhido. Destaque máximo para o atendimento, que é cortêz desde o manobrista, até o Gerente, atendentes da recepção e café da manhã. Fui com um grupo grande de crianças, para um evento esportivo e o atendimento perfeito se estendeu. Utilizo aqui das figuras do Hugo e Julio para parabenizar toda a equipe. Sobre os quartos: são muito espaçosos, claramente é um desenho mais antigo, mas estão reformados e com cara de novos, acolhedores e ainda tivemos diversos mimos. Ponto alto da estadia é o café da manhã, completo e sem defeitos, o café servido da mesa é de muita qualidade e com muita cortesia, e o bifê conta com mimos como pain au chocolat e croissant, presunto parma e queijo brie, além das famosinhas tapiocas feitas na hora e omeletes.  Camas muito boas, serviço de limpeza impecável, o hotel fica pertinho da praia e tem uma entrada separada,com local para lavar os pés, para a gente não entrar cheia de areia no meio do pessoal de terno.  A piscina é boa, mas acaba sendo bem concorrida pois a vista é magnífica (o Rio de Janeiro continua lindo!). Academia é pequena, mas atende ao propósito de academia de hotel.  Enfim, experiência maravilhosa e fica registrado como ""melhor hotel do rio"" dentro das minhas avaliações."
nov. de 2022,5,"Windsor, opção de qualidade","Piscina e saunas muito boas. Serviço de quarto mediano com refeições razoáveis. Funcionários atenciosos, ótimo café da manhã, bem variado. Local bem servido de táxis e seguranças na portaria e no entorno do hotel."
nov. de 2022,5,Ótimos,Um hotel muito bem localizado e com boa estrutura . Funcionários do hotel muito educandos . Café da manhã excelente . Limpeza muito bem feita ! Apartamento de frente ao mar tem pequenas janelas em relação ao tamanho da parede . Foram dias de muita paz. Voltaremos
nov. de 2022,5,Hotel em frente a praia,"Fiquei um dia em evento apenas. O quarto é muito grande, confortável e limpo. Banheiro atende bem também.  O café da manhã é almoço são muito bem servidos.  A piscina no terraço é muito boa.  Única coisa que faltou foram cápsulas da cafeteira no quarto.  Os funcionários são bem solícitos. Pretendo voltar com a família."
nov. de 2022,3,Bom hotel para convenções,"O hotel localiza-se na Barra junto a outro da mesma rede que é o Windsor Oceânico, com enorme Centro de Convenções. Fica em frente à praia da Barra. Tem academia pequena mas funcional, bela vista do terraço, restaurante com buffet de comida variada mas nada excepcional. Meu quarto no 3o andar era muito barulhento, próximo aos salões de convenção. O Frigobar tinha sido retirado e o ar condicionado não funcionava muito bem. Apesar destas observações o quarto era espaçoso"
out. de 2022,5,Hotel maravilhoso!,"A experiência foi melhor do que eu esperava. Serviço incrível, café da manhã impecável com muitas variedades. O quarto amplo, chuveiro forte e quente. Peguei um quarto simples porém quando cheguei, tinha banheira. Ar condicionado central é vista pra praia. Zero reclamações uma pena que eu fiquei só 2 noites."
out. de 2022,5,Excelente. Voltaremos,"Atendimento impecável em todos os momentos. Frederico foi muito prestativo assim como todo o staff. Café da manhã de qualidade incomparável: presunto de Parma, brie, frutas variadas, diversos pratos quentes e doces, além da possibilidade de pedir ovos/ tapioca/ crepes com recheios variados. Diversos sucos naturais. Hotel grande com muitos hóspedes mas o salão não pareceu bagunçado ou com falta de algo. Quarto não eh novo mas eh muito bom, com um chuveiro excelente, cama King, ar potente. Além disso, de frente para a praia. Eh só atravessar a rua. Ao lado tem um restaurante italiano muito bom e bem próximo outro. Não tem muito comércio em volta mas isso para nos foi ótimo. A praia na frente eh da Barra: limpa, segura e linda porém um pouco difícil para banho por ser fria e bem batida. Logo ao lado tem as bikes do Itaú que usamos muito para passear na orla. Achei a experiência extremamente positiva para o valor pago ( por volta de 500 reais a diária). A piscina no rooftop eh pequena mas muito gostosa com uma vista linda. Para ficar perfeito, o hotel poderia ter cadeiras e guarda sol na praia, para se ter melhor qualidade dos itens, além de não ficar refém de pagar por elas todos os dias ( eh apenas 30 reais = 2 cadeiras e um guarda sol, mas mesmo assim). Só percebi esse serviço no grande hyatt ali na mesma orla portanto acho que não eh comum na região."
set. de 2022,4,Comemoração,"Gostei do hotel com ressalvas, ficamos só uma noite, localização excelente na Barra, café da manhã muito bom mais o serviço a mesa um pouco confuso. Chek in e chek com péssimo atendimento, ficamos na fila 50 minutos para sair, serviço de manobrista também terrível, meu marido foi buscar o carro no estacionamento , já estamos a 30 minutos esperando e não tinha solução."
set. de 2022,5,Hotel maravilhoso,"O Hotel é sensacional. Mto bem localizado, na frente da praia. Tem farmacia,restaurantes, lanchonetes e mercados brm perto.O Café da manhã é completo e mto variado. O atendimento dos funcionários é incrível, são todos extremamente educados e atenciosos."
set. de 2022,1,Propaganda enganosa e péssimo serviço,"Fiz a reserva pelo booking. Na foto uma linda piscina com borda infinita pro mar, na realidade uma piscina bem menor com vista pro morro.    Pedi talheres, tive que ligar 4 vezes no room service, depois de 40 minutos me entregaram 2 colheres. Liguei na recepção pra reclamar e depois de mais 10 minutos entregaram. Demorou mais que a própria comida do ifood."
ago. de 2022,3,Não vale a pena o custo - benefício,"O hotel é bom, mas longe do preço que pedem. Os atendentes são cordiais, o quarto é aparentemente limpo, apesar de algumas crostas vistas no banheiro. As toalhas estavam desagastadas (uma eu achei até que era tapete, mas era toalha de rosto). O quarto era alto, e, mesmo assim, para dormir, tínhamos que fechar a janela, pois os quiosques da praia funcionam a noite toda. Sem chances de dormir apenas com o barulho do mar. A cama é ok. Políticas do hotel, simplesmente uma lástima… Pedem 9 reais em uma água comum de 300 ml, que se acha por menos de um real no supermercado da esquina; COBRANÇA PARA USO DE TALHERES NO QUARTO (meu Deus, que horror! Nunca vi isso!!!), ar condicionado das áreas comuns CONGELANDO, mesmo no período de inverno. O café da manhã é bem servido, em um horário bom. Pontos positivos: boa quantidade de Táxi/ Uber, possibilidade de fazer atividade física na praia. Mas, daria, no máximo, 3 estrelas."
ago. de 2022,4,Estadia agradável,"Durante quatro noites desfrutamos este agradável hotel. Check in & out transcorreu normalmente. Quarto amplo com cama de casal de bom tamanho e muitos travesseiros. Banheiro grande um pouco antigo, precisando de uma renovada, mas chuveiro excelente com box fechado. Café da manhã muito bom com excelentes opções; almoço tipo bufet com preços praticados na cidade - jantar parece ser a la carte. Staff nota 10. Se não for de carro melhor utilizar táxis oficiais, pois os “ubers” oferecidos cobram caro."
ago. de 2022,1,O Windsor Barra é a mistura de hotel velho sem manutenção com poucos e ruins funcionários! Um verdadeiro pesadelo!,"Decidimos passar um dia e uma noite no hotel para celebrar nosso aniversário de casamento. Escolhemos um bom quarto, com hidromassagem. E foi aí que os problemas começaram. Ao tentar tomar banho, o chuveiro do nosso primeiro quarto do nada parou de sair água.    Acionamos a recepção, alertando para nossa curta estadia e necessidade de rápido atendimento. Ao que parece encaminharam para manutenção que depois de horas não havia aparecido. Seguimos insistindo e sem ninguém aparecer pedimos para trocar de quarto.    Novamente muito tempo de espera para troca de quarto. Já no novo quarto mais problemas e ninguém aparecendo para tratar.    Nossa paciência acabou e nossa celebração também. Pedimos o estorno do cartão e fomos para casa. O hotel conseguiu acabar com um evento que montamos com muita dificuldade. Temos 3 filhos, tivemos que providenciar pessoas para ficarem com eles, ajustar agenda de trabalho, para no final sairmos frustrados e revoltados.    Não se hospede no Windsor Barra Hotel."
ago. de 2022,4,Ótimo custo benefício.,"A estrutura é muito boa para o preço, e finalmente um room service que tem um bom espumante na carta de bebidas. O controle da ambiência do quarto não estava bem calibrado. Marcando 22 graus o quarto parecia um forno. A piscina é seu serviço é ok, mas o bar fecha muito cedo nos dias de semana."
