Data da opinião,Nota,Título,Conteúdo
nov. de 2022,5,voltaria!,"Solicitei algumas estadias no hotel para colegas de trabalho que viriam ao Rio para um evento, e rapidamente os funcionários se prontificaram para me atender, principalmente a supervisora Ana que foi muito prestativa. Todos os serviços e atendimento estavam muito bons. Com certeza eu voltarei a utilizar o hotel!"
nov. de 2022,5,elogio pra atendente fernanda,"Gostaria de agradecer a atendente fernanda pelo cuidado e dedicação com os clientes, toda sexta feira vamos almoçar com a equipe do trabalho e ela sempre muito simpática, solícita nos atende com muito carinho e atenção"
out. de 2022,3,Ideal para uma noite,"Perfeito para uma noite, se vc tem uma  Reunião na região e precisa de uma noite eu recomendo. Para longas estadias não pela limitação de recursos q o Íbis oferece. Atendimento gentil e alguns bares próximos ao hotel. Evitar andar sozinho a noite ou com objetos de valor a mostra"
out. de 2022,2,Desagradável momento,"Melhorar o controle dos pagamentos previamente realizados.  Ao chegar olhada o desjejum, fui obrigado a assinar uma nota de débito por algo já pago no check-in, sendo constrangido perante pero hospede e meu próprio filho. Inaceitável.  Maior atenção na revisão da higiene  Ao chegar no quarto e necessitar recarregar o telefone, fui surpreendido com com a presença de uma embalagem violada de preservativos no chão."
out. de 2022,2,Atendimento e condições do apartamento,"Durante minha estadia percebi alguns problemas. Paguei um valor alto na diária e quando adentrei o apartamento vi que o quarto estava em péssimas condições, sujo. O IBIS não possui serviço de quarto e poucos atendentes o que causou muito transtorno no propcesso de checkin e checkout"
out. de 2022,3,"Atendimento ótimo, mas limpeza a desejar","Nada a dizer sobre o atendimento de todos os funcionários, do checkin ao restaurante, e também às camareiras. A ducha é ótima. Minhas críticas são: o espelho do banheiro estava completamente sujo quando eu entrei no quarto, com gotas de pasta de dente, não tinha sido limpo. O cofre do quarto estava quebrado. O wifi não funciona. Não ter nem uma água no frigobar, é bem complicado pra quem precisa tomar remédios, como eu. Água no quarto é fundamental."
out. de 2022,5,A Fernanda é a melhor atendente/ garçonete da vida!,"comida maravilhosa , assentos confortáveis, ambiente ótimo e a Fernanda atende muito bem, sempre preocupada com nosso bem estar. Acho que deveriam manter o desconto de 10% para as empresas do bairro no almoço"
out. de 2022,1,Começamos mal!,"Nunca tinha visto,em outros hotéis,em outros países, ficar UMA HORA NA FILA PRA FAZER CHECK- IN! Total falta de respeito! Ah! E também não tem atendimento preferencial,que é lei!!!! Começamos muito mal 😡!! Não recomendamos!"
out. de 2022,5,Excelente atendimento,Excelente atendimento da equipe de café da manhã! Super atenciosos e educados. Voltarei sempre! Custo benefício também atrai o cliente. E ótima localização do hotel. Ambiente muito organizado!!! Recomendo
out. de 2022,4,Estadia a trabalho,"No geral o hotel é bom, a limpeza que poderia ser melhor (a troca de toalhas acontece com frequência muito baixa).  O café da manhã é bom e possui muitas variedades.  Os funcionários no geral são simpaticos."
out. de 2022,5,Pernoite,"Pernoite bem agradável e hotel muito bem localizado. Queremos registrar o atendimento na recepção do Lucas, bem como a tapioca napolitana da Fernanda e o carinho da Dayana no café da manhã. Essa equipe é maravilhosa! Parabéns."
set. de 2022,5,Ibis Botagogo RJ,"Pessoa MUITO simpático! Bemm diferente da atenção em outros hotéis. Clarissa, do restaurante, sempre atenciosa, Fernanda também! Acho justo elogiar os bons funcionários! O restaurante tem um café justo, bem feitinho. Ambiente limpo e comida constantemente reposta.  A única parte chata são as tomadas 220! Eles oferecem transformadores mas só podemos ficar por 2h, o que dificulta um pouco o manejo das coisas!"
set. de 2022,4,Café da manhã Ibis Botafogo,"Fui tomar meu café da manhã de aniversário no Ibis Botafogo. Excelente custo benefício, razoavelmente sortido. Reposição sendo feita mesmo próximo ao final do horário indicado para o serviço. Mas o melhor foi o abraço apertado, gentil e espontâneo da funcionária Clarissa quando, ao me avisar sobre a disponibilidade de uma mesa, soube que era meu aniversário! Um presentão!"
set. de 2022,5,Excelente localização,"Foi uma excelente escolha a nossa ter optado pelo Ibis Botafogo em nossa última viagem ao Rio de janeiro na ocasião do Rock in Rio.  O hotel é super bem localizado, fica a dois minutos do metrô e conta com várias opções de entretenimento e lazer próximos.  O atendimento da Elaine foi impecável. Nos auxiliou desde o checkin, com sugestões de lazer próximos e realmente se preocupou em tornar nossa hospedagem mais agradável ainda.  Amo e super recomendo todos os hotéis da Rede All Accor pelo padrão impecável de atendimento."
set. de 2022,3,Localização ótima mas falta de treinamento,"O hotel tem excelente localização e estrutura, mas falta treinamento na equipe e tem problemas no sistema do hotel. Assim que cheguei, me falaram qmeue minha reserva estava sem café da manhã. Mesmo avisando que minha reserva era com. Mostrei a reserva e aí sim foram conferir e o sistema estava errado, afirmaram que iriam atualizar e que iriam liberar no restaurante. Mas fui barrado no outro dia no café da manhã e me enviaram novamente para recepção para resolver isso.    Fora esse problema, no checkin eu quis fazer parte do pagamento e pontos e o sistema estava apresentando falha. Tenho status gold e sou cliente fiel da Accor e mesmo assim não liberaram o quarto para mim. Depois de 1h10 esperando na recepção e que eu eu comecei a reclamar liberaram o quarto, mas falaram para que EU ligasse para accor resolver isso. Liguei para o suporte e a resposta foi a que eu imaginava: O Hotel que deveria ligar para o help desk. Informei isso a recepção e mesmo assim sugeriram novamente horas depois que eu ligasse para o suporte. Sei que essa não é a experiência All, então fiquei incomodado com essa postura.    O café da manhã apesar de limitado também tem boas opções, mas gostaria de deixar um ponto de melhoria: não existe sinalização clara de cada prato. Peguei alguns alimentos como: Omelete, Bolo de arroz entre outros e não avia nenhuma sinalização que avia carne (bacon, presunto, etc) no alimento. Eu sou vegetariano e só descobri que tinha carne ao provar.    Espero que o hotel invista em treinamento para associados All e que em uma próxima visita esses pontos sejam resolvidos."
set. de 2022,5,Hotel com excelente localização e custo benefício,"Hotel tem uma ótima localização, quarto limpo e aconchegante, café bom, mas não é tão completo. Somente o atendimento da recepção que deixou um pouco a desejar… Não utilizei o bar do hotel, mas parece ser bom!"
set. de 2022,4,Boa estrutura,"Boa estrutura, quarto pequeno mas funcional.  Restaurante maneiro.  Quem leva cachorro fica no primeiro andar somente, não pode andar com o cachorro no hotel, só com ele no colo.  Os funcionários são simpáticos.  Não existe um espaço no hotel que seja só para trabalho, somente no restaurante ou no bar que da para sentar, mas é muito cheio. E no quarto, a cadeira é desconfortável.    Achei o valor um pouco acima da média para o que oferecem."
set. de 2022,5,Excelente Atendimento,"Quero ressaltar o atendimento da funcionária Elaine na recepção, que fez de tudo para um perfeito acolhimento. Hotel excelente com preço justo e ótima localização. Parabéns rede Ibis! Parabéns funcionária Elaine do ibis hotel Botafogo"
ago. de 2022,5,Ótimo atendimento,"Atendimento do Ibis Botafogo é sempre excelente! Me sinto em casa já, pois sempre me hospedo com eles.  Todos da recepção são maravilhosos e dessa última vez fui recebida pela Gleyce, que sempre é super atenciosa!"
ago. de 2022,5,Agradável experiência e surpresa positiva em Botafogo,"O hotel tem instalações boas, o serviço é muito bom, com excelente relação custo x beneficio.    O café da manhã é muito bom, variedades de itens em quantidades satisfatórias de frutas, pães, frios e bebidas.    O bar do hotel funciona 24 horas por dia e é excelente suporte para lanches e bebidas.    Há estacionamento conveniado no subsolo, por valor diário justo.    O quarto é pequeno, no padrão Ibis, mas atende bem.    Banheiro funcional, com ótima ducha.    Cofre seguro para colocar notebooks grandes inclusive.    Há algumas pendências de manutenção de pintura de paredes e estofamento dos mobiliários de apoio no quarto, mas nada que comprometa tanto a avaliação geral das acomodações."
ago. de 2022,5,Lugar confiável,"Como sempre fui muito bem recebido pelo hotel. A funcionária GLEYCE foi excelente pra resolver meu problema de hospedagem, pois havia chegado de última hora. Recomendo muito virem pra cá.  Estava no aeroporto Santos Dumont e fui no Ibis e no Novo hotel, ali pertinho, como estava com roupa comum (calça de abrigo, tênis e uma mochila apenas, pois meu vôo retornaria no mesmo dia) os atendentes me olharam, em ambos, de cima a baixo e só faltaram me correr de dentro da recepção. Peguei um táxi e vim pro IBIS BOTAFOGO - é outro nível de tratamento, incomparável. IBIS BOTAFOGO sempre daqui pra frente."
ago. de 2022,4,Recepção nota 10,"Quero deixar registrado o atendimento gentil e profissional dos funcionários da recepção Gleyce e Lucas e das reepcionistas do restaurante.  No mais, o hotel é bem bom em sua proposta.  Houve um dia que o qto não foi arrumado."
jul. de 2022,5,"Ótima estadia, muito bem localizado, atendimento de qualidade, quartos confortáveis e limpos; café da manhã muito bom!.","Tivemos um ótimo atendimento, quartos muito confortáveis e um ótimo café da manhã. Atendentes super educados e prestativos, ótima localização em termos de segurança e perto de diversos restaurantes, mercados, farmácias. Perto da praia de Botafogo (ótima para passear, correr, ficar na areia. É impropria para banho). Super recomendo"
jul. de 2022,5,Agradecimentos e homenagens.,"Agradecimentos a Todos desde a recepção.  A Funcionária Paloma,da recepção como sempre impecável, simoatia cortesia, atendimento especial.  A Zuleide na limpeza do Quarto. Maravilhosa, atenciosa.  As refeições, nossa a Equipe da Cozinha, esta muiiito boa.  Do café ao jantar. Tudo muito farto, bem feito. Obrigada Aline no refeitório."
jul. de 2022,2,De Excelente a Ruim em questão de horas,"Chegamos a noite para a hospedagem, a Milena foi totalmente atenciosa e solicita, nos recebendo muito bem.  O encanto foi acabando a partir daí. Durante a noite, tiveram gritos agressivos no corredor e a recepção não atendia o telefone.  No retorno do passeio, na hora do check-out, o atendente Renato não foi nada amigável e totalmente diferente da Milena. Não indico nem retorno."
jul. de 2022,5,Hotel Ibis Botafogo,"Excelente localização. Restaurantes, metrô e shopping muito próximos. Excelente atendimento da funcionário Gleyce da recepção. Viemos regularmente ao Rio e sempre nos hospedamos neste hotel. Recomendo muito."
jul. de 2022,5,"Local equidistante da zona sul, centro e outros bairros.",Estacionamento no próprio hotel. Metro próximo  Fácil de chegar e sair.  Restaurante nas proximidades  Café da manhã bem variado  Até a pouco tempo não dispunha de central de reservas. Ficou bem mais difícil ser atendido pela Central. Segundo a recepção é melhor não digitar 1 pois assim a ligação cai no próprio hotel
jul. de 2022,5,"Aline, do Restaurante","Aline, que atende no restaurante é um amor.  Super atenciosa, educada e prestativa.    Gostaria de deixar meus parabéns também para a camareira Sônia. Maravilhosa. Toda a equipe muito simpática e prestativa.  Parabéns para todos!"
jul. de 2022,5,Ótimo hotel,"Hotel novo, funcionários educados. Ótima experiência. Desde a chegada, fui muito bem atendido, a recepcionista foi gentil, perguntou a preferencia de andar (alto ou baixo). Em relação ao check-out, não durou segundos."
jun. de 2022,5,Atendimento excelente no check in,"A atendente Glayce foi rápida, precisa e simpática acessando os dados para uma entrada ágil e agradável do hóspede.  Já me hospedei várias vezes e desta vez o atendimento realmente me chamou atenção. Gosto da localização e do custo benefício.  Parabéns"
jun. de 2022,5,Excelente,"Excelente acomodação com os funcionários completamente preparados e muito atenciosos. Café da manhã excepcional , quarto muito bem feitos com isolamento acústico e ótima localização na região de Botafogo"
mai. de 2022,5,Excelente custo benefício,"O hotel tem uma excelente localização (muito perto do metro) e funcionários muito atenciosos. O café da manhã é bom e está mais diversificado. O rapaz que me atendeu no café foi maravilhoso, além de atencioso fez o sanduíche com todo carinho, parece que ele viu que eu não estava bem! Nâo me recordo do nome dele mas gostaria que essa mensagem chegasse ao mesmo."
abr. de 2022,4,Eficiente,"O hotel mantém seu padrão, sempre confiável em relação aos serviços, com preço acessível. Atende bem pequenas estadas, caso não haja necessidade de se ter à disposição grandes infraestruturas.  Nesta ocasião, pequena observação cabe ao serviço de limpeza do quarto, que em um dos dias tive que solicitar para que fosse efetuado."
abr. de 2022,4,Tradicional,"No nível.dos hotéis da rede. Sem nenhum plus mas tudo dentro dos padrões de uma boa acomodação.  Pra quem vai a negócios, próximo do centro do Rio e consequentemente próximo ao Santos Dumont!  Recomendo para curtíssima estadia."
abr. de 2022,5,Ótimo atendimento,"Fiquei hospedada no hotel para uma viagem a trabalho e recebi um ótimo atendimento já no check-in.    A Milena, que me atendeu, foi super simpática, paciente e me ajudou a resolver a um problema que tive na minha reserva que, por motivos externos, não estava válida quando cheguei. Ela explicou o ocorrido e acompanhou o caso até o final.    Ótimo atendimento!"
abr. de 2022,4,Atendimento,"Muito bom atendimento do hotel e de seus funcionários . (Gleyce) , venho com frequência, para este hotel e sempre sou bem atendido. Quarto sempre limpo, estrutura com mesas para trabalho e chuveiro a gás."
abr. de 2022,5,Atendimento nota 10,"Trouxe um grupo para trabalhar no Rio e fomos muito bem atendidos pela equipe da recepção que foi muito atenciosa com todos. A Milena foi especial e muito gentil com todo o grupo. Amamos, vamos voltar nos próximos trabalhos aqui na cidade."
abr. de 2022,5,Ótimo atendimento,"Fui recepcionado pela Gleyce e sempre que venho ao Rio, fico no Ibis Botafogo.  Atendimento Top de todos que lá trabalham.  As refeições servidas também são muito boas. Enfim, ótimo atendimento de todos que lá trabalham."
abr. de 2022,4,Ótimo custo benefício,"Já fiquei duas vezes nesse hotel e ficarei outras vezes. Segue a proposta Ibis, sem luxos e com ótimo custo benefício.  Dá pra ir a pé até a bons restaurantes do bairro e aos dois shoppings ( o Rio Sul é mais longe e tem que passar por uma passarela subterrânea). Também é bem próximo ao metrô."
abr. de 2022,5,Adoramos,"Fui com minha equipe de trabalho e fomos muito bem atendidos por todos os funcionários. Bem queridos e atenciosos. Gleyce, Monique, Milena, Diego, Mércia, Clarissa, Jefferson, David, pessoal do café, da limpeza e do bar. Valeu!"
mar. de 2022,5,"Tudo excelente, atendente excelente…","Chegamos no hotel a atendente foi muito solicita, muito educada, me ajudou a solucionar um impasse nosso.  Tudo excelente…vocês tem que ter mais Milena no atendimento.  Limpeza excelente  Estadia excelente  Localização excelente  Atendimento excepcional, nota mil para Milena."
mar. de 2022,5,Boa localização e quartos silenciosos,"Atendimento prestativo da Gleyce, check-in muito rápido. Bem localizado no bairro e os quartos são mais silenciosos que outros da rede Ibis. Estacionamento é amplo, mas o valor da diária é elevado, padrão zona sul do Rio."
mar. de 2022,4,Prático e confortável,"Prático, funcional, bem localizado e perto de tudo com funcionários atenciosos. Excelente para estadias curtas e viagens de negócios ou de família. Limpo e com boa opção de café da manhã. …………………………………………. …………………………………………………………………."
