Data da opinião,Nota,Título,Conteúdo
13 de dez.,5,Atendimento,"Excelente atendimento, os funcionários super prestativos, café da manhã muito bom, bem completo e sempre com funcionários à disposição o quarto atende as expectativas e são bem limpos, academia e bares legais."
mar. de 2021,5,Atendimento nota 19,"Estivemos no Hilton Barra, durante a pandemia, em um período de bastante restrições na cidade, o que fez com que ficássemos, de fato, bastante tempo no hotel.  Já na chegada formos recepcionados pelo Sr. Alexandre. Atendimento que deveria ser referência em recepção de qualquer hotel que se preocupe com os hóspedes. De simpatia ímpar, e de forma delicada, Sr . Alexandre entendeu nossas necessidades e nos colocou num quarto com melhor vista (já que íamos ficar a semana inteira “presos” no hotel), além de ter nos ofertado internet de alta velocidade (pq relatamos que estaríamos trabalhando durante o período). Irretocável.  Por estar num quarto executivo (Honors), temos acesso ao lounge (que foi essencial pro nosso teletrabalho) e aí happy hour diario. Neste happy hour diario tivemos a honra de ser atendidos pela equipe do bar que, mais uma vez, foi de atendimento impecável: Cássio, com um sorriso no rosto que “quebra qualquer barreira”. Sempre incansável, pronto a atender todos nossos pedidos. Também Josimar, com sua alegria contagiante!! E nick com uma simpatia incrível e dedicação exemplar.  Não podemos deixar de mencionar o moço responsável pela piscina (infelizmente esquecemos o nome dele). Também sempre alegre, prestativo, fazendo todo o possível pra tornar o ambiente ainda mais agradável.  O café da manhã é bom é bem servido (a rabanada é um caso de amor à parte).  Os quartos são espaçosos e confortáveis. Cama boa, roupa de cama gostosa e o Blackout está super de parabéns: a primeira vez que vejo um blackout de hotel realmente eficiente (acho q são umas 4 cortinas).  Infelizmente por conta da pandemia a van para a praia não estava funcionando .  O hotel tem observado os protocolos de higiene e cuidados com a covid , com maestria.  Muito bom. Com certeza votaremos ."
8 de dez.,5,Levarei para vida inteira,Quarto bem aconchegante e limpo.  Funcionários muito atenciosos.    O colaborador do bar da piscina Wagner muito educado e prestativo    Café da manhã muito bom com viárias opções    Localização também é muito boa
6 de dez.,5,Retor certo!,"Ele entrou na minha lista de preferência, bem localizado, quarto espaçoso, confortável, banheiro espaçoso. Café da manhã com muita variedade, delicioso, pessoal muito atenciosos e pronto para ajudar. Recomendo"
nov. de 2022,5,HOTEL EXCELENTE,"Hotel bem localizado na Barra, RJ, acomodações excelentes, com enxoval muito confortável, atendimento bastante acolhedor e eficaz, serviços de restaurante e bar adequados. Certamente continuará sendo a melhor opção nos próximos retornos"
nov. de 2022,5,Serviço mais atencioso que já experimentei,"O serviço do hotel é nota 1.000! Todos foram extremamente atenciosos. Quarto muito confortável, ducha boa. Dois únicos pontos a observar: por ficar em Jacarepaguá, o hotel tem muitos pernilongos, incluindo nos quartos (poderiam dedetizar com mais frequência); o menu carece de pratos leves (um dia passei mal e a única coisa que poderia comer disponível era uma canja). Mas chegaram a me levar água de coco nesse dia, mesmo não fazendo parte do cardápio."
out. de 2022,5,Recomendo a estadia no hotel .,"Passei o ano novo , no hotel com minha família , contratamos a ceia de ano novo , e tinham mais 2 festas para quem gosta de curtir algo até mais tarde , pagos a parte , o hotel é muito bonito , teve uma queima de fogos do lado de fora, qdo chega 00. O café da manhã estava incluso , curtimos a piscina durante o dia , que fica na cobertura , recomendo o hotel, o serviço e os funcionários muito bom o atendimento ."
out. de 2022,5,Padrão de alto nivel de hotel,"check in rápido e bem orientado, quarto limpo e com boa ventilação, restaurante com boa comida serviço um pouco demorado, café da manhã bom, fitness de bom padrão, serviço de quarto (alimentação) rápido e de bom padrão"
out. de 2022,5,Hotel extremamente aconchegante.,"Hotel extremamente aconchegante, fomos muito bem recebidos desde a recepção no check-in, até nossa partida. Passamos 4 noites e os quartos são bem confortáveis. O restaurante é muito bom, apenas um pouco demorado, mas a comida é muito boa. Tem um shopping praticamente colado ao hotel, o que ajuda muito. Nossa estadia foi excelente e esperamos retornar em breve. A piscina fica no 9º andar e no dia que fomos dar uma olhada ela estava aquecida, numa temperatura excelente."
out. de 2022,5,Perfeito!,"Simplesmente perfeito! Meus filhos são apaixonados por esse hotel, tem uma recreação legal para as crianças, a festa já começa na recepção quando as crianças começam a colori, O hotel é ótimo e fica ao lado do shopping. Os quartos são amplos e bem ventilados, o atendimento é espetacular, café da manhã fantástico, nota 10."
out. de 2022,5,Excelente!,Hotel ótimo ! quarto lindo e limpo. impecável o atendimento e limpeza do hotel. Café da manhã dos sonhos. Indico e e já me hospedei várias vezes.A piscina no terraço é um painel ao por do sol. Ano novo bem animado.
