Data da opinião,Nota,Título,Conteúdo
nov. de 2022,4,Muito bom,Atendimento muito bom Hospedagem muito boa Limpeza muito boa Ótimo café da manhã Ótima localização Pertinho da praia Funcionários muito agradável Meninas do café estão de parabéns ótima cordialidade Melhorar só o elevador Poderia colocar peloumenos água no frigobar Evitar o hóspede ter que ir na recepção
nov. de 2022,4,Bom para uma hospedagem rápida,"Para um Ibis, me surpreendeu. Quartos novos, amplos. Demais serviços todos padrão Ibis. Café da manhã bem completo. Além disto o restaurante não funciona nem para almoço ou para jantar. Só ifood! Fica a 3 quadras da praia, uma caminhada bem tranquila. A região é parecida com outros lugares do Copacabana, muitos pedintes, pessoal dormindo na rua, etc."
nov. de 2022,5,Excelente,"Localização muito boa! Quarto confortável, cama grande, ducha do banheiro é maravilhosa. Comida do café com coisas de qualidade e muita variedade. Pessoal do hotel muito simpáticos, educados e prestativos, os deixaram guardar as malas antes do check-in e após o check-out para que pudéssemos aproveitar a praia. Também emprestam toalhas. Nota 1000"
out. de 2022,5,Ótima localização e café da manhã,"A localização do hotel é excelente, onde, em poucos quarteirões é possível chegar a praia. Ja me hospedei no hotel e notei uma melhora no café da manhã, com muitas opções e qualidade. Quanto excelente e ótimo atendimento na recepção. Vale a pena a hospedagem."
set. de 2022,2,Muito abaixo do padrão Ibis,"Ar condicionado deficiente, mesmo para uma primavera chuvosa. Imagino como deve ser no verão. Cama tamanho standard, não a queen que é padrão na rede Ibis, com colchão duro. Barulho de goteira constante no exaustor do ar-condicionado. Encomendei uma pizza para comer no hotel, como sempre faço. Fui pedir pratos e talheres na recepção e para minha surpresa só me deram guardanapos e talheres de plástico. Sempre me deram pratos e talheres de verdade mesmo no Ibis BUDGET, mais barato e supostamente com uma estrela a menos. Em resumo: muito abaixo do padrão Ibis, inclusive neste mesmo hotel, onde me hospedei uns 2 anos atrás. Só que isso foi antes da Accor terceirizar este aqui. É bom eles abrirem o olho porque esses ""franqueados"" vão jogar a marca no lixo."
set. de 2022,4,Bem localizado,"Próximo ao metrô e da praia, fácil acesso.  Atendimento cordial. Meu quarto no terceiro andar estava sem sinal de telefone e Wi-Fi, mas me trocaram de quarto.  Bom café da manhã. Ambiente moderno. Geladeiras precisam ser abastecidas no térreo."
ago. de 2022,5,Viagem a Copacabana,"Gostamos bastante da localização do hotel, conforto e também da organização do hotel. O café da manhã é muito bem servido, com bastante variedade e tudo muito bem preparado. A equipe do hotel foi sempre muito atenciosa e estou muito satisfeito por todo o serviço prestado."
jun. de 2022,5,Ótimo!,"Ótimo hotel e bem localizado. Funcionários muito solícitos e educados. Bom café da manhã e com variedade.  O quarto é bem confortável com boa infraestrutura, Smart TV e boa internet.  Várias opções gastronômicas ao redor.  Passei uma semana a lazer e foi uma ótima experiência."
mai. de 2022,4,localização perfeita,"Hotel tipo econômico por um preço justo e uma localização maravilhosa. Fiz tudo a pé... dois quarteirões da praia e na esquina tem um restaurante excelente com preço acessível. Café da manhã variado e bem servido. Porém, no segundo dia percebi que tudo era do dia anterior, pães, bolos.. aí ficaram meio secos. Banheiro pequeno, mas o suficiente, com chuveiro no teto maravilhoso, cama confortável com um edredom delícia... funcionários educados e solícitos. Voltarei!"
mar. de 2022,4,Boa opção em Copa,"Hotel tipo econômico em Copacabana, por um preço justo, localização muito boa, ao lado do metrô, comércio, e próximo a praia  Café da manhã muito bom, funcionários atenciosos, quarto simples mas ok, banheiro um tanto pequeno mas funcional, tv e arcond ok, wifi muito bom."
mar. de 2022,4,Equipe do hotel nota 10,"Hotel muito limpo, com os funcionários cordiais, simpático e sempre pronto ajudar. O quarto por mais que seja pequeno bem equipado e confortável. Uma unica queix que tenho é sobre o ar condicionado do quarto, a noite ele não esfriou o quarto, nao sei se ficou ruim ou simplesmente nao deu vasao.  Mas recomendo o hotel. So ar condicionado fraco mesmo"
mar. de 2022,4,Ótima localização,"Café da manhã excelente, quarto confortável, ótima localização e equipe atenciosa. Só não gostei da prática do hotel de não fornecer toalha de rosto e lençol de cima, inconcebível para o nível da rede Accor."
fev. de 2022,4,Hotel atende as expectativas,"A empresa IBIS atendeu a todas as expectativas, quartos limpos, lençóis trocados constantemente, quartos isolados acusticamente, café da manhã normal padrão ibis RJ e o check-out sem problemas e muito rápido.  Um ponto negativo a destacar: eles podiam deixar mais explícitos os serviços e valores tal como bar da recepção, e as bicicletas que alugam dentro do hotel eu só soube no último dia e porque perguntei. Fica s dica, recomendo e volto."
jan. de 2022,1,Furto,"Fiquei hospedada no Íbis Posto 2, de 20 a 24 de janeiro de 2022, no quarto 860, e no dia 23/01/2022 constatei que o meu tênis havia sido furtado, até o presente momento (31/01/2022) estou aguardando o hotel concluir a ""investigação"" e me dar o retorno. Salienta-se que no dia anterior ao furto tive a sensação de que haviam experimentado a minha sandália, uma vez que não desafivelo as minhas sandálias do modelo ""rasteira"" e as encontrei desafiveladas. Já me hospedei anteriormente nesse mesmo hotel, bem como no Copacabana Budget, e essa foi a única vez que ocorreu tal situação. Por fim, o hotel tem o meu contato, aguardo solução."
jan. de 2022,4,Excelente custo-benefício,"Nos hospedamos na noite do reveillon no hotel e a estadia foi ótima.  Staff atencioso e prestativo.  Quartos recém reformados, com uma decoração moderna.  Café da manhã bom.  Localização a 2 quadras do calçadão de Copacabana  Vale a pena se hospedar nele para quem busca um hotel 3 estrelas e gosta do padrão Ibis"
