Data da opinião,Nota,Título,Conteúdo
2 de dez.,1,"Péssimo, com mau cheiro e mofado.","Hotel sujo, fedido, com armários caindo, a cama tinha um colchonete e não um colchão, banheiro cheirando a urina. O alarme de incêndio disparou 5 vezes durante a noite. Péssima noite e péssima experiência. Espera-se no mínimo um hotel limpo e com condições de se dormir bem, e de ter um banheiro limpo em um hotel, principalmente se tratando de um hotel de uma rede tão grande. Deplorável a situação deste hotel."
nov. de 2022,3,Hotel para quem quer passar a noite,"Foi a primeira vez que me hospedei em um hotel da rede Íbis. Não esperava luxo, pois isso não é o objetivo do hotel. Contudo, esperava uma qualidade um pouco melhor. Havia somente toalha de banho, não havia toalha de rosto. Um ponto que causou um certo transtorno foi o elevador, que demorava para acionar o sensor. O espaço do quarto era bom, contudo, a iluminação era horrível. O espaço do box do banheiro era extremamente pequeno, por isso tive um certo transtorno na hora do banho. Tinha somente um leve cobertor, ainda bem que não fez frio a noite. O café da manhã servido é muito bom. Não cheguei a comer no buffet livre. Pedi uma sopa no jantar do dia em que cheguei. A sopa estava totalmente sem gosto e foi servida com carne muito dura. Ao lado do hotel havia um ponto de táxi,…"
nov. de 2022,1,Hotel pessimo,"O hotel é horrível, tem um mal cheiro, sujo, a localidade ao redor é cheio de moradores de rua. Os elevadores ora funcionam ora não. Os quartos não são limpos, não trocam as toalhas de banho. A tv é baixa e dói o pescoço par assistir. O frigobar estava com problema."
out. de 2022,3,Funcinario,"Bom o hotel e bom os funcionarios e bem atenciosos Mai's tem um funcinario que bem chato e incoviniente ele para ouve as conversar dos hospede com as funcionarias (ate passou a vassoura no meu pe ) para ouvir o que eu ESTAva conversando sendo que ele nem tinha varrindo o resto do salao ESTAva perto do buffet isso no fim da cafe A funcionaria me pediu desculpa pelo ocorrido, Mai's ele nao saiu de perto ate eu terminar Minha conversar que nao era nada de Mai's Mai's e chato see sentir vigiado ,na hora do cafe ficar atras das pessoas quando estao pegando os itens , postura 0 no atendimento(girias ,palavroes, forma de falar grosseira, correndo com as coisas chegando a esbarra na Gente , as meninas ns bem tranquilas E nao foi so comigo isso sempre que eu vou la seja no…"
out. de 2022,5,Excelente atendimento,"O Ibis Centro Rio de Janeiro tem excelente atendimento (gerente atencioso e demais funcionários) quartos organizados e bem limpos, ótima localização e café da manhã nota mil. Super recomendo! Parabéns."
out. de 2022,3,Trabalho polícia civil fiscal eleições,Normal . Não concordo com a taxa diária cobrada pelo meu pet buldogue francês porte pequeno 8kg. Não faz as necessidades no hotel . Qnd muito dentro do box do banheiro e nós que limpamos e se ficamos 3 dias pelo fato do PET estar no apt só requisitamos limpeza 1 dia . Além de q esta taxa não está descrita no URB  Espero q haja mudança em relação a essa exigência descabida do hotel . Pois n faz sentido algum já q se diz ser um hotel petfriendly
ago. de 2022,5,Boa experiência.,"Não tive tempo de desfrutar, mas o quero era confortável, limpo, TV, frigobar (desabastecido). Chuveiro bom, porém a instalação do box não, fica saindo água pra fora o tempo todo.  Fácil acesso ao Centro do Rio, a noite é bem deserto e perigoso aos arredores."
jul. de 2022,5,Ótimo atendimento,"Fui muito bem atendido. Os funcionários sempre muito educados. Quarto limpo. Café da manhã muito bom. Hotel fica bem próximo a vários prédios comerciais no centro - inclusive meu local de trabalho, então, me facilitou bastante quanto ao meu retorno ao trabalho presencial."
jul. de 2022,5,Muito bom,"Padrão Ibis, na dúvida de hotel sempre escolho a rede Íbis.  Mesmo padrão de quarto. O café da manhã muito bem servido, os ovos mexidos muito bons.  Eu sempre dispenso o serviço de quarto então não tenho como opinar nessa questão!"
jul. de 2022,5,Muito bom.,"Ótimo atendimento. Ambiente tranquilo e limpo. Quarto pequeno, porém confortável. Hotel bem localizado, perto de tudo e com facilidade para acesso. Bom serviço de café da manhã.  Atendeu minha expectativa."
