Data da opinião,Nota,Título,Conteúdo
12 de dez.,5,Satisfação Garantida,Excelente hotel com funcionários educados e corteses.  Café da manhã da manhã e localização são excelentes!  As comodidades do hotel fazem a diferença como o serviço de barraca na praia e a piscina no terraço.  Valeu cada centavo!
out. de 2022,5,Hotel fantástico,"Ótima localização, novo, quarto amplo com vista. Área da piscina muito bonita com uma vista linda. E o pessoal muito atencioso e educado! Nós recebem com espumante…  Ah é muito perto de uma loja do Flamengo… rs"
12 de dez.,5,Luisa,"Senti falta de café espresso ao pequeno almoço. O café servido era muito fraco e aguado, pelo que optei sempre por pagar um espresso à parte.  De resto foi tudo muito bom, quarto, atendimento e localização. A repetir"
nov. de 2022,4,No geral apenas bom.,Acredito que o hotel poderia ser muito melhor se o time de recepção fosse idealmente cordial. Apenas o alemão é extremamente educado e prestativo. Café da manhã piorou muito agora que o preço dobrou!! Deveria melhorar roupa de cama. Precisa de segurança na porta.
nov. de 2022,4,Hospedagem Perfeita,"Em geral o hotel é ótimo, um excelente atendimento, café da manhã inigualável, vista incrível, ambientes aconchegante, quartos incríveis bem arrumados, banheiro impecável, voltaria outras vezes e indicaria com toda certeza."
nov. de 2022,5,MELHOR VISTA DE COPACABANA,"Hotel excelente, com melhor vista do RJ, uma piscina deliciosa e com um serviço de bar bárbaro, hotel com serviço e atendimento maravilhoso, quartos muito bons com fechamento acústicos, café da manhã delicioso, numa localização privilegiada"
nov. de 2022,5,Experiência Maravilhosa!,o Hotel entrega muito bem tudo o que propõe.. Altíssimo nível da Staff. O quarto é muito confortável e limpo. O Café da manhã é uma experiência super especial: qualidade e uma vista incrível de Copacabana.
nov. de 2022,4,Um 4* ótimo em Copacabana,"Localização excelente, cama super confortável, colaboradores muito simpáticos e atenciosos(Sr. Daniel, porteiro, é nota 10👌🏼). O Pequeno almoço é superior ao do Copacabana Palace. O bar do rooftop é ótimo. Pontos a rever: se nada há a fazer para o facto de existirem somente 2 elevadores(e acanhados), haverá certamente para a manutenção dos mesmos. Um deles não parava no piso 7 e por isso tive de sair nos três dias de estadia no 8º piso e descer pelas escadas de serviço até ao 7º. Igualmente o SPA. Para usufruir da massagem é preciso marcar um dia antes pois não possuem  Massagistas residentes. Num 4* e num País com cultura de massagens, podem melhorar este aspeto. Sim, voltava ao PortoBay."
nov. de 2022,5,Hotel,"Muito bom! Estadia maravilhosa e tudo perfeito. Café da manhã maravilhoso e vista da piscina muito bonita. Quarto novo e chuveiro excelente! Com certeza voltaria de novo. Ar condicionado do quarto silencioso, perfeito para dormir bem!"
nov. de 2022,5,Volto muito bom!,"Ótima localização, tinha tudo que precisavamos por perto.  Funcionários prestativos e simpáticos  Café da manhã muito bom!  O Hotel tem serviço de praia , cadeiras , toalhas...guarda-sol  Ficamos em andar alto com quarto comunicantes , a vista era linda , de um lado o mar do outro o Cristo"
nov. de 2022,4,superior,"estive com familia em outubro para comemorar aniversario filhos - chegamos bem cedo por volta das 07.00 - check in rápido e prestativo - conseguiram um quarto para entrarmos por volta das 10.30 horas- o que facilitou nossa logistica - nossos quartos eram de frente ( um com sacada) todos bem amplos com bela vista da Pria de Copacabana - café da manha poderia ser melhor - elevadores muito pequenos e apertados o que dificultava a locomocao , rouparia de boa qualidade - todos funcionarios muito prestativos - em razao dos quartos que reservamos recebemos serviço de passadeira( q foi rapido quando precisamos) , vouchers de capirinha na piscina foram otimos - boa localizaçao - area da piscina com vista muito boa para toda a orla de copacabana - profissionais sempre querendo atender bem -"
