Data da opinião,Nota,Título,Conteúdo
dez. de 2022,5,Descanso garantido :),"Pessoal da recepção é muito bacana, além do café da manhã sem sempre fresquinho, a tv funciona bem e dificilmente tem barulho a noite. Para quem for ficar no 12º andar, saiba que a academia fica logo acima :)"
mai. de 2022,5,Ótimo hotel,"Otimo hotel em sua categoria. Excelente custo benefício, quarto pequeno mas muito funcional, novo. Não tem piscina mas possui um roof top com academia. Café da manhã continental. Recomendo, me hospedaria novamente."
dez. de 2022,4,Hóspede satisfeito,"sempre que necessito ir a Curitiba geralmente decido ficar no Go in Curitiba, possui ótima acomodação, serviço de alimentação (mercearia), passadoria, academia, próximo a shopping...enfim, diversos diferenciais que facilitam a hospedagem."
dez. de 2022,5,Excelente!,"Hotel com ótimo custo benefício, excelente localização em Curitiba e funcionários todos muito atenciosos. Eu certamente voltaria e recomendaria o hotel. Não tenho qualquer queixa da minha experiência."
dez. de 2022,5,Hotel excelência,"Ótimo atendimento, conforto, tranquilidade no sono, ótimo café da manhã. Ótima localização no centro de Curitiba, restaurante supermercado e farmácia hospital Pequeno Príncipe bem em frente ao Hotel. Ótimo atendimento no estacionamento de veículos."
dez. de 2022,5,Recomendo,"Ótimo custo benefício, muito bem localizado, a uma quadra do shopping Curitiba. Quarto confortável e silencioso. No térreo tem uma lojinha de conveniência, que foi muito útil para fazer um lanchinho quando cheguei de madrugada (já que não encontrei nada aberto aquela hora na cidade). Estacionamento por 25,00 a diária. Café da manhã também por 25,00 por pessoa, valor honesto."
dez. de 2022,5,Viagem a trabalho,"A localização é ótima, está perto do shopping e arena do athletico paranaense, o café da manhã muito bom com variedade e qualidade. O hotel dispõe de academia e solário no andar superior, atendentes muito prestativos,"
dez. de 2022,5,Excelente localização e custo benefício,"Bom custo benefício. Localização excelente para fazer as coisas a pé, de carro ou de ônibus (ainda que eu não tenha andado dessa opção). Boas opções de comida ao redor. O hotel tem um sistema de vendas no térreo (como o Ibis Budget) que supre a necessidade emergencial, mas demora um pouco em reabastecer, o que eles poderiam melhorar, mas para uma emergência, sempre bom ter a opção ali. Limpo, clean, e os quartos das pontas do hotel ganham um pequeno espaço extra que compensa."
dez. de 2022,5,Um bom hotel. Custo/beneficio muito bom.,"O hotel é muito bem localizado, tem uma boa infraestrutura, costumo me hospedar sempre nele quando vou a Curitiba. Nesse final de semana especificamente, levei azar na escolha do quarto, porque justamente do lado onde eu me hospedei tinha uma molecada mau educada fazendo algazarra a 1 hora da madrugada. Mas também o hotel não tem culpa desses mau educados que não sabem o que é respeito."
dez. de 2022,4,Boa,"Hotel muito bom , limpo colaboradores muito receptivos , apartamentos limpos sempre com toalhas limpas e cheirosas , café da manha bom , poderia ter variedade de frutas maior , camas muito boas , poderia ter agua nos frigobar para não ter que ir na recepção para pegar ."
dez. de 2022,5,Primeiro encontro planificasus Paraná,Segundo seminário de imunização Primeiro encontro acs e ace em ação Saúde em campo Secretaria municipal de saúde de castro Paraná Secretaria do estado do Paraná Será Paraná Governo do estado do parana
dez. de 2022,3,Não conecta o WIFI no notebook,"Hotel, simpático e aconchegante, mas não consegui conectar meu notebook no WIFI do Hotel. Dessa vez eu não precisei desta conexão para trabalhar, como o smartphone conectou normalmente, consegui me virar assim."
dez. de 2022,5,"Dono bem intensionado, funcionários não colaboram","Hotel nota 10, funcionários mal humorados nota 0. Suíte linda bem decorada, cama hiper confortável. Café da manhã inquestionável, maravilhoso! Ficaria novamente, mesmo sendo tratados com tanta indiferença. Da até medo de ter que se dirigir a qualquer dos funcionários!"
dez. de 2022,4,ótimo custo benefício,"O melhor hotel na categoria custo-benefício que fiquei no bairro do Batel - Curitiba. Quartos conservados, tudo funcionando perfeitamente, roupa de cama limpas. O café da manhã não tem muitas opções, mas é bom."
dez. de 2022,5,otimo,"As recepcionistas são excelentes , aptos com limpeza impecável, cafe da manha otimo, localizaçao excelente. Funcionários do estacionamento excelentes . Indico a todos os amigos e familiares este hotel , obrigada"
nov. de 2022,5,Excelente 😎,"Muito bem localizado, quartos muitos bem limpos e aconchegantes, café da manhã maravilhoso com variedades! Funcionários sempre bem humorados e gentis, sempre a postos pra quando precisarmos! Em fev estarei de volta se Deus quiser 🙏🏼"
nov. de 2022,5,Ótimo hotel,"Maravilhoso, adoramos tudo! Única coisa que aconteceu que não tem a ver com o hotel, alguns hóspedes ficaram gritando nos corredores em horários que a galera tá dormindo, mas como disse, não tem a ver com a experiência com o Go Inn"
nov. de 2022,5,Muito bom,"Hotel confortável, bem localizado, bom café da manhã, porém precisa melhorar alguns aspectos da limpeza, tais como trocas corretas de roupas de cama, e oferecer cobertas ou enredos para os hóspedes. Do mais, ótimo."
out. de 2022,5,É um ótimo hotel.,"Pessoal atencioso, hotel limpo em boa localização. Tudo bom. Sem defeito.Eu recomendo. O chuveiro do banheiro é ótimo. Os elevadores funcionam muito bem. O café da manhã é bom. Poderia ser menos caro, mas é bom."
out. de 2022,5,Negócios,"Hotel e quarto novos, equipamentos todos funcionais, boa estrutura, segurança, bem localizado com restaurantes e shopping perto. Muito funcional tanto para negócios, quanto para familia. Além das opções na conveniencia."
out. de 2022,5,Entrega o que promete,"É um 3 estrelas e dentro da categoria entrega o que promete. Estacionamento terceirizado funcionou bem, mas note o detalhe: se você chegar e tiver vaga, a vaga será sua até o final da sua estada, o que foi meu caso. Não sei dizer como fica o serviço quando não há vagas. Quartos novos, chuveiro com ducha forte. O quarto que me hospedei (613) era bem silencioso. Café da manhã básico, típico de 3 estrelas. É pet-friendly."
out. de 2022,2,Estadia Desagradável,"No descritivo informa que o hotel tem estacionamento com manobrista. Liguei ainda, e me confirmaram que de fato teria vaga, deixando de informar que é terceirizado e que as vagas são limitadas, (em torno de 70 vagas para 200 apartamentos) pois alugam as vagas para mensalistas (que não são hóspedes). Desta forma, se o hóspede chegar de carro e não tiver vaga,(como foi nossa situação) problema do hóspede. Ele que se vire para encontrar um estacionamento na região e voltar com as malas na mão para o hotel. Agindo totalmente de má fé e descaso. Além disso, quarto BARULHENTO, a janela pode ser acústica com o som externo, porem as paredes e a porta para o corredor são de péssima vedação, todo o som era escutado no quarto, inclusive conversa do quarto ao lado e principalmente o apito…"
out. de 2022,4,FALTA NOTA FISCAL,"A minha valiação acabou virando no que vira a maioria das avaliações, não encerra, fica exigindo 200 caracteres?? voces estão de brincadeira???. Voces querem impor uma avaliação? é ISTO? TIRO NO PE !!!!!"
out. de 2022,5,Muito bom,"O custo benefício é ótimo, é bem localizado, perto de shopping e áreas centrais, quartos são suficientes, café da manhã é bom, assim como o atendimento. Não houve incômodos durante o tempo que fiquei hospedado"
out. de 2022,4,"Hotel meio funcional, prático","O atendimento do recepcionista no check in foi rápido, simpático, profissional. Impecável. O café da manhã achei bem básico. A limpeza do quarto é ótima. O check out foi rapidinho. O hotel é bem localizado. Estacionamento conveniado com bom atendimento e tarifa razoável."
