Data da opinião,Nota,Título,Conteúdo
uma avaliação Hoje,5,Confraternização,Tivemos uma ótima estadia.  Um excelente café da manhã e todos os funcionários muito atenciosos e o chuveiro excelente!  Super indico a todos os meus amigos e pretendo voltar com toda certeza!  Piscina maravilho!
uma avaliação Hoje,5,Melhor hotel do Rio de Janeiro!,"Com certeza retornarei ao hotel!    Desde a recepção, a qualidade da comida, camareiras, espaço sofisticado do hotel, tudo maravilhoso!!  A estrutura do hotel super nova, qualidade do quarto.    Super recomendo"
uma avaliação Hoje,5,Quarto com vista ao mar. Maravilhoso.,"Desde a chegada até a saída fomos muito bem recepcionados.  Funcionários super educados e receptivos, uma ótima experiência, super recomendo este hotel e a próxima passagem pelo RJ já sei onde ficar.  Serviços de quarto, recepção, área de lazer muito bem oferecido.  Quarto que ficamos com vista ao mar muito limpo e aconchegante."
14 de dez.,5,Ótimo!,"Fiquei bastante satisfeito com esse hotel! Era aniversário da minha esposa e fizeram um agrado de recepção, inclusive com um pequeno bolo! Vista incrível, ótimo café da manhã, boa piscina e funcionários prestativos! Poderia melhorar o serviço de bar e piscina!"
14 de dez.,5,Excelente,"Tudo perfeito! Hotel maravilhoso e equipe excelente! Desde a limpeza, localização, café da manhã, comodidade, roupas de cama, área de lazer, restaurante, funcionários... tudo simplesmente perfeito.  Fiquei no décimo quinto andar. A vista é magnífica. A brisa e som do mar integram o ""pacote"".  Voltarei novamente."
13 de dez.,5,Excelente,"Essa é a nossa segunda estadia nesse hotel, simplesmente perfeito, beira mar, limpinho, café incrível, funcionários super solícitos, tem uma ótima localização, já oferece passeios, com certeza voltaremos novamente"
9 de dez.,3,"Bom hotel, mas com ressalvas importantes","Hotel bem localizado e com espaçoso, mas tive diversos problemas durante uma estadia de 25 dias aqui.    Os canais de TV fechada possuem áudio dessincronizado com o vídeo. Várias pessoas reclamaram disso na recepção e não resolveram (em época de Copa isso é um péssimo ponto).    O sinal do WiFi é horrível - fraco e instável. Só funciona bem nos quartos de frente pra praia (poucos e mais caros). Nem pra ver streaming direto na TV a Internet segura.    O chuveiro não funcionou na noite de sexta-feira. Depois de três horas voltou apenas a água fria. Liguei na recepção pra tentar solucionar o problema e não atenderam e nem deram retorno.    O café da manhã é bom, com boas opções de comida. Eles fazem omelete e tapioca, mas em nenhum lugar fala que tem. Tem que tratar diretamente com o garçom."
6 de dez.,5,"Hotel incrível, voltarei sem dúvida mais vezes","Fiquei extremamente surpresa com tamanha hospitalidade do hotel , funcionários sempre sorrindo sempre ajudando a abrir uma porta do carro ou a do elevador , sempre querendo ser prestativos meus parabéns em especial ao pessoal da recepção Carla, Alex, gael e marcele me ajudaram em absolutamente tudo que eu necessitava , eles realmente te dão todas as dicas , café da manhã incrível muito completo e infraestrutura impecável com uma piscina maravilhosa e uma jacuzzi que serve para relachar após um dia de passeio , sem dúvida voltarei mais vezes. Perto tem ótimos restaurantes, shoppings e praia muito linda da barra da Tijuca, a única coisa que achei é um pouco caro o restaurante para o que eles oferecem, mas aos arredores do hotel tem muitos restaurantes fica ao critério do cliente ."
4 de dez.,5,O hotel é bem flexível e ajuda seus clientes,Foi perfeito recomendamos ✅✅✅  O hotel deixou a gente ficar meia diária a mais  Por conta de nosso voo ter saído mais tarde  Incrível nunca um hotel teve isso com a gente  Perfeito em tudo  Comida e recepção.
4 de dez.,5,Final de semana no rj,"Ótimo hotel recepção excelente, café da manhã bom avista incrível ótimo ponto excelente atendimento Carla,Bruno, Alex,Ronald, gael e Márcio recomendo a todos e irei retornar com certeza ao rio de janeiro e ficar no Laghetto"
3 de dez.,5,Viagem perfeita,"Hotel perfeito. Ótimo quarto e estadia! Café da manhã excepcional, recepção adequada e quarto muito limpo. Ótima vista! Recomendo!!!!! Preço acessível para a qualidade do hotel que é de alto nível!!!!!"
nov. de 2022,5,"Hotel excelente, café da manhã muito bom, fica numa ótima localização, praia bem na frente com barzinho, tem sauna.","Hotel excelente, café da manhã muito bom, fica numa ótima localização, praia bem na frente com barzinho, tem sauna, piscina. Fica perto de ótimos restaurantes, há 5 min do shopping barra. Ótima opção para quem vem ao Rio."
nov. de 2022,5,Sensacional,"Hotel excelente. Localização top e serviço muito profissional. Os quartos com vista para o mar são excelentes. Já ê nossa terceira estadia nesse hotel, e sempre quando estamos no Rio de Janeiro, ele é nossa escolha principal. Recomendo muito"
nov. de 2022,5,Hotel ótimo!,"O Hotel Laghetto é excelente. A localização é muito boa e ótima infraestrutura!!  Com toda certeza voltaremos mais vezes para aproveitar esse belíssimo lugar. Deixo a dica para todos, vale muito a pena conhecer!"
nov. de 2022,5,Hotel que fiquei noiva!,"Perfeito! Incluindo os funcionários, tudo muito bem feito e com cuidado! Limpeza impecável e 24 horas. muito atenciosos e sempre querem ajudar os hóspedes, fiquei noiva aqui e indiciaria um milhão de vezes"
nov. de 2022,5,Muito boa,"Ótimo quarto, ambiente limbo e aconchegante, ligar incrível, tudo funcionando perfeitamente é uma vista panorâmica maravilhosa… irei voltar mais vezes… essa parte de fazer a avaliação é obrigar escrever que não foi legal."
nov. de 2022,5,Hotel favorito,"Um dos melhores hotéis do rio, sempre que vou ao rio fico nele, tudo é muito bom, quarto, café da manhã, área de lazer e restaurante, eu indico de olhos fechado, e a localização é maravilhosa também, todos estão de parabéns"
nov. de 2022,5,Passeio com amigos,"Excelente estadia! Pertinho da praia, vista para o mar, fácil de chegar. O hotel dispõe de vários serviços e são muito receptivos. Tbm dispõe bikes para alugar. Café da manhã variado e bem feito. Recomendaria para outros colegas com certeza."
nov. de 2022,4,Muito bom!,"Hotel com estrutura nova, muito bom, confortável, limpo, funcionários solícitos. Voltaria, com certeza. A praia em frente ao hotel também é muito agradável. Cafe da manhã em espaço amplo e com grande variedade de alimentos."
nov. de 2022,5,Hotel Laghetto Barra,"Hotel com ótimo atendimento, funcionários atenciosos e preocupados com bem estar dos hóspedes. Lugar confortável e com serviços diversos. Experiência muito boa. Indico o local e voltaria outra vezes!!"
nov. de 2022,5,Ótima experiência na Barra,"Hotel novo, moderno, acomodações espaçosas, café da manhã com muitas opções e variações durante os dias. Em frente ao mar, o que melhora muito qualquer hospedagem, além de ótimo custo-benefício. Pra quem quer ficar na Barra, é uma ótima opção."
nov. de 2022,5,Hotel lagheto Barra RJ,Excelente localização! Hotel confortável! Café da manhã maravilhoso! Funcionários atenciosos. Vista pro mar! Fica a dica de ir até o décimo sexto andar! Perfeito pra fazer fotos! Super recomendo!!!!!!!
nov. de 2022,5,Aulas,"Muito bom, check-out extendido, café da manhã excelente e atendimento bom. A infra estrutura do hotel também possui todas opções possíveis e a localização é bem de frente à praia. Só tenho elogios, nenhuma crítica."
nov. de 2022,5,Viagem rio,"Excelente infraestrutura, café da manhã excepcional e atendimento impar!  Espaço da hidromassagem confortável.  Quarto amplo e confortável  Melhor localização da barra com próximidade a shoppings e restaurantes. Farmarcia proxima tbm."
nov. de 2022,5,.,Hotel muito maravilhoso.. atendimento de primeira da entrada a saída . Café da manhã ótimo.  Todos os serviços disponíveis do hotel muito bacana..  Funcionários do hotel muito educados e prestativos.  Adorei a estadia
nov. de 2022,5,Excelente!,"Essa é minha segunda experiência no hotel, já me hospedei outra vez e com certeza se voltar ao Rio, vou me hospedar também. Super recomendo! Ambiente confortável, limpo e todos os funcionários super receptivos e educados. O café tem bastante variedade, inclusive, quando solicitado aos garçons fazem tapioca, omelete, misto, etc. A localização também é maravilhosa, bem em frente à praia."
nov. de 2022,3,Hotel poderia ser bem melhor,Cafe da manha um pouco desorganizado. Variedades de alimentos pequena. Não tem produtos feitos na hora como tapioca. Iorgurte? Apenas morango!!! Decepcionante!  Academia: minúscula e repleta de pessoas não hospede: personal trainer! Horrivel  Serviço de quarto : ruim!    O hotel parece semi abandonado.
nov. de 2022,4,Excelente!,"O atendimento, serviço de quarto, instalações do hotel, café da manhã, localização do hotel… tudo ótimo, bem organizado, limpo, muito bom gosto!  Sempre que viemos ao Rio nos hospedamos no Laghetto, indico!"
nov. de 2022,5,Maravilhoso,"O hotel é maravilhoso, muito confortável, limpo! E todos os funcionários super receptivos, e o café estava maravilhoso! Voltar no rio com toda certeza eu vou me hospedar de novo. A localização também é maravilhosa, bem em frente à praia."
nov. de 2022,5,Hotel maravilhoso,"Amei, tudo perfeito, quarto aconchegante, recepção muito educado e antesiosos, e café da manhã impecável. Tudo muito bom. Piscina maravilhosa espaço do salão grande, rápido para realizar pedidos e um ambiente muito confortável."
nov. de 2022,4,Ótima localização !,"Hotel em frente à Praia da Barra da Tijuca, com ótima localização para curtir uma praia, caminhar ou aproveitar as barracas da orla.  Fácil acesso aos demais locais da Barra da Tijuca.  Quartos de bom tamanho com limpeza eficiente.  Academia pequena no subsolo e com poucos equipamentos.  Café da manhã satisfatório com o valor pago pela diária.  Atendimento cordial  Estacionamento com diárias de 40 reais  Sugiro remodelar o uniforme dos funcionários, que acredito ter sido desenvolvido para toda a rede, sendo que a maioria das unidades ficam nas Serras Gaúchas, onde as temperaturas são mais amenas.  Inviável colocar os funcionários no RJ para receberem hospedes do lado externo com japonas de manga longa na cor ""preta"" em pleno Rio 40°!  Vale a pena pesquisar o uniforme de outros hotéis que estão mais inseridos no life style carioca (ex. Grand Hyatt).  Até os hóspedes se sentirão mais confortáveis com funcionários mais aclimatados."
nov. de 2022,5,Hotel perfeito para curtir dias de sol no Rio de Janeiro.,"Excelente café da amanhã, quarto confortável, funcionários simpáticos, localização privilegiada na praia da Barra da Tijuca. Próximo a bons restaurantes, shopping, cinema e muita badalação. Piscina maravilhosa com ótimos drinks. Ótimo custo e benefício!"
nov. de 2022,5,Final de semana,"Hotel maravilhoso, atendimento e acomodações impecáveis. Recepção e manobristas alto nível  Quarto, piscina, academia e restaurante de infraestrutura incrível. Cama de ar condicionado maravilhosos. Banheiro limpo e aconchegante"
nov. de 2022,5,Ótimo hotel,"Atendimento excelente, café da manhã variado e quartos limpos. Instalações novas, de frente para o mar em região bem atendida com restaurantes perto do hotel. Praia limpa e com infraestrutura para atendimento."
nov. de 2022,5,Excelente custo benefício.,"O hotel conta com uma equipe de excelente qualidade: o serviço é impecável e caloroso. Os hóspedes dispõem de todas as facilidades, inclusive o aluguel de bicicletas. O café da manhã é variado e de qualidade."
nov. de 2022,5,Experiência ótima,"Muito bom, todos os funcionários são muito educados, prestativos e receptivos, prontamente atendem e resolvem qualquer questão ou dúvida.  O hotel possui excelentes áreas de lazer e o quarto era muito limpo e cheiroso.  Com certeza, em breve estarei retornando!"
out. de 2022,5,Hotel excelente!,"Tudo maravilhoso nesse hotel, café da manhã, quartos, limpeza, organização, piscinas, camareiras, atendimento, academia, área de lazer, recepção maravilhoso, funcionários incomuns.  Tudo perfeito!  Amamos nossa estadia"
out. de 2022,5,Maravilhoso,"Muito bom! Hotel fantástico atendimento maravilhoso  Super indico todos virem .  Estou apaixonada neste lugar  Café da manhã muito bom  Tudo muito bom é lindo  Piscina muito bom  Sauna boa, eu adorei super indico"
out. de 2022,5,Ótima localização e atendimento,"Minha primeira vez na Barra, normalmente ficava na zona sul. O Laghetto foi uma ótima escolha. Tem otima localização e atendimento, além da área de lazer que é muito boa, inclusive para crianças. Quartos espaçosos e bem limpos. Cafe da manhã bem completo e funcionarios muito atenciosos. Recomendo e voltarei com a família."
out. de 2022,5,Ótimo custo benefício,"A localização é ótima, praticamente em frente a praia. Funcionários são muito simpáticos, estrutura é boa e prática. Piscina excelente para crianças, hidromassagem aquecida ótima. Café da manhã é bom, com opções de omeletes e tapiocas. O hotel não disponibiliza estrutura de praia, porém, os quiosques em frente supri muito bem essa demanda, não havendo cobranças pelo uso da estrutura.  A praia da Barra é muito boa, areia fina e branquinha, o mar é meio forte, cautela com crianças.  No geral o hotel atendeu as expectativas, visto que a rede Laghetto é impecável em Gramado."
out. de 2022,5,Excelente estadia,"Gostamos muito do hotel. Excelente localização, em frente a praia, perto dos shoppings da Barra da Tijuca. Sempre que conseguimos voltamos nesse hotel. Café da manhã muito bom e ótimas instalações. Tem espaço pequeno para crianças pequenas brincarem."
out. de 2022,5,Final de semana Maravilhoso,"Atendimento impecável desde o check-in até o check-out, todos os colaboradores super atenciosos!!    Limpeza do quarto e áreas comuns perfeitas. Café da manhã com muita variedade!    Área de lazer completa, com o rooftop de tirar o fôlego    Super recomendo, final de semana perfeito com pessoas especiais e Laghetto hotéis"
out. de 2022,3,ACHEI MEDIANO - não condiz com as avaliações 05 estelas.,"Confesso que pelo comentários em que eu li aqui, estava esperando mais. O hotel tem uma boa localização, o atendimento ok. Mas no geral, assim, achei razoável. O hotel é muito gelado, sempre com o ar ligado principalmente ali no restaurante, da vontade de entrar, comer logo e sair dali. Temos criança, então a temperatura deveria ser mais ambiente, isso me incomodou bastante. Café da manhã bom, apesar de bastantes opções não achei as coisas tão gostosas. Ambiente da piscina muito bom. Os pedidos pelo telefone demoravam bastante, quando o telefone ERA atendimento, principalmente para serviço de quarto. Enfim. Não seria minha primeira opção para voltar. Mas não é ruim, é mediano."
out. de 2022,5,Hotel completo,"Hotel espetacular! Recomendo, café da manhã completa, área de lazer muito boa e os funcionários são todos muitos solícitos, localização privilegiada e com bares, mercados e restaurantes próximos. Voltarei sempre que possível para o hotel"
out. de 2022,4,Ferias,"Hotel muito bom,os funcionários são todos educados e atenciosos.sempre disponíveis a ajudar,adorei o atendimento. A comida do restaurante a noite deixou a desejar.pedimos uma canja e veio fria,achei o preço salgado para a qualidade da canja."
out. de 2022,5,Tudo bem organizado,Serviço de excelência. Funcionários simpáticos e prestativos. Ótima localização. Todas as áreas e acomodações são top. Serviço de quarto excelente. Recepção muito profissional. Limpeza e organização. Ótimo
out. de 2022,4,Minha experiência,O hotel tem uma excelente localização e um atendimento muito bom. Café da manhã tem bastante opções de comidas e bebidas. Ponto negativo é que o hotel precisa de algumas manutenções para tratar infiltrações e mofos. No quarto o cheiro de mofo incomoda principalmente no banheiro.
out. de 2022,5,Excelente hotel,"Vista maravilhosa para praia, café da manhã satisfatório, recepção com excelentes atendentes, hidromassagem muito relaxante, academia bem equipada, localização excelente na Barra da Tijuca. Voltarei com certeza"
out. de 2022,2,Não voltaria,"Serviço deixa muito a desejar. Café da manhã muito fraco e comida que deveria estar quente sempre estava fria. Em um dos dias, dos 3 elevadores apenas um estava funcionando e o reparo demorou bastante."
out. de 2022,5,Ótima experiência,"Hotel com estrutura muito boa, localização ótima, mas se você está querendo fazer passeios turísticos o hotel foca pouco longe, mas nada que um uber/táxi não resolva, café da manhã maravilhoso com muitas opções, os quartos super aconchegantes. Experiência muito boa"
out. de 2022,5,Hotel muito confortável,"Hotel muito confortáve, a cama e o chuveiro são ótimos, atendentes muito solícitos, bem perto da praia. Atenderam a minhas restrições alimentares no café da manhã. Recomendo fortemente a estadia nesse hotel"
out. de 2022,5,Experiência ímpar!,"Hotel excelente, super limpo, climatizado, acomodações dos quartos impecável! Camas confortáveis, atendentes muito prestativos, área de café da manhã muito ampla e acessível. Todos os colaboradores muito prestativos e atenciosos. Super recomendo."
out. de 2022,5,Avaliação,"Hotel excelente  Desde o atendimento ao café da manhã , limpeza, quarto mega confortável, colaboradores mega atenciosos, sempre pronto a nós atender ! Iremos voltar e recomendaremos com certeza !!!!  Amei a hospedagem, tudo perfeito. Quero voltar novamente."
out. de 2022,5,Avaliação,"Hotel excelente, desde o atendimento, limpeza , café da manhã excelente, quarto confortabilíssimo…  Colaboradores mega atenciosos , sempre pronto a nos atender ! Recomendaria com certeza  Viemos entre amigas, mas retornaremos com a família em breve ! Parabéns ao hotel"
out. de 2022,5,Muito bom recomendo!,"Hotel com ótima localização, bom serviço, com toalhas de praia, cafe da manha excelente, funcionários muitos receptivos. Aerea de lzer otimo com spa e piscina. Limpeza boa, quarto com conforto e linda vista do mar! Queeo conhecer o de gramado!Recomendo!"
out. de 2022,4,"Excelente localização, preço, atendimento","Hotel muito bem localizado, praia excelente em frente,  Preço muito competitivo.  Instalações novas e bem mantidas.  Equipe atenciosa.  Café da manhã muito bom com excelente seleção de frutas, é possivel solicitar ovos/ tapioca/ misto quent e etc.  Todo a equipe do hotel é muito simpática e eficiente."
out. de 2022,5,"Bom atendimento, os quartos são maravilhosas, o restaurante atende 24 h","Hotel excelente, ótima localização é ótima atendimento, os funcionários atendem muito bem, o diferencial serve alimentação no quarto ate meia noite.  Fica em frente a praia, com quiosque proximos, uma área muito segura"
out. de 2022,5,Viagem,"Boa estadia, otima localizacao, cafe da manha excelente.  Apenas no dia do check out dois elevadores pararam de funcionar.  Demais aspectos muito bom o Hotel, minha rede preferida em diversas hospedagens."
out. de 2022,5,Recém casados,"Excelente hotel em frente a praia! Ótimo atendimento! Excelente serviço de quarto! Serviço de Recepção excelente! Super Recomendo! Ótimo localização, perto de vários restaurantes e também ótimo restaurante no hotel!"
out. de 2022,5,Viagem lua de mel 🍯,"Maravilhoso muito bom ! Recomendo muito  Serviço de recepção maravilhoso, quarto excelente !  Localização muito excelente! Voltaria certamente !  Café da manhã variado. Ótimo custo benefício !  Amei !! Muito"
out. de 2022,5,Ótima experiência,"O hotel é excelente! Os funcionários são muito simpáticos, receptivos e solícitos. O café da manhã é uma delícia, o serviço de quarto/limpeza é ótimo, o espaço da piscina é uma delícia… Com certeza voltaremos para nos hospedar!"
