Data da opinião,Nota,Título,Conteúdo
uma avaliação Hoje,4,Boa localização,"Hotel recentemente reformado, cama muito boa funcionários gentis e localização perfeita.  O café da manhã está bom, senti falta de uma torradeira ou sanduicheira mas ele oferecem alguns alimentos a la Carte como omeletes e tapiocas, voltarei a me hospedar"
nov. de 2022,5,Valeu muito a escolha,"Muito bom!!!  Localização excelente, entre o posto 5 e o 6, bem próximo ao Forte de Copacabana. Limpeza ok, bonita decoração, café da manhã muito farto, funcionários muito cordiais e prestativos. Oferecem serviço de praia com guarda-sois e cadeiras, o que considero um diferencial. Serviço de guarda-malas. No dia do check-out, além de guardarem nossas malas, ainda nos disponibilizaram o banheiro e vestiário d a academia o que nos permitiu curtir a praia o dia todo, já que nosso vôo era só a noite. Recomendo muito."
nov. de 2022,3,"Hotel Bonito, atendimento péssimo","Recepção despreparada(ou não) para atendimento. Tive que realizar uma compra adicional de uma reserva, que no aplicativo apontava para 3 pessoas, recepção informou que não havia disponibilidade no hotel e que necessitaria outro quarto- A sugestão que eu cancelasse e pedisse reembolso- No mesmo momento entrei no aplicativo da All - Accor e Comprei um novo quarto pelo aplicativo e havia disponibilidade . Com desconfiança e mesmo com a confirmação da reserva impressa por ela, a mesma solicitou que eu apresentasse o cartão de crédito que havia pago para confirmar. Um verdadeiro absurdo, e Despreparo.  Fiquei mais de 40 minutos para realizar o Check In, e fui informado que teria um upgrade de quarto pela categoria All que tenho, o upgrade era de andar. No final, ela pediu desculpas por ser “novata”. O Staff em geral é ruim, com exceção da equipe do restaurante, que são agradáveis e procuram auxiliar todos os hóspedes.  O hotel é lindo, fica próximo da praia, mas a experiência foi péssima e frustrante, não recomendo.  Uma pena que o programa All, não tenha diferencial nenhum, além da Coca Cola de boas vindas que oferecem."
nov. de 2022,5,Top,"Quarto amplo sem sacada, tudo bem limpo e organizado, funcionários educados e atenciosos,jantar magnífico e café da manha simplesmente incrível, tem uma cafeteira no quarto, onde vc pode fazer seu próprio café se quiser .. Eu recomendo!"
out. de 2022,5,Sensacional,"O Grand Mercure Rio de Janeiro Copacabana é a hospedagem perfeita na cidade do Rio de Janeiro.  Muito bem localizado, próximo a vários pontos turísticos, bons restaurantes e com facilidade de acesso a inúmeros outros pontos da cidade. Oferece cadeiras e toalhas para praia de Copacabana.  Outro diferencial é seu staff, sempre atencioso e prestativo, fazendo que você se sinta bem acolhido e especial.  O café-da-manhã é saboroso.  Depois desta hospedagem o Grand Mercure Rio de Janeiro Copacabana passou a ser meu hotel no Rio de Janeiro."
out. de 2022,5,Onde se sentir único,"Com a gama de hotéis no Rio e principalmente na badalada Copacabana, cada unidade precisa ter diferenciais concretos para se destacar e buscar sempre um retorno de seus hóspedes: esta unidade Grand Mercure faz cada hóspede se sentir especialmente único!  Antes de mais nada, há de se ter certa condescendência com as obras ainda em andamento no bloco A, deixando apenas o B e C disponíveis. Tudo está claro na página do hotel, reclamações nesse sentido são injustas.  O processo de check-in é rápido e eficiente, e o reconhecimento de estatuto ALL é equivalente ao de hotéis de alto padrão, generoso e sensível: o hotel conhece o seu cliente, percebe suas preferências e busca sempre satisfazê-las!  Enquanto as obras não terminam, a vista é parcial e as melhores são nos andares mais altos do bloco C, nos apartamentos adaptados. Os quartos de final 52 têm três janelas e são os mais intimistas, perfeitos para casais.  Por outro lado, alguns quartos superiores têm espaços ociosos em demasiado, que não foram contemplados com elementos de maior aconchego na escolha de design de interiores por parte dos investidores, o que surpassa até a gerência da unidade. Faltou e segue faltando visão aos investidores, eu já havia mencionado o mesmo tema em outras avaliações anos atrás.  O café da manhã está sendo servido temporariamente no salão do 2° piso, num espaço nada aconchegante, com péssima acústica e sem janelas. Entendemos todos que é uma situação temporária e estamos ansiosos pela reabertura do Forno e Fogão com a bela vista frontal da praia quando da reinauguração do bloco A.  Há muita variedade, principalmente de frutas frescas e itens de padaria, sem falar nos pratos quentes, trocados todos os dias! Para quem tem restrições alimentares, um cantinho especial foi criado; por outro lado, os sucos são todos muito aguados...  Como já detalhei na avaliação do Forno e Fogão, a sacada dos dois combos de jantar e pizza com vinho foi muito boa e está bem divulgada nos elevadores. Com a enorme e feroz concorrência de restaurantes no Rio, é bom saber que há qualidade e preço no do hotel.  Sugiro também um cantinho ao lado dos vasos de plantas com chuveirinho pra se tirar a areia dos pés e não leva-la para o saguão e muito menos pros quartos. Como sempre tem segurança na porta, é possível facilmente coibir o mau uso por hóspedes e não-hóspedes.  O 18° andar tem academia mais bem equipada que estabelecimentos conhecidos no Rio e conta com saunas seca e a vapor. A piscina voltará quando do fim da reforma, no bloco A.  O carinho e a atenção presentes em cada ação e detalhe, tudo com um time integrado e que gosta de trabalhar junto, dão a percepção clara de que cada hóspede é único e especial, ou seja, garantia de uma estadia realmente ""grand""!"
set. de 2022,5,Hospedagem,Café da manhã é acomodações excelentes .recomendo dar a propriedade .bem localizado funcionários bem uniformizados e gentis. Hotel possui academialbe sauna os.apartmemtos sap bem amplos. Serviço no 10. Super recomendo
set. de 2022,5,Recomendo de olhos fechados! Excelente!,"Passando pra deixar meus parabéns a toda a equipe ! Hotel maravilhoso com pessoas maravilhosas, super atenciosas e simpáticas! Cama dos deuses, café da manhã impecável!♥️♥️ voltarei com certeza!! ♥️    Um beijo especial para o funcionário Luis, que fica ne recepção recebendo as malas e nos recepcionando! Um amor de pessoa!!! Nota mil!"
set. de 2022,1,Cobrança indevida,"Péssimo estabelecimento. Não recomendo. Fui cobrado 2 vezes pela hospedagem, na hora reserva e no check out, e mesmo mostrando todas as evidências, cobraram novamente, pois tinham uma pré autorização, e para ser ressarcido serei obrigado a entrar com ação judicial. Evitem ao máximo esse hotel no Rio de Janeiro. Já estive várias vezes nesse hotel, mas nunca presenciei tamanha falta de respeito"
ago. de 2022,5,Ótimo Hotel,"O Hotel tem ótima localização e excelentes equipes de trabalho.Os quartos dispõe de roupas de cama e toalhas de ótima qualidade e limpeza devida.O café da manhã é excelente,com alimentos preparados na hora.Meu esposo estava de aniversário e ao retornar do jantar,encontramos torta e brigadeiros no nosso quarto,cortesia do hotel.Enfim uma estadia feliz e agradável.Super recomendo"
ago. de 2022,5,Recomendo,"Tive uma ótima hospedagem, começando pelo check in e check out que foi feito pelo ( Lucas ou Felipe rs) Desculpem pois fugiu o nome. Quarto amplo, ar gela bem, vista parcial pro mar. Uma pena a parte do hotel, que tem piscina e rooftop está em reformas. E no Rj isto faz falta. Mas em compensação o serviço de praia foi nota 10 também. Oferecem também uma toalha para levar a praia. No geral todos colaboradores simpáticos e prestativos é um bom café da manhã. Localização perfeita tem de tudo muito próximo ao hotel. Voltarei com certeza. Um abraço e meu agradecimento a toda a equipe."
ago. de 2022,5,Muito bom,"Atendimento ótimo, comida maravilhosa e também os quartos são muito bons, gostei muito da vista, eles dão toalha, guarda sol e cadeiras na praia.muito bonito o hotel as coisas são novas e o chuveiro é MARAVILHOSO"
ago. de 2022,5,Ótima tranquila opção em Copacabana,"Hotel moderno, recepção ampla, clara, equipe muito atenciosa e simpática.  Instalação do quarto ótima, tudo novo, limpo, quarto espaçoso, com cortina Black out,chuveiro potente e bem quente. No quarto n tinha secador de cabelo que foi providenciado rapidamente e de ótima qualidade, padrão profissional.  Academia super equipada, ampla, com toalhas e vista para o mar.  Serviço de praia com montadores de cadeira e guarda sol sempre presentes até o fim do dia.  Se for fazer algum comentário negativo, a falta de acessibilidade, muita escada na entrada e recepção, tendo elevador para cadeirante, porém para mala temos q contar c ajuda do staff."
ago. de 2022,5,Hotel nota 10 em todos os quesitos,"Foram 5 dias incríveis nesse hotel maravilhoso! Limpeza, cordialidade, café da manhã, acomodação, decoração, agilidade, preocupação com o hóspede, gentileza, me senti muito bem acolhida! Localização nota 10 também! Um agradecimento especial ao funcionário Davi por ser tão gentil ao longo desses dias! Obrigada Davi! Sua colaboração e cuidado com o hóspede tornou tudo mais incrível! Valeu Gran Mercure Copacabana! Até a próxima"
ago. de 2022,5,Casal em férias,"Hotel com ótima localização, funcionários prestativos e atenciosos, quarto amplo e limpo. Roupas de cama e banho de alta qualidade. Café da manhã excelente. Serviço de apoio na praia. Muitas opções de bares e restaurantes nas proximidades."
jul. de 2022,4,Queríamos muito conhecer.,"Queríamos muito conhecer o Grand Mercure Copacabana. O começo foi meio tumultuado, minha filha e o noivo não conseguiram fazer o check-in antes, mesmo eu mandando todos os documentos, pois eu e minha esposa estávamos vindo de Salvador e ainda não havíamos chegado, eles ficaram um tempo esperando. Chegamos e tudo foi resolvido. Recebemos bebidas de boas vidas, pois faço parte do Clube All. Os quartos era bem espaçosos e aconchegantes, a cama do nosso quarto era King, às amenidades eram da L'Occitane. O Café da manhã tem muitas opções, de pratos quentes, frutas, cereais, queijos e outros. O hotel está passando por melhorias, ficamos no edifício já reformado, mas tem outro em frente a praia que ainda está em manutenção. Usamos a academia que tem uma bela vista da praia de Copacabana e bons aparelhos. A localização é ótima, fica no posto 5/6, próximo ao Forte de Copacabana e do Arpoador.  Com certeza pretendemos voltar e curtir a piscina que tem uma vista linda da praia, mas ainda não está liberada."
jul. de 2022,5,Excelente opção em Copacabana,Adoramos o hotel. A Equipe de funcionários sempre muito prestativa. O Apartamento é amplo e confortável. Ótimas instalações. O café da manhã é muito bom.  A localização do hotel é perfeita. Com certeza voltaremos a nos hospedar no Grand Mercure Copacabana.
jul. de 2022,5,Muito bom !!!,"Hotel com muito boas acomodações . Café da manhã muito bom. O grande destaque é atenção e hospitalidade de toda a equipe . Recepção atenciosa, simpática. Todos funcionários do hotel com legítimo interesse em atender. Pude presenciar interação com as crianças e cuidado de todos."
jul. de 2022,4,Boa localização,"Não tenham dúvida sobre a localização excepcional do Grand Mercury, bem próximo ao Forte de Copacabana a alguns quarteirões do Arpoador e de Ipanema, além de contar com padarias e cafés artesanais muito gostosos nas redondezas.  Me foi concedido um Upgrade e pulei pra Suíte vista mar parcial, as instalações são boas e confortáveis, senti falta da garrafa que esquenta água para preparar um chá no quarto, os sabonetes e shampoos são cheirosos e me pareceram de boa qualidade.  A academia e a Sauna são boas e limpas, por estar em reforma o restaurante principal, as refeições são servidas em um outro restaurante menor e um pouco improvisado, mas mesmo assim achei o café da manhã bom e variado.  O atendimento dos recepcionistas é cordial, gostaria de destacar o Lucas, Rayane e a Linda, além dos mensageiros sempre gentis e prestativos.  O hotel disponibiliza um serviço de praia, vale destacar o atendimento do Gerson, que se preocupou em cuidar dos meus pertences quando pulei no mar, além de muito prestativo.  Gostaria de sugerir a instalação de uma torneira atrás dos vasos da entrada, voltar com o pé cheio de areia e ter que lavar no box do banheiro do quarto, não foi legal.  Tenho certeza que quando reabrir a piscina ( em reforma ) assim como o restaurante principal, o hotel ficará melhor ainda."
jul. de 2022,1,Reforma não informada,"Fiquei hospedado com minha família, reservei um quarto de frente ao mar, chegando não tinha o quarto por causa de uma reforma não informada, piscina não estava funcionando pelo mesmo fato, não indico este hotel a minguem"
jul. de 2022,5,Excelente estada,"Eu e minhas 3 irmãs fomos ao Rio para festejar o aniversário da mais nova. Hospedamo-nos no Grand Mercure Copacabana. O hotel tem uma excelente localização, café da manhã bem variado, atendimento nota 10. Tudo limpo e bem organizado."
jul. de 2022,5,Grande Almoço e ótimo serviço,"Venho aqui mostrar minha grande SATISFAÇÃO em estar avaliando esse hotel junto a seus funcionários, em especial o restaurante onde fui pronto atendido sem ser hóspede do hotel, o garçom Lucas foi perfeito e exemplar com seu atendimento onde além de me sentir confortável e feliz eu me senti importante e isso conta muito. Obrigado pelo atendimento e de pode anotar voltarei mais vezes para ser bem atendido ."
jun. de 2022,5,Melhorou bastante,"Há um tempo atrás fiz uma avaliação negativa deste hotel relatando o fato deles não respeitarem os benefícios platinum do programa do fidelidade All Accor. Entretanto, tornei a me hospedar no hotel e pude usufruir de normalmente dos benefícios, sem qualquer problema. Teve Welcome drink, doces de boas-vindas, late check-out. Em relação ao hotel propriamente dito, segue o padrão da rede Gran Mercure, com quartos amplos e confortáveis. Destaque para o excelente café da manhã. A localização é na esquina da praia em Copacabana, estando bem próximo de Ipanema também."
