Data da opinião,Nota,Título,Conteúdo
10 de dez.,3,Bom,"Localização excelente! Final de Ipanema, quase no Leblon. Muitos bares e restaurantes na região.  Funcionários do hotel muitoooo atenciosos.  O hotel cumpre com a função.  As instalações do quarto são adequadas: a cama é ótima, quarto espaçoso.  Não gostei do banheiro: é reformado, bem mal feito.  O café da manhã é bemmmm simples. Não tem opção de manteiga e requeijão com ou sem sal, servidas separadamente. Não servem mel, iogurtes em embalagens, os pães e doces servidos são de um dia para o outro.  Enfim… o hotel é bom, cumpre com a função… porém, caro pelo que oferece. Você paga pela localização.  (Infelizmente, no Brasil, o “produto básico” custa o preço de um “produto ampliado” fora do país)."
out. de 2022,5,Sensacional,"Estive , no Praia Ipanema, em decorrência do show do Air Supply, que tocaria no mesmo período, em que lá me hospedei! O hotel possui uma equipe diferenciada( deixo , aqui, um abraço especial aos funcionários Cláudia , Vanessa e Renan , que tanto me proporcionaram hospitalidade , carinho e alegria( estão de parabéns)! Além de excelente localização , o hotel possui serviço de restaurante diferenciado( nada como tomar um drink no 16 andar apreciando a vista para a cidade que é, simplesmente, linda)! As dependências são modernas( sugiro estadia em quarto superior com vista para o mar) ! Recomendo e voltarei mil vezes, se preciso for!!"
out. de 2022,5,Excelente,"Atendimento excelente, especialmente por parte do Mensageiro Aloísio. Muito simpático, gentil, solicito. Pretendo voltar mais vezes. Também gostei muito do atendimento do Samuel (recepcionista da noite)."
set. de 2022,3,Hotel ok.,"O hotel é ok. Nada extraordinário. O quarto é bonito e o banheiro é simples. Tv do quarto não tem tv a cabo, só canais abertos, netflix e youtube. Tinha fila no café da manhã, acredito que tenha faltado um pouco de organização da equipe, ainda mais sabendo que seria época de Rock in Rio.  Não esperem luxo desse hotel, as fotos são bonitas, mas o hotel é simples."
set. de 2022,5,Praia Ipanema Hotel,"O Hotel é excelente! Café da manhã bem gostoso e a localização não tinha como ser melhor!  Funcionários muito simpáticos e sempre dispostos a ajudar!  O quarto é amplo, arejado e a cama muito confortável! Chuveiro bom também!  A cereja do bolo é a piscina aquecida, com borda infinita e vista para o mar! Imperdível!!!!"
ago. de 2022,4,"Vista linda, ótima localização","Hotel muito bom, com localização privilegiada em Ipanema. Ficamos em quarto com vista mar, belíssima. Piscina aquecida, com vista perfeita do Morro Dois Irmãos e ótimo serviço de bar. A estrutura dos quartos e banheiro é antiga, mas bem cuidada, com boa roupa de cama. Serviço muito bom, com destaque para o agradável Sr. Orlando que cuida da estrutura da praia na frente. A nota desta avaliação apenas não foi 5 em razão do café da manhã (o nosso foi do SL), que realmente estava ruim nos 5 dias que passamos no hotel. Tentamos bastante, mas, apesar de ter opções, a comida não era bem feita nem saborosa, estando bem aquém do hotel em si. No último dia, desistimos e fomos comer fora. De todo modo, fora o café da manhã, gostamos do hotel e voltaríamos."
ago. de 2022,5,Ótima localização e linda vista para o mar!,"Ficamos com vista para o mar, uma delícia! O quarto é super espaçoso, limpo, confortável e silencioso. A equipe é muito atenciosa e amável. O hotel precisa de um pouco de manutenção, saboneteira descascando, armário com adesivo descolando, mas são detalhes perto da ótima experiência que tivemos por lá!"
ago. de 2022,5,Hotel muito bom!! Recomendo!!,"Localização excelente, na beira mar, com vários restaurantes e lojas por perto. Quarto confortável, limpo, cama e chuveiro muito bons!  Atendimento cuidadoso.  Restaurante do hotel com belíssima vista!!  Quero voltar!!"
ago. de 2022,4,"Melhor localização, mas precisa de conservação!","Já estive no Praia Ipanema Hotel 3x.  Esta última foi novamente ótima a experiência.  As recepcionistas e mensageiros foram sensacionais, assim como o salva-vidas na piscina.  O Hotel fica no MELHOR ponto da Praia de Ipanema e a visão do quarto e tbem do rooftop é extraordinária. Lindo de morrer!  O Café da manhã muito gostoso e os meninos muito atenciosos em até mesmo fazer um pãozinho na chapa.  O restaurante no ultimo andar não nos apetitou por conta de nem sequer as mesas terem pano nelas. Achamos meio ""anti-chic""rsrs!  O quarto é extraorindário e o conforto nota 10!  Soubemos que o Hotel foi vendido e que um grupo o fará de condominio residencial. Isso justifica a falta do ""glamour""e atenção aos detalhes do Hotel. A área da pisinca esta abandonada e não faz jus as fotos da internet. O lounge da recepção não abre, não tem atendimento.  Isso não tira o brilho da hospedagem mas... serviço é serviço. Se está anunciado, deveria haver tudo que está sendo anunciado e isso pode frustrar a experiência.  Novamente, nossa hospedagem foi ótima e agradeço a todos do Hotel pela atenção. Foram nota 10 os atendentes de todos os departamentos!"
jul. de 2022,3,Quase fechando…,"Hotel vai ser transformado em apartamentos de moradia, portanto conservaçao esta ruim, café da manhã com pocas opções e sem  reposição adequada, funcionários negligentes. Ar condicionado central insalubre em limpeza e barulho. Unico ponto positivo é a localização."
jul. de 2022,5,Viagem em familia,"Chegamos bem antes do horário do check in e nos deixaram entrar no quarto gentilmente! Quartos limpos e espaçosos (usamos 2 apartamentos conjugados)! Durante a estadia foi aniversário de um dos meus filhos e o funcionário Bruno organizou uma surpresa no quarto com brigadeiros, bolo e balões! Meu filho amou! Fiz a meia maratona do Rio e eles fecharam um lanche para que eu comesse antes da prova… 🥰! Adoramos a estadia! E a localização super privilegiada!"
jun. de 2022,4,Otimo,"Adorei a acomodação, café da manhã perfeito, localização ótima; única coisa que deixou a desejar foi o banheiro, meio sujo, com vários “remendos”, o restante vale muito a pena, custo benefício excelente."
mai. de 2022,4,Carnaval,"A melhor localização, perfeito para curtir uma praia e apreciar o mar .  O atendimento foi muito bom e o café da manhã bem gostoso, com uma linda vista do mar.  Porém o que faltou no hotel foi um bar mais despojado, um ambiente menos informal para tomar um drink e bater papo com os amigos, pois na piscina não havia lugar e o restaurante do hotel é muito formal, não era um local descontraído, para se entrar no clima do carnaval."
