Data da opinião,Nota,Título,Conteúdo
17 de dez.,5,Satisfação e retorno garantido.,"O hotel possui uma estrutura física muito boa, com excelente localização, que atende às demandas apresentadas.  Destaca-se de maneira ímpar a equipe de colaboradores que atendem com profissionalismo e empatia os clientes. Não medem esforços para trazer a solução para as demandas apresentadas. Equipe comprometida com a excelência e a satisfação dos clientes durante todo atendimento.  Outro ponto a destacar é o café da manhã, contando com uma variedade de opções, com excelente qualidade e sabor.  Enfim, recomendamos a instituição para a opção de hotelaria."
out. de 2022,5,Fantástica experiência,"Foram dias agradabilíssimos durante a estadia no Praia Mar hotel e convention.    O hotel possui ótima estrutura de piscinas, higiene impecável e cito dois pontos fortes a educação e presteza dos colaboradores e recreação.    Como estava com minha filha (8 anos) a opção de pensão completa compensou, pois não foi necessário encarar a ladeira para ter acesso a avenida principal onde está localizado a feirinha, restaurantes e comércios em geral.    Deixo meu agradecimento aos funcionários João Paulo - recepção, Washington - WS Leonardo e a equipe excelente de recreação: Thiago, Lucas, Rosana, Carla e Mário.    Vocês fizeram os nossos dias muito felizes."
17 de dez.,5,Excelente!!!,"O Hotel Praia&mar convention é ótimo e com os profissionais da click Fotografia ficou ainda melhor, pessoas educadas, ótimos fotógrafos, amamos cada minuto em que estivemos em Natal RN. PARABÉNS a toda equipe. Boas festas 🎉🎉🎉"
13 de dez.,5,Experiência maravilhosa!,"O hotel é muito bom, bem organizado, os funcionários bem prestativos, e o melhor é que ainda tem a parte da recreação para as crianças! Quero voltar novamente pois foi uma experiência muito boa! Foram dias muito bons."
12 de dez.,5,Atendimento excelente,"Quero deixar aqui meus agradecimentos à Lucimar pelo atendimento excelente, muito simpática  Sempre paciente e educada, uma pessoa que sabe atender seus clientes da melhor forma possível.  Parabéns 👏👏👏"
12 de dez.,5,Hotel muito bom!,"Hotel muito bom. Funcionários super educados. Quartos bem arrumados e limpeza diária. Café da manhã sortido e muito variado.  Em especial a turma da recreação é topppp! Recreação o dia inteiro pros pequenos, bem diversificada!  Enfim...amamos a estadia!  Estão de parabéns!"
10 de dez.,4,Melhor custo-benefício,". Atende bem as expectativas para viagem em família com crianças. O café da manhã possui boa variedade. O item preferido foi o lazer com a equipe de recreação no kids club. A limpeza das piscinas merece um elogio especial, já me hospedei em outros hotéis que não tinham ta to cuidado."
10 de dez.,5,Volto em breve!,"Simples, mas funcionários educados, prestativos e um excelente café da manhã.  Os funcionários Lucas, Roberto, Vanessa e Amanda da Click fotografias que trabalham em conjunto com o hotel são nota 10.  Fizeram um excelente trabalho conosco. Estou indo embora, com saudades!"
9 de dez.,4,Satisfeito!,"O hotel proporciona diversas opções de lazer(piscinas aquecidas, área de jogos e recreação, restaurante 24h serviço de bar excelente, playground para crianças) . Fomos atendidos pelo garçon Washington no bar da área de piscina que dá acesso ao mar e no restaurante que fica nas dependências do hotel. Referido garçon foi extremamente gentil e cortez, sempre com um agradável sorriso no rosto e extremamente solícito, o que agrega valor ao hotel e bem estar aos hóspedes. Espero que seja próspero em sua trajetória.  O café da manhã é super farto, enorme variedades, show!  O quarto poderia ser um pouco melhor, a área de banho do banheiro é minúscula. Parte das paredes apresentava infiltração, mas não atrapalhou nossa acomodação.  Ressaltei o atendimento do Washington, mas no geral, o atendimento como um todo foi muito bom!👏"
8 de dez.,5,Férias em família,"Foi surpreendentemente maravilhoso.  Estrutura, área de lazer, recreadores!! Alimentação, quarto...sem falhas.  O Mário da recreação é super animado, interessado e preocupado com todos os hóspedes.  Enfim!!  Férias maravilhosas  Recomendo"
3 de dez.,5,Ótima,Gostei muito Mário recreador. Muito criativo e animado. Voltarei em breve para curtir mais o hotel em natal. A praia é ótima. Piscinas são limpas e muito  Agradáveis ambiente familiar. Só não gostei do
1 de dez.,5,Melhor Hotel pra ir com crianças,"Ótima pedida pra quem tem filhos. Localização é excelente, frente à praia. Comida é ótima, escolhemos a meia pensão e o café da manhã assim como o jantar estavam excelentes. Recreação tbm estava excelente, com monitores preparados e que criaram uma programação muito legal. Já fui 4 vezes pra Natal é esse hotel gostamos tanto que na próxima ficaremos nele."
nov. de 2022,5,Achei maravilhoso,"Equipe maravilhosa super competente, rapidez, qualidade, atendimento incrível!  Quero agradecer ao Lucas, Roberto e Fillipe por ter registrado momentos incríveis que tivemos em nossa viagem a Natal.  Super recomendo!!"
nov. de 2022,5,Click RN,"Serviço excelente! Da sessão para as fotografias às mídias... Ótimo atendimento... Agradecida pela atenção e carinho da Amanda, Klebson e Lucas! Agradeço também o presente significativo: o registro de um momento especial!"
nov. de 2022,5,Tudo excelente.,"Amei fazer as fotos com a Click Fotografia, uma equipe super atenciosa. ♥️ Quero deixar meu agradecimento ao Fillipe e a Thays, com certeza voltarei mais vezes. 🤩 Tudo lindo, perfeito! 😍 Atendimento excepcional. ✨"
nov. de 2022,5,Fotos,Boa noite ! O Lucas cara super simpático ! Transmite muita paz e segurança pra nós clientes e amigos ... A equipe toda está de parabéns 👏👏👏👏👏tudo perfeito ... Adorei de verdade . Até a próxima . Um abração .
nov. de 2022,5,Tudo que relatei no item anterior 👆🏼,"Estávamos com família e amigos, uma viagem espetacular, hospedagem ímpar, fotógrafos excelentes atenciosíssimos recepção muito dedicados. Nota 9.0, diversão pra crianças com programação particular. Amei"
nov. de 2022,5,Excelente serviço!,"O que mais me chamou a atenção no hotel foi a qualidade do atendimento. A equipe toda é excepcional. Trabalhadores sempre com vontade de ajudar ao hóspede e com simpatia. Trabalham com gosto. Destaque em especial para o pessoal do Restaurante Aquarium, que sempre fazia de tudo para preparar na hora a comida da minha filhota, mesmo fora do horário do almoço e janta. A qualidade das refeições também me agradou muito. Parquinho infantil dentro e fora da piscina é outro ponto forte do hotel. Música ao vivo na sexta, sábado e domingo também contribui para que os momentos de lazer fiquem ainda mais agradáveis.  Na minha opinião, outro ponto positivo é que o hotel não fica no ponto mais movimentado de Ponta Negra, o que dá mais tranquilidade para os hóspedes e a praia fica mais vazia."
nov. de 2022,5,garçon Washington -WS,"Ótimo atendimento, prestativo, querido, atencioso, sempre prestes a atender. Penso que o Washington tem todas as qualidades que um bom garçom precisa ter. São as palavras minha e da minha família para o hotel Praiamar."
nov. de 2022,5,Convenção Unifarma,"Destaque para o colaborador Leonardo do hotel Praiamar Natal ..... muito educado, simpático e prestativo no atendimento .... hotel muito bom para sua qualificação de 4 estrelas..... a cidade é muitobonita e agradável!!!!"
nov. de 2022,5,visita praia mar,"estive no praia mar agora em novembro e adorei tudo, principalmente o garçom leonardo, que nos atendeu de uma forma fenomenal, melhor atendimento que eu já recebi, muito bom hotel, adoramos ter passado esses dias aqui"
nov. de 2022,1,Acomodação Péssima,"Vim participar de um congresso e só consegui entrar no quarto no final do evento, já bastante tarde.  Deparei-me com um quarto sem a menor condição de hospedar alguém.  Roupas de cama disponível imunda! Sem cobertor disponível. Quarto estrelante sujo, tomada quebrada, teto mofado, cortina suja. Poeira sem limpeza há tempos.  Travesseiros horríveis, colchão nada confortável.  Box do banheiro minúscula com dispenser de sabonete líquido vazio.  Quarto nojento e muito mal conservado!  Péssimo! Não se hospedem aqui!"
nov. de 2022,3,Não vale o quanto custa,"Hotel é bom, mas é caro pelo que entrega.    A área da piscina é pequena e não há criatividade no menu. O mesmo cardápio é servido no restaurante quanto no espaço em frente ao mar.    O quarto é relativamente bom, mas o banheiro é um pouco antigo e possui um cheiro não muito agradável.    Os recreadores são desanimados e não se responsabilizam pelas crianças, você deve acompanhar as atividades. O cronograma de atividade não é cumprido à risca. Um dia na agenda estava previsto almoço infantil com os instrutores, mas aparentemente os profissionais optaram por não realizar sem informar aos hospedes, fomos deixar nossas filhas no restaurante e soubemos que não iria acontecer..."
nov. de 2022,4,Bom mas precisa melhorar !,"Hotel com uma infraestrutura maravilhosa para quem tem crianças. O quarto com varanda vista para o mar é bom. Peca em pequenos detalhes como telefone do quarto sem funcionar, falta de um explicativo no quarto com ramais e serviços. Café da manhã maravilhoso! Fomos muito bem atendidos por todos principalmente pelo garçom Darlen, atencioso, prestativo e super competente. Única reclamação é o cardápio que deixa muito a desejar. Não gostamos dos petiscos ( decepcionada com o camarão empanado que veio torrado e o filé de peixe) vimos depois as pessoas devolvendo as porções mas não fizemos o mesmo, deveria ter feito. O mesmo cardápio é do hotel e da área de lazer. Falta opção. Tivemos que sair todos os dias para comer fora. Espero que melhore porque faz total diferença."
nov. de 2022,5,Sobre a recreação do hotel praiamar.,"Sobre a recreação do Hotel praiamar, amamos deixar nossos pequenos sob os cuidados dos tios Carla e Murilo, esses foram excelente como monitores. Super indico e agradecemos muito os cuidados e atenção."
nov. de 2022,5,Visita a Natal,"Excelente atendimento e a fotógrafa foi maravilhosa! O material é de qualidade inquestionável. Tive meus momentos em família eternizados para sempre nas câmeras dos melhores da região! Parabéns, a todos!"
nov. de 2022,5,Avaliação,"Conheci o trabalho da empresa Click fotografias e gostaria de agradecer a vendedora Joyce e fotógrafo Whesley pela atenção, obrigada tbm para vendedora Anna que me abordou e como os demais foi muito gentil e atenciosa."
nov. de 2022,5,FAMILIA BASE DE TUDO,"O pessoal é simplesmente atencioso e gentil,qualificacao excepcional de profissionais competentes fotografar e uma arte que nos deixa feliz com as experiências da vida,isso eles conseguiram representar nessas fotos"
nov. de 2022,5,Maravilhoso!,"Chegamos no Praia Express e fomos informados pela Vanessa do brinde que tínhamos. Ela foi muito simpática. A fotografa Kleite foi maravilhosa. E o atendimento do Lucas em mostrar as fotos , selecionar foi maravilhoso. Parabéns a toda equipe."
nov. de 2022,5,Férias em família.,"Não é sobre fotografar, ou vender um produto. E sim sobre ser carismático, simpático sabendo registrar momentos incríveis sabendo ser o mais incrível possível.@ Clickfotografias vocês foram phoda!!!! Encantada com cada registro, parabéns equipe, vcs souberam nos emocionar. Equipe top demais."
