Data da opinião,Nota,Título,Conteúdo
uma avaliação Ontem,5,Primeira vez em NATAL,"Muito bom o hotel, comida boa, atendentes educados, ótima visto da piscina, com fotógrafos incríveis da paparazzi, Joyce selecionou as nossas fotos e nós deu aquele desconto que todo mundo gosta amei tudoooo❤️❤️"
nov. de 2022,1,Cobrança indevida,No fechamento das contas fomos cobrados com valores em duplicidade nas despesas de restaurante. Explicamos o ocorrido mas não tivemos nenhuma consideração dos atendentes da recepção. Fomos cobrados por consumo que não realizamos
nov. de 2022,5,Férias,"A experiência está sendo incrível, o ambiente maravilhoso e os atendimentos perfeito, nossa família com certeza iremos voltar. As nossas fotos com a Paparazzi ficaram lindas e a equipe super atenciosa e dedicados, obrigada Fabíola e o Lucas que registraram tudo."
nov. de 2022,5,Férias ‘em Natal/RN,"Hotel pontal mar muito bom, café top, espaço laser muito bom, piscina boa, atendimento bom, quartos ótimos, boa localização, brinde e programs de fotos Da Paparazzi e o Melhor, fotos Lindas com a Jessica e Sayonara."
nov. de 2022,4,Bom hotel,Hotel muito bom. Relação custo benefício vale a pena. Bem localizado. Funcionários educados. Limpeza dos quartos de acordo com esperado. O café apesar de ser repetitivo sem variações era bom. Gostei.
nov. de 2022,5,Férias,Hotel muito bom. Café da manhã maravilhoso. Nada a reclamar.  Gostaria de agradecer a equipe paparazzi fotógrafa Mariana que fez ótimo trabalho. E também a Beyonce . Logo estaremos de volta. Obrigado a todos.
nov. de 2022,5,Férias,"Férias muito incríveis no hotel, piscina e café da manhã muito agradaveis,os funcionários muito atenciosos, e a equipe da Paparazzi que fizeram fotos incríveis, me senti uma celebridade com as fotos do José Anderson e o atendimento impecável da Andreza."
nov. de 2022,4,Ótima estadia. Hotel que atende bem as necessidades dos hóspedes.,"Instalações muito boas, café da manhã incrível.  Piscina ótima.    Um ponto de atenção ao wi-fi. Não funciona muito bem.  A Empresa de fotos paparazzi que faz fotos no hotel, é maravilhosa!  Excelente atendimento prestado pela JOYCE, responsável pelos pacotes.  Pessoa e profissional incrível!    O Hotel necessita de treinar os recepcionistas para melhor atender os clientes."
nov. de 2022,5,Paparazzi fotos,"Natal é lindo demais o hotel Pontalmar oferece um serviço muito legal aos hóspedes, serviço de fotos. Fotos lindas com ótimo atendimento da Karen e do João fotógrafo. Fotos da minha família 💙 em um momento muito especial"
out. de 2022,4,Minhas ferias,"Gostei muito do hotel, amei as comidas..os quartos bons porém só a área da piscina que deixa a desejar, amei a sessão de fotos que eu e minhas amigas ganhamos e amei a recepção da fotografa Maria Erivanesa e juntamente da vendedora Karen, gostei tá receptividade e do brinde que o hotel juntamente da Paparazzi oferece por apartamento amei muito tudo, espero voltar novamente"
out. de 2022,5,Viagem com minha irmã,"Amei o hotel, promete tudo oque oferece apenas a ária da piscina que deixa a desejar mas de resto mil e uma maravilha, amei as fotos com a Erivanesa e o atendimento da Karen da paparazzi. Amei toda a minha experiência neste maravilhoso hotel ❤❤❤❤❤❤❤❤❤❤❤❤❤"
out. de 2022,3,Pontalmar,"O café da manhã é ótimo, funcionários gentis e atenciosos e limpeza ok.    Hotel bem localizado, perto de muitos restaurantes e da avenida principal, porém é um hotel que não tem vista para o mar, ele fica em frente ao hotel Rifoles.    Todos os dias trocaram nossas toalhas e feito limpeza e organização do quarto.    No sentido negativo, o hotel tem estrutura antiga, o ar condicionado parece um ar condicionado central muito antigo, apresentando cheiro de mofo.    A cama faz muito barulho ao realizar qualquer movimento e os quartos são bem próximos uns dos outros, sendo possível escutar tudo, principalmente o som da Rua que é bem movimentada de manhã.    A vista tá piscina é linda, no entanto, para quem sente frio, não é tão gostoso devido ventar demais aqui,  e por ser localizada no 6° Andar, quase não fizemos uso.    O preço das bebidas é exorbitante, infelizmente precisamos ir na conveniência na esquina comprar as coisas porque não havia condições de consumo aqui.    A internet não funciona, tivemos muita dificuldade inclusive de assistir Netflix.    Antes de virmos no hotel, vimos vários comentários e acreditamos que era frescura das pessoas, ou que as pessoas eram muito exigentes, mas infelizmente fatores citados acima afetam muito a qualidade da viagem."
out. de 2022,5,"Estadia maravilhosa nesse hotel que nos acolheu pela primeira vez nessa cidade. Tudo muito lindo e organizado, super ama","Hotel maravilhoso, atendimento espetacular super atenciosos.  Café da manhã de excelência, tudo muito bom.  A estadia neste hotel foi maravilhoso, sem falar nos paparazzi que são show em especial ao meu paparazzi Vitor Davi que fez minhas fotos, e a vendedora Andreza que nos atendeu maravilhosamente bem educada atenciosa. Simplesmente amei minha estadia neste hotel."
out. de 2022,4,Passeio,"Área da piscina é excelente, atendimento dos funcionários, limpeza do quarto e refeições muito bem feitas! O Wi-Fi e o espaço para exercícios deixa a desejar. O atendimento da Beyonce da Paparazzi é muito bom! Além disso, as fotos são de ótima qualidade."
out. de 2022,5,Férias,"Ótimo hotel, com ótima localização, comida muito boa, com excelente atendimento e infraestrutura, com sauna, piscina. Agradecemos a equipe da Paparazzi e da fotógrafa Heloisa e da Beyoncé pelas fotos."
out. de 2022,4,Férias em família,"Excelente café da manhã, boa estrutura, muito boa opção do paparazzi no hotel. A equipe é muito atenciosa, e atendimento da vendedora Beyoncé é nota 10, muito educada. A área da piscina é exuberante, muito linda!!!"
set. de 2022,5,Viagem em família,Achei o hotel muito bom.a fotógrafa Mariana maravilhosa atenciosa com as crianças e gentil com a gente.. a atendente da loja do paparazzi Izabela super recepitiva.os atendentes do hotel super atenciosos.
set. de 2022,5,Férias em família,"O hotel Pontalmar foi muito bom, excelente atendimento, recepção, café da manhã, piscinas, todo excelente.  Fizemos as fotos com a equipe paparaze que foi excelente, desde a fotógrafa Laura Aline, muito atenciosa, gente boa, ao vendedor Gustavo, muito atencioso, super indico, amei demais 😉"
set. de 2022,5,Em família,"Essa é a nossa primeira viagem em família para Natal, estamos gostando muito do muito lindo!!! Fizemos um ensaio fotográfico com a paparazzi show, a nossa fotógrafa foi a Tatiany, ela foi maravilhosa com a gente e a Ana vendedora nos atendeu muito bem gostamos muito. Levamos um pacote maravilhoso com ela. 🥰❤️🎉🎈😊"
ago. de 2022,1,Viagem de férias em familai,"Péssima experiência nesse hotel, fomos acomodados em um quarto ao lado da recepção com muito barulho, durante a madrugada inteira, o supervisor da recepção foi extremamente grosseiro conosco e mal educado. Nenhuma das solicitações que fizemos foram atendidas e ainda nos cobraram um dia de janta, sendo que na reserva pagamos pela opção de meia pensão, em que o jantar deveria estar incluso.  Não recomendo e não voltaria."
ago. de 2022,5,Turistando,"Gostamos do hotel, a comida é boa, café da manhã maravilhosa. O quarto é limpo todos os dias e tudo foi bem atendido.  A equipe da Paparazzo, adoramos. Fomos bem atendidos. A atendente Beyoncé tem um excelente atendente."
ago. de 2022,5,Viagem em família,"Hotel maravilhoso , serviços e café da manhã maravilhosos , equipe paparazzi maravilhosa , fotógrafo Alan e editora beyonce mandam muito , amei demais .  Indico de olhos fechados .  Ambiente familiar e área de lazer não decepcionam ."
ago. de 2022,5,Maravilhoso,"Recomendo ótimo Hotel, aconchegante, quarto com ar condicionado, acomodação, piscina show, restaurante e garçom bem atencioso e gentileza ,perfeito atendimento.  Ótimo atendimento na Recepção e Serviço de quarto .  Fotógrafos : Josi e Thiago (Paparazzi) na estatia para registrar os momentos inesquecíveis e a cortesia com o brinde com sua foto."
ago. de 2022,5,Excelente Viagem a Natal.,Excelente Hotel. O atendimento dos funcionários foi ímpar. Todos muito educados e sempre solícitos. Estão de parabéns. Recomendo sem sombra de dúvidas. Com certeza iremos voltar. Muito obrigado pela excelente estadia.
ago. de 2022,5,Adorei,"Adorei hotel atendimento excelente Thiago que nos atendia no restaurante sensacional está de parabéns.  Tudo muito limpo e organizado impecável, alimentação maravilhosa.  Com certeza voltarei 😉  ,.... . ..... .... .... . . ......"
ago. de 2022,5,Férias,"Próximo a praia, café da manhã excelente com opção de fotos paparazzi fizeram fotos incríveis atendimento super atencioso da Fabiula na escolha das fotos e do José super criativo e cativante com a bebê."
