Data da opinião,Nota,Título,Conteúdo
dez. de 2022,5,Perfeito!,"Sensacional! Hotel impecável na limpeza e Manutencao e atendimento primordial, deixando o hóspede muito satisfeito e a vontade. A educação e disposição de todos é algo que chama a atenção. Parabéns ao time de RH por conseguir preparar uma equipe tão bem. Pontos que sentimos falta: falta de música ambiente na piscina e mais opções de vinhos."
dez. de 2022,5,Hotel perfeito em todos os sentidos,"O hotel está dentro do parque e de frente para as cataratas. O serviço é perfeito, o quarto é fantástico conta c todos os mimos possíveis, o restaurante além de completo você é observado p não ter o mínimo de frustração. Um dos melhores q fiquei"
dez. de 2022,5,Inesquecível!,"O melhor hotel que já visitamos!! Atendmento AAA!! Cada membro do hotel nos trata como conhecidos, pelo nosso nome... inclusive o nome das minhas filhas... Localização privilegiada em meio a natureza... Espetacular!!"
nov. de 2022,5,Excelente atendimento lindo lugar,"Excelente hotel! Atendimento fantastico! Comida espetacular e localização estratégica! Cama confortável. Bom chuveiro e funcionarios sempre com atenção e sorriso no rosto. Todos produtos Granado, hotel bem conservado. Foco na natureza."
nov. de 2022,5,Para voltar mais vezes,"Uma experiência para recordar para sempre. Estar no Palácio cor de rosa é inesquecível por conta do atendimento, das refeições, da gentileza dos funcionários, do ambiente bem cuidado e perfumado e por visitar as cataratas em qualquer horário. Toda a equipe é muito educada, sorridente e prestes a ajudar em tudo o que puder. Enalteço o trabalho da equipe da alimentação e serviço: Fábio, Claudiano, David, Sarah, Ilton, Catafesta. Desde a recepção no check-in, acomodação do quarto, café da manhã com produtos de qualidade, almoço no buffet, área da piscina... tudo detalhista, bem planejado e com qualidade. Com certeza um local para voltar mais vezes. Obrigada e parabéns para toda a equipe!"
dez. de 2022,5,Perfeito!,"Sensacional! Hotel impecável na limpeza e Manutencao e atendimento primordial, deixando o hóspede muito satisfeito e a vontade. A educação e disposição de todos é algo que chama a atenção. Parabéns ao time de RH por conseguir preparar uma equipe tão bem. Pontos que sentimos falta: falta de música ambiente na piscina e mais opções de vinhos."
dez. de 2022,5,Hotel perfeito em todos os sentidos,"O hotel está dentro do parque e de frente para as cataratas. O serviço é perfeito, o quarto é fantástico conta c todos os mimos possíveis, o restaurante além de completo você é observado p não ter o mínimo de frustração. Um dos melhores q fiquei"
dez. de 2022,5,Inesquecível!,"O melhor hotel que já visitamos!! Atendmento AAA!! Cada membro do hotel nos trata como conhecidos, pelo nosso nome... inclusive o nome das minhas filhas... Localização privilegiada em meio a natureza... Espetacular!!"
nov. de 2022,5,Excelente atendimento lindo lugar,"Excelente hotel! Atendimento fantastico! Comida espetacular e localização estratégica! Cama confortável. Bom chuveiro e funcionarios sempre com atenção e sorriso no rosto. Todos produtos Granado, hotel bem conservado. Foco na natureza."
nov. de 2022,5,Para voltar mais vezes,"Uma experiência para recordar para sempre. Estar no Palácio cor de rosa é inesquecível por conta do atendimento, das refeições, da gentileza dos funcionários, do ambiente bem cuidado e perfumado e por visitar as cataratas em qualquer horário. Toda a equipe é muito educada, sorridente e prestes a ajudar em tudo o que puder. Enalteço o trabalho da equipe da alimentação e serviço: Fábio, Claudiano, David, Sarah, Ilton, Catafesta. Desde a recepção no check-in, acomodação do quarto, café da manhã com produtos de qualidade, almoço no buffet, área da piscina... tudo detalhista, bem planejado e com qualidade. Com certeza um local para voltar mais vezes. Obrigada e parabéns para toda a equipe!"
dez. de 2022,5,Perfeito!,"Sensacional! Hotel impecável na limpeza e Manutencao e atendimento primordial, deixando o hóspede muito satisfeito e a vontade. A educação e disposição de todos é algo que chama a atenção. Parabéns ao time de RH por conseguir preparar uma equipe tão bem. Pontos que sentimos falta: falta de música ambiente na piscina e mais opções de vinhos."
dez. de 2022,5,Hotel perfeito em todos os sentidos,"O hotel está dentro do parque e de frente para as cataratas. O serviço é perfeito, o quarto é fantástico conta c todos os mimos possíveis, o restaurante além de completo você é observado p não ter o mínimo de frustração. Um dos melhores q fiquei"
dez. de 2022,5,Inesquecível!,"O melhor hotel que já visitamos!! Atendmento AAA!! Cada membro do hotel nos trata como conhecidos, pelo nosso nome... inclusive o nome das minhas filhas... Localização privilegiada em meio a natureza... Espetacular!!"
nov. de 2022,5,Excelente atendimento lindo lugar,"Excelente hotel! Atendimento fantastico! Comida espetacular e localização estratégica! Cama confortável. Bom chuveiro e funcionarios sempre com atenção e sorriso no rosto. Todos produtos Granado, hotel bem conservado. Foco na natureza."
