Data da opinião,Nota,Título,Conteúdo
ago. de 2022,2,Quartos antigos e mofados.,"Quarto com banheiro mofado, paredes sujas e televisão com péssimo sinal. Janela com trava quebrada, sendo obrigado a colocar papéis para evitar o barulho com o vento na madrugada.    Café da manhã bom. Estacionamento difícil …"
jul. de 2022,5,Uma hospedagem muito boa!,"Desde a reserva até o check out, uma ótima experiência. Todos os funcionários, sem exceção são preocupados em atender as necessidades dos hóspedes. Um café da manhã muito bom. Ficamos em um quarto com ótima vista e com boa manutenção."
jul. de 2022,3,Tristeza,"Me deu uma tristeza enorme em vivenciar o Hotel, primeiro que você não acha em lugar algum o telefone e email do Hotel e se você chegar a noite fica desesperado porque não tem como avisar; depois a Hospitalidade da recepção da noite e por fim a clara falta de manutenção do Hotel. É notório que o Hotel já foi um Flat, mas hoje tem uma localização ótima, um vista linda, mas carece de manutenção. Chegamos com 2 elevadores quebrados, os móveis dos quartos estão empenados, porta entre quanto e banheiro idem e o box do chuveiro vaza água para o banheiro todo."
jun. de 2022,5,Ótimo para descanso e trabalho,"Local na Ponta Negra, próximo de vários lugares de lazer e compras, com uma pequena cainhada você chega a vários lugares de interesse. O quarto é amplo, com estação de trabalho confortável e de boa iluminação. Televisão LCD com boa variedade de canais, espaço limpo e ótimo atendimento."
jun. de 2022,5,Recomendo,"Equipe super atenciosa, prestativa e resolutiva. O melhor do hotel é a equipe de lá, que faz um trabalho excelente.  No restaurante não havia opção de prato ovo-lacto-vegetariano no menu de almoço. A equipe de garçons e do restaurante prontamente se disponibilizaram a elaborar um prato com minhas sugestões. Sou imensamente grata a eles. Parabéns pelo trabalho!    As instalações são boas, amplas, arejadas, em bom estado de conservação, confortáveis. Linda vista para o mar, onde o sol nasce. Hotel muito próximo à praia e aos comércios de Ponta Negra. Recomendo muito!"
mai. de 2022,3,"Adequado, mas falta investimento!","A localização do hotel é boa, todos os quartos têm vista para o mar, mas as instalações são muito antigas. Precisa de uma boa reforma e colocar TVs mais modernas. O café da manhã é adequado, não tem nada demais. A equipe é bem calorosa."
mar. de 2022,3,Podia ser melhor!,"O hotel precisa de reformas. Principalmente nos banheiros. O atendimento é bom, bem prestativo. O café da manhã é fraco, e parece ser característica comum aos hotéis da rede Quality( já fiquei em outros, e é sempre a mesma coisa, pouca fartura e espaço pequeno). A localização é o grande ponto deste hotel."
mar. de 2022,3,Experiência mediana,"Hotel com localização excelente, todos os quartos possuem vista mar, mas as instalações são muito antigas. O banheiro do meu quarto estava com a torneira da pia estragada, box não fechava a porta direito molhando tudo, o ar condicionado muito velho barulhento, coisas pontuais que uma boa reforma resolveria.  O café da manhã em períodos com o hotel lotado é pouco farto, e em dias vazios é bem básico."
fev. de 2022,5,Uma excelente surpresa!,"Foi uma breve reserva de uma noite antes de irmos pra Pipa. Era meu aniversário e da minha amiga e comunicamos ao hotel.  O hotel nos surpreendeu e muito! Carta de boas vindas, 02 mini bolos, bexigas, feliz aniversário e uma mega atenção - enquanto fazíamos check in a equipe subiu pro apto e até vela ascenderam. PARABÉNS! Foi rápido, mas surpreendente e marcante!  O apto é ótimo! Grande, limpo! Sensacional!"
jan. de 2022,2,"Apesar da maravilha da cidade, vivemos uma experiência ruim","O hotel oferece boa estrutura, acomodação excelente, vista maravilhosa. Cabem elogios ao gerente Hugo, o Juscelino na recepção e no café (muiiiiito bom), o destaque da gentileza do Hugo Daniel e da Iracema, que nos receberam com muito carinho. A localização é boa em referência a praia, tendo um dos melhores acessos, mas em relação ao ponto dos restaurantes etc, fica distante, mesmo na mesma avenida. Os problemas pontuais que pesa na decisão de não retornar mais ao hotel estão relacionados ao deficiência no serviço de wi-fi, dificuldades com o elevador que sempre apresentava defeito em algum deles, levando a um tempo grande de espera e a manutenção da acomodação. O responsável nós atendeu, com ma vontade visível e não resolveu o vazamento no banheiro e nem o meu funcionamento do controle da TV. O maior problema, no entanto, está na recepção. Hotelaria é um ramo que se espera cortesia e gentileza, mas um dos funcionários (que, para mim), não entra na categoria colaborador já que é o oposto disso (Izac), era incapaz de ser simpático, mal respondia ao nosso bom dia e foi o responsável por um evento constrangedor, logo na nossa chegada, que prefiro não detalhar aqui, mas é de conhecimento da gerência. É uma pena, mas dificilmente voltaremos a este hotel."
dez. de 2021,5,Férias,"atendimento de Primeira, café da manhã maravilhoso, Hugo Daniel, do restaurante, sempre atendia a todos os nossos pedidos. A foto foi tirada da janela do quarto, vista do morro do careca, belíssimo…Recomendo."
dez. de 2021,5,Hotel surpreendente,"Atendimento cinco estrela, funcionários atenciosos e gerente muito bom. O café da manhã bom e a localização excelente. Dicas de passeios e muito mais por parte dos funcionários. Quartos espaçosos e confortáveis. Custo benefício nota 10."
