Data da opinião,Nota,Título,Conteúdo
uma avaliação Hoje,5,Recomendo sempre,"Excelente servico, limpeza impecável, funcionários muito educados e prestativos, destaque para Anderlei e Ícaro, café da manhã muito bom também e com várias opções de refeição nas imediações, piscina bem cuidada"
uma avaliação Ontem,5,Limpeza. Localização.,Limpeza impecável. Área de convivência interessante e com privacidade. Excelente localização e facilidade para acessar o estacionamento. Chekin facilitado. Sugerido melhorar sistema de identificação dos véiculos dos hóspedes.
16 de dez.,5,Hotel excelente,"Atendentes super atenciosos, quarto limpo e aconchegante, piscina top, café da manhã bem servido. Tudo ótimo.  Tudo muito bom, localização excelente. Enfim, tudo nota 10.  O hotel fica bem localizado no centro de Foz, próximo a tudo."
15 de dez.,5,Excelente estadia,"O hotel tem uma excelente localização no centro, com restaurantes e comércio tudo ao pé, também está muito perto do terminal rodoviário urbano onde tem os transportes para as cataratas, parque das aves, itaipu e cataratas do lado argentino. Os quartos são confortáveis, espaçosos e limpos. O pequeno-almoço almoço é variado e de qualidade."
13 de dez.,5,Excelente,"A estadia foi maravilhosa, tudo excelente, recepção foi calorosa, em questão de organização estão de parabéns, a alimentação bastante saudável, a limpeza perfeita, a segurança e valor da hospedagem foram primordiais, Valeu!"
13 de dez.,5,Viagem a foz do Iguaçu,"Excelente hotel. Muito limpo e organizado. Atendentes muito solícitos. Hotel muito bem localizado, com serviço d agente de viagem a disposição (o q facilita muito a viagem). Café da manhã excelente, sendo o primeiro hotel que me hospedo que tem freezer para os frios do café da manhã."
9 de dez.,5,Otimo hotel,"Ótimo hotel, muito bem localizado, perto de bons restaurantes, shopping…  Excelente café da manhã, internet funcionando perfeitamente para quem necessita trabalhar, funcionários sempre muito solícitos, cama confortável e ar condicionado funcionando perfeitamente em dias de muito calor."
8 de dez.,5,Excepcional,Excelente hotel. Café da manhã excepcional. Funcionários muito receptivos. Esqueci um item no hotel e me devolveram imediatamente aí realizar o check out. Nada a reclamar. Pena que não fiquei mais tempo. Mas voltarei com certeza.  Único livro negativo é que tive de deixar o quarto 12hs sendo que o vôo de volta era 19hs. Mesmo tendo realizado o check-in às 21hs. Mas ainda assim ficamos nas dependências do hotel aguardando. Então não foi tão ruim.
7 de dez.,5,Melhor Hotel de Foz!,"Melhor Hotel de Foz! Simplesmente nota 1000.  Sou cliente desde 2014, sempre que vou a cidade fico hospedado no Águas do Iguaçú. Melhor localização para se deslocar para tríplice fronteira, Limpeza nota 10, buffet de café da manhã variado. E gostaria de ressaltar também o excelente atendimento do atendente Anderlei, o mesmo foi muito atencioso e cordial conosco."
6 de dez.,5,"Limpeza , cuidado e confiança.","Já tinha me hospedado no hotel, e tinha esquecido meu carregador no quarto a uns 2 meses, acontece que graças a atenção e profissionalismo da camareira DELMA tive a feliz surpresa de encontrar meus objetos me esperando quando me hospedei novamente no hotel. Hotel confiável não e com profissionais de verdade não tem preço. 2 meses e meus objetos aguardaram meu retorno."
5 de dez.,5,Excelente atendimento e limpeza,"Excelente hotel, ótima localização, quartos limpos e a camareira Graciela super atenciosa e bem caprichosa. Tem farmácia, banco e locais para lanches mas proximidades de hotel com estacionamento no local"
