Data da opinião,Nota,Título,Conteúdo
dez. de 2022,5,Honra o que oferece,"O Hotel Deville é uma ótima opção para quem busca boa localização e uma hospedagem tranquila. Possui ótimos quartos, o café da manhã tem bastante variedade de frutas, pães, frios, cereais, entre outras opções. Ótimo para quem quer bater perna e para quem vai a trabalho."
dez. de 2022,4,Ótima limpeza com excelente localização,"Hotel bem organizado, com ótima limpeza e atendimento, além de uma excelente localização. Quarto grande, confortável, com ótimo WIFI e TV com canais da CLARO/NET. Ar condicionado split muito bom e silencioso. Observação para as camas que eram de casal e poderiam ser Queen. Café da manhã muito bom. O hotel fica muito próximo a rua 24 Horas (150m). O Vallet do estacionamento é bem rápido."
dez. de 2022,5,Recomendo,"Ótima receptividade, carisma e prontidão de todos os profissionais do hotel, excelente café da manhã, o cardápio das refeições bem sugestivo e variado. Obtive as informações que precisava para passeios, etc..."
dez. de 2022,2,Não tinha o prometido das informações.,"Nos informativos avisava que teriam roupões, e no quarto não tinha e quando questionei falaram que não estava em minha categoria, foi uma viagem de emergência então precisava para dormir, mas já era tarde e o rapaz da recepção não conseguiu…  E atendimento da menina que trabalha no café péssima."
nov. de 2022,5,Hotel Deville Batel Curitiba,"Excelente Hotel, silencioso, quarto grande com cama gigante, TV grande 36'', banheiro e quarto limpos e cheirosos, ruidos externos são muito poucos. café da manhã delicioso, colaboradores nota 100 em respeito, cordialidade e educação. muito bem localizado, proximo a restauratres, padaria e mercado.  RECOMENDO E VOLTO COM TODA CERTEZA."
nov. de 2022,5,HOSPEDAGEM DE EXCELÊNCIA,"Colaboradores muito acolhedores, sempre disponíveis em todos os setores, se mostrando presentes aos hospedes. Organização, limpeza, alimentos bem preparados e variados. Só posso agradecer pela hospedagem ""MARAVILHOSA"" e dizer ""PARABÉNS"""
nov. de 2022,4,Ótimo hotel,"Hotel muito bem localizado, com ótima limpeza, boas opções de serviço de quarto. Apenas o cafe da manha que não tinham tantas opções mas era de qualidade. A maioria dos funcionários super educados, apenas o do check in que não era agradável"
nov. de 2022,5,Tudo de bom no Deville Curitiba!!,"Minha estada foi muito boa!!! Quarto limpo, chuveiro excepcional, banheiro com cheirinho gostoso!!! Internet boa e café da manhã, também só faltava o estacionamento ser melhor, fica a uma quadra!!! Mas a nota continua 10!!! Equipe  Muito boa também!!!"
nov. de 2022,5,Deville Hotel Curitiba é só elogios. Nota mil em tudo.,"O Deville Hotel Curitiba é simplesmente notal MIL em tidos quesitos.  Localização, acomodação, receptividade, atendimento atencioso e simpático por todos funcionários e o café, bem o café deveria servir de e exemplo a todos demais hotéis.  Faço questão de registrar elogio especial aos funcionários da recepção Eduardo, Felipe, Rossol, Marcelo e Anderson."
nov. de 2022,5,Atendimento e localização,"Excelente atendimento pelo pessoal da recepção, um ótimo café da manhã servido em um ambiente muito agradável. A localização do hotel é perfeita, facilitando o acesso a vários pontos de interesse. Parabéns."
nov. de 2022,5,Excelente,"Sétima hospedagem q efetuamos no hotel, sempre bem atendidos,  Restaurante ótimo, Serviço ótimo e atencioso de todos, Mesmo qdo hotel está lotado o serviço é excelente  Durante a pandemia nos sentimo seguros com tod higiene e proteção  Obrigado"
nov. de 2022,3,Ok,"Atendimento ótimo. Equipe prestativa e cordial. Problema é a segurança do hotel na chegada, muitos pedintes já chegam no carro logo na descida na porta do hotel. Ar condicionado do quatro era bastante antigo e não funcionava direito."
nov. de 2022,3,expectativa de melhores custo beneficio,"esta necessitando investimento de reforma, tarifas equivalentes sendo ofertadas por outros estabelecimentos custo beneficio melhor. Roratividade de pessoal alto. Anteriormente quando hospedava, a recepção dirigia a mim pelo nome. Hoje, eles tem dificuldade em concontrar meu cadastro para confirmar que sou cliente usual e não esporadico do hotel deville"
nov. de 2022,5,Excelente atendimento e serviços,"Além de prestar excelentes serviços, oferece um ótimo café da manhã, muito bem localizado, quarto excelente, vc encontra no entorno do hotel tudo que necessita desde farmácias, supermercados aé shopping"
nov. de 2022,5,Ótima localização,Ótimo atendimento por parte dos funcionários. Quarto limpo e espacoso e o chuveiro é otimo.. Cafe da manhã muito bom e com variedades.. Com certeza na próxima viagem escolheremos esse hotel para hospedar novamente.
nov. de 2022,5,Conforto e excelente localização no Centro da cidade,"Costumo me hospedar no bairro Batel, mas dessa vez precisei ficar no centro da cidade. O Devile foi uma excelente opção em todos os quesitos. Localização perfeita, café da manhã , instalações e atendimento de alta qualidade!"
nov. de 2022,5,"Otimo hotel, bem no centro de Curitiba!!!","Foi ótima nossa hospedagem no Deville, bem no centro, perto de farmácia, Madero, Rua 24h. Fácil acesso, atendimento excelente. Estacionamento e pago a parte, porém não tenho que reclamar. Café da manhã SUPER completo, excelente e delicioso."
out. de 2022,5,Ótima relação custo benefício,Hotel Bem localizado.  Quarto bem espaçoso.  Boa instalação.  Check in e Check out muito prático e rápido.  Café da manhã muito bom e com boas alternativas para lazer.  Recebi boas indicações que corresponderam às minhas expectativas.  Não terei mais problemas com escolha de hotel na próxima vinda à Curitiba
out. de 2022,5,top,"horario do cafe poderia começar mais cedo, mas tudo bem feito, e sabaoroso, recpção todos atenciosos, tudo 100%, sem reclamaçoes sobre os funcionarios e atendimentos, higienização do ambiente maravilhoso."
out. de 2022,4,"Boa localização, cama confortável","A cama e chuveiro são muito bons. Boa localização, É possível ir ao Shopping a pé, possui um supermercado próximo, em frente ao Madero Restaurante. Cheguei antes do horário de check in e liberaram o quarto sem problemas."
out. de 2022,4,Muito bem localizado.,"O hotel é muito bom, muito bem localizado, o atendimento é excelente. Os cuidados com o COVID estão excelentes, alcool gel em todo lugar e os funcionários usam máscara o tempo todo. Recomendo e voltaria a me hospedar aqui."
out. de 2022,5,Recomendo,"Me hospedei neste hotel, onde no mesmo estava fazendo um curso. Fiquei por um período de cinco dias, e que pode perceber a qualidade do hotel. Tem ótimas acomodação, um bom atendimento, um excelente café da manhã, com muita variedades de alimentos. Eu recomendo."
out. de 2022,5,Ótimo atendimento,"Hotel muito bem localizado, quartos confortáveis e limpos, e com funcionários muito educados e prestativos, equipe da recepção e da governança sempre muito prestativas. Quando voltar a Curitiba, me hospedarei novamente nele."
out. de 2022,5,Excelente localização,"Hotel bem localizado, próximo às ruas das flores e 24 horas, Hard Rock Café, transportes e comércio. Funcionários receptivos. Boas acomodações e com bons banheiros. Estacionamento pago, porém, válido."
out. de 2022,5,Ótimo hotel,"Ótima localização, limpo, cama confortável, ótimo atendimento, bom café da manhã, ótimo aquecimento de água, tv com vários canais, boa internet.  Único, pequeno, ponto negativo para mim é o carpete no quarto."
out. de 2022,5,Hotel novo,"Hotel com instalações novas, quarto confortável, limpo, banheiro com uma ducha ótima, café da manhã bom, funcionários atenciosos e ótima localização. Tv com poucos canais. Evite quartos próximos ao elevador, andar baixo e do lado direito do corredor, com vista para um paredão, enquanto do outro lado, é com vista para a cidade. Próximo, está o Shopping Curitiba, a 3 quadras do hotel."
out. de 2022,5,otima,"Experiência muito boa. Hotel muito bem localizado, atendimento nota 10, quarto bem confortável, um pequeno desconforto com o chuveiro, mas nada de mais. Não usei o serviço do restaurante, mas com experiência no café da manhã foi excelente."
set. de 2022,5,Excelente,"Recomendo o hotel para qualquer pessoal que queira se hospedar. Uma rede super. Atendimento diferenciado em todos os aspectos. Você irá encontrar no Deville tudo que você busca em um bom hotel, com ótimo atendimento, recepção ótima e instalações de primeira qualidade."
set. de 2022,5,Excelente,"Tudo de bom. Quarto, café, refeições, limpeza e organização, não temos o que reclamar.  Funcionários atenciosos e educados.  Fizemos uma viagem familiar. Atendeu e muito nossas expectativas.  Recomendo para quem for visitar Curitiba"
set. de 2022,4,Precisa passar por uma reforma,"Bom hotel, mas deixar com a aparência de mais novo, mais contemporâneo.  Ter um bar no hall para receber visitas, como no pestana.  Ter uma piscina termica e sauna.  Ter mais variedades no café da manha."
set. de 2022,5,Hospedagem excelente,"Excelente receptividade, tudo limpo, organizado, bom atendimento. Recomendaria com certeza, ótima localização, ambiente agradável.  Materiais e móveis dos quartos de primeira qualidade, atendimento excelente."
ago. de 2022,5,Hotel maravilhoso em todos os aspectos!,"Hotel maravilhoso! Quarto impecável, limpo, confortável e isolado de ruídos externos. O atendimento é impecável. Colaboradores disponíveis e compreensivos. Chegamos do show e fomos surpreendidos com o fato do serviço de quarto estar disponível, o que ajuda bastante! Eu gostei muito do hotel, certamente voltarei!"
ago. de 2022,5,conforto,"muito bom,funcionarios prestativos e conhecedores do serviço,instalações confortaveis e amplas.  café da manhã quase completo,embora não tenha visto tapioca, e uma maior variedade de bolos.  Proxima vez que for a Curitiba e ficar nesse hotel,vou escolher um quarto de frente."
ago. de 2022,2,Acomodação muito velha,"Péssimo custo benefício em hospedagem na cidade de Curitiba. O quarto tem mobília MUITO velha, péssima iluminação, tudo tem aspecto de coisa muito antiga e de baixa qualidade. O banheiro também com materiais péssimos (inclusive o assento estava quebrado) e velhos, não deve ter uma reforma por mais de 20 anos. A localização (caso queira ficar bem no centro da cidade) é realmente boa, mas o custo benefício não é nem um pouco positivo."
ago. de 2022,5,Excelente Hotelaria,"Adorei a experiência que neste hotel, quarto estava super limpo, cama grande, bem aconchegante, ótimo isolamento acústico, chuveiro ótimo, café da manhã espetacular!  Recepção e atendentes atenciosos e super prestativos."
ago. de 2022,5,Excelente,Excelente. Pretendemos retornar em breve a este hotel. E com a família.    Além do atendimento o local é muito interessante. Mas acho que a avaliação com no mínimo 200 caracteres é desnecessária. Avaliação objetiva é mais interessante.
ago. de 2022,5,Excelente,"Conforto, qualidade, muito bom atendimento e café da manhã com muita variedades... Quarto bem amplo, tem frigobar, tv. Estacionamento com vallet, próximo a muitos pontos turísticos. Além do restaurante do hotel que serve 24 hs."
ago. de 2022,5,ÓTIMA,"ótimo lugar para se hospedar, serviço de de alta qualidade, localização perfeita, colaboradores simpaticos e educados, com certeza recomendaria para um amigo e voltaria novamente, em Curitiba um dos melhores hoteis."
ago. de 2022,5,Próximo de tudo.,Ótima localização em um hotel de estrutura um pouco antiga mas extremamente bem cuidado e com manutenção e atualização constante. Limpeza impecável. Café da manhã extraordinário!!!.    Restaurante com pratos
ago. de 2022,5,Recomendo!,"Excelente atendimento, espaço, tudo muito organizado. Qualidade das camas em geral, bem como a alimentação, estão de parabéns. Se você procura um hotel aconchegante no centro de Curitiba, o lugar é aqui. Recomendo!"
ago. de 2022,5,Excelente Hotel,"Excelente o Hotel. Possui ótimas acomodações e muito conforto. O café da manhã é completíssimo e o atendimento dos funcionários é muito bom, são atenciosos e prestativos. A localização é ótima e fica perto de tudo na região central de Curitiba."
ago. de 2022,5,Otimo hotel na região central de Curitiba,"Hotel com quartos otimos, de bom tamanho e confortável, mesmo para 4 pessoas, como foi o meu caso. O banheiro com uma ducha excelente. Dentro do quarto há frigobar e micro-ondas. Limpeza diária. A internet oscilava um pouco. Café da manhã com bastante variedade e otima qualidade, num espaço grande, o que não ocasionava tumultos."
ago. de 2022,4,Funcional,"Sugestão de Trocar cobertores dos quartos, pois são muito antigos e passam uma impressão ruim. O hotel é excelente e o atendimento fantástico, cordial e rápido. É um bom lugar para realizar eventos. Os quartos são grandes. O banheiro é ótimo e tem lugar para colocarmos nossas coisas."
ago. de 2022,5,Excelente!,"Atendimento da recepção acolhedor e atencioso! Quarto espaçoso, com roupa de cama limpa, confortável e banheiro impecável! Café da manhã delicioso, com diferentes opções para quem gosta de se alimentar bem logo cedo."
ago. de 2022,5,Estadia excelente!,"Gostamos muito das acomodações, do atendimento, limpeza, café da manhã.  Hotel perto de tudo, fácil acesso as lojas e todo o entorno com ótimas opções, tanto de gastronomia, quanto de diversão. Funcionários atenciosos e prestativos."
ago. de 2022,5,Ótima experiência!,"Ótima localização e café da manhã delicioso. Os quartos tem carpete, recomedaria mudar para laminado. Os funcionários são muito gentis e atenciosos. Fiquei hospedado por duas semanas com minha família e gostamos bastante."
ago. de 2022,2,check in frustante e check out desanimador,"Ao chegar-mos nossa reserva tinha sido cancelada (3 aptos), constrangiemnto na recepção.  Tive que pagar mais uma diaria de três aptos para poder deixar o hotel  devido ao vôo às 18h. Quando saí-mos foi as 16h (translado) para o Aeroporto  ou seja pagamos de 12-16h (3 diárias)  Como se sentir acolhido principalmente mediante uma situação dessa.  Infelizmente saímos decepcionados sem disposição para retornar nem indicar para novos clientes  realmente sem adjetivo  agradeçemos atenção dispensada.  em tempo: fazendo jus, devemos agradecer a colhida no restaurante no período da noite, onde toda atenção para nos atender foi dispensada e aqueles que nos 4 dias na recepção do hotel, no período noturno foram bastante solícitos."
ago. de 2022,3,"Localização boa, mas hotel apenas razoável","Hotel com boa localização, mas com estrutura antiga. Cama grande, mas colchões com grandes desníveis. Banheiro demorou a esquentar a água, mas depois a água tinha boa vazão. Contudo, o box juntava muita água, molhando a parte seca do banheiro. Café bom, com pães, bolos, frutas, sucos e iogurte variados. Hotel também possui academia bem equipada."
ago. de 2022,5,Quero voltar!!!!!!,"Tudo perfeito, hotel muito organizado, limpo, serviço de quarto muito eficiente, café da manhã delicioso, atendimento na recepção excepcional!!  Na noite, muito silêncio, então tivemos uma noite de sono muito agradável!"
ago. de 2022,5,Uma ótima experiência em hospedagem,Excelente. Aprecio tudo neste hotel: da localização às amenidades oferecidas.  O café da manhã é sensacional. Os funcionários do hotel são atenciosos.  O silêncio no quarto que me hospedei foi muito acima da média. Espetacular.
jul. de 2022,4,Verdade foi (BOM),"fora imprevisto primeiro dia, restante podemos dizer é ótimo hotel, com serviço de primeira, principalmente restaurante, há um ponto negativo quanto falta estacionamento do local e área retirada bagagem é pequena."
jul. de 2022,5,Recomendo.,"Hotel com ótimo custo x beneficio. Gastamos R$44 de Uber do aeroporto ao hotel, que fica bem localizado, a 130 metros da Rua 24 horas (2 min caminhando), de onde sai o ônibus turístico para os passeios locais. E dá pra ir andando até a Rua das Flores (1,3km e 16 minutos caminhando, é super tranquilo). Próximo também do Paço da Liberdade entre o outros pontos turísticos. Senti falta de mais opções no café da manhã (como rosquinhas de doce e pão de sal um pouco maior, já que o servido é o mini do mini pão rs). No quarto, a cama é mega confortável e o chuveiro, sem igual. Ducha forte e bem quentinha. O frigobar não tinha nada, nem água e senti falta de copos, já que tivemos que comprar água fora. Disponibilizaram um ferro pra gente usar, sem custos, o que foi bem cômodo, diferente de vários outros hotéis. Banheiro equipado com secador. Obs: toda a parte elétrica é 110w. Ah. Bem próximo ao hotel tem uma padaria 24 horas com muita variedade. Ótima estadia, pretendemos voltar."
jul. de 2022,5,Hotel incrível e muito bem localizado.,Hotel maravilhoso e pessoa simpáticas - da recepção ao restaurante.    Fui em lua de mel com minha esposa e tivemos uma experiência incrível. Quarto cuidadosamente arrumado e tudo muito bem cuidado.    Com certeza voltarei quando tiver oportunidade.
