Data da opinião,Nota,Título,Conteúdo
nov. de 2022,3,Fora do padrão Accor,"Localização muito boa, vem próximo ao antigo mercado do peixe de salvador, que hoje é um começo de bares e restaurantes. Café da manhã dicioso, super completo, preparam tapiocas e omeletes na hora. Reserver um quarto ""de luxo"" sabia que não era um quarto renovado, mas optei esse pelo valor, nas fotos parecia ok, mas fiquei muito decepcionada, pois não tem nada a ver com o padrão da rede principalmente do Novotel, uma parte dk hotel já foi renovada, não sei se essa parte antiga será renovada, mas algumas coisas estavam em péssimas condições, a porta do banheiro estava com uma parte quebrada, o piso antigo do banheiro e6de mármore branco mas está todo manchado, pontos de bolor no gesso do teto, a cortina do quarto estava suja e o Wi-Fi do quarto raramente funcionava. Reclamamos sobre o Wi-Fi, mas não houve melhora nenhuma. Sempre me hospedo nos hotéis da rede, mas esse quarto foi o pior de todos, até os quartos do Ibis budget são melhor conservados e decorados."
nov. de 2022,4,Falta treinamento e preparado de toda equipe,"O hotel tem uma estrutura excelente, totalmente remodelado do que era o antigo Blue Tree.    Os quartos são muito amplos e tem a decoração mais contemporânea. Todos quartos tem sacada, alguns com lindas vistas para o mar.    A vista da piscina é sensacional pela localização do hotel. Apesar de ficar em cima do morro, o hotel tem um transporte que faz o trajeto hotel até a rua. Muito facilitado!    O problema que tive foi com os funcionários. Falta treinamento, eles não sabem o qwu fazem. Tive que ajudar e explicar vários procedimentos. Isto aconteceu na recepção, bar, café da manhã. Ou seja, é visível a falta de treinamento e preparo da equipe em todas as áreas.    Espero que melhore, pois pode ser um hotel sensacional."
nov. de 2022,1,Não hóspede em quarto do Novotel Rio Vermelho que não passou por reforma!,"Eu havia hospedado anteriormente no Novotel Rio Vermelho e achei um excelente custo benefício: quarto amplo, vista maravilhosa!  Dez dias depois (12/10), hospedei novamente e dessa vez fomos acomodados em uma parte do hotel que não passou por reforma.  Péssima experiência: quarto sujo, parecia estar fechado a tempos, cheiro ruim, cortinas horríveis, banheiro antigo, horrível (nem água quente tinha!). Tivemos que solicitar toalhas de banho, pois não foram disponibilizadas, o que leva a crer que o quarto não passou por limpeza antes da nossa chegada."
nov. de 2022,5,Elogio para o funcionário da recepção JOÃO,"Gostaria de registrar o meu agradecimento especial ao funcionário João que trabalha na recepção do novotel Salvador Rio vermelho. Ele foi muito gentil , simpático e super atencioso durante o check in. Ser recebido dessa forma faz toda a diferença… Parabéns João pela sua dedicação em empenho."
out. de 2022,1,Cuidado. Quarto da foto do site não é o quarto real.,"Decepção com o nível dos quartos. No site mostram um quarto e na realidade o quarto é outro de nível extremamente inferior, antigo, cheirando a mofo, sem nenhuma vista e com janelas sem sistema anti ruído que deixam entrar uma música incrivelmente alta que vem da rua. Péssima experiência para uma viagem a negócios ou qualquer tipo."
out. de 2022,5,Localização excelente.,"Excelente limpeza e atendimento excelente dos colaboradores.  O estacionamento não é do hotel. Não tem onde parar o carro ou outras opções.  Tem transfer para uma região cheia de comida boa e música ao vivo.  Tem um restaurante na piscina que vale super a pena, pq a vista é linda."
set. de 2022,1,Decepcionante,"Estive por 4 noites no hotel. O atendimento foi atencioso, porém os serviços do hotel deixam muito a desejar. Vamos começar.  Primeiro ponto: o forro da varanda estava desmoronando e colocaram um tecido para disfarçar o teto inacabado. Infiltração claramente, pois havia água vazando e molhando o chão constantemente.  Segundo ponto. Entrei no chuveiro para tomar banho e a água do box vaza para o chão do banheiro pelo rejunte. Resultado: banheiro também alagado.  Terceiro ponto: copos de plástico e da pior qualidade. Não são capazes de servir uma taça de vidro.  Quarto e último ponto: não considere o que chamam de frigobar, um frigobar. É apenas um climatizador de bebidas, que fica em uma temperatura média de 20°C  Beber cerveja impossível e qualquer outro refrigerante também estará quente. Se pedir gelo, será cobrado o valor de (pasmem) 30,00 reais. Após inúmeras e constantes reclamações, trocaram o climatizador por um frigobar velho mas que gelava bem, porém isso só foi feito no dia em que estávamos indo embora. O preço não vale todos os transtornos causados."
set. de 2022,5,Uma estadia surpreendente,"Sem sombra de dúvidas o Novotel foi a melhor escolha que eu e meu noivo fizemos quando fomos a Salvador.  Desde o atendimento dos funcionários até a limpeza do quarto, que alias, escolhemos a categoria duplo luxo e foi uma surpresa. O quarto enorme com uma vista linda para o mar e ainda conseguiamos ver ao fundo o farol da barra. Ficamos no setimo andar (717), que ainda tinha uma varanda bem grande já que ficava na lateral. Café da manhã também muito bom com boas variedades. Destaque para os dois recepcionistas, ambos se chamavam Victor. Um nos atendeu no check in e o outro na madrugada, que nos trouxe uma manta quando solicitamos. Não posso esquecer a Edilene do bar na piscina e restaurante, muito simpatica. Nota dez aos funcionários.    Ficamos com medo, porque vimos comentários sobre barulho aos finais de semana devido a Vila Caramuru, mas a janela vendava bastante o som e não nos incomodou em nada.  Contudo, o que nos incomodou, foi exatamente o que não esperavamos. No sábado dia (20.08) a energia do hotel acabou na madrugada e retornou de fato apenas as 16h40, o que não afetou tanto, pois no dia tinhamos um citytour e não ficamos no hotel, mas a demora em resolver a situação realmente foi algo que nos pegou de surpresa. Outro ponto, foram os preços do bar do rooftop, que eram irreais de tão caros, mas o que decepcionou foi a qualidade. Pedimos dois sucos de abacaxi que vieram completamente aguados e sem sabor.  Uma recomendação que deixo é um estudo no futuro para que a piscina seja aquecida, pois como a mesma fica no último andar, é quase impossível ficar nela por muito tempo devido ao frio e percebi que a mesma era pouco usada por outros hospedes também.  O que não apaga a estadia incrível que tivemos no hotel e por isso mantenho nota 5.  Um hotel com ótima localização, um bom atendimento e quartos incríveis. Super recomendo."
set. de 2022,4,"Ótima estadia, bok custo beneficio!","Muito bom hotel.  Quartos com varandas, ótima visão para o mar e um lindo por do sol. A vista é um diferencial!    É um hotel novo, reformado, todos os intens básicos do quarto funcionaram perfeitamente!    Café da manhã com muitas variedades e boa localização em questão de comércios.    Único ponto negativo é que o hotel fica em uma praia que não é própria pra banho, então precisa andar um pouco até uma praia próxima.    Salvador é uma cidade muito agitada, ao redor tem diversos bares que funcionam diariamente com música ao vivo. Particularmente o som de fora não incomoda, talvez para quem é mais sensível a ruídos não goste tanto.    Custo beneficio muito bom para um hotel 4 estrelas que atende todos os requisitos pra consoloda-lo como um."
set. de 2022,3,Hotel mal cuidado,"Hotel está muito envelhecido e mal cuidado. Suposta quadra está desativada e de péssima aparência. Parece um terreno baldio. Área próxima à piscina, perto da quadra, também abandonada e sem estrutura. Piscina ok. Mas as 10 hs sem nenhum apoio de bar ou funcionários. Poderia ser de agua climatizada, pois com vento nem sempre é agradável a permanência.  Quartos ok, porém com roupa de banho de baixa qualidade, desgastada e com mal cheiro. Filtro de ar condicionado exalando cheiro de humidade.  Localização boa.  Café da manhã bom.  Hotel antigo, que necessita urgentemente de uma revitalização. Tem potencial…"
