Data da opinião,Nota,Título,Conteúdo
11 de dez.,5,Hotel Maravilhoso!!!,"Pegamos um quarto enorme que dava até pra morar!!! O hotel é muito bem localizado, quarto perfeito é muito limpo e os funcionários super educados, cordiais e simpáticos demais. Créditos especiais para o Yago da recepção e seu Manoel do bar da piscina. Seu Manoel fez um drink maravilhoso, tirou minha foto é qdo vi ainda limpou meu óculos. Um espetáculo!!!"
nov. de 2022,5,Ótima experiência em família,"Hotel muito agradável, funcionários educados e prestativos. Quarto bem confortável, piscina aquecida, café da manhã saboroso e variado. Tivemos um pequeno desconforto com o ar do quarto que fez barulho anormal durante a madrugada, mas logo resolveram prontamente."
nov. de 2022,5,Excelente hospedagem em Goiânia,"Primeira vez que me hospedei nesse hotel, super tradicional em Goiânia.  Excelente estadia, funcionários muito agradáveis, quarto muito confortável ( cama e chuveiro).  Cafe da manhã maravilhoso.  Variedade de frutas, quitandas muito boas e tinha ate pamonha! Que estava fresquinha, para goiano nenhum botar defeito.  Super indico"
nov. de 2022,5,"O Castros é top, mas o Sr. Manoel é topíssimo!!!!","Hotel muito bom!!! Família em primeiro lugar!!!! Ir no Castros e não ir na piscina e trocar uma ideia com o Sr. Manoel é a mesma coisa que não ir!!! Super alto astral, parceiro e trata todos maravilhosamente bem!!!! Melhor Barman do Goiás!!!!"
nov. de 2022,5,Bom hotel em Goiânia,"O Castro's Park Hotel é um hotel muito bom em Goiânia. Quarto grande, confortável, excelente ar condicionado e bom café da manhã. Fica bem localizado. O restaurante apresenta boas opções para almoço e jantar, apesar de ser um pouco demorado."
out. de 2022,4,Especial,"Muito bom! Sempre que viemos a Goiânia ficamos aqui, é unanimidade lá em casa! O café da manhã é muito bom! Bem servido e todos são muito atenciosos, sempre prontos e solícitos para atender os nossos pedidos!"
out. de 2022,2,Assombroso,"Péssimo. Estrutura decadente. O cheiro do elevador dá náuseas só de lembrar… Quartos velhos, banheiros mais velhos ainda. Tudo velho e antiquado. Só não dei zero pq a cama e os travesseiros são confortáveis. Não voltaria de jeito nenhum!!"
out. de 2022,4,"Bom atendimento dos funcionários, em destaque, o Senhor Manoel, na área de lazer, piscina.","Hotel muito bom. Destaque para o Senhor Manoel que atende na área da piscina. Muito atencioso e agradável. Parabéns ao Hotel, por ter um funcionário tão eficiente. Bem localizado é uma ótima opção para o lazer."
out. de 2022,5,Sabado,"Kids muito bom ! Feijoada deliciosa! Muito cuidado com minha filha, a cuidadora muito dedicada e tem uma habilidade tremenda em lidar com as crianças. Hotel com muito bom restaurante, sabor maravilhoso!"
ago. de 2022,2,Pense em um hotel velho,"Hotel tem 5 estrelas, ou melhor, teve 5 estrelas na década de 70 ou 80. Instalação antiga, precisando ser renovada. Mobiliário, corredores, vidros, quadros, luzes de LED com tonalidade branco azulada. Parou no tempo. Banheiro com metais desgastados, tomadas em locais inadequados. Piscina aberta com ninguém atendendo no bar! Sauna não funciona e se vc precisar de internet no quarto, Esqueça! Velocidade insuportável sem condições de baixar um e-mail!"
jul. de 2022,3,Já foi 5 estrelas!,"O Hotel já foi 5 estrelas, já não possui estrutura para tal.  Banheiro velho, com torneiras pingando; para entrar no banho é um perigo, pois existe uma banheira velha; toalhas velhas e encardidas.  Meu travesseiro estava com perfume do antigo hóspede.  A cama é barulhenta.  Café da manhã bemmm razoável; pouca coisa sem açúcar.  O atendimento dos funcionários foi bom."
jul. de 2022,4,Dessa vez consegui dormir,"Na última vez em 2019, quando me hospedei no Castro’s, não consegui dormir, pois moleques do andar de cima barulharam a madrugada inteira e nem queixando na recepção, eu consegui resolver o problema. Agora, dessa vez não tive problemas. Apesar de antigo, continua sendo o hotel referência de Goiânia. O café da manhã é um dos melhores que já experimentei, dentre os milhares de hotéis pelo mundo que já me hospedei."
jul. de 2022,4,"Boa opção, mas precisa de manutenção urgente","Hotel tradicional perto do aeroporto e do Passeio das Águas. Afastado do Centro. Para quem tem evento na região, é uma boa opção. Ponto alto é o café, realmente bastante farto e saboroso. Ponto fraco para a hidráulica entre os apartamentos que precisa de manutenção urgente. Qualquer descarga ou abertura do chuveiro no andar de cima significa barulho e turbulência que incomodam bastante. Atendimento satisfatório."
jun. de 2022,5,Castro's kids,Quero agradecer às tias Denise e Danubia pelo carinho e cuidado pela minha filha. São muito atenciosas e responsáveis com as crianças nas programações infantis e na brinquedoteca. As programações são diversificadas e as crianças amam.
jun. de 2022,5,agradecimentos,"Hoje tive o prazer de voltar e me hospedar nesse hotel que tem tanta história, inclusive pra mim.  A equipe sensacional.  Sr, Manoel, flavia, ildejane, Marcia, Antonio, Rafael, Pedro, Marcos Gabriel, entre outros, que me desculpem quem esqueci o nome. Mas são todos especiais que tornam tão bom esse lugar."
jun. de 2022,5,Excelente hotel!,"Muito bom o hotel. Tudo excelente, sobretudo o atendimento dos funcionários.  Muita qualidade em tudo. Quero voltar e me hospedar novamente. Recomendo.  Parabéns a administração do hotel e a toda a sua equipe."
mai. de 2022,5,Lugar incrível!,"O Castro's Park é um hotel muito bem localizado, com excelente estrutura e ótimas instalações. Há piscina, academia e um spa. A equipe é muito gentil e o restaurante do hotel é delicioso. Ótimo custo-benefício para quem quer um dos melhores hotéis de Goiânia!"
abr. de 2022,5,Castro Park Hotel Goiânia,"Eu amei tudo funcionários excelentes, acomodações, café da manhã e no sábado ainda tem feijoada e música ao vivo . A área da piscina é bem ampla. Lugar tranquilo, sem barulho e bem localizado, próximo de tudo."
abr. de 2022,5,Hospedagem,"Completamente satisfeitos com a qualidade e o atendimento do Castro’s park hotel. Quartos confortáveis e muito limpos, ambiente tranquilo nas piscinas, equipe de atendimento super educados, café da manhã bem diversificado e delicioso."
abr. de 2022,5,O melhor de Goiânia!,"Já frequentamos outros estabelecimentos em Goiânia, até mais novos, inclusive. Entretanto, nenhum supera o Castro's, principalmente no quesito da cordialidade e excelência do atendimento de toda a equipe, além do café da manhã, que realmente é insuperável. Somados também a estes itens, podemos incluir a piscina aquecida, que também faz toda a diferença."
mar. de 2022,4,Hotel muito bom porém com instalações um pouco antigas que poderiam ser reparadas,"Hotel muito bom com café da manhã incrível, funcionários muito educados dando ênfase ao garçom da piscina que nos surpreendeu com o seu atendimento e carisma porém com instalações um pouco antigas chuveiros não muito bons."
mar. de 2022,3,ACOMODAÇÕES DEIXANDO A DESEJAR,"Atendimento da equipe erfeito, Mas o estado do quarto deixou a desejar. por aproximadamente meia hora o ar condicionado deixou de funcionar, quarto com cadeira quebrada, quase fui para o chão e telefones desligados. Esperava mais nesse sentido."
mar. de 2022,5,Café da manhã perfeito,"Ana Paula atendente perfeita. Café da manhã delícia, super completo. Bolos, vitaminas de abacate e outras, além de maravilhas da culinária goiana: pamonha, curau, pão de queijo, queijo fresco. Esperamos voltar logo"
mar. de 2022,5,Conceituado,Sempre muito bom ficar hospedado no Castro's Park Hotel. o Café da manhã é sensacional. Quartos amplos e espaçosos porém as instalações são mais antigas. Elevadores rápidos e eficientes. Houve uma programação infantil bem legal no Carnaval.2022. Destaque para o atendente Manoel que trabalha contagiando os hóspedes. Ponto negativo para o Spa Mandarin que após várias tentativas não conseguiu disponibilizar horário para atender os hóspedes dizendo que a agenda estava lotada mesmo tentando agendar 3 dias para frente.
mar. de 2022,5,O atendimento é 5 estrelas. Vale demais a estadia,"Um hotel diferenciado. O Castros sempre foi uma referência em hotéis em Goiânia. Nos hospedamos com um grupo de amigos e realmente é tudo que imaginávamos e mais um pouco. Um atendimento que beira a perfeição. Café da manhã, piscina, manobrista, enfim, muitos e muitos pontos que deixam a nossa estadia diferenciada. Mas quero deixar um elogio especial a 2 pessoas: primeiro elogio ao seu Manoel que atende na piscina. É uma pessoa iluminada que ama o que faz deixa todos os hóspedes radiantes com seu atendimento e cortesia. É incansável. O hotel é diferenciado e culpa disso é do seu Manoel. Outro elogio ao atendente que nos fez o check-in. Outro profissional diferenciado, feliz, alegre e gentil que fez da nossa estadia um momento ímpar no nosso Carnaval. Não tenho o nome dele aqui, mas é só ver quem fez nosso check-in e saberão de quem falo. Parabéns a todo o hotel pela qualidade e pelos excepcionais funcionários que possuem."
fev. de 2022,1,"Instalações antigas, sem shampoo/condicionador","Hotel super antigo, carpetado, não tem nada de 5 estrelas! Não entendo pq tem tantas estrelas!  Ar condicionado barulhento... Chegamos no quarto e percebemos que esquecemos o shampoo, não tinha... nao tem tomada nas cabeceiras...    Carpete antigo e sujo! Com resto de ket chup e lanche!    Nunca mais volto nem indico!    Decepcionada!"
jan. de 2022,4,Hotel agradavel e Funcionários cordiais.,"Hotel com manobistra, piscina climatizada e espaço kids.  Uma ida ao spa do hotel como cortesia também é oferecida, pena que não pudemos ir pois era apenas uma noite e a agenda já estava lotada.  Hotel antigo mas conservado. Funcionários educados e prestativos.  Cafe da manha bom, com opção de omelete preparado na hora.  Quarto de bom tamanho."
jan. de 2022,5,Vale a pena,"Ótima hospedagem, funcionários atenciosos, destaque para o Manoel e para o gerente, que diante de um imprevisto familiar resolveu a situação prontamente. O hotel apesar de ser antigo, é todo reformado, com ótimas instalações. O restaurante também muito gostoso. Valeu a experiência."
jan. de 2022,2,Instalações antigas e preço não condizente,"Instalações antigas, preço não condizente com a realidade do hotel, o chão do quarto estava encardido e o banheiro não estava com aspecto de limpeza, sendo que o box ( parte interna do chuveiro) estava sujo. Café da manhã executivo, sem muito diferencial."
jan. de 2022,5,Gostamos muito da nossa estadia..,"O Hotel é muito bom, os funcionários são simpáticos (especialmente o sr Manoel do bar da piscina). Passamos o réveillon no hotel e gostamos muito. Nós somos um casal sem filhos, mas para crianças eles tinham programação das 08:30 da manhã até 02 da madrugada na noite da virada. A ceia e o café da manhã estavam deliciosos, comemos muito. Gostamos muito da música também (tocou bastante rock mais antigo e MPB), apenas a transição entre músicas do DJ podia ter sido mais suave."
