Data da opinião,Nota,Título,Conteúdo
nov. de 2022,1,Horrível!!!,"Problemas com tudo!!! Funcionários sempre de péssimo humor, quarto com limpeza precária, não colocam toalhas o suficiente para o número de integrantes do quarto, gerente finge que não está para não resolver os problemas e o principal é que não existe elevador suficiente para o número de quartos. Vai esperar horas pra conseguir se locomover ou enfrentar escada. NÃO VÁ!!!"
out. de 2022,4,Gostei muito do hotel,"Apartamento limpo, organizado. O hall do hotel é lindo, boa comida e pessoal muito simpático. Piscinas eram lavadas todos os dias. Tem quadras e um deck muito simpático pra tomar sol. Gostamos e com certeza voltaremos."
out. de 2022,5,Um final de semana espetacular!!,"Minha experiência como hóspede foi muito agradável. As suítes são muito confortáveis e são higienizadas todos os dias. O parque aquático é muito bem cuidado e igualmente confortável. Funcionários muito bem treinados, educados e bastante atenciosos."
out. de 2022,4,Bom para descansar em família.,"Tudo ótimo. Comida excelente. Bem limpo. Aptos amplos pra 5 pessoas, podendo ter aptos conjugados com acesso interno.    Melhorias que acredito não ter muito jeito de mexer: demorado demais pegar elevadores (só 3 para 10 andares) e pedir o carro no sistema de ballet (domar um pouco)."
out. de 2022,2,Experiência ruim,"O valor da diária não é barato. Experiência não foi legal. Wifi muito ruim, nos quartos e nas áreas comuns. Tomadas nos quartos de 2 pontos, apenas. Ar concionado pingando sobre a cama. Não oferecem toalhas na piscina. Academia com vários equipamentos danificados e sem funcionar. 2 diárias."
out. de 2022,5,Maravilhoso,"Limpeza, organização é educação. Um conjunto extremamente importante para um hotel, este hotel vale muito a pena, os funcionários são muito educados, a limpeza e extrema! Atendimento muito rápido, voltarei outras vezes sim! Ótima experiência!"
set. de 2022,1,O HOTEL REDIRECIONA SEU PEDIDO DE RESERVA PARA TERCEIROS ESTRANHOS,"AGO/SET-2022: Fiz uma pesquisa de datas pelo portal ""Best Western Suites Le Jardin"", haja visto que havia ( ou há ) uma cortesia na compra de duas reservas ( a da saída as 15:00 hs e o almoço da saída no domingo, para quem contratou o jantar ). As tarifas apresentadas eram para ""Membros Best Western Rewards"". Como não sou e não quero ser membro, julguei prudente liguei no hotel para fazer, com segurança, a reserva ( Possivelmente para o numero +55 64 3454 9300, anunciado no site ). O atendente me redirecionou para um número de whatsapp o qual seria o da ""central de reservas"" de número 64-9667.2000 que fez a reserva negando a concessão dos benefícios dizendo que ""eu havia visto esse benefício em outro lugar ( outro hotel )"". Na tratativa afirmam ainda coisas distintas, que o check in é as 13:00 e depois as 14:00 e o check out é as 11:00 e depois as 12:00. Para justificar a não concessão do benefício disseram que ""não se aplicava a compras on line"". Lastreiam suas argumentações em informações de veracidade questionável e a um link com regras promocionais que não dava em lugar algum... impossível saber quais eram, um mero asterisco.. Você quer contratar uma condição que viu no site do HOTEL BEST WESTERN e você é redirecionado para um terceiro cujas regras promocionais do hotel não são aplicáveis. Você não sabe com quem você está falando em uma ""conversa de whatssapp"". Você paga tarifa do hotel, mas não usufrui do benefício anunciados. Falei com o Gerente Ramon em 18/09/2022, e parece que ali, ninguém sabe de nada, acha que essa é uma tarefa do cliente, a de descobrir o que e o porque das coisas. Para fechar. Se você quer uma acomodação com piscina, procure outro lugar. As demais conclusões ficam por conta do leitor."
set. de 2022,2,Hospedagem de baixa qualidade,"Não gostei da estadia no Best Western Suites Le Jardin Caldas Novas. Os quartos tem aspecto de velhos, as fotos da área de laser são muito bonitas, porém não é grande quanto parece nas fotos, a questão de meia pensão ou pensão completa não é viável tendo em vista que o cardápio é pouco diversificado, mais ainda, no jantar a bebida disponibilizado é único e exclusivamente café coado, nada de suco e nem água, poucas opções de proteina e no café da manhã apenas uma opção de proteina. Todo o barulho gerado no corredor entra para o quarto. Achedito que o exaustor do banheiro joga o mal cheiro do banheiro no corredor, pois em dois momentos sentimo o mal cheiro passando pelo corredor. Não gostei da estadia também porque o hotel não é compatível com valor cobrado na diária. As fotos do site são realmente do hotel, mas as fotos são bem melhores do que o hotel realmente é."
ago. de 2022,2,Não recomendo,"Os quartos são limpos, o café da manhã e o jantar são bons.  Mas, para pedir petiscos, refeições não inclusas, ou bebidas de qualquer tipo, é preciso colocar créditos num cartão, e ainda não devolvem se sobrar valores e não tiver sido pago ""em espécie"".  Tudo por falta de um sistema que cobrasse o consumo acumulado em tal cartão quando do check-out, mas querem risco ZERO, querem receber tudo pré-pago.  No B3 - Hot Springs, por exemplo, e que, em tese, é de categoria inferior um sistema similar existe, que acumula os gastos dos hóspedes, e no ato do check-out eles cobram.  Esquecemos o maldito cartão no quarto e só lembramos depois de fazer o prato do jantar, ou seja, ficamos sem bebida, ou então era pegar a fila do elevador, que são só 3 (três), e deixar o jantar esfriando.  O hotel não tem um cobertor para crianças.  A garagem é no subsolo, horrível, trancam os carros, impossível sair a noite sem esperar várias manobras pelos encarregados, desistimos e saímos a pé.  E aposto que vão responder como já vi aqui, que foi bom porque podem tomar providências para melhorar seus serviços. Bobagem, nunca melhoram!!  Mas, para mim nem precisam melhorar, não voltarei mesmo a esta cidade!"
ago. de 2022,3,Bom hotel,"O hotel é bonito e bem localizado, e tem várias opções de lazer (piscinas, quadras, academia, etc.). No entanto é um pouco velho e precisa de reforma: os quartos, por exemplo, não têm a tomada de 3 pinos. O chuveiro também é velho. Mas o quarto é bem espaçoso.  Outro ponto negativo é o restaurante: jantei duas vezes lá e é bem fraco, principalmente comparando com a ótima oferta que tem na cidade.  Mas no geral é um hotel bom e que vale a pena a hospedagem, pelo preço bom e por incluir café-da-manhã (bem variado) e estacionamento."
