Data da opinião,Nota,Título,Conteúdo
15 de dez.,5,Gratidão ao Quality,"Maravilhosa experiência no período de férias e em especial pela passagem do aniversário no hotel com direito a bolo e cartão de felicitações.  Fomos bem recebidos, quero destacar o profissionalismo e simpatia do colaborador Eduardo Araújo, que sempre nos recebeu bem no café da manhã, tornando nossa estadia mais agradável.  Parabéns toda a equipe.    Espero poder retornar em breve.    Abraço."
jan. de 2022,5,Excelente hotel com ótima localizacao,"Hotel excelente, próximo ao shopping, próximo ao centro histórico, Otimo café da manha, piscina super agradável,funcionários muito solícitos,cama excelente pois é muiiiito grande, os travesseiros são muito macios. O quarto tem bom tamanho e o chuveiro e otimo"
2 de dez.,4,Ótima estadia!,"Boa localização, quartos confortáveis e bastante limpos, funcionários receptivos, muito atenciosos e gentis, em especial os atendentes do restaurante, Eduardo e Diego Sacramento! O café da manhã é variado e saboroso."
nov. de 2022,5,Quality Hotel Aracaju preza por seu bem estar,"Quero enaltecer a atenção da equipe de recepção: Camila, Milena; Restaurante - Eduardo, Paulo, Josi Tavares e Ângelo Mateus dos Santos; Camareira - Elaine. Todos super capacitados e atenciosos.  A recepção foi super solícita quando apresentei um problema grave de saúde, me orientando como chegar ao pronto atendimento mais próximo.  Hotel super bem localizado, café da manhã completo e equipe muito atenciosa. Parabéns ao grupo Quality, onde Eduardo Giestas é o presidente. Equipe nota 10!"
nov. de 2022,5,Experiência Maravilhosa,"Atendimento excelente na recepção e no restaurante o garçom Eduardo está de Parabéns!    O quarto perfeitooo, bem aconchegante!    Localização maravilhosa perto de tudo!    Foi uma experiência Maravilhosa!    Obrigada ."
out. de 2022,5,Excelente,"Já havia ficado hospedada no Quality em 2019 e retornei este ano.  O hotel é excelente, mas quero destacar a gentileza dos funcionários, sobretudo no restaurante. Eles me fizeram sentir em casa durante a estadia."
out. de 2022,5,Excelência no Serviço do Restaurante Quality Aracaju,"Quero parabenizar pela qualidade do serviço prestado e principalmente pela gentileza, atenção e profissionalismo de Eduardo e Equipe. Vcs não tem noção da importância que é sermos acolhidos fora dos nossos lares com este carinho e muita atenção. Gratidão por nos proporcionar momentos tão especiais e com pessoas especiais quanto o alimento oferecido."
out. de 2022,5,Excelente experiência!,"Quarto limpo, cama super confortável. Atendimento diferenciado, destaque para o Eduardo (café da manhã) e recepcionista Shirlayne que são maravilhosos. Tive que trocar de quarto, porém os dois gerentes foram super atenciosos e prontamente resolveram. Sempre que venho a Aracajú tenho preferência em me hospedar nesse hotel. Me sinto em casa."
out. de 2022,5,Atendimento 100% satisfatório,"Atendimento no café da manhã e recepção impecável, muita simpatia e atenção dos garçons , buffet do café muito variado . Localização perfeita , ao lado shoping , próximo ao centro da cidade e orla atalaia ."
out. de 2022,5,Comodidade excelente e atendimento de qualidade.,"Atendimento excelente, comodidade de ótima qualidade. Além de ser próximo ao Shopping Rio Mar. Conta com um espaço amplo e aconchegante. Os serviços de quarto são excelentes, o hotel é simplesmente perfeito. Não tenho do que reclamar! A piscina é maravilhosa, durante o dia o sol bate na piscina e no final do dia a água ainda estar quente. O hotel deixou saudades!"
