Data da opinião,Nota,Título,Conteúdo
out. de 2022,3,Estadia OK,"Estive no hotel por duas vezes na mesma semana. Na primeira estadia chegamos de madrugada, já para dormir, o quarto era bem ruim, chuveiro ruim saindo pouquíssima água. Não pedimos para mudar de quarto pois foi uma estadia de apenas 1 dia e meio. Nota seria 2.  Ao fazer o check out falei que retornaria ao hotel em 2 dias para verem um quarto melhor, então na segunda estadia fomos alocados em um quarto com um chuveiro com pressão boa da água, e mais confortável que o primeiro, colocaram uma cama extra para minha filha.  O café da manhã tinha tapioca e omelete feitos na hora, algumas opções de pães, bolos, frios, iogurte, sucos, frutas…  Por nosso voo de volta ser as 5:30 da manhã fomos fazer o checkout as 4:20 e tinha somente um segurança na recepção, ele ficou de chamar o recepcionista, enquanto isso fomos deixar as malas no carro, ao voltar ainda não tinha recepcionista, fomos embora sem fazer o checkout para não perder o voo. Como já estávamos com tudo pago, não teve nenhum problema.    Pontos positivos:  - atendimento cordial  - café da manhã com tapioca e omelete feitos na hora  - localização    Pontos negativos:  - alguns quartos podem ser ruins  - drinks servidos no hotel não são bons  - não tinha ninguém para fazer nosso checkout na madrugada  - toalhas finas e duras"
out. de 2022,4,Viagem a Aracaju - outubro de 2022,"Hotel bem localizado na Praia de Atalaia, próximo à Passarela do Caranguejo.  Boa estrutura, com bom café da manhã. Têm piscina, sauna e academia. Eles fornecem toalhas para uso na praia e na piscina.  Mas, se você tiver criança, e quiser cama extra, o hotel cobrará por isso. Somente não cobrarão se a criança (acho que até 10 anos) dormir na cama com os pais.  Os apartamentos com vista para a cidade são mais baratos."
out. de 2022,1,Fique em outro hotel,"Minha experiência foi marcada por um enorme desgaste por conta da equipe extremamente rude, anti-hospitalidade e anti-crianças. Fomos humilhados na recepção diante de meu filho de 3 anos, perdemos praticamente um dia de uma viagem de lazer conversando com a gerente, que pediu que não publicássemos uma avaliação, para não prejudicar o hotel. Fora isso, o hotel Celi apresenta inúmeros problemas que não condizem com sua categoria (4 estrelas). Também passamos por: (a) 1 elevador quebrado e somente um elevador pequeno operante, para serviço e hóspedes; (b) Corte de energia elétrica [1 dia]; (c) Ligaram no quarto às 4h da madrugada reclamando de barulho, quando todos estavam dormindo; (d) Piscina desativada, problemas com o gás (?); (e) Chegamos com malas pesadas e crianças pequenas e tivemos que descer uma escadaria até a recepção, nenhum funcionário veio ajudar; (f) Não tem água cortesia para os hóspedes na recepção; (g) Nuvem de sujeira embaixo da cama. Conclusão: FIQUE EM OUTRO HOTEL."
out. de 2022,4,"Fiquei muito satisfeita em ficar hospedada nesse hotel, encantada com o profissionalismo de todos.","Gostei muito do hotel, do atendimento e acomodação. Perto da praia e não distante do aeroporto. Os funcionários atendem bem e resolvem todos os problemas. Muito profissionais: desde as camareiras até a recepção atuam com eficiência. O café da manhã é bem variado e eu gostei bastante. Além de tudo, Aracaju é um encanto de cidade."
out. de 2022,1,O hotel (4 estrelas???) não disponibiliza travesseiros adicionais,"Fiz uma reserva com 20 dias de antecedência em um dia de domingo, no Hotel Celi de um quarto superior vista mar, no valor de R$ 550,00 no ato da reserva solicitei para recepção, a gentileza de ter 2 travesseiros adicionais no quarto, a resposta seca foi “sob disponibilidade”.  Hotel 4 estrelas (???) travesseiros sob disponibilidade, ainda bem que também o meu dinheiro é sujeito a disponibilidade.  Cancelei a reserva e reservei no VIDAM ARACAJU, no VIDAM disponibilizaram imediatamente os travesseiros.  Parabéns ótimo trabalho professionisti da hotelaria!!!"
ago. de 2022,4,Hotel bom. Funcionários cordiais. Estrutura boa e conservada.,"Próximo aos melhores restaurantes da região.  Quarto OK, limpo. Proporciona boa noite de sono.    Só por sugestão: Na recepção possui uma máquina de café expresso, que você deve pedir e pagar pela capsulas (R$ 5,00) de café na recepção .  Não trata-se do valor, e sim da imagem que você quer transmitir, um hotel deste porte não pode cobrar por isso. Deveria ter um porta capsula ao lado da máquina de café, o qual, qualquer hospede pudesse utilizar-se.  São pequenos detalhes que fazem uma diferença."
ago. de 2022,4,Boa localização.,"Bem localizado. Todos os dias saímos a pé para jantar e passear à noite.  Tem comércio e restaurantes próximos.  Café da manhã bom.  Funcionários educados e prestativos.  Achamos o quarto pequeno e um ponto ruim é não ter cama para criança (se quiser cama extra, tem que pagar taxa bem pesada).  Pedimos jantar uma noite no restaurante do hotel e não gostamos da comida.  Recomendamos a estadia!"
jul. de 2022,3,"Bom hotel mas está ""cansado""","O hotel é muito bom.  Já fiquei hospedada muitas vezes no Celi e era a minha primeira opção em Aracaju/SE. Me sentia em casa.  A minha última hospedagem infelizmente foi péssima. Quarto que o ar condicionado não funcionava - reclamei. Ficaram de ver a possibilidade de me trocar de quarto - não deram retorno. Mais de 1 hora e quando eu ligo na recepção me informaram que não tinha outro quarto para me acomodar. Ficaram de resolver no dia seguinte.  No dia seguinte, mesmo problema - não consertaram.  Me colocaram em outro quarto - cheio de mofo.  Me colocaram em um 3o quarto - menos pior.  Os quartos estão velhos e muito usados. Cadeira do quarto com estofado manchado e riscada. Espelho com manchas de pasta de dente de outro hospede.  Roupa de cama e banho velhas. Lençol estava manchado.  Quarto estava com muita poeira e o rodapé estava preto de tanta sujeira acumulada.  Infelizmente fiquei muito decepcionada com a minha última hospedagem no Celi.  Já estive diversas vezes e reconheço que não era este o padrão do Celi.  Ja voltei a Aracaju e optei por me hospedar em outro hotel mas desejo fortemente que reformem e melhorem para continue com o alto padrão de antigamente.  Pelo preço cobrado não pode ter este serviço."
jun. de 2022,4,"Muito bom, mas ...","Segunda vez que me hospedei no Celi Hotel, sem dúvida é um dos melhores de Aracaju, talvez o melhor. Contudo, por ser bem classificado precisa melhorar alguns pontos.  Pós restrições devido a pandemia de Covid, muitos hotéis deixaram de oferecer o room service 24h, sei que também faz parte de corte dos custos com pessoal, mas sugiro que disponibilizem após as 22h uma pequena delicatessen com sanduíches frios e bebidas frias e quente aderindo a geladeiras e máquinas, por exemplo de café; até porque muitos hóspedes não dormem cedo e no quarto só tem um frigobar com água, refrigerantes, cerveja e um suco de uva ( por sinal muito bom).  Há também, já ,a necessidade de novas roupas de cama e banho, principalmente novos travesseiros e toalhas(as atuais já estão encardidas). No quarto falta ferro de passar roupas, os amenities nāo são de boa qualidade, as TVs antigas, e pior, barulho excessivo no ar condicionado (apt. 121), nem cito disponibilidade de roupões ou máquinas de café Spresso em alguns aptos com preço diferenciado.  Iniciei com críticas para melhorias, mas louvo os bons serviços do staff em geral, atenção, cordialidade e limpeza muito bem feitas em todos ambientes e quarto.  O staff sempre pronto para nossas solicitações, tanto os ""meninos do restaurante / piscina"" quanto os da recepção e as ""meninas do café da manhã e recepção também"", todos de parabéns.  O café da manhã é bom com muitas variedades entre doces e salgados, sugiro melhorar a qualidade do café coado que não é saboroso de fato. (existem máquinas de café para quem gosta).  Serviço de piscina bom com um barzinho que serve petiscos, boa caipiroska e até refeições caso queira.  Há instalações novas como a sauna e acadêmia de ginástica no entorno da piscina ( na minha hospedagem anterior não tinha), parabéns.  Parabéns também à programação junina com sanfoneiro, quadrilhas, e mimos com culinária típica local, valorizando os artistas ""simples e da terra"".  Grato também pelo Early check in, são nos detalhes que se faz diferente e consequentemente tem sucesso e fidelidade.  Me hospedei de 22/06/22 a 28/06/22 (uma semana) e me sentir bem acolhido.  Melhorar é preciso, manter o que já funciona bem também. Thank you very much."
jun. de 2022,5,Fenomenal,"Tudo perfeito, desde a cordialidade na recepção, qualidade dos serviços, café da manhã maravilhoso, tudo excelente.    Funcionários educados e gentis SEMPRE.    Piscina e toda área de lazer impecável.    Quarto de excelente qualidade, higiene e conforto."
