Data da opinião,Nota,Título,Conteúdo
15 de dez.,5,"Hotel excelente, recomendo.","Quarto grande e confortável com camas grandes e conformátiveis, tudo muito limpo, banheiro muito grande. Adoramos o café da manhã, muito farto e tudo muito bem feito. Funcionários atenciosos. Pretendemos voltar."
1 de dez.,5,Excelente,Adoramos!! Muito bom. Só deixou a desejar um pouco na acomodação. As torneiras estavam pingando muito e a luz bem ruim. De resto é ótimo e as pessoas que trabalham lá são super solicitas e simpáticas!
nov. de 2022,5,Muito tranquila e agradável.,"Atendimento no balcão, restaurante e apartamento, sempre impecável. Restaurante muito bom, localização também. Não pude usufruir da piscina, a qual muito bonita, pois fiquei apenas 2 dias no Hotel.  Obrigada pelo atendimento e quem sabe em breve retornarei!!"
nov. de 2022,5,Hotel muito bom,"Hotel muito bem localizado e com estrutura muito boa. Café da manhã muito bom.  Quarto muito bom e bem espaçoso.  Banheiro grande com chuveiro top.  Piscina muito boa, mas o parque poderia ser maior. No geral um bom hotel."
nov. de 2022,5,Surpreendente,"Adorei a localização do hotel, os funcionários muito atenciosos. Café da manhã muito bom, com variedade e reposiçao a todo instante. Quarto amplo, piscina com espaço muito agradavel.Certamente voltaria."
nov. de 2022,5,Até a próxima! Com certeza no mesmo lugar!!!,"O hotel é muito agradável, arquitetura ótima e muito limpo, porém o que mais me agradou foi toda a equipe do hotel, seus funcionários são muito atenciosos, carinhosos e muito simpáticos. Eu vou voltar!!!"
nov. de 2022,5,"boa localização , proximo a feira do artesanato , bares e restaurantes","Hotel bem estruturado com boa localização proximo a feira do artesanato , bares e restaurantes  quartos limpos , quarto que fiquei com minha esposa com janela para a piscina tinha um ótimo visual  e recebia o sol grande parte do dia"
nov. de 2022,4,Boa experiência,"Hotel bem localizado, fica bem na orla da Coroa do Meio, perto de tudo. O quarto e o banheiro são grandes, chuveiro maravilhoso. O atendimento na recepção é um pouco lento, mas nada que prejudique a hospedagem.  A piscina é excelente e tem música ao vivo. O café da manhã é maravilhoso, tem muitas opções e espaço amplo.    Um ponto que pode melhorar é o almoço. O custo é R$ 77,00 por pessoa com tudo incluso (comida, bebida sem álcool e sobremesa). O problema é que o buffet é fraquíssimo. Somente arroz, duas opções de salada, três ou quatro legumes e duas opções de carne. Não tem nem feijão, por exemplo.    No geral, o Del Mar é um bom hotel!"
nov. de 2022,5,Excelente!,"Experiência sempre maravilhosa. Atendimento cordial e preocupação com os detalhes! A localização é excelente, perto do mar, bares e restaurantes. Orla boa de caminhar. Toda a equipe é simpática e prestativa. Destaque especial para Lucy Mara e sua eficiência e simpatia!"
out. de 2022,4,Ótima opção de hospedagem em Aracaju!,"Fiquei hospedado para participação em congresso médico! Tive ótimo atendimento no check in e check out. Quarto confortável e limpo, com ótima estrutura! De ponto negativo apenas o café da manhã, não por variedade, mas porque no segundo e último dia, acabei tendo uma intoxicação alimentar e com certeza foi do café do hotel, porque senti os sintomas ao chegar em Salvador e nem tempo de almoçar tive! De qualquer forma acredito que foi algo pontual! Voltaria a me hospedar!"
out. de 2022,5,Excelente Hotel,"Excelente hotel, quartos amplos, camas grandes, banheiro enorme, café da manhã bem variado, localização excelente. Possui uma ótima estrutura de piscina e restaurante. Localização privilegiada, próximo a churrascaria, feiras, sorveterias, bares e ao projeto Tamar."
out. de 2022,5,fantástico!,"Os funcionários são muitos corteses, sempre com sorriso no rosto, a quarto impecável a limpeza, o café da manhã é um show a parte, muito bom.    Uma piscina ampla, acesso do hotel muit bom, de frente para mar, praia de Atalaia."
out. de 2022,4,Ótima estadia,"Recomendo a estadia nesse hotel. O quarto é muito amplo banheiro também e excelente conforto nas camas e chuveiro forte maravilhoso . A vista pra piscina é linda. O café da manhã muito completo destaque pras tapiocas feitas na hora deliciosas. Os únicos 2 pontos negativos que achei foram ; 1o na piscina não ter um funcionário o tempo integral a disposicao; a gente tinha que sair ""caçando"" alguém pra nos atender. E no estacioanameto nos foi informado que a porta abriria automatica e nunca abria; isso era bem estressante. Recepção cordial destaque pro Rogério do restaurante; muito simpático."
out. de 2022,3,Viagem a Aracajú,"Hotel bom, mas precisando de muitas reformas. Café da manhã razoável, porém péssimo na reposição dos itens. Atendimento dos funcionários excelente. Limpeza pode melhorar. Localização ótima. Área de lazer muito boa"
out. de 2022,4,Acolhedora e relaxante.,"No geral, as condições do hotel são satisfatórias. Funcionários extremamente atenciosos e solícitos, café da manhã excepcional e excelente localização. Sugiro uma reforma nos banheiros, onde estão com aparência ruim e antiga, e estender o horário de funcionamento do bar molhado da piscina. Todas as vezes que chegávamos da praia, por volta das 17h30, e íamos para piscina, as 18hs o bar encerrava o atendimento."
out. de 2022,5,Muito bom,"Hotel limpo, bom café da manhã , cama confortável , funcionários educados e estacionamento subsolo, nak use frigobar porque tudo caro , água 6 de 300ml e em qualquer bar litro custa R$3, vários restaurantes e sorveteria, localização pra passear muito boa"
out. de 2022,4,Estadia boa.,"Achei as instalações do quarto medianas, sem iluminação no quarto, sanitário com aspecto de velho e elevador sem funcionar. Poderiam rever o horário de funcionamento da piscina, abrir mais cedo. A academia tb deixou muito a desejar, com cheiro de mofo e aparelhos antigos e quebrados ( bicicleta, esteira)"
out. de 2022,5,Férias inesquecível,Estive no hotel com meu esposo no mês de setembro 2022 na nossa chegada ouve um contra tempo mas que não nos impediu de desfrutar da beleza do hotel. Gostaria de parabenizar o recepcionista Manoel pela atenção e cuidado com os hóspedes e o funcionário Tamar pela gentileza e educação. Funcionários como eles fazem a diferença na hospedagem onde a nossa hospedagem poderia ter sido não muito boa devido ao contra tempo ocorrido. Ótimo hotel para se hospedar em Aracaju.
out. de 2022,5,Localização e atendimento excelentes,"Localização perfeita! Próximo a praça de eventos, feirinha do turista.  Atendimento maravilhoso! Fui com minha filha de 05 anos e a copa baby foi muito útil. Os funcionários super atenciosos e disponíveis."
