Data da opinião,Nota,Título,Conteúdo
out. de 2022,5,Excelência em serviço,"Hotel com excelente localização, serviço de quarto impecável, onde você escolhe o horário para limpeza.  Possui alguns mimos para os clientes, como água, chá e café diário no quarto sem custo. City tour noturno em ônibus panorâmico, visita ao completo náutico, pagando apenas a taxa do transporte e consumação no local.  Café da manhã com variedades. Excelente higiene. Atendimento cortês dos funcionários que chama pelo nome os hóspedes, enfim do valet ao concierge.  Estrutura de lazer fantástica. Enfim fazem os hóspedes se sentirem em casa."
out. de 2022,5,Gostei muito,"Confortável e aconchegante. O quarto é espaçoso e a cama, muito confortável. Atendimento cordial e atencioso. Destaque para os atendentes do check-in. O hotel é bonito, tem boa estrutura e fica na orla de Aracaju. O restaurante também tem comida saborosa. Gostei muito"
out. de 2022,4,Equipe atenciosa e disponível constitui o ponto alto do hotel.,"Os quartos são bons, assim como o café da manhã. A excelência fica por conta da equipe que é formidável. Do valet ao concierge, todos muito atenciosos e prestativos. De negativo, a falta de bom senso nas cobranças. O hotel cobra o valor de R$150 reais para permitir que uma visita fique mais de 30 min no seu quarto. É abusivo."
out. de 2022,5,Excelente ! Recomendo fortemente. Parabéns à toda equipe.,"Atendimento impecável , estrutura do hotel excelente , quarto amplo e confortável.  Destaque para o serviço de atendimento às demandas individuais , não medem esforços para satisfazer o cliente.  Parabéns a todos os envolvidos , vale destacar a direção muito tranquila e cordial do Sr. Antônio Maia o que certamente se reflete em TODA equipe.  Primeira vez que vou à Aracaju mas depois dessa experiência certamente voltarei e se possível ao Vidam .  Nota 10 ."
set. de 2022,5,Hospedagem de excelencia,"É o hotel da nossa preferência em Aracaju.  Ótimo atendimento, instalações confortáveis, café da manhã muito variado.  No SPA localizado dentro de hotel, Lótu's, fomos recebidos e muito bem atendidos por Isabel, que, atenciosissima, gentil e de forma muito agradável, nos ofereceu várias opções de massagens, com ótimas massoterapeutas como Eliana, Val e Karina. A experiência foi tão boa que repetimos no dia seguinte.  No hotel fomos muito bem atendidos por todos os funcionários, sem exceção, com destaque para o concierge Antônio, e os garçons Anderson e Anita."
ago. de 2022,5,Minha casa em Aracaju,"Assim como fizemos em 2021, fizemos questão de ficar novamente hospedados no Vidam por causa da experiência muito agradável ano passado. Fomos muito paparicados. Sim, PAPARICADOS é a palavra certa! Participamos da meia maratona de Aracaju e seria impossível correr sem o lanche preparado especialmente pra gente às 4h da manhã! Muito obrigado a toda a equipe, dos quais alguns nomes ainda estão aqui na minha memória: Antônio concierge, Zivaldo do café da manhã, as Anas (Cássia e Flávia) da recepção, Paulo e Maria Cecília do roof top com suas cervejas geladas, Jaqueline da academia, as meninas camareiras que deixavam nosso quarto impecável e lindo e a todos os demais que fizeram com que sentíssemos muito acolhidos na capital sergipana: MUITO OBRIGADO e até a próxima! Não esperaremos pela corrida de 2023, iremos antes!"
jul. de 2022,5,Excelente,"Ó hotel possui ótima estrutura e um staff alinhado. Todos muito educados e profissionais. Serviço de alta qualidade. Os ambientes são bonitos, bem decorados e o café da manhã é nota 10; com bastante variedade e tudo bem feito. A localização tbm é muito boa. Adoramos a estadia!"
jul. de 2022,4,Boa estadia,"O hotel passou por reformas ,  Recepção , café manhã bom  os rapazes do restaurante à noite são todos muito gentis e prestativos .  Tem uma área nova com jacuzzi muito bonita . Área da piscina , bar muito agradável  Ponto negativo , não ficar próximo aos elevadores pq tem brinquedos e sinuca no lobby do hotel e o barulho é horrível para os aptos , não consegue dormir de tanto barulho ."
jun. de 2022,5,São João Excelente !,"Recomendo um dos melhores hotéis que já ficamos no Nordeste. Atendimento e estrutura acima de média nacional. Certeza que voltaremos no próximo ano.  Somente uma ressalva, o entretenimento dos games não estava funcionando."
jun. de 2022,3,Boa,"Hotel com boa localização, porém poderiam melhorar o design dos quartos e elevadores.  Pelo valor pago, poderia ser um ambiente mais sofisticado.  Boa receptividade dos funcionários, desde recepção à serviço de quarto.  Bom café da manhã também"
jun. de 2022,5,Transformação total do ex Radisson,"Grata surpresa minha estadia no Vidam Hotel,o antigo Radisson onde já havia me hospedado algumas vezes. A decoração dos ambientes,a reformulação dos quartos, a nova piscina e principalmente a ala nova que conta com um rooftop com decoração sofisticada ( louça sanitária na cir preta), piscina com borda infinita, hidromassagem e academia moderna.  Além de tudo isso o excelente atendimento de todo o staff, da recepção ,do restaurante, da governança, do manobrista,do gerente e até do Alexandre da Manutenção que nos atendeu gentilmente e nos levou pra conhecer a ala nova do hotel.  Por todos esses aspectos o Vidam merece nota 5 de um 5 estrelas de verdade.  Faço ressalva apenas a exigência de 500 reais de caução no check in do hotel o que me causou estranheza. Entendo que tal exigência não cabe a um hotel do nível do Vidam. Espero que repensem tal exigência do hóspede."
abr. de 2022,5,Hotel sensacional,"Experiência sensacional do início ao fim. Equipe muito atenciosa do momento da reserva pelo WhatsApp, na nossa chegada ao hotel, equipe do restaurante, até o momento de ir embora.  Estrutura ótima, academia incrível e piscinas ótimas.  Comemos diversas vezes no restaurante e todos os pratos estavam ótimos. O café da manhã é muito completo e o atendimento da equipe do restaurante foi muito atenciosa.  Parabéns a todos do hotel!!"
abr. de 2022,5,Férias 2022,"Ficamos 12 dias no mês de março e gostamos muito do hotel! Ótima localização! Limpeza dos quartos todos os dias , troca de toalhas de dois em dois dias ! Café da manhã farto ! Fazem tapioca, omeletes na hora! Aos domingos e servido em uma área gourmet com música ao vivo ! O hotel é bem decorado é muito bonito e a noite iluminado e mais uma das atrações da praia de Atalaia! Única coisa que não gostei foi uma caução de 500,00 que é cobrado no check in e devoldida no check out.Nao conseguiram me devolver no check out pois as máquinas estavam com problema, mas um dia depois foi estornado de minha conta.então ficou tudo ok."
mar. de 2022,5,Carnaval 2022 em Aracaju,"Ótima localização e infraestrutura, quartos limpos e um excelente café da manhã!! Boa área de entretenimento para as criança. Funcionários educados e prestativos. Fácil acesso à taxis e condução em geral!! Recomendo!!"
jan. de 2022,4,Promete mais do que entrega,"PROS  - localização  - estrutura (nova e limpa)  - café da manhã    Contras  - atendimento lento e confuso  - oferecem estacionamento, mas demoram demais para buscar o carro  - nem sempre o quarto é arrumado  - passei o Natal com a família, não souberam me informar sobre a ceia. Em um dia, estava esgotada, no fim, foi cancelada    No fim das contas, preço bastante alto para o que entrega"
