Data da opinião,Nota,Título,Conteúdo
18 de dez.,5,Hotel muito bom,"Hotel quase perfeito,só falta entretenimento para os adultos e as crianças, preço das refeições um pouco elevado,mas gostamos muito do hotel,a parte da praia enfrente não é boa para ficar, não tem quiosque e nem barracas,mas voltaríamos a se hospedar"
15 de dez.,5,"Hotel perfeito! Organização, limpeza e destaque para toda a equipe de colaboradores, sempre disponíveis e prestativos.","Estada maravilhosa! Todos da equipe foram extremamente atenciosos e prestativos, desde a equipe da recepção, passando pelas camareiras, que a cada dia surpreendiam com mimos e o café da manhã perfeito"
14 de dez.,5,Escolha perfeita em Maceió,"Hotel com ótima localização em Pajuçara, frente à praia, próximo do comércio, restaurantes, feira de artesanato, etc.. Quarto espaçoso e luminoso. O atendimento foi muito caloroso e prestável. O pessoal da Receção foi sempre muito amável e disponível, dando ótimas recomendações, permitindo-me destacar a Lara, que foi com quem tivemos mais contacto. O café da manhã era muito bom, com uma oferta correta e variada."
14 de dez.,5,Umas das melhores hospedagens do Brasil,"Olá. Sou piloto e viajo bastante. Durante o ano me hospedo em mais de uma centena de hotéis. Posso afirmar que o BW Premier Maceio é um dos melhores hotéis que já fiquei. Tudo novo, organizado e impecável. Café da manhã perfeito. Ótima variedade de sucos. Tem tapioca, omelete feitos na hora. Bolos, ovos, bacon…tudo. Digno de um hotel 5 estrelas. A academia é nova, com ótima estrutura e vista para o mar. A prestação de serviço é atenciosa, os funcionários são educados e polidos. Passei a lua de mel com minha esposa e ela está gestante de 8 meses. Tivemos todo o tratamento devido. Agradeço ao Davi (muito educado, boa expressão oral e postura), à Lara (simpatia em pessoa), Edy, Tallys e a Camareira Lisete. Esta em especial, deixava todo dia um bilhete com palavras de afeto em cima da cama. Foram muito profissionais. Seria ótimo se todo serviço de hotelaria tivessem profissionais assim. Parabéns ao setor de treinamento e contratação dos funcionários. Recomendo fortemente àqueles que desejarem passar dias de descanso e lazer na cidade de Maceió."
14 de dez.,5,Melhor hotel de Maceió! Excelente!,"Estivemos hospedados no Best Western Maceió de 06 a 14/12/22. Hotel maravilhoso em todos os aspectos.  Todos os funcionários muito atenciosos, em especial aos da recepção Lara, Tallys, Davi e Edy, que nos atenderam com muito carinho.  Quarto grande, cama gigante, muito confortável e bonito.  Camareiras excelentes, em especial a Eliane, Isabel e Carol que fazem aqueles enfeites com toalhas em cima da cama e deixam uns doces e um recadinho muito carinhoso todos os dias.  Café da manhã completo, com grande variedade e tudo muito delicioso. A tapioca do café da manhã é nota 10!  Minha mãe estava de aniversário e o hotel enviou para ela um bolo no quarto, ela ficou extremamente feliz.  Sem contar a praia em frente ao hotel, linda e de onde saem os passeios de jangada para as piscinas naturais.  Localização privilegiada.  SEM DÚVIDAS É O MELHOR HOTEL DE MACEIÓ."
13 de dez.,5,Maravilhoso Hotel super indico 🙏😍,"Toda equipe de funcionários lhe dão uma atenção especial, fazendo você se sentir muito bem em toda a hospedagem. Excelente!  O hotel é muito bem localizado. Os quartos tem decoração lindas que nos trás um paz interior, gostaria de prestar uma homenagem em especial a supervisora Goretti Fortunato um amor de pessoa educada,atenciosa e sem falar como ela se preocupa com os hóspedes, tbm quero deixar meu carinho para camareira Alessandra muito delicada com suas palavras lindas que ela deixa no quarto palavras essa que mim deixou muito feliz até chorei emocionada e sem falar também da Andreia da tapioca com um bom dia lindo nos pratos, gente amo todas elas, jamais vou esquecer por tudo que vcs fizeram por mim , esqueci de falar dos meninos da recepção top mesmo ,que Jesus abençoe grandemente vocês que fazem a equipe Best Western 🙏❤️😍"
12 de dez.,5,"Excepcional, Fantástico, Nota 10 com louvor!!","Excepcional.  Espetacular esse Hotel.  Padrão e qualidade americanas insuperáveis, com o carinho e hospitalidade brasileiras.  Muito bem localizado.  Recepção fantástica.  Serviço de Camareiras nota 10.  Destaque para a gentil e atenciosa Nizete.  Café da Manhã inesquecível. Equipe bem treinada e rápida.  Serviço de estacionamento e valets nota 10.  Recomendo fortemente esse Hotel. Não vai se arrepender!!"
9 de dez.,5,Best Western o melhor hotel de Maceió,"Amei passar o meu aniversário no Best Western. Excelente localização, limpo. Lindo e a equipe é fantástica amei todos em especial o Davi, Tallys, Lara, Cícero, Edy e a equipe de governança: Madalena, Lany, Eliani, Roberto, Goretti e Cida. Muito obrigada pela excelente estadia"
8 de dez.,5,Experiência maravilhosa!,"Estar nesse hotel é sinônimo de ser muito bem acolhido desde o momento da chegada. A equipe da recepção merece um destaque: Davi, Tallys, Lara e Edy. Todos muito solícitos, atenciosos e simpáticos. O quarto era divino, muito confortável em todos os detalhes. São disponibilizadas garrafas de água cortesia, além de café e chás. O café da manhã é completo, com muitas opções para todos os gostos. Destaque para a piscina, que fica na cobertura, com uma vista de tirar o fôlego da orla. Aliás, a localização é perfeita para caminhar na orla, e nas proximidades você encontra várias opções de restaurantes e um excelente supermercado. Pedimos um balde de gelo e utensílios para fazer uma pequena refeição no quarto e fomos prontamente atendidos pela Alice. O hotel se compara a muitos bons hotéis internacionais. Super recomendo!"
7 de dez.,5,Férias 💓🌅,"Uma estadia sem defeito! O Hotel é bem localizado, estrutura nova , limpeza impecável e atendimento diferenciado feito por Davi , Domingos , Cícero na recepção e Nizete que arruma os quartos com bombons e bilhetinhos .💓"
