Data da opinião,Nota,Título,Conteúdo
nov. de 2022,1,Não cumprimento de obrigações,"Cuidado antes de reservar nesse hotel, pesquisem que vocês virão que eles só estão preocupados com o lucro, fiz uma reserva devido a pandemia não pude usufruir, entrei em contato com o SAC que me prometeu que poderia gozar as diárias futuramente, e além do mais tem uma legislação que me ampara, está escrito que posso usar as diárias até 2023, sem correção. Por surpresa foi negado meu direito e querem devolver o valor com uma correção bem abaixo que eles estão comprando as diárias, e se quisesse me hospedar teria que pagar um complemento, eles usaram meu dinheiro e se negaram em cumprir o acordado. Não posso não ouvir o nome desse que me causa pânico."
out. de 2022,1,Só incomodação.,"Pëssimo! Fui para o velório de um familiar, e queria descansar antes de voltar.  Pedi duas camas separadas, era eu e minha mãe. Chegando lá, as camas estavam arrumadas juntdas. Pedi para arrumarem, ok, foram.  Depois no banho, o chuveiro tem dois ""modos"" mas só funcionava o tipo ""banho de mangueira"" agua que era um fio, vc lava um braço de cada vez.  Não tinha tag de não incomodar e a porta não trancava por dentro.  Para ajudar, durante a noite, A NOITE TODA, não foi possível dormir, pois tinham batidas, a cada 10 min, parecia uma reforma, que foi a noite toda, e as batidas eram sincronizadas a cada 10 min. Eu uso protetor auricular e não conseguir dormir.    Depois ao fazer checkout, só tinha uma pessoa para atender, e tinha uma fila de 5 pessoas aguardando.  Para ajudar não colocaram que a reserva já tinha sido paga no sistema, pois reservei por um site, entào demorou mais um tempo nisso.  Enfim, se puderem escolher, o Laghetto é mto muito melhor, além de outras opções que tem na cidade  OBS: o quarto q eu fiquei era o 201. Se foram lá, fujam desse quarto."
out. de 2022,5,Muito bom! Voltaremos!,"Ficamos 2 dias em Bento, hospedados no Dallonder Grande Hotel. Adoramos a localização, perto de muitos restaurantes e barzinhos e saímos à noite para jantar por ali mesmo. Quarto espaçoso (cama casal + solteiro), banheiro com bancada grande e chuveiro bom, limpeza ótima. Silencioso, passamos 2 noites excelentes. Calefação no quarto e cobertores ajudaram a passar o frio. Café da manhã surpreendeu-nos com a infinidade de delicinhas. O café da manhã servido em grandes mesas, dispostas por categorias de ingredientes, fica super bom, e não vimos filas nem aglomeração. A mesa de docinhos como brownies, cookies, pães de mel, etc, nos lembrou uma festinha de aniversário de criança. Uma perdição rsrs. Iogurtes da região, queijos e embutidos da serra gaúcha e outras delícias frescas, café quentinho. Check-in e check-out ágeis. Funcionários simpáticos e prestativos. Voltaremos na próxima viagem.  Lívia e Francisco."
out. de 2022,5,Não troco por nada !,"Cada vez que venho a Bento Gonçalves faço questão de ficar no Dalonder, pois além das excelentes acomodações, existe a piscina aquecida que é surpreendente maravilhosa ! Recomendo muito ! Boa localização e café maravilhoso! Ótimo custo /benefício!"
out. de 2022,1,Horrível!!Péssimo!!,"O Hotel está abandonado, paredes mofadas, banheiro velho com piso estragado. A piscina aquecida está cheia de goteiras, ficando impossível usá-la em dias de chuva. O barulho vindo dos outros quartos é insuportável, dá para escutar absolutamente TUDO!!!Mas o pior mesmo, é a equipe de funcionários. Completamente despreparada! A senhora que faz ""recreação"" com as crianças na piscina é desequilibrada e histérica, grita com a crianças o tempo todo, não possui um mínimo de respeito e educação com as demais pessoas presentes na piscina, sendo que ela passa SENTADA do lado de fora da piscina. Para conseguir falar com a recepção é outro sofrimento. Quando formos embora, tentamos mencionar alguns fatos absurdos ocorridos, mas novamente presenciamos apenas falta de educação e ironia. DECEPÇÃO COMPLETA."
out. de 2022,1,Fuja!! Hotel que se diz com foco em eventos não respeita o hóspede. Impossível dormir!,"Se você quer descansar, uma noite boa se sono para curtir Bento, FUJA desse hotel!  Uma situação que jamais pensei em passar em um hotel desse porte.  Fui com meu marido e minha filha de 4 anos para passa do final de semana em Bento. Passamos o dia passeando e fomos para o hotel só para dormir. Nos colocaram no 2 andar em um quarto bem regular, bendito ruim, chuveiro ruim(imagina que Iara regular a água tem que sair do chuveiro). Mas enfim, isso ok  Absurdo foi que no andar estava ocorrendo um e então, acho que de uma igreja. Pessoas passando na nossa porta todo tempo, falando, rindo, gritando. Para completar mais de 22:30h microfone a todo volume, cantorias, gritos, assobios, palmas, uivos e tudo que se pode imaginar. Festa de igreja! Liguei para recepção e ouvi que o hotel também é focado em eventos!!!! Oiiii????? E eu com isso?? , se é focado em eventos que tenha o mínimo de acústica onde faz eventos ou não coloque hóspedes próximo ao evento!  Falta de respeito! Amadorismo, estou revoltada. Desrespeito total! Inacreditável! Tenho vídeos dentro do meu quarto que o som do evento está mais alto que uma tb no máximo volume! Fora as pessoas que passam cá tá do e rindo pela porta do nosso quarto."
out. de 2022,1,Decepção total,"Café da manhã lotado não tinha mesas para sentar e uma fila gigante no buffet !! Totalmente inviável ! Tivemos que tomar café em uma cafeteria na frente do hotel ! Eles vendem café flea manhã para quem não é hóspede , ai quem está hospedado não consegue comer"
out. de 2022,2,Péssima experiência num hotel grande,"Por duas situações eu tentei falar com a recepção e ninguém atendia, liguei inúmeras vezes até cair a ligação. Fui tentar falar com a supervisora Vanessa várias vezes e ela sempre estava indisponível. O apto ao lado foi deixado com o som ligado alto e não consegui dormir. As 5:45 consegui falar na recepção e alguém veio desligar o som. Péssima experiência no hotel."
set. de 2022,1,Problemas nos quartos e vallets,"Fachada muito bonita, porém estávamos com amigos de SP e nos colocaram em quartos com final 1. Por curiosidade, as 04:30h da manhã iniciou um barulho incessante e quando ligamos na recepção, o atendente nos informou que o barulho vinha dos aquecedores e não havia nada para fazer, mas que fizéssemos alguma reclamação com a gerência visto que já faz um bom tempo que este barulho estava presente nos quartões de final 1 principalmente, muito bacana.  Os quartos estão antigos e muito aquém do que podem oferecer, visto o tamanho da rede - inclusive em minha última estadia estavam sem cobertas suficientes.  Na saída, fui pegar o meu carro e havia uma batida no pára-choque - não me preocupa se bateram, pois acontece. O que me deixa desapontado é que eu precisei ver ao invés deles me informarem e ajustaríamos sem problema algum. Ser humano pode errar sempre, isto assino embaixo, mas ser desonesto e tentar ocultar um erro desses não condiz com o que se deve entregar de atendimento nessa terra espetacular que é Bento Gonçalves.    Resumo: cuidem bem o quarto que irão hospedar-se e principalmente se levarem seu carro na viagem.    Não posso deixar de elogiar aqui o café da manhã e atendentes, mas infelizmente isso não apaga a necessidade urgente de melhorias é melhor gestão deste hotel."
set. de 2022,3,Bom mas poderia ser melhor,"Esta é uma avaliação baseada na minha experiência. O quarto que fiquei é bom, mas tivemos problemas como vaso sanitário não funciona adequadamente. A comida do restaurante é boa mas é limitada com poucas opções! O cafe da manhã é bom e com mais opções do que as outras refeições! Os elevadores não levam a todos os andares!"
set. de 2022,1,De graça é caro!,"A pior experiência em hotel. Muito velho, cheio de remendos, limpeza precária, banheiro sujo. Primeira noite já me deparei com uma barata no banheiro. Na segunda eu e meu marido fomos parar na recepção, em plena 1 hora da manhã, após reclamar pelo telefone do barulho no apartamento de cima e nada ser feito. Pensei que os hóspedes fossem cair dentro do nosso quarto. Ficamos 10 minutos na recepção e simplesmente ninguém para atender. Resolvi - eu mesma- telefonar no apartamento para pedir silêncio, o que resolveu por umas 2 horas. Você escuta absolutamente tudoooo dos outros apartamentos, ronco, telefone, andar, conversas, etc. O café da manhã pode até ter variedade mas como tudo é feito em muitaaaa quantidade a qualidade é horrível. Bolos duros, ovos mexidos parecem um bloco de concreto, waffle duro, salvam as frutas, iogurtes, geleias, queijos. Ficamos no 3° andar. O que salva? A cordialidade dos rapazes do valet ( pago) e a localização."
ago. de 2022,5,Muito Bom,"sempre que vamos para Bento Gonçalves ficamos no Dall Onder. Ótimo Hotel, café da manhã muito bom, piscina interna grande, quartos limpos. Muito bom para crianças, tem um espaço kids com vários brinquedos e jogos."
ago. de 2022,5,Férias em Bento,"Hotel excelente. Acomodações ótimas. Café da manhã maravilhoso com muitas variedades deliciosas.  Próximo de bons restaurantes, praça infantil, igreja. Muito boa localização para saída para passeios. Vale muito a pena ."
ago. de 2022,1,EVITEM! HOTEL ULTRAPASSADO RUIM PÉSSIMO.,"Hotel extramamente ruim, não vale o que se paga, hotel antigo, banheiro sujo, cabelos no chão e dentro do box, chuveiros que parecem que foram achados na gaveta de alguma casa velha, controles de tv e ar q nao funcionam, hotel abandonado, lixeiras sem tampa, eles alegam que é pelo covid mas sem sentido algum, pois não tem alcool gel em nenhum lugar necessário. Tivemos que mudar de quarto para um menos pior, a limpeza deve deve ser somente tirar lixo e trocar lençol, cobertores devem ser só dobrados e guardados, estacionamento pago, não de sabe com quem fica a chave, quem entra e quem sai. Evitem esse hotel, só enganação, as fotos que estao no site devem ser da inauguração a muitos anos atrás."
jul. de 2022,2,"Bom custo benefício, mas sem conforto.","Hotel tem como foco grande número de pessoas, mas peca nos detalhes e receptividade. Você chega, descarrega e leva suas malas para o quarto, após esperar um tempão pelo elevador.  Café da manhã com muitas pessoas, confuso e sem comidas mais gostosas. Hotel está voltado para quantidade, não qualidade. Quartos e banheiros antigos."
jul. de 2022,3,"Excelente localização, mas precisa de uma reforma.","O hotel fica perto de restaurantes, é bem localizado. Contudo, a maioria do staff da recepção é mal treinada, não sabe dar qualquer dica de passeio, restaurantes, horários de funcionamento de lugares turísticos, etc. Quando perguntados, respondem ""que são de fora"". O quarto está bem obsoleto, móveis antigos, piso gasto, no WC tem até bidê. Contudo, a cama e o chuveiro eram ótimos. A TV é bem pequena e não é smart. Os canais frequentemente saiam fora do ar, sem explicação. Café da manhã farto. E último apontamento: fui utilizar o banheiro do térreo e tinha um funcionário homem dentro do toilette feminino! Todas as mulheres saíram, constrangidas. Mesmo eu pedindo pra ele sair, o mesmo se recusou a retirar-se do local e enquanto eu estava dentro da cabine o então funcionário estava tirando lixos. E o medo dele abrir a minha porta? Fui diretamente reclamar na recepção, onde o recepcionista nada fez. Decepcionante. Creio que um melhor treinamento de todo o staff é o que está faltando neste hotel, além de uma bela reforma."
jul. de 2022,1,Péssima experiência! Não recomendo,"PÉSSIMA experiência!  Não recomendo a ninguém que venha a Bento Gonçalves.  Os quartos da categoria standard não tem condição alguma de receber hóspede. Alguns quartos com carpetes vermelhos de 1995, outros com três tipos de piso remendados. Os móveis são lascados, camas desconfortáveis, paredes com fungos. O abajur não tinha lâmpada. Os banheiros são desgastados, o registro do chuveiro literalmente ficou na minha mão quando fui abrir. O secador de cabelo não funcionou e ao ligar para recepção não tinham outro para emprestar. Os quartos não tem nenhuma decoração e os do 1º andar tem muito barulho. Cortina não veda a entrada da luz. Não vale 1200 reais por final de semana!  Ah, e cobram o estacionamento à parte, mas se prepare para esperar 30 minutos após pedir seu carro, isso se não esquecerem de trazer o seu - aconteceu conosco.  Sobre o atendimento: parecem não se importar com as queixas, devem estar acostumados. Também não oferecem soluções."
jul. de 2022,4,Ótima localização e café da manhã excelente,"Ótimo hotel, confortável e bem localizado, próximo a várias opções de restaurantes que até se pode ir caminhando.    Estacionamento cobrada diária a parte de 30 reais o dia.    Café da manhã no estilo colonial - EXCELENTE - apesar de estar sempre lotado, muito bom. Duvido que você deixe de encontrar algo que lhe agrade de tantas as opções. É mesmo diferenciado.    A academia apesar de pequena é muito bem equipada, faltam só algumas anilhas a mais para musculação, mas tem vários aparelhos. Só chegar bem cedo, pois na semana que ficamos tinha sempre muita gente depois das 7AM.    Em nossa suíte, tínhamos banheira e ducha ótimos com água quentinha nos esperando depois de dias intensos de passeio. Ótima opção para relaxar.    A piscina interna é aquecida a 34oC, mas no dia que a visitamos estava com a água bastante turva, com umas espumas brancas e fios de cabelo pra todo lado - não nos agradou - então, nem voltamos lá. Apesar das instalações aparentarem ser muito boas e novas. Deu a sensação que tinham passado centenas de pessoas por ali e não tinham dado tempo de efetuar a limpeza. Vou até ir, novamente, para ver se tiro essa impressão ruim. Ainda estamos aqui no Hotel.    De qualquer maneira, super indicamos e vamos voltar, pois gostamos demais de todo o resto: recepção, atendimento, hospitalidade, manobristas (só pedir para deixarem o veículo disponível um pouco antes de sair).    Vamos ver no check out eheh"
