Data da opinião,Nota,Título,Conteúdo
19 de dez.,5,Nota 1.000,"Ótima localização, fomos atendidas muito bem.  Gostaria de agradecer principalmente ao Rafael, que se disponibilizou a nos trocar para um quarto mais maravilhoso ainda!  Café da manhã muito bom, atendimento na piscina,especial ao Alexandre. A melhor camareira Aline, que deseja recados lindos depois de deixar o quarto impecável!  Espero voltar novamente, foi tudo maravilhoso!  💜Maceió"
12 de dez.,5,Excelente surpresa!,"Confesso que estava bem receosa com as avaliações negativas deste hotel. Tenho um padrão de exigência elevado com alguns quesitos, e este hotel atendeu a quase todos muito bem. Vou tentar pontuar com maior sinceridade possível; Quarto enorme e extremamente silencioso, nada de insetos ou falhas importantes na limpeza diária. Todos os funcionários muito educados e prestativos. Café da manhã e outras refeições que fizemos foram muito satisfatórias, e com preço justo, única sugestão que deixo, seria para um upgrade nas cobertas das camas, um edredom leve seria de grande valia para melhor conforto neste paraíso, e mais...é só chegar e aproveitar pq o hotel apesar de não ser luxuoso é sensacional!"
11 de dez.,3,Experiências Maceió,"Já estive na cidade outras vezes, mais nesse hotel devido a várias avaliações boas, resolvi vir pela primeira vez… o quarto e enorme, muito bem ventilado, além disso dispõe de 2 ar condicionado no quarto, mais a limpeza do local não é boa, os pés da gente ficam grudando no chão, o banheiro precisa de uma reforma urgente, o maresia deixou o chuveiro bem feinho e nojento, não tem estacionamento gratuito, se paga 20,00 por dia se quiser guardar o carro no estacionamento deles, e caso vc traga uma marmitinha do almoço ou jantar ( os pratos nos restaurantes são muito bem servidos, difícil vc conseguir comer tudo) terá que pagar 2,00 por peça (garfo, faca e prato) caso queira desfrutar do restante no quarto."
9 de dez.,5,Melhor Hotel,"Quarto muito bem organizado, camas confortáveis, atendimento excelente. Super recomendo a estadia no local. Melhor Hotel em Maceió pra hospedagem pois possui um serviço de atendimento excelente. Parabéns 👏🏾👏🏾👏🏾👏🏾."
8 de dez.,5,Minha estadia no Maceió Atlantic Suite,"Hotel bem localizado, um bom espaço físico e o pessoal de apoio muito atencioso, especialmente o Alexandre do bar da piscina. O Rafael da recepção que gentilmente, a meu pedido, trocou rapidinho o apartamento e faço um elogio à Aline , camareira que deixava um bilhetinho na cama desejando um dia feliz"
nov. de 2022,5,Conforto e praticidade.,Excelente infraestrutura e a proximidade com os mehores points turisiticos. Excelente café da manhã com excelente equipe de atendimento aos clientes. Parabéns aos funcionários em todos os setores desde a recepção ao bar da piscina. Alias a area da piscina merece um 10 a parte.
nov. de 2022,5,Atendimento excelente.,"O hotel é bem localizado, as camas são super confortáveis, os quartos são bem amplos, as comidas são muita boas e as dependências do hotel (restaurante, piscina...) são maravilhosas. Mas o ponto forte foi o atendimento, todos extremamente simpáticos e prestativos. Com toda certeza irei voltar."
nov. de 2022,5,Hospedagem no Hotel Maceió Atlantic suítes,"Quero agradecer e parabénizar a hospitalidade do hotel !!! Muito bom atendimento, limpeza boa , organização , ótimo café da manhã, funcionários excelente !!! E quero elogiar o trabalho da funcionária Alessandra Lima, o barmem Alexandre Lima, Italo, Pedro , Bruno todos foram muito atenciosos , prestativos , excelente atendimento , são merecedores de um ótimo feedback !!! Parabéns !!! Quero voltar com certeza !!! Abraço!"
nov. de 2022,5,Mi há experiência já tem alguns anos qdo vim ao Hotel a primeira vez! O bom atendimento nos fez retornar .,"O atendimento no café da manhã é de excelência de todos os funcionários em especial ao Breno que foi de uma atenção e gentileza para conosco de forma ímpar! Sempre solícito, nos atendendo com carinho!  O Hotel está de parabéns com funcionários assim!  Somos hóspedes do Apt 427."
nov. de 2022,5,Férias,"Hotel excelente, ambiente, arrumação, comodidade, conforto, café da manhã com diversas opções e muito saboroso, funcionários super educados e qualificados, eu e minha família amamos e ficamos muitos satisfeitos com a estadia, uma pena que foi pouco tempo, voltarei assim que possível.  Parabéns a camareira Patrícia Alves muito eficiente e educada, sempre deixava um recado motivador quando chegávamos no quarto.  Maravilhoso e excepcional hotel e funcionários 👏👏👏👏"
nov. de 2022,5,"Viagem de passeio para Maceió, se hospedando em um excelente hotel.","O hotel é maravilhoso e nos surpreendeu. Bem em frente à praia, próximo de farmácia 24hrs, restaurantes famosos como a bodega do sertão e truckzone, posto de gasolina e comércio em geral. A piscina do hotel é muito boa também, com opção para adultos e crianças. Os quartos são muito bem equipados e as camareiras são excelentes e muito atenciosas. Tem uma quadra de tênis que era constantemente usada, sauna e uma simples academia. O café da manhã é ótimo, com tapioca feita na hora e muitas opções no buffet."
nov. de 2022,3,Boa localização porém precário,"Um hotel bem localizado, porém precário, nota-se que já teve tempos áureos no passado, porém atualmente não passa de um três estrelas com um café da manhã espaçado, atendimento do bar da piscina demorado e se encerra as 18h00min, piscina satisfatória, quartos simples e banheiro com retorno de esgoto. Enfim, pelo custo benefício pôde-se encontrar algo bem melhor. Não recomendo."
nov. de 2022,5,Eu Noivei Aqui,"O Hotel é maravilhoso e aconchegante. Todos os funcionários nos atenderam super bem. Hoje pedi minha namorada em casamento e o suporte do Wallace do restaurante e da Jaqueline da limpeza, além de todo o resto da equipe foi fundamental para a surpresa. Vocês foram incríveis!!    Não apenas altamente recomendo como agora esse local fará para sempre parte da minha vida e história. Em questão de estrutura, é extremamente bem localizado, com fácil acesso a tudo que há para se fazer aqui na cidade, quartos limpos e organizados e espaços bem gostosos para descansar. O café da manhã é farto e maravilhoso e a piscina com bar ao lado quase te mantém preso o tempo todo aqui dentro de tão agradável que é ficar ali.    Um conselho para os navegantes: almocem ou jantem no próprio hotel. O restaurante tem um cardápio variado e com pratos maravilhosos, além de um super atendimento.    É um hotel familiar e que faz a viagem valer a pena. Eu e minha, agora, noiva estamos encantados.    Muito obrigado pelos dias que passamos aqui"
