Data da opinião,Nota,Título,Conteúdo
13 de dez.,5,Férias em família 12 dias,"Hotel Mercure nos recebeu muito bem, ele é muito bem localizado, muito cheiroso, seus funcionários excelentes,fomos em 4 dois adultos e duas crianças um de 5 anos e a outra de um ano, café da manhã maravilhoso... sensacional tapioca na hora fresquinho, omelete tmb... Água de cocô, até açaí na taça tinha, sem falar na melhor queijadinha que comi na minha vida... Tivemos um incidente no meio da nossa estadia onde a recepção nos ligou dizendo que havia tido reclamação do nosso quarto por conta das crianças, ficamos chateado pois eles estavam brincando no chão do quarto que por sinal não é muito grande, e era um dia de chuva resolvemos ficar no hotel, porém às pessoas dos quartos ao lado provavelmente não tem filhos e achamos melhor sair pra dar uma volta pra não ter problemas, solicitamos a troca de quarto onde fomos atendidos imediatamente assim que retornamos trocamos de quarto onde deixaram sacolinhas surpresa para meu filho com doces e desenhos pra ele pintar, fizeram um elefante de toalha na cama dele, ganhou copos personalizados da copa, e ficamos felizes com a recepção havia um papel do hotel dizendo que o lugar de criança e no hotel Mercure...as toalhas do hotel são maravilhosas grossas e bem grandes e eles dispõem de toalhas pra vc levar pra praia e isso fez toda diferença até pq quem tem criança sabe o quanto gasta roupa e toalhas nesses lugares. Amamos os dias lá, as atendentes Aline,Juliane e Wellington são muito prestativos, simpáticos, Mariana e Geraldo do café são excelentes não tem graça o café da manhã sem eles.. Geraldo é muito alegre e simpático , fizeram um bolinho e cantaram parabéns para meu esposo no dia do aniversário dele com os funcionários presente... Enfim foi uma experiência muito válida, recomendo o hotel pra qualquer família"
nov. de 2022,5,Nota 10 !!!,"Tivemos um excelente atendimento em todos os serviços , não tendo nenhuma reclamação só elogios desde os recepcionistas ; Domingos , Lara e Davi muito atenciosos e a camareira Edjane que nos surpreendeu . Os garçons e toda a equipe.  Recomendo lugar maravilhoso ."
nov. de 2022,5,Hospedagem,"Estive hospedado no periodo de 04/11/22 a 14/11/22,so tenho que elogiar todo serviço do hotel ,parabens pelo belo atendimento em todos setores,funcionarios do cafe,recepção,limpeza,cafe otimo,atendimento de padrão 5 estrelas"
nov. de 2022,4,Estadia em Maceió,"A estadia foi boa, os funcionários do hotel sempre bem simpáticos e prontos para ajudar. Tratamento excelente. Não gostei da comida servida pelo hotel. (Almoço que pedimos no quarto ), o arroz estava aguado e sem sal, a porção pequena para o valor. A limpeza do quarto poderia ser melhor, troca de toalhas durante a estadia também seria bom. A localização perfeita."
nov. de 2022,5,Estadia muito satisfatória,"Nos hospedamos no Mercure por 7 dias, começando no dia 17/10. Desde a nossa chegada onde nos permitiram fazer o check-in uma hora mais cedo até o ultimo dia ficamos extremamente satisfeitos com a hospedagem. Os funcionários muito atenciosos e solícitos, café da manhã é ótimo e bem completo, com opções diferentes todos os dias. Quarto pequeno, mas confortável e limpo, banheiro completo. Achei muito legal o fato de ter shampoo, condicionador e sabonete liquido a disposição e não só pequenas amostras. A localização é perfeita, estando numa parte bonita da praia, tem restaurantes próximos e a ferinha a poucos minutos.  Saímos extremamente satisfeitos."
out. de 2022,4,Localização é a principal vantagem,"Pontos positivos: localização; funcionários prestativos; café da manhã bem servido, fazem tapioca no café da manhã bem quentinha e gostosa; limpeza boa.  Pontos negativos: valor um pouco alto do estacionamento terceirizado (25 reais por dia), piscina minúscula, mas a vista é incrível, e poucas amenidades no banheiro."
out. de 2022,4,Estadia rápida,"Fiquei hospedado poucas horas nesse hotel, mas a impressão foi boa. O checkin foi eficiente e o atendimento foi cordial. Possui dois elevadores não muito novos. Os corredores não são largos. O quarto tem tamanho suficiente para um casal. Cama confortável e ar-condicionado funciona do bem. O meu quarto tinha vista para o mar."
out. de 2022,2,"Estadia curta e intensa, porém negativa","Para quem busca um destino descomplicado de praia urbana, Maceió é opção para todas as idades e o Mercure tem localização perfeita na orla.  Reformas estão em andamento e algumas já foram concluídas, como a do bar e da recepção, que agora inclui um cantinho para atividades infantis.  O prédio tem forma de L, com a maioria dos quartos no longo corredor e com vista lateral para um terreno em obras e um pouco do mar; os três quartos frontais têm vista mais ampla, sendo de outra categoria e de maior valor. O fato é que todos são acanhados, apertadinhos mesmo, um pouco maiores do que o padrão Ibis. Para casais o tamanho é ideal, no mais se bate cabeça.  Houve problemas pontuais durante a estadia, como internet instável e fraca, ar condicionado parando de funcionar no meio da noite, ausência de amenidades, limpeza não tão eficiente, sem falar no erro na alocação do quarto na chegada e a falta total de acolhimento no check-out.  O café da manhã tem tudo necessário pra começar o dia, com pessoal de restaurante bem atencioso. O espaço, ainda em reformas, é muito escuro e pouco convidativo, a sensação é de cantina de fábrica mas certamente vai receber mais luz e cor/arte.  A melhor escolha é o pacote de meia pensão, nem que seja por um dia, o cardápio é extenso e a comida saborosa por um valor que não se encontra em nenhum restaurante de Pajuçara. Treinando melhor o pessoal e apresentando melhor a comida para se ""comer com os olhos"" antes, o restaurante ficará muito bom também para o público externo. O restaurante já se encontra listado no TA para avaliações.  O estacionamento no subsolo é pago, o 8° andar tem piscina com vista esplendorosa e o bar se estende do lobby à área externa.  Os ocorridos durante a estadia tiveram infelizmente peso bastante negativo, principalmente pelas poucas horas passadas no hotel. E tenho o conforto de constatar queixas e experiências bem similares a meus fatos relatadas aqui nos últimos meses, deixando muito claro que não sou apenas eu a ver problemas na unidade e passar por eles, mas um nada irrelevante número de hóspedes, os quais infelizmente recebem a mesma resposta padrão e distanciada a seus relatos.  Muito sinceramente, considero que o melhor para todos os envolvidos na cadeia - hóspede, gerência, marca e rede - seria a troca imediata de bandeira de Mercure para Ibis Styles, o que reduziria as expectativas de todos a níveis adequados, e por consequência as reclamações e nos deixaria como hóspedes bem mais satisfeitos ao final."
out. de 2022,3,Hotel bom,"Estive hospedada entre dia 03/10 até dia 10/10. Quartos limpos, café da manhã farto.  Atendimento recepção ótimo. Bem localizado. Um ponto a destacar que não foi muito bom, é que o sistema de ventilação do quarto 359 não estava funcionando, o que causava um certo pânico por não ter ventilação e ser bem quente o local. Único ponto a melhorar , o hotel estava em obras, o que causou um certo transtorno nos elevadores. Do mais ótimo. Próxima oportunidade me hospedarei novamente."
out. de 2022,1,Assalto a mão armada !,"Pior hotel que já estive na minha vida! Um assalto a mão armada!  Fui com minha filha, não tem como entrar no hotel com carrinho de bebê, se uma pessoa conversa em um quarto o outro escuta; banheiro estava sujo; as tomadas queimaram dois carregadores de iPhones; hotel EXTREMAMENTE barulhento; café da manhã falta comida; hóspedes EXTREMAMENTE mal educados (fiquei 2 vezes no mês de outubro) e os funcionários não colocam ordem (pessoas furando fila de elevador; adultos gritando no café; pessoas chegando extremamente alcoolizadas e gritando depois da praia… simplesmente a pior opção para quem viaja em família. Talvez seja uma boa opção para quem busca carnaval ou ir para festas."
