Data da opinião,Nota,Título,Conteúdo
uma avaliação Hoje,5,Descanso e infraestrutura de primeira,"Ótima experiência!! Instalações novas e modernas, equipe muito atenciosa e educada. Grande variedade de comidas e bebidas (todas muito bem preparadas)! Entretenimento variado todos os dias seja na área da piscina ou durante a noite! Assistente virtual (via WhatsApp) com programação do dia e cardápio! Praia limpa e bem cuidada com água clara e quentinha! Um paraíso! Recomendo o resort com certeza!"
uma avaliação Hoje,5,Imperdível,"Bebidas e comidas maravilhosas, farta em todo o hotel. Conforto, lazer e musica ao vivo de qualidade. Atendentes simpáticos e prestativos. Limpeza exemplar. Se mantiverem a qualidade de hoje, serão lider no segmento. Melhor resort que já fui no Brasil."
uma avaliação Hoje,5,Voltarei com certeza.,"Um lugar maravilhoso, agradável em tudo, com tudo que você tem direito. Irei voltar mais vezes com certeza. All inclusive Premium, de fato. Atividades para curtir durante todo o dia. E o PUB é o melhor lugar para tomar uma breja artesanal e conhecer pessoas novas."
uma avaliação Hoje,5,Feliz,"Local excelente, funcionários atenciosos, educados. Restaurante muito bom, limpeza nos apartamentos nota 10. Local ideal para quem procura lazer, descanso e diversão no mesmo local. Com certeza recomendo e voltarei em breve."
uma avaliação Hoje,5,Impecável!!!,"Funcionários bem treinados, atenciosos e gentis. O Resort oferece boa acomodação em todos os ambientes com conforto e limpeza ímpar. Alimentação farta e cerveja absurdamente gelada 24 horas por dia. Não tem um perfil clássico para crianças, que a meu ver acaba sendo um diferencial bem interessante. 100% recomendo!!!"
uma avaliação Hoje,5,Férias inesquecíveis,"Inesquecível, como sempre padrão premium, é a segunda vez que me hospedo nesse maravilhoso Resorts, tudo impecável, desde o atendimento e cordialidade dos funcionários à estrutura física do complexo, única ressalva que poderia apontar seria exigir que todos os funcionários fizessem o uso obrigatório de máscaras em todos os setores, no mais, tudo perfeito!!"
uma avaliação Hoje,5,Ótimos dias,"Atendimento dos funcionários, comidas diferenciadas, bebidas ótimas. Apenas uma crítica , alguns drinks poderiam ser incluídos no cardápio , como Blood Mary e Tequila Sunrise , que sao drinks conhecidos e diferenciados tb!! E a praia infelizmente , não colabora com a beleza do resort."
uma avaliação Hoje,5,Excelente resort,"Local muito aconchegante e com excelentes comidas e bebidas. Notamos uma crescente de forma geral na acomodação, essa foi nossa 4ª vez. No sábado comemos a lagosta, pois não é servida todos os dias. Bebidas sempre geladas e bons drinks."
uma avaliação Ontem,5,Japaratinga ❤️❤️❤️,Lugar maravilhoso e aconchegante Atendimento perfeito e impecável Tudo muito bem limpo e cheiroso All inclusive com qualidade nota 10 na alimentação e em todos os ambientes Muito bom mesmo Ficaria o mês todo lá 🥰
uma avaliação Ontem,5,Melhor resort!,"É a nossa segunda estadia, e a experiência conseguiu ser ainda melhor que a primeira ! Equipe extremamente atenciosa. Limpeza dos quartos impecável e a das áreas coletivas é constante. Comida com variedade e bem preparada, bebidas de qualidade e sempre muito gelada!"
uma avaliação Ontem,5,Espetacular,Simplesmente perfeito. Conforto e atendimento classe A. Profissionais altamente treinados e capacitados sempre se colocando a disposição para um melhor atendimento. Alimentação excelente e para todos os gostos. Tudo extremamente muito bem cuidado.
