Data da opinião,Nota,Título,Conteúdo
uma avaliação Ontem,5,Voltarei proximo ano! Se Deus quiser. Recomendo pra tds.,"Maravilhosa, sem duvidas, fui muito bem tratada por tds ai, acolhida, voltarei pra ir sem duvidas! Voltarei proximo ano! Com td minha familia, luga perfeito, tds as pessoas precisa de um final de semana, em salinas."
uma avaliação Ontem,5,O hotel é fantástico,"O hotel é fantástico, a equipe de profissionais são excelentes, extremamente receptivos. Adriana a camareira um amor de pessoa, sempre deixava o quarto limpo e bem arrumado, Mel e Berg do bar da área da piscina sempre alegres e dispostos, Baratinha e Saulo sempre sorridentes, atendia super bem no restaurante. Voltarei sem duvidas."
uma avaliação Ontem,5,Diversão,"Maravilhosa! Atendimento excelente, boa estrutura e muita variedade de pratos, atendendo a todos os gostos! Deixou a desejar só um pouco na recreação infantil, mas no geral muito bom! Sem dúvidas voltarei outras vezes."
20 de dez.,5,Viagem pra Salinas Maceió que valeu a pena,"Maravilhosa, desde da entrada até a saída, fomos muito bem recepcionados, ambiente maravilhoso e seguro, pra os meus filhos... Restaurante com variedades de comidas excelentes, entretenimento para todas as idades... Vale a pena a hospedagem."
20 de dez.,5,Espetacular,"É a segunda vez que eu e minha família passamos férias lá. Fomos muito bem tratados, todos os ambientes muito limpos, funcionários simpáticos, só precisam melhorar na carne do churrasco, o resto é perfeito!"
20 de dez.,5,Perfeição de lugar,"Experiência maravilhosa. Tudo perfeito, atenção e simpatia funcionários, limpeza perfeita e a comida maravilhosa. Querendo voltar logo. Você se sente em casa tudo e muito bom, vários eventos, fartura de comida"
20 de dez.,5,ótimo atendimento,"Bom atendimento de toda a equipe, quarto limpo e organizado, equipe de limpeza mantendo tudo limpo e organizado, tanto na piscina como na praia, pessoal da praia com ótimo de atendimento organizando as esteiras e guarda sol. recomendo."
19 de dez.,5,Satisfação e excelência.,"O passeio foi excelente!!!! O atendimento foi ótimo, funcionários de excelência, o local muito limpo, organizado e com muita variedade de comida. Nossa família, 11 pessoas, adoramos passar essa estadia no hotel Salinas. Estamos satisfeitissimos."
19 de dez.,5,Excelente,"Foi tudo maravilhoso, atendimento nota 1000, recomendo a todos, vale muito a pena. Fui com uma criança de 1 ano e lá tem tudo comida sem sal, buffet maravilhoso, recomendo mesmo, vale super a pena...."
18 de dez.,5,Experiencia incrível,"Excelente infraestrutura, comidas e bebidas maravilhosas. Equipe de entretenimento show. Super recomendo. Complexo de piscinas excelente e praia fantástica.  SPA maravilhoso. Experiência incrível neste resort."
17 de dez.,3,Bom hotel,"O Hotel é realmente pequeno, nos dias mais cheios, o único restaurante tem fila de espera para as refeições, a piscina é aquecida e pequena, porém aparentemente comporta bem a capacidade de hóspedes. A praia do hotel é limpa e o mar um pouco agitado, mas dá para aproveitar tranquilo.  O hotel não encantou, esperava mais da recreação infantil (creio que poderia ter mais ações para ""chamar' as crianças), espaço para alimentação (tamanho restaurante),poderia ter serviço de praia (até pelo valor da diária) pois, temos que pegar as porções e bebidas no restaurante da praia e levar para areia.  Ao meu ver o que se destaca é a alimentação, pois a comida achei saborosa e variada, e o atendimento, pois os funcionários são cordiais e simpáticos."
15 de dez.,5,Lugar incrível.,"O lugar mais incrível que eu já estive, hospitalidade, comidas e bebidas tudo do bom e do melhor, vale cada centavo investido.  Voltaria mil vezes lá, aliás voltarei lá.  Obg por tudo Salinas Maceió…….."
15 de dez.,5,"Praia, diversão e gastronomia.","Curtimos muito nossa estadia no Salinas, desfrutamos de um atendimento de excelente qualidade, acomodações e serviços de entretenimento ótimos, e um destaque especial para a gastronomia oferecida que surpreendeu. A estrutura do hotel superou as expectativas, além disso, a localização bem próxima a Maceió e de outras praias maravilhosas tornou a viagem ainda melhor. Outro ponto a mencionar foi o pronto atendimento e ajuda do serviço médico que nos auxiliou com nossa filha. Recomendo muito a experiência, vale muito o investimento."
15 de dez.,5,Resort fantástico,"Fomos em 4 famílias, 8 adultos e 5 crianças entre 2 e 4 anos. O Salinas Maceió atendeu a todas as nossas expectativas. Atendimento excelente e tudo de muita qualidade (bebidas e alimentos). Certamente é um resort que pretendemos voltar. Parabéns a todos os colaboradores do Salinas Maceió e até breve!"
