Data da opinião,Nota,Título,Conteúdo
uma avaliação Ontem,5,Hotel maravilhoso,"O hotel tem uma excelente localização. Em relação a infraestrutura posso dizer que foi um dos melhores hotéis que já fiquei. O hall de entrada é bem bonito e tem um cheiro tão bom de limpeza que merece ser citado aqui na avaliação. Quarto com tamanho bom, limpeza realizada todos os dias. E o café? Uma delícia! Agora quanto aos funcionários , posso afirmar que são extremamente gentis, educados e nos proporciona uma estadia muito tranquila. Tive meu voo cancelado e consequentemente a viagem ficou bem mais tarde que o acordado e eles prontamente se disponibilizaram a guardar nossas malas e nos oferecerem inclusive as dependências comuns do hotel até que fôssemos embora. Meus pais retornarão a Maceio em alguns meses e sem dúvidas a hospedagem será aqui novamente. Parabéns a todos os…"
uma avaliação Ontem,4,Casal,"Quarto grande, bem limpo, cama confortável, café da manhã maravilhoso e diverso, perto da praia, ar condicionado potente (o ruim é que não tinha cobertas, só o lençol da própria cama). Infelizmente a piscina estava em manutenção quando fui (em pleno sábado), o que me deixou um pouco frustrada. Fora isso a recepção sempre disposta e disponivel, com certeza voltarei."
uma avaliação Ontem,5,Férias com Família,"Hotel excelente, café da manhã muito bom, muito limpo e organizado. Ana presta um super atendimento no restaurante! Sugestões: os quartos poderiam ter tv com conexão com internet para assistir Netflix."
uma avaliação Ontem,5,Passeio / Trabalho,"Hotel, hospedagem, funcionários, acolhimento dentro das expectativas que um cliente possa receber. No restaurante, limpeza e atendimento excele, em especial as funcionárias Ana e Carla que sempre prestaram um maravilhoso atendimento."
uma avaliação Ontem,5,Famila,"Atendimento muito bom, cafe otimo, hotel muito bom, recomendo, especial ao atendimento do restaurante Ana muito atenciosa, minha familia ta apaixonada e ja querem marcar as ferias pra ca e eu estou muito feliz"
uma avaliação Ontem,5,Lua de mel,"Fui bem recepcionada, o quarto muito aconchegante, bonito e limpo. O café da manhã é muito bom, com variedade, a Ana foi muito atenciosa e educada. Todos os funcionários são muito educados e receptivos."
uma avaliação Ontem,5,Maceió/ Alagoas,"Na chegada um ótimo atendimento, acomodação, hotel próximo de tudo, recepção prestativo. Apartamento arejado, camas confortáveis, ótimo serviço de quarto.  E o melhor foi o atendimento no café feito por Ana, super prestativa. O buffet variado."
20 de dez.,5,Férias em Família,"O hotel nos surpreendeu. Limpeza muito boa, funcionários cordiais, quarto amplo e arejado.  Ar condicionado do quarto funcionando, banheiro limpo e funcionando bem.  Solicitamos berço e logo nos foi atendido. Estava em ótimas condições e bem limpinho.  Recomendo muito."
20 de dez.,5,A trabalho,Vim da argetina para o brasil a negocios mim hospedei aqui e fui muito bem atendido por todos desejo voltar mais vezes claro pars passear fiquei encsntado com o atendimento da ana é muito amavel e gentil
20 de dez.,5,Lua de Mel,"Hotel com excelente estrutura e atendimento. Café da manhã magnífico, recepção excelente, quartos muito limpo e organizado e atendimento da equipe excelente. Em especial da Ana que nos atende no café da manhã."
20 de dez.,5,Maceió,"Gostamos da estadia, um hotel maravilhoso, ótima receptividade, todos são maravilhosos e principalmente Ana é um amor em pessoa. Praias maravilhosas, e a orla está linda demais com o tema Natália.  Voltaremos sempre"
19 de dez.,5,Tropicalis,"Fomos muito bem recepcionados, funcionários atenciosos e educados. Quarto limpo, decoração natalina muito linda. Café da manhã cm variedades. Limpeza excelente. Cidade muito bonita, praias lindas. Cidade muito limpa. Ana nos atendeu na entrevista. Excelente trabalho."
19 de dez.,5,Passeio,Hotel maravilhoso funcionários espetacular culinária muito gostosa e temos oque reclamar café da manhã variado a Ana muito sensacional estamos satisfeito com tudo e todos agradecemos por tudooo até breve
19 de dez.,5,passeio,atendimento tudo de bom...gostamos muito  comida gostosa culinária muito bom meaml  limpeza excelente tá muito Boa todo cheiroso  Maceió é linda é massa e indico muito    hotel perfeito voltaremos com certeza
18 de dez.,5,Passeio,Formos bem atendidos na chegada cafe da manha é um ponto forte principalmente com o atendimento da ana e das meninas tudo ta sendo otimk e vou levar esta estadia com carinho...indico e voltarei pra ca
18 de dez.,5,Férias,"Café da manhã ótimo com muitas opções, pessoal da recepção extremamente prestativos. Quarto limpo e bonito. Reconhecimento especial ao excelente atendimento da Ana, do café da manhã, e André, da recepção !"
18 de dez.,5,Férias,"Atendimento excelente, com um ótimo café da manhã!  Localização privilegiada, próxima a praia. A cidade possui diversos lugares bonitos e boa opção de restaurantes nas proximidades do hotel. Recomendo!"
18 de dez.,5,Ferias,Hotel excelente tudo muito bom sensacional gostamos de tudo principalmente do atendimento café da manhã top tudo delicioso além de ter um orla maravilhosa estou muito encantada a Ana é uma otima atendente
18 de dez.,5,Yo estoy encantado,Brasil é maravilhoso eu gosto muito daqui ja é s terceira vez que venho e ja planejo a quarta vez o atendimento é espetacular a ana a carla são excelentes profissionais indico muito este hotel de nota mil em tudo
