Data da opinião,Nota,Título,Conteúdo
uma avaliação Ontem,5,Digno do meu retorno!,"A experiência no hotel ponta Verde (praia do francês) foi excelente. Quartos sempre bem higienizados, equipe muito educada e gentil, estrutura maravilhosa, café da manhã delicioso e, como disse meu filho, basta 3 pulinhos e você já está na praia. Rs. Foram dias maravilhosos lá!"
19 de dez.,4,Um dia voltaremos!,"A escolha foi de última hora para um descanso de 4 dias após o nosso casamento! Não temos o que reclamar… todos os funcionários foram muito solícitos e educados. Quarto limpo e bem estruturado! Limpeza feita todos os dias, troca de toalhas e reposição de sabonetes e toalhas para praia/piscina. Café da manhã com uma variedade bem gostosa (aproveitamos muito). Serviço rápido no bar da piscina com preços na média dos demais bares da região. O serviço na praia também foi eficiente, com exceção do chopp hop bros que não estava bom! Já estamos acostumados a beber esse chopp mas estava quente e turvo. O garçom foi muito solícito levando de volta e trazendo outro sem custo. Outra coisa maravilhosa é que é perto das principais atrações do francês, então você consegue fazer tudo a pé.  Um destaque para a recepcionista que fez nosso check-in e checkout. Não lembro o nome dela, porém ela foi muito educada e simpática e reforço isso porque presenciamos uma hóspede sendo muito mal educada com ela, ela de maneira muito fina ela contornou a situação e deixou a senhora boçal falando sozinha.    Esquecemos de usar as bicicletas, mas na próxima iremos com a família toda e usaremos com certeza!"
19 de dez.,5,Atendimento excepcional!,"Já fiquei no hotel 2x e sempre tive uma experiência muito boa. O café da manhã é maravilhoso, o atendimento é sem igual, localização excelente, os quartos são muito limpos e organizados, tem música ao vivo no fim de semana, a vista da piscina é linda. No geral o hotel é fantástico e muito bem cuidado.    O único ponto negativo é que tem lodo e muita sujeira nos azulejos e parede da piscina. Eles poderiam lavar com frequência a piscina e não apenas trocar/tratar a água."
18 de dez.,5,Excelente pedida para viajar com crianças,"Excelente hospedagem para crianças.  Fui com minha filha de 10anos e meu filho de 6anos.  Eles amaram a piscina do hotel,o café da manhã e a praia dispensa elogios.  Ficava no mar com eles e minha bolsa na cadeira,zero preocupação com furtos.  E zero preocupação das crianças afogarem na praia,a parte em frente ao hotel é deliciosa."
15 de dez.,5,MARAVILHOSO,"o café da manhã é divino, tem uma mulher q faz a tapioca q vc preferir em todo café, muitos elevadores (um panorâmico de frente p mar), o restaurante é mt lindo e a comida é excelente. atendimento nota mil. segurança e atendimento 24hrs, quartos limpos e aconchegantes com limpeza e troca de toalhas diariamente. eu viveria lá!! vale muito a pena. o anoitecer na beira da piscina é incrível. Tem todo um cronograma diário, com música ao vivo, jantar com comida típica italiana e outro dia tem com comida típica nordestina (a decoração é toda típica tb), feijoada nos sábados ao meio dia, e diversas outras coisas. melhor estadia q já estivemos!!!"
15 de dez.,4,Bom hotel!,"Bom hotel, com quartos amplos e limpos, funcionários atenciosos e bom café da manhã. A localização do hotel é muito boa, de frente para o mar e bem próximo a bares, restaurantes e lojas.  O único ponto negativo foi a internet, que não funcionou em nosso quarto. Informamos o problema na recepção já no primeiro dia de nossa estada, mas não foi resolvido em momento algum durante os dias q ficamos hospedados."
14 de dez.,5,Ótima opção de hospedagem em uma linda praia.,"Excelente localização, equipe bastante atenciosa e prestativa, restaurante muito bom. A Praia do Francês é linda, sendo que o hotel fica localizado em uma parte protegida por recifes, que formam uma verdadeira piscina natural na maré baixa. Ao Sul, bem perto, há mar aberto com boas ondas, frequentada por surfistas."
14 de dez.,5,Visita a praia do francês,"A Priore gostaria de parabenizar a excelente recepção de Guilherme ,Gilda e Ruthe devido a nossa opinião do hotel se elevou muito nota 1000 e vamos voltar pois fomos muito bem recebidos!  Achei a estrutura do hotel muito boa ,qualidade de primeira, receba a toda administração do hotel meus parabéns e em.especial o atendimento ."
13 de dez.,5,Excelente Atendimento,"Ótimo atendimento, tudo muito limpo, café da manhã de primeira, e no restaurante tem um cardápio bem variado, e tem uma deliciosa sopa de legumes e canja que não está no menu mais é só pedir os garçons."
13 de dez.,5,Um paraíso em Alagoas!,"Hotel pé na areia. Excelente!  Frente ao hotel, desde o amanhecer se forma um belíssimo quadro. Não sei que horas é mais linda a paisagem. Tudo é belo. Perfeito!  Desde a infra estrutura, conforto e  limpeza impecável dos quartos, o café da manhã é variado/delicioso, com vista para o mar, a piscina fica no terceiro piso, tem sax no pôr do sol, e que vista!! No restaurante Fateixa, o cardápio foi mudado, ficou muito melhor, saboreamos uma deliciosa moqueca de camarão, atendidos pelo chef Anderson. Parabéns!  Agradecemos a atenção da equipe dos funcionários do hotel, citando duas  pessoas: Guilherme e Rose. Em nome deles, parabenizamos aos demais que vestem a camisa do hotel, fazendo de nossas férias, especiais.  Frequentamos o Hotel há anos e ele ainda nos surpreende, positivamente. Super indicamos esse paraíso em Alagoas. Até à próxima!"
