Data da opinião,Nota,Título,Conteúdo
11 de dez.,5,Tem coisas que não tem preço!!!,"Frequento esta pousada a mais de 20 anos e amo!! Atendimento excelente, atrações incríveis (bingo, lual, recreadores…), comida super gostosa, colchão e travesseiros maravilhosos! Bangalôs super aconchegantes, me sinto literalmente em casa! Também tenho a ressaltar a inclusão para cadeirantes! Ponto importantíssimo! Só tenho gratidão por todas as vezes que estive lá!!!"
nov. de 2022,5,"Uma pousada, um paraíso","Meu marido e eu amamos a pousada. Fomos muito bem recebidos por todos os funcionários, recepcionistas, garçons, camareiras, marinheiro André, enfim , são pessoas que trabalham com alegria e dedicação. Café da manhã ótimo. Bom apartamento, limpo todos os dias. Piscina linda e limpa. Um marzão na frente , cadeiras, guarda-sois, atendimento dos garina areia da praia... Cardápio variado e simplesmente delicioso, amamos. Passamos 5 diárias e queremos voltar . A pousada é um paraíso."
nov. de 2022,2,Quarto e banheiro com cheiro ruim,"A pousada tem uma boa localização, na beira da praia. O quarto é simples mas tem cheiro forte de mofo. Podia ter mais tomadas pelo quarto também. O banheiro tinha cheiro forte de esgoto, sempre sentia aquele cheiro de “esgoto voltando”. O café da manhã é simples e razoável. Os funcionários são bem cordiais e simpáticos. A comida do restaurante da pousada é bem gostosa, é um bom lugar para almoçar e/ou jantar."
nov. de 2022,5,Simplesmente Perfeito,"Fiquei 10 dias com minha família, 4 adultos e 4 crianças e foi simplesmente maravilhoso. Pousada pé na areia com toda infraestrutura para bebê, criança, idoso e cadeirante, serviço espetacular, comida e bebida maravilhosa, monitoria excepcional, tudo perfeito. Um paraíso na Terra."
out. de 2022,5,Restaurante mais perfeito de Maragogi,"5! Viemos almoçar e que experiência! Pedimos de entrada o filé de peixe frito. Porção generosa e deliciosa. E de prato principal o camarão barra velha. Meu Deus! Maravilhoso! Arroz cremoso com muito camarão, mega bem servidos no abacaxi. 🥰 Apaixonada! E o atendimento então? Fomos mega bem atendidos. Garçons excepcionais! Querendo já vir fazer a próxima refeição."
set. de 2022,5,"Intimista, natureza e mar","Eu e meu namorado ficamos 3 diárias na Pousada Barra Velha, no chalé de número 17 (quinta-> domingo).  *O chalé e o ambiente: Fomos bem recepcionados, o chalé é limpo todos os dias e tem uma varanda na frente. A pousada é toda repleta de árvores, grama e plantinhas, além de ser ao lado de um zoológico com muitas aves (oq da ainda um plano de fundo e um charme maior para a natureza do lugar).  *café da manhã: variedade adequada de frutas, pães, raízes, cuzcuz, cereais, ovos, queijo e presunto. Tudo bem novo! Além disso, fazem na hora omeletes, tapiocas e fizeram 2x salsisha p meu namorado (ele só toma café da manhã c salsicha). Super personalizado kkkk  *atrativos: se vc não quiser, nem precisa sair a noite da pousada. Eles ofereceram atração na quinta(música mpb), sexta (Bingo), sábado (Lual com grupo de pagode). Tudo já incluso nas diárias ! No bingo houveram premiacoes como chocolate, massagem, até diárias na pousada!!!!! Incrível!!!!!  *localização: beira-mar! Literalmente. O bar da pousada leva drinks e petiscos p nós na beira da praia. A pousada tbm oferece cadeiras e mesa, tudo tbm incluso. MAS a localização não eh tão pertinho de Maragogi! Se quiser sair da pousada p desbravar Maragogi, eh necessário um carro próprio ou buggy.  *funcionários: excelente! Todos simpáticos, prestativos, incríveis!!! Só elogios!"
set. de 2022,5,Pousada lindíssima.,"O atendimento desde a chegada até a saída é excepcional. O bangalô que ficamos é rústico e muito confortável, ficamos no 22 onde a vista é espetacular. Os meninos que nos atendem no café e praia são 10, faz valer a pena a estadia no local. Fica apenas uma sugestão na hora do café, aguardar o hóspede terminar de se alimentar para retirar as coisas da mesa, tem hora que parece que estão nos convidando a se retirar. Os meninos da recepção são gentis. Nos dias em que estive lá tivemos 2 noites de música ao vivo, bingo, o que deixa o ambiente agradável e acolhedor. Tem espaço para comemoração de datas especiais que é muito lindo. A praia em frente quando está seca é muito bonita, mar verde e calmo. Com certeza é um lugar que eu quero voltar muitas vezes."
set. de 2022,5,Sinta - se em casa,"Sinta -se em casa na pousada Barra Velha, o melhor atendimento de maragogi , fui tratada como rainha ! Os chalés são charmosos e limpissimos, observe a categoria, pq tem uns mais velhos e outros renovados, vale a pena pagar um pouco a mais pelos renovados. Uma ótima estrutura p crianças, pcds, pé na areia! Sr lula um querido que participa e incentiva projetos de preservação. Minha casa em Maragogi !"
ago. de 2022,5,O atendimento é um luxo,"A Pousada fica na beira da estrada e é pé-na-areia, com uma bonita praia na frente. Nos horários em que a maré baixa, dá para entrar andando por mais de 500 m dentro do mar que ainda é raso. Tem uma boa estrutura para relaxar, piscina, jogos, redes, restaurante. A café da manhã e a comida do restaurante são muito bons. O quarto é simples, sem luxo, mas limpo, com tv-smart/internet, ar-condicionado. Todas as noites em que ficamos havia uma atração contratada pela pousada, música, show de mágico. O serviço de atendimento dos restaurantes e praia foi excelente, com funcionários super atenciosos. Fizemos ainda o passei de jangada com o André, saindo da pousada até as piscinas naturais, e também foi muito bom. É um ótimo lugar para relaxar, comer uma comida, ouvir música e ficar na praia nas férias em família."
ago. de 2022,5,EXCELENTE,"Estivemos na pousada em julho, ela é maravilhosa, pé na areia, praticamente uma praia particular para os hóspedes da pousada...ao chegar na recepção, todos são muito educados, informaram sobre passeios, acabamos fechando lá o passeio com André, que também foi bem atencioso. Os garçons nem tenho palavras pra agradecer, visto que tenho alergia a lactose e atenderam os meus pedidos, meu muito obrigada! Vcs foram demais! As meninas da recreação são ótimas...meus filhos adoraram.....no período que ficamos ainda tivemos música ao vivo, mágico, cinema....Com certeza indicarei e quando puder voltarei a pousada!"
