Data da opinião,Nota,Título,Conteúdo
dez. de 2022,5,MINHA PREFERÊNCIA EM CG,"Melhor opção em Campo Grande staff atenciosa e eficiente academia boa, área do bar bacana para uns drinks, quarto confortável e instalações novas e boa localização, meu hotel de preferência sempre em Campo Grande"
dez. de 2022,5,Hotel Excelente,"Desde o atendimento inicial até o nosso checkout fomos atendidos com excelência, sendo importante destacar que todas as nossas exigências foram cumpridas e o contratempo foi solucionado com rapidez e excelência que todo hotel deveria adotar."
dez. de 2022,5,Perfeito,"Ótimo hotel, excelente atendimento. Café da manha maravilhoso com diversas opções de doces e salgados. acomodações confortáveis, limpas, higienizadas. Piscina linda.  Ótima localização no centro de Campo Grande,"
dez. de 2022,5,Excelente escolha!,Tinhamos rodado mais de 1000 km e estavamos procurando um hotel para descansar e tomar um banho quente com ducha forte. Este hotel é excelente e a ducha é bem forte. Ideal para descansar apos uma longa viagem.
dez. de 2022,5,Hotel Excepcional,"Acomodações excelentes, tudo muito organizado, limpo, comida de qualidade e otimo atendimento na recepção.Cheguei no hotel as 10 da manhã e só poderia entrar as 12:00, quando foi as 10:30 liberaram um quarto pra mim e me acomodoram."
dez. de 2022,5,Avaliação Deville Hotel,"Os serviços são excelentes, as acomodações confortáveis, não há barulhos, o cafpe da manhã excelente e com muita variedade. Desde o momento do check-in até o Check-out, toda equipe Deville foi muito atenciosa. Super recomendo."
dez. de 2022,4,Atendeu a expectativa,"O Hotel atendeu a minha expectativa dentro da tarifa proposta, gostei, muito bom! Confortável e higiênico, silencioso também. O café da manhã com muitas opções. Lanches também muito bem servidos. Nada a reclamar."
dez. de 2022,5,Sensacional!,"Experiência fantástica nesta linfda cidade de Campo Grande, no estado do Mato Grosso do Sul. Hotel possibilitou momentos incríveis, desde a recepção, serviço de manobristas, restaurante, bas e café da manhã. Tudo sensacional."
dez. de 2022,5,Recomendo,"Recomendo, tirando o estacionamento pago e a demora para buscar o carro se pegar um pouco de movimento (que também não compromete tanto) o hotel é maravilhoso, atendimento muito bom e café da manhã impecável."
dez. de 2022,5,Hotel de excelente qualidade,"Hotel maravilhoso, sempre que vamos a CAMPO GRANDE damos preferência para ficar nesse hotel. Localização ótima, perto de tudo. Café da manhã perfeito, bem variado. Os funcionários são muito prestativos."
dez. de 2022,5,Ótimo atendimento,"Hotel maravilhoso e confortável, atendimento excelente, organizado.    Familiar, tivemos uma experiência maravilhosa, o café da manhã é impecável.    Todos são atenciosos e bem instruídos.  Os quartos tem fácil acesso."
dez. de 2022,5,Excelente,"Hotel maravilhoso, limpo, cheiroso e atendimento primoroso. ótima localização. Café da manhã excelente. Quartos bem arrumados, bem decorados e espaçosos. Equipe profissional e treinada para receber e atender. Recomendo a estadia."
dez. de 2022,5,"Ótima experiência de hospedagem, com café da manhã maravilhoso!","Equipe atenciosa, prestativa, ótimo atendimento. Ambiente limpo, agradável e acolhedor! Quarto com cama extremamente confortável. Ótima localização. E o especial café da manhã variado, sortido e extremamente saboroso! Apesar da curta estadia, foi uma experiência ótima!"
dez. de 2022,5,Experiência top,"Me hospedei para comemorar o casamento. Apesar de não ter tido nenhum atendimento especial para este momento específico, o atendimento é o hotel são excelentes. O café da manhã perfeito, o quarto bem amplo é muito aconchegante. Chique. Vale a pena demais se tiver disposto a investir um pouco mais em uma hospedagem,"
dez. de 2022,5,Ótima experiência,"Estivemos neste hotel durante um fim de semana. O quarto era muito silencioso, limpo, decoração de bom gosto e cama extremamente confortável. Facilita a vida ferro de passar roupas disponível no quarto."
nov. de 2022,5,Surpresa,"A estadia foi muito prazeirosa, boa comida, ótimas instalações, atendimento muito gentil e educado.  Certamente retornarei ao hotel quando for a Campo Grande.  Gostei muito das instalações.  Parabéns a toda sua equipe"
nov. de 2022,5,Melhor Hotel de Campo Grande/MS!,"Café da manhã, almoço, jantar muito gostoso e com produtos de qualidade; quartos confortáveis, espaçosos e aconchegante, hotel limpo e muito organizado, com design arrojado e elegante; atendimento excelente, desde a recepção, aos garçons/atendentes e a limpeza. Quero aproveitar para elogiar o Samuel (recepção), o Rafael (garçom/café da manhã) e a Marilene/Marlene (limpeza/ Não me recordo do nome. rss);eles foram imprescindíveis com suas simpatias eficiência e profissionalismo durante a nossa estadia no Hotel."
nov. de 2022,5,Viagem a trabalho,"Hotel incrível. Nota 10!    Foi uma viagem a trabalho e gostei da hospedagem pelo conforto, qualidade e ambiente.    única coisa é minha camisa que eu esqueci, após ligar no hotel, disseram que não está lá."
nov. de 2022,5,Melhor Hotel,"Atendimento impecável! Quarto excelente, super organizado, café da manhã delicioso! Nos hospedamos com nossos dois filhos pequenos e tivemos uma experiência surpreendente e super humanizada quanto família! Com certeza nos hospedaremos novamente!"
nov. de 2022,5,Sensacional atendimento recebido durante um evento para 300 associadas.,"Hotel Deville está de parabéns não só pela organização e atendimento impecável, mas também por solucionar crises imediatamente com muita serenidade e responsabilidade. Todas as 300 associadas receberam um excelente atendimento."
nov. de 2022,5,Hotel Excelente!,"Quarto super confortável e limpo, atendimento nota 1000, café da manhã excelente e super localização, proximo ao parque onde podemos realizar passeios de bicicleta (locação no própio hotel) ou a pé. Adoramos nossa estadia!"
nov. de 2022,5,Um Super Hotel,"Desde a cordialidade de todos os atendentes, recepção, quarto super confortável, café da manhã excelente, ADORAMOS O HOTEL. Em nossa estada a piscina estava em reforma, mas acredito que só deixará o hotel mais perfeito."
nov. de 2022,5,Excelente atendimento e acomodação,"Desde a recepção ao quarto, hospedar no Deville é sempre uma experiência impar.  O atendimento sempre cordial, de prontidão, humanista, focando sempre no bem estar do cliente.  A acomodação é excelente, o restaurante sempre traz boas experiências gastronômicas.  Parabéns."
nov. de 2022,5,Perfeito. Magnífico café da manhã. Excelente restaurante.,"Nota máxima com louvor. Me senti acolhido, ajudado, bem servido. Piscina ótima para relaxamento (não para a prática de esporte). Ótima localização. Muito confortável. Elegante. Decoração sóbria e bonita. Quando voltar a Campo Grande ficarei lá com certeza."
nov. de 2022,5,Excelente,"Maravilhoso. Ótima localização. Café da manhã excelente. Atendimento impecável. Restaurante com ótimas opções e bom custo benefício. Bom local para eventos. Quartos amplos, com boa ventilação e vista agradável."
nov. de 2022,5,Excelente atendimento.,"Bom dia,  Não deixar cair o atendimento com os clientes, capacitando, reciclando os colaboradores do hotel e terceirizados.  Manter atualizado os valores e promoções nas diárias para o melhor atendimento."
nov. de 2022,5,Muito bom,"Recomendo, otimas instalacoes, funcionarios atenciosos . cafe da manha completo quarto perfeito. tranquilidade no sono, nao se escuta barulhos, ar condicionado funcionando perfeitamente, tv grande nos quartos, realmente muito bom."
nov. de 2022,5,"Mesmo sem a piscina, é top!","Excelente em tudo. Muita gente trabalhando, sempre muito bem disposta e educada. Café muito bom. Excelentes noites de sono (silencioso), cama confortável, black-out de verdade no quarto... enfim, tudo muito bom!    Dica; verificar com hotel como funciona a arrumação do quarto, pois, nos dois dias, tivemos que ligar para pedir arrumação (já à tarde)."
nov. de 2022,5,Excelencia,"Super indico a hospedagem no Deville Prime.  Conforto, segurança, proximidade de pontos turísticos, ambiente agradável, bem localizado, excelente atendimento que é de suma importância ser bem tratado, bem recebido que em viagens não é diferente. Eu me hospedaria novamente neste hotel, seja a negócios, trabalho, com a família sem pensar duas vezes!"
nov. de 2022,4,Conforto e otimos serviços e localização,"Foi minha primeira hospedagem nesse hotel. Fiquei bastante surpreso com a qualidade e gentileza no atendimento de praticamente todos os setores. O café da manhã é variado e montado em três ambientes diferentes e muito bem decorados. Quartos elegantes, limpos."
nov. de 2022,5,Excelente,"Hotel muito bom. Bem localizado, em uma das principais avenidas de Campo Grande/MS. Funcionários do hotel foram simpáticos e educados desde nossa chegada até o momento em que deixamos o hotel. Café da manhã muito bom. Quartos limpos e modernos."
out. de 2022,5,Incrível,"Cada detalhe foi importante, mas desde o atendimento o cuidado com as malas com nosso conforto, a alimentação, estar disposto e presente em tudo, foi das melhores experiências que já tive recomendo e aconselho ficar lá vale a pena"
out. de 2022,5,Tudo perfeito !,Ficamos só um dia e tudo excelente desde a recepção aos manobristas.  Pedi um expresso no bar e minha filha adorou o biscoito que acompanhava. Pedi mais um para ela e a moça do bar deu uns 6 e minha filha ficou muito feliz. Pequenos detalhes que fazem diferença em um hotel..  ;
out. de 2022,5,Hospedagem perfeita.,"Hotel de primeira qualidade, em todos os aspectos: acomodações, alimentação, localização, atenção com os hóspedes, garagem com manobrista, limpeza e conforto dos quartos. Excelente relação custo/benefício. Sempre que vou a Campo Grande me hospedo neste Hotel."
out. de 2022,4,Hospedagem OK! Tudo correu bem! Quarto silencioso e atendimento muito bom no café,"Hospedagem OK! Tudo correu bem! Quarto silencioso e atendimento muito bom no café. A piscina estava em manutenção, mesmo assim a hospedagem foi tudo certo. O hotel poderia ter sauna e spa, seria mais um serviço direcionado aos hospedes"
out. de 2022,5,Super indico,"Serviço ótimo! Fui super bem atendida, o quarto era limpo e silencioso. O café da manhã era muito gostoso também. Super indico! Fica bem localizado e o ambiente é muito bom. Os funcionários são bastante atenciosos."
out. de 2022,5,Recomendo,"Ótimas instalações, 3 elevadores super rápidos. Quarto muito confortável, cama gigante. Banheiros e toda estrutura do quarto são impecáveis. Funcionários sempre prestativos e um café da manhã perfeito com muitas opções."
out. de 2022,5,Uma bela porta de entrada a caminho do Pantanal,"Hotel excelente, bem localizado, com equipe atenciosa, acomodações amplas, tudo muito limpo e agradável. O café da manhã maravilho, um banquete. Academia perfeita . Parabéns pelo zelo. Voltarei, com certeza!"
out. de 2022,5,Excelente estadia,"Funcionários extremamente capacitados para recepcionar os hóspedes, serviço de quarto impecável, café da manhã com itens de qualidade, agilidade e prontidão né estacionamento. Com toda certeza retornarei"
out. de 2022,5,Confortável e bem localizado,"apenas problemas com o chuveiro fraco e com a água fria que surgia durante o banho, mesmo usando a água quente.  Fiquei cerca de uma semana no apto 314 e o banho era terrível por esses motivos. Durante o banho, nos dias frios, era surpreendido com jatos de água gelada."
out. de 2022,5,Excelente avaliação,"Já é a segunda vez que vou nesse hotel e só tenho elogios. Os quartos são limpos, com equipe de recepção atenciosa. A academia desse hotel é sensacional. Funciona 24 horas e pra quem usa academia isso é muito importante."
set. de 2022,4,Satisfação,"Tudo funcionou perfeitamente nessa estadia. Espero que continue a evolução. Gostaria que não houvesse essa exigência mínima de caracteres. Isso prejudica a avaliação das unidades, desmotivando os usuários a fazê-lo. Não é primeira vez que registro isso. E não muda. Grato"
set. de 2022,5,Excelente Hotel erm Campo Grande,"Hotel muito bom para se hospedar a trabalho ou com a família em Campo Grande. O quarto é espaçoso, limpo e organizado. O café da manhã é completo e os serviços de forma geral funcionam muito bem, checkin, checkout e serviço de estacionamento muito bom!"
set. de 2022,5,Excelente atendimento,Os quartos e café da manhã é bem organizado. Possui grande variedade no café. O serviço de quarto foi bem ágil e o preço compatível com o servidos fora . Atendentes atenciosos e gentis. Recomendo a hospedagem.
set. de 2022,5,"Bem localizado. Top. ótimo café da manhã,","Eu me hospedaria novamente no Deville. Café da manhãl com produtos fit, sem açucar, várias opções de bolos, sucos, pães em abundância, Muito confortável, limpo. Perto do shopping, dá pra ir a pé... Super bem localizado."
set. de 2022,5,Excelente!!!,"Quarto espaçoso e confortável, atendentes muito educados e atenciosos, café da manhã farto e delicioso.  Me surpreendi com os valores da lavanderia. Muito acessíveis, bem mais em conta que uma lavanderia “tradicional” e serviço otimo!"
set. de 2022,3,Experiência de hospedagem,"Hotel com infraestrutura de eventos na categoria média. A equipe de eventos deixa a desejar, tem de solicitar a limpeza e reposição de objetos, alimentos e limpeza, eles não são proativos. Também não possuem um espaço mais moderno em termos de tecnologia e espaço."
set. de 2022,5,Muito bom.,"Disponibilizar produtos ""zero"" açúcar no café da manhã e nas sobremesas. No mais tudo perfeito. Eficiente serviço de manobrista. Funcionários atenciosos, educados e bem treinados. Localização perfeita para turistas."
ago. de 2022,5,Agradabilissima,"Localizacao excelnte seja oarabtrabalhonou lazer. Quartos limpos e confortaveis c vista boa da regiao.  A cidade de Campo Grande ganhou com este hotel.  Silencioso, otimo oada descanso e servicos de alta qualidade."
ago. de 2022,5,Melhor hotel de CG,"Simplesmente o melhor hotel de Campo Grande MS a um preço justo. Bem localizado, com excelente atendimento (colaboradores que parecem da nossa família) e o melhor café da manhã que já encontrei. Sem dúvidas o melhor custo benefício!"
ago. de 2022,5,Excelente Hotel!,"Minha estadia atendeu ao que precisava. Encontrei exatamente o que contratei. Super recomendo. Iluminação excelente, individualizada no quarto. Chuveiro ótimo. Alimentação no quarto excelente. Tinha um chopp no frigobar, muito gostoso. Pizza ótima."
ago. de 2022,5,Excelente Hotel,"Hotel diferenciado no atendimento, e isso me agrada demais!  Ótimas dependências, moderno, linda decoração, ótima cama, travesseiros, roupas de cama.  Excelente café da manhã, vasta variedade para todos os gostos.  Adorei a hospitalidade!"
ago. de 2022,5,Excelente hotel,"Excelente hotel com profissionais gentis e muito educados, quarto limpo, ótimo restaurante. O hotel tem piscina e amplo espaço em sua área de recepção, e um hotel relativamente novo, estrutura bonita e agradável !"
ago. de 2022,4,Muito bom!,"O café da manha pode ser aprimorado em um detalhe.  Atenção na conservação das geleias servidas e na textura dos pães.  A máquina para fazer bebidas na hora é excelente, porém, há opções bem melhores  da linha de café do fornecedor. O sabor do café servido não é bom  e não é coerente com o restante do que é servido.  O restante, estão de parabéns.  Senti falta dos Waffles no segundo dia de estadia"
ago. de 2022,5,Experiência perfeita,"A estadia foi perfeita, a estrutura física, quartos, café tudo de muita qualidade. Os colaboradores da recepção muito solícitos, educados, demonstraram muita competência no desempenhar de suas funções."
ago. de 2022,4,Apenas trabalho,"Como fui a trabalho não pude aproveitar muito a estadia, mas achei muito bom o atendimento. Não tenho muita coisa a dizer, estava em evento na cidade e fora do hotel e por isso só usei o hotel para dormir e fazer algumas refeições."
ago. de 2022,4,Boa experiência,"Boas instalações, quarto confortável e limpo, chuveiro ótimo e café da manhã e jantar variados e apetitosos. Atendimento na recepção pode melhorar em relação à agilidade. Recomendo o hotel e voltaria em outras oportuidades."
