Data da opinião,Nota,Título,Conteúdo
uma avaliação Ontem,5,Viagem em família ( 16 pessoas),"Hotel com excelente localização para litoral norte, próximos a supermercados e shopping. Fiquei 7 dias com a Familia, café da manhã excelente, instalações ótimas, cama e ar condicionado do quarto muito bom. Gostei da limpeza da quarto, apesar de ao andar descalço no quarto sentir areia da praia. Café da manhã muito farto e me surpreendeu o hotel conseguir servir em média 700 pessoas no período em que estive aqui. Achei bacana que ao finalizar uma refeição rapidamente tem alguém limpando para que outra família utilize a mesa. Em todos os dias houve variação do café. Simulei um possível late check out para ver a reação dos atendentes e mesmo em alta temporada eles afirmaram que dariam um jeito. Pontos de melhoria: o elevador não comporta os horários de pico e a garagem tem que…"
ago. de 2022,5,Viagem de Férias,"Fiquei 7 dias no hotel Ritz Suítes em Maceió. Durante a estadia não tivemos nenhum problema relacionado ao hotel. Os quartos são amplos, a cama é bastante confortável e a limpeza é excelente. Os funcionários são bastante atenciosos e prestativos. Ótimo hotel!"
20 de dez.,5,Viagem a trabalho,"Muito bom o hotel, quartos espacosos e limpos, funcionários excelentes, principalmente a atendente Andressa. Todos muito prestativos e simpáticos. Café da manhã excelente. Uma localização privilegiada."
20 de dez.,5,Férias,"Ótimo hotel - confortável, limpo, bonito. Colaboradores prestativos e solícitos, sobretudo o Jefferson que é muito atencioso e preocupado com nosso bem estar. Ponto de melhoria: abordagem por parte da equipe WAM, que é cansativa; cheiro da roupa de cama."
20 de dez.,5,Férias em Maceió,"Simplesmente amei o hotel, funcionários educados, simpáticos, acolhedores fora a beleza das praias de Alagoas, estou apaixonada pelo povo Nordestino super recomendo o Hotel Ritz Suítes e com certeza em breve voltarei"
20 de dez.,5,amei o agendamento do hotel,Maravilhoso voltaremos sempre  Excelente atendimento e localizada indicaremos para outras pessoas e voltaremos com certeza  Muito  Obrigada a toda equipe do hotel as praias também são lindas é ótimo estarei aqui em breve
20 de dez.,4,Cuidado,"Experiência incrível, o trabalho do hotel é impecável. Só não dou 5, pela abordagem frustante que tivemos com a WM (terceirizado) dentro do hotel. Reportei as experiências boas e ruins para a Andressa, que nos ouviu com muito carinho e atenção, para o trabalho do hotel em si, nota 1000."
19 de dez.,5,Tudo maravilhoso... recomendo aos amigos parentes... Hotel muito bom de verdade,Hotel maravilhoso... atenciosos tudo de bom nota 10 t7do lindo acolhimento e profissionalismo acredito que seja a marca deste hotel... Hoje estou muito grata por tudo... espero retornar mais vezes porque foi uma experiência única...
18 de dez.,5,Muito bem atendido e indico o hotel.,"Quarto confortável, refeitório com espaço enorme e variedades para cafe e jantar. atendimento nota 10. Elogio ao atendente Leandro desde a entrada e saída do hotel. A Camareira Roseli pelo excelente serviço e carinho. Chefe de cozinha no jantar muito educado e gentil."
17 de dez.,5,Viagem de Férias,"Um ótimo hotel, excelente recepção, com um maravilhoso café da manhã, indicaria para alguém, o lugar da pscina tem uma ótima visão, a piscina imaginei que seria maior pela foto vista em redes sociais, porém é ótima também."
13 de dez.,4,Hotel excelente!,"Funcionários muito educados. Check-in rápido.  Quarto bem estruturado. Em frente à praia, muito prático! Área da piscina muito boa, limpeza impecável, os quartos são bem higienizados! Variedade no café da manhã!"
12 de dez.,5,"Maravilhoso esse hotel, minha avaliação é nota 999999.....","Sí você pretende ir a este hotel parabéns pela escolha.  Excelente 👏🏽 si todos fossem assim seria um sonho.  Praia linda, clima agradável.  Muito muito bom parabéns a todos que fazem parte do RITS SUÍTES..."
11 de dez.,3,Experiência no ritz,"A camareira Roseli tem um atendimento diferenciado , gentil , educada e atenciosa.    Sobre o café da manhã acho que poderia ser bem melhor , ter mais variedade sempre as mesmas coisas ! E os cartões do quarto param de pegar constantemente fazendo com que assim que chegar no quarto tenha que voltar para ativar novamente, muito chato essa situação !    No mais foi legal a experiência!"
10 de dez.,5,Muito boa a experiência,"Muito bom o atendimento, excelente café da manhã com bastante variedades, funcionários educados e atenciosos, muito bom o ambiente pra família, voltaria mais vezes.. somente o Wi-Fi do hotel que deixou a desejar mais no geral fiquei satisfeito com a estadia."
10 de dez.,5,Foi muito maravilhoso fantástico,"Gostei da hospedagem, café da manhã excelente, estrutura fasnatastica. Guest Weverton . Atencioso, Cortez, que recepção maravilhosa. Indicaria a recepção dele foi agradável. Sempre pronto a servir os hóspedes , conseguimos observar seu comportamento com todos."
10 de dez.,5,Equipe cordial e atenta,"Serviço de quarto muito bom! Fomos atendidos pelo Jefferson que foi extremamente gentil e cordial conosco no café da manhã, além do Renan e da Vanessa que se preocuparam o tempo todo com nosso bem-estar durante a estadia.."
10 de dez.,5,Avaliação Ritz Suites,"Quarto 618 tudo confortável, café da manhã bem top. Chegamos no dia 04/12.  Fomos recepcionados pelo GUEST RENAN CARIOCA bem educado e fez todo o acompanhamento na nossa hospedagem  Única questão foi a praia de mar forte."
10 de dez.,5,Amei,O ritz foi um bom hotel para passar a semana e agradecer a thalia gisele e o café da manhã e muito bom e o quarto e muito cheiroso e muito bom a cama espero voltar outro dia para ficar nesse maravilhoso hotel
10 de dez.,5,Visita a Maceió,"Hotel ótimo. Acomodações ótimas, café da manhã excelente. Funcionários muito atenciosos e prestativos. Lugar lindo. Praias lindas, passeios maravilhosos. Com certeza voltaria mais vezes, e indico essa viajem e este Hotel."
9 de dez.,5,Maravilhosa 😍,"Os quartos são bem agradáveis  Recomendo o hotel para as pessoas que eu gosto. Bem localizado, atendimento excelente, comida de qualidade.  Uma dica:  Séria bom se tivesse ferro de passar roupa facilitaria bastante."
9 de dez.,5,Experiência espetacular,"Ótimo atendimento.  Qualidade na infraestrutura, serviço de quarto.  Ambiente agradável e aconchegante.  Restaurante e café da manhã excelente.  Recomendo e indico este hotel pra quem procura uma hospedagem com total conforto.  Meu esposo e eu fomos muito bem recepcionados pelo Darllan e toda equipe do hotel. Só tenho a agradecer."
8 de dez.,5,Simplesmente perfeita !,"Simplesmente perfeita! O melhor hotel de Maceió a melhor estadia da vida ! Minha nota e a máxima , 5.  Sem falar que fica na rua do maior evento de final de ano, o réveillon. É só sair e ir caminhando. O maior shopping de Maceió também é muito próximo."
8 de dez.,5,Lugar muito bem organizado. Serviços de primeira,"As Camas são muito confortáveis, o ritz suites é um hotel bem aconchegante.  As Camareiras são atenciosas e cuidadosas com nossos pertences.  E na minha experiência contei com uma vista espetacular da janela do quarto."
8 de dez.,5,Avaliação ritz suites,Gostei muito do hotel trouxemos nossa filha e deu pra curtir muito o guest RENAN CARIOCA fez a nossa recepção e foi mt educado e bem receptivo.  Voltaremos com certeza. Praias ao redor muito boas agua quentinha.
7 de dez.,5,Hospedagem,"A hospedagem foi maravilhosa, comida incrível, funcionários super educados e receptivos, eu amei demais! Os quartos são muitos confortáveis, com certeza voltaremos e vamos recomendar a todos, pois vale muito a pena!"
