Data da opinião,Nota,Título,Conteúdo
uma avaliação Ontem,5,Maceió mar hotel,"Maceió mar hotel muito bem localizado, equipe do hotel bem preparada p atender o hóspede, todos mto cordiais e prestativos; café da manhã excelente; quarto com vista panorâmica vale a pena o valor, pq eh simplesmente extraordinário! Pernoites sem barulhos. Mto fácil o acesso para passeios, praias, restaurantes e artesanato!"
uma avaliação Ontem,5,Lugar que amamos 😍,"É a terceira vez que me hospedo Maceió Mar hotel e sempre me receberam muito bem.  Funcionários muito educado e atenciosos, a Patrícia é um amor de pessoa,todas as vezes que chegavámos no quarto tinha uma decoração diferente na cama.  A praía de ponta verde é linda ,hotel está localizado em um ótimo lugar onde tem tudo por perto.  Agradeço a todos os funcionário,vcs são demais"
14 de dez.,4,Excelente,"Ótima localização, excelente atendimento, café da manhã com muita variedade, cama confortável, piscina maravilhosa! Disponibilidade de toalhas para usar na piscina, água saborizada e café na recepção."
13 de dez.,5,Maceió mar hotel,"Maceió mar hotel, hotel excelente na orla da praia, ótimo atendimento, limpeza e cuidado com os hóspedes, não temos do que reclamar.Ótima localização, a praia em que está localizado também é ótima para quem está com crianças pois não tem ondas. Você encontra tudo perto do hotel , aluguel de bicicletas e patinete , restaurantes e quiosques."
8 de dez.,5,Hospedagem maravilhosa.,"Hotel excelente, frente mar, comida farta e saborosa. Café da manhã típico da região maravilhoso. Funcionários super atenciosos, da recepção até o bar da piscina. Quarto espaçoso e aconchegante. Ficamos em um quarto frente mar eu, minha esposa e filho de 06 anos."
6 de dez.,4,Stopover para estadia no litoral,"Parada de uma noite em Maceió, como ponto de partida para uma excursão pelo litoral norte de Alagoas. Valeu muito a pena, pois o hotel oferece condições de uma estadia confortável , com boas instalações serviço atencioso. Quartos que proporcionam vista para o mar, são altamente recomendáveis. Quarto muito bom. O café da manhã é bem variado, cabendo apenas a ressalva de que nas primeiras horas do serviço o grande afluxo de usuários incomoda um pouco. Vale considerar o hotel para uma estadia mais longa."
5 de dez.,4,Muito bom,"Café da manhã bom, com tapioca e waffles feitos na hora. O atendimento é maravilhoso de todos os funcionários.  Eles disponibilizam toalha para uso na praia e na piscina, o que facilita muito a vida da gente.  O hotel é bem antigo e os quartos podiam estar mais bem cuidados. O elevador é panorâmico, mas é um custo parar no andar, porque ele sempre vai atender os andares superiores primeiro.  Estacionamento super seguro mesmo sendo ao ar livre. Um dia esquecemos uma das janelas do carro aberta e colocaram um plástico tapando para proteger caso chovesse.    Quartos amplos, arejados e também com ar condicionado. O Box estava vazando água por baixo, causando uma pequena poça que foi absorvida pelo tapete do banheiro. Todos os dias as toalhas são trocadas.    A localização do hotel é incrível. É na parte nobre de Maceió, perto de restaurantes, supermercado e farmácias. Além da praia logo em frente.    A vista é lindíssima! Se possível, escolha o quarto que dê vista para o mar."
nov. de 2022,5,Agradecimento colaborador Depto. Reservas,"Quero agradecer o colaborador "" Wagner"" do depto. de reservas pela atenção e amabilidade dispensada em meu contato para solicitação de minhas reservas! Extremamente atencioso e competente! Forte abraço!  Att,  Sonia Margaret Setti  41- 996226377"
nov. de 2022,5,A melhor vista de Maceió,"Dessa vez é nossa 5a. Hospedagem no Maceió Marcos Hotel, gostamos muito do hotel, dos serviços, dos colaboradores e a vista uallll a vista é para respirar profundamente. O quarto sempre muito limpo e organizado, comida do café da manhã muito saborosa e farta, a piscina é muito bonita e está bem em frente ao hotel, tem uma linda vista, wi fi excelente. Agora vou falar das pessoas incríveis que preparam nossos dias de férias com muito amor, são pessoas sensacionais, aquelas que olham nos olhos e vibram de alegria por proporcionar momentos incríveis para os hóspedes, meu agradecimento especial e para Andrea (gerente), Rose e Fernando (da cozinha) e a equipe simpática e ágil da recepção. 💖"
nov. de 2022,5,Ótimo serviço!!,"Amamos nossa hospedagem, ficamos 7 dias e não tivemos problemas, comida do café da manhã é ótima!! Almoçamos um dia no hotel e a comida foi maravilhosa, todos os funcionários trataram a gente muito bem, um dia meu namorado passou mal e perdeu o café da manhã, mas expliquei a situação, foram compreensíveis e me ajudaram a montar algo rápido e saudável pra ele recuperar!! Simplesmente perfeito! Uma pena que o hotel não é em Pajuçara, praia que mais gostamos da proximidade, mas ponta verde tbm é incrível 🫶"
