Data da opinião,Nota,Título,Conteúdo
1 de dez.,5,Excelente,Hotel e funcionários maravilhosos. Muito receptivo e cuidadosos com o bem estar dos hóspedes. Não posso deixar de agradecer o restaurante do Hotel. Tanto a comida e o café da manhã impecável. Obg por tudo!
nov. de 2022,5,Tudo maravilhoso,Experiência maravilhosa em ponta verde Amamos passar os dias na praia e curtimos muito! Quero voltar mais vezes nesse paraíso que é Maceió. Só elogios ao hotel e a cidade Uma das melhores viagens que já fiz … abraços
nov. de 2022,5,TOP!!!!,"Fomos muito recebidos, hotel atendeu todas nossas expectativas!!! Vista maravilhosa de frente para o mar!!! Café da manhã com muita variedade, feijoada bem diversificada com itens separados!!! Pretendemos retornar mais vezes!!!!"
nov. de 2022,5,Hotel excelente,"O hotel é excelente, ótimo custo benefício. A limpeza é ótima, pois limpam os quartos todos os dias, só não limpam quando o cliente sinaliza não precisar. O café da manhã é muito bom, com muitas variedades. Os funcionários são muito educados e solícitos. Gostaria de deixar um elogio em especial para a moça do café da manhã, que fazia tapiocas, ela foi muito educada em arrumar cadeiras para minha bebê sentar para tomar café. Gostaria de deixar um elogio também para a moça da limpeza que era sempre muito simpática e educada conosco. A localização do hotel está em um ponto muito bom na ponta verde, perto do farol. O restaurante possui pratos deliciosos com preços justos."
nov. de 2022,5,ferias sensacionais,"Atendimento excelente de todos a começar pela recepção , porteiro, serviço de copa e restaurante. Funcionários treinados e resolvem os problemas rapidinho. ùnico problema que tive foi inicialmente ficar no quarto 115, ao lado Hotel Maceió Mar, onde ficam os aparelhos de ar condicionado do Maceió Mar e do Ponta Verde, impossível dormir com o barulho. Mas dia seguinte pedi a mudança e fizeram sem problemas, o quarto é muito bom, frigobar, telefone, colchão bom e limpeza boa tb.  Piscina não é aquecida, mas dá para entrar pela temperatura do local. A Praia em frente, é uma grande lagoa, bom para crianças, não tem ondas e a agua é quentinha.  Café da manhã bom, alguns dias faltavam alguns produtos pela alta demanda.  Recomendo."
nov. de 2022,5,Recomendo,"Estive com a família no hotel e foi muito bom nossa semana. Tudo de parabéns, recepção na limpeza nas comidas na organização na estrutura do hotel. Recomendo e voltaremos mais vezes no hotel.    Continue.."
nov. de 2022,5,Férias maravilhosas,"Funcionários muito atenciosos e gentis, o café da manhã é excelente com várias opções. Lá tem tudo pertinho, restaurantes, bares, mercado, farmácia…    Só achei o ar condicionado muito barulhento.    Mas de resto foi tudo perfeito. Super recomendo."
nov. de 2022,5,Show do início até a saída,"Atendimento de excelência do início até a saída, Recepção acolhedora pelos Srs. Benildo, Maurício e toda equipe. Super atenciosos, simpáticos e solícitos. Afinal há 25 anos que faço questão de estar entre amigos."
nov. de 2022,5,Férias,Meu namorado e eu fomos muito bem recebidos...recepcionistas bem humorados...apartamento limpo todos os dias quarto amplo...ficamos no apto 616 lateral para praia muito aconchegante...Piscina limpinha...cafe da manha simples porem na medida...recomendo
nov. de 2022,5,Excelente hotel. Nossa hospedagem foi sensacional. Recomendo!!!!,"Café da manha maravilhoso. Quarto com boa acomodação. Hotel limpo e organizado. Funcionários muito educados e atenciosos. Localização do hotel é privilegiada. Com certeza quando retornar à Maceio ficarei novamente no Hotel Ponta verde. Todos os veiculos de passeio turistico passam por la para pegar os turistas para passeios. Vista linda do mar,"
nov. de 2022,5,Lugar maravilhoso Maceió e Hotel ponta verde.,"Boa tarde!!! Estou mto grata e mto feliz tratamento desde a chegada no Hotel ponta verde ,pessoal recepção tratou mto bem eu meu esposo,comida maravilhosa hotel,garçom mto atenciosos,estou parabenizando todos,estou indo embora com coração cheio alegria eu meu esposo sençao satisfeita ...Eu volto!!!Obrigado gratidão🙏💋👌"
nov. de 2022,5,Sensacional,"Segunda vez que me hospedo neste hotel e dessa vez a experiência foi ainda melhor, destaque para o excelente atendimento do Ítalo em toda nossa estadia. Café da manhã e quartos maravilhosos. Com certeza recomendo e iremos voltar."
nov. de 2022,5,Excelente Hotel,"Café da manhã maravilhoso. Atendimento desde a recepção aos atendentes do restaurante show. Hotel top! Com certeza se tiver oportunidade de voltar para Maceió me hospedaria nesse hotel novamente, e indicaria para outras pessoas."
