Data da opinião,Nota,Título,Conteúdo
17 de dez.,5,Relaxante,"Quarto grande, muito confortável Hotel fica muito bem localizado, funcionários muito educados A única coisa que poderia ser revisto é a aceitação de Pet de pequeno porte, pois os nossos animais fazem parte da nossa família."
16 de dez.,5,Melhor vista de Pajucara,"Além da vista sem igual, o serviço é de excelência. Piscina infinita na cobertura liberada para todos os hóspedes, além de uma piscina com água quente no térreo para os dias que quiser relaxar. Academia de respeito, além de uma sauna pra usar à vontade. Recomendo muito!!!"
11 de dez.,5,Lua de mel,"Hotel excelente! Atendimento ótimo! Apenas solicitaria aumentar a altura do chuveiro, quase bati a cabeça nele e olha que tenho só 1,82m de altura. Mas de resto, hotel excelente! Voltaremos mais vezes com toda certeza!! ;)"
11 de dez.,5,Fantástico,"Hotel muito organizado, colaboradores muito simpáticos e com excelente atendimento, quartos perfeitos, excelente localização e a comida do hotel é perfeita. Estamos organizando o retorno para breve..."
9 de dez.,5,atendimento excelente,"Funcionários atenciosos, comida variada e saborosa. Menu no jantar bem gostoso. Quartos confortáveis. Piscinas bem legais. Tudo limpo. O hotel apenas deveria trocar as toalhas da piscina, bem surradas e amareladas. Excelente hotel."
9 de dez.,5,Espetacular,"Nós não poderíamos ter escolhido local melhor para passar a nossa lua de mel. A experiência com vocês valeu cada centavo pago e não vemos a hora de voltar logo. O espaço era lindo, a limpeza impecavél, além do buffet e dos funcionários sempre a postos. Mais uma vez obrigada !"
5 de dez.,5,Férias 2017,Excelente Hotel!  Localização e infra- estrutura mais que o esperado! Café da manhã e atendimento de parabéns!! Piscinas e área de laser perfeitos! A praia de Pajuçara é maravilhosa e fica enfrente o Hotel. Adoramos tudoo!!😍👏🏻👏🏻👏🏻
5 de dez.,5,"Meninas da Brinquedoteca, maravilhosas!","O hote é excelente, muito limpo, quarto maravilhoso, funcionários muito educados e prestativos.  Meuas agradecimentos vão especialmente para as meninas da brinquedoteca, maravilhosas!!! Minhas crianças amaram brincar com elas, são muito cuidadosas, divertidas e carinhosas!  Amei, super recomendo!!!!"
4 de dez.,5,Super recomendo!!!,"Gostamos muito do hotel Meridiano. Equipe super educada, café da manhã delicioso, quartos bem amplos e bem equipados (ficamos na suíte luxo, que é a categoria mais ""simples"" e muito bom!), ducha do banheiro super gostosa, piscina do hotel sensacional!!  Comemos somente uma vez no bar da piscina e apesar de um pouco demorado, os petiscos estavam muito gostosos. Excelente localização do hotel, próximo a diversos restaurantes e feira de artesanato.  Com certeza voltaria em uma próxima estadia em Maceió."
2 de dez.,5,Súper recomendo,"Estivemos 17 dias nesse hotel , não tenhu nenhum comentário negativo !  Des da entrada ao último día um trato incrível,o servicio de limpeza um 10 ! Os trabalhadores todos muito atenciosos !  Depois dentro do mesmo hotel tem piscinas , sauna , academia !  Se volto a Maceió sem duvidar volto ao Meridiano"
1 de dez.,5,Excelente hotel!,"Funcionários extremamente atenciosos, em especial, a Karina da recepção. Café da manhã excelente e farto. Quarto confortável e amplo, cama excelente, banheiro enorme. O andar da piscina então, sem palavras, excelente infraestrutura, recomendo demais."
1 de dez.,5,Férias em Maceió no Hotel Meridiano,"Hotel excelente. Ótima localização, quartos impecáveis, atendimento vip para todos. Foi a melhor experiência que já vivi em um hotel.  Café da manhã delicioso.  Com toda certeza é um hotel que indico para qualquer pessoa."
