Data da opinião,Nota,Título,Conteúdo
uma avaliação Ontem,5,Melhor resort urbano do Brasil!,"Um resort com excelente localização, próximo aos principais shoppings, restaurantes e pontos turísticos da cidade. Um complexo fantástico de aérea de lazer, piscinas grandes e bastante mesas e cadeiras para nós hospedes. Atendimento diferenciado desde da recepção às camareiras. Já estamos ansiosos para 2023 voltar com toda nossas família. Ah não poderia esquecer o restaurante Venni ( Parrilha ) com carnes nobre e o preço super bacana."
ago. de 2022,5,Impressão Geral,Localização e comodidades perfeitas. Destaque para a cordialidade e prestatividade de todos os colaboradores. Excelente serviço de massagem no SPA. O isolamento acústico permite ficar no apartamento sem perturbação do silêncio a qualquer hora.
19 de dez.,5,Férias com a família,"Excelente hotel para passar as férias com a família. Acomodação muito boa, gastronomia excelente e entretenimento diferenciado. Ótima localização com facil acesso às praias e ao centro comercial. Serviço de quarto eficiente e lazer completo para crianças e adultos."
18 de dez.,5,AGRADÁVEL,"Os dias aqui foram INCRÍVEIS. Os funcionários são extremamente educados e prestativos, as acomodações são perfeitas, aqui tudo é muito lindo limpo e organizado. Tem atividades para todos os gostos e idades."
17 de dez.,5,Férias Jatiúca Resort é excelente,"Estou hospedada aqui no Jatiúca resort e estou amando. Tudo maravilhoso e lindo. Vou todos os dias almoçar no restaurante Veni, comida deliciosa e sou atendida sempre com muito carinho e um sorriso no rosto pela maravilhosa Jucelene. E na piscina amei o atendente Charles, sempre muito solicito e animado. Vocês estão de parabéns pelos excelentes funcionários. E pra quem me conhece sabe que sou bem chata. Quero agradecer também ao Robertinho da animação. Obrigada a todos por tornarem minhas férias inesquecíveis."
16 de dez.,4,Hotel Jatiúca Resort,"O hotel tem uma infraestrutura extraordinária, a alimentação é excelente, o pessoal da recreação (Hulk, Robertinho lindinho da mamãe e o Alan) são excelentes, muito divertidos. Minha esposa Suely e eu (Wanderley) adoramos estar aqui."
15 de dez.,3,Deu piriri na família,"O hotel é muito bacana, infra boa, alimentação boa, etc Wi-Fi não pega em todo lugar mas o sinal de celular VIVO é ótimo em todos os pontos Mas o tal surto de piriri continua no local (procurem posts anteriores) A família toda sofreu com gastroenterite a partir do 2 dia de hospedagem"
14 de dez.,5,Maravilhoso,"Esse resort e hotel é maravilhoso! Os funcionários são atenciosos e educados. A estrutura de lazer é ótima, oferecendo conforto, tranquilidade e alegria. O quarto é bem confortável. As comidas são ótimas. Café da manhã farto e delicioso. O sistema de meia pensão é ótimo e o hotel oferece bebidas, refeições e petiscos com um custo bem acessível. Indico e voltaria outras vezes."
13 de dez.,5,Férias incríveis,"Excelente resort, ótima estrutura, ótimo atendimento, recreação infantil (tia moranguinho e tio Robertinho tops) voltaria com certeza. Buffet com bastante variedade, quarto confortável, adoramos a viagem"
13 de dez.,5,Lugar perfeito!,Amei cada segundo que estive no Jatiúca resort! Que experiência maravilhosa… já quero voltar mil vezes! Todos muito receptivos e simpáticos! Comida muito boa e serviço de quarto de qualidade. Super recomendo!
13 de dez.,4,Final de semana,"Minha estadia foi agora no FDS do dia 09/12 a 11/12. Achei os funcionários da limpeza do quarto e do restaurante muito bons, a moça que limpou meu quarto era super educada, a Jaqueline no restaurante muito educada tb, no geral todos muito bons. Sugiro apenas que seja inclusa no cardápio do almoço e jantar do restaurante principal a carne moída sem acréscimo de molho ou pimenta para as crianças seletivas a carnes e peixes mais elaborados."
8 de dez.,5,Uma excelente experiência,"Atendimento excelente. Estrutura completa com bares, restaurantes, parque aquático, recreação e serviços de hotelaria. Boa opções no cardápio e funcionários muito solícitos. Em especial o funcionário Ivan da recepção. Um Resorte dentro da cidade ideal para day use."
8 de dez.,5,Hotel perfeito,Hotel perfeito para curtir com família e amigos. Várias recreações para as crianças. Variadas opções de tarefas de laser e sem falar na gastronomia que só de pensar dá vontade de morar lá. Funcionários super atentos e educados. Tá de parabéns!
