Data da opinião,Nota,Título,Conteúdo
17 de dez.,4,Ótimo resort,"Ótimo resort, funcionários muito educados e atenciosos, comida gostosa, grande variedade, local limpo, mar com ondas, só achei que o espaço da piscina poderia ser um pouco maior, comparado ao tamanho do resort. Mas, vale a pena conhecer."
16 de dez.,1,Avaliação sincera,"Hotel é péssimo: começa pela recepção horrorosa sem ar condicionado, a estrutura física do restaurante é deprimente, mal cuidada, suja, está caindo aos pedaços, o mesmo para comida que é de péssima qualidade, ao que tudo indica ingredientes de 5ª linha, sem qualidade nenhuma. A piscina é horrível é suja mal, cuidada, chega a ser repugnante. O bar da praia não merece melhor avaliação, as bebidas eram quentes e sem gás e a comida fria e com péssima qualidade, o mesmo para a estrutura física do bar pois está caindo aos pedaços. Não recomendaria nem para um inimigo Obs : estivemos lá em 2021"
15 de dez.,5,Férias,"Queremos agradecer a todos do hotel Pratagy, por proporcionar momentos inesquecíveis, equipe peixe boi é show, amamos e queremos agradecer a todos por tudo, pretendemos volta sim, tio Cleiton e tio Gaspar são sensacional, amei as hidros ginástica, e as aulas de danças shows também..."
10 de dez.,1,Alimentação pessima (todo dia mesmas coisas),"Quando nos hospedamos em 2019, atendimento e opções de comida eram bem melhores. Comida repetitiva todos os dias, na ceia, tem apenas sanduíche, ( o hambúrguer tradicional de vaca não tinha todos os dias), dos 7 dias que ficamos, 5 tinham hambúrguer de peixe ou frango, que por sinal são horríveis! Desconheço alguém que goste de hambúrguer de peixe… Em 2019 existia bacon no Pratagy, esse ano (2022) durante os 7 dias que ficamos não tinha nem resquício. Nem no café da manhã, nem almoço, nem janta. Teve um dia no almoço que tinha macarrão ao vivo, mas as guarnições estavam bem fracas (milho, tomate, frango e os molhos). Antes, tinha carne assada todos os dias no almoço, dessa vez teve somente 3 dias. Piscina sempre suja todos os dias, nem entramos. A máquina de sorvete só faz…"
7 de dez.,2,Longe de ser um resort,"É um hotel com comida péssima a vontade, comida sem tempero, sempre a mesma opção, no bar comida q vontade porém só um dia foi bom, bebidas de drinks péssima marca, demoram para repor comidas, está longe de ser um resort. Piscina pequena, kids pequeno e o parque doce ilusão pequeno só tem brinquedo para crianças muito pequena, e um rio para adultos. O que salva aqui quarto bom e vista bonita por ser no meio da mata. Não volto e não indico"
5 de dez.,2,Comida de péssima qualidade não é compensa da pela beleza da praia,"O hotel está mal conservado, a piscina é pequena demais para o número de hospedes, as refeições são péssimas realmente, comi pizza por 6 dias era a única comida de qualidade, além disso a animação da piscina e do bar da praia usava músicas muito altas e de péssimo gosto. Enfim se quiser descansar em um ambiente tranquilo com comida boa, não vá."
4 de dez.,2,Decepção total,"Comida péssima. Instalações mal conservadas. E além disso, músicas altíssimas o dia inteiro. Sábado à noite, show na praia até meia noite, sem respeitar os hóspedes dos apartamentos próximos. Não indico e não voltaria. Realmente, uma decepção."
nov. de 2022,5,Férias,Queremos agradecer a todos de hotel Pratagy por proporcionar momentos bons e incrível agradecer a todos do pessoal do A e B serviços Equipe peixe boi é show parabéns a todos amei já quero volta sensacional
nov. de 2022,5,Férias,queremos agradecer a todos do hotel Pratagy proporcionar momentos bons incríveis queremos agradecer também a equipe do esporte lazer equipe peixe-boi por todo o carinho Parabéns a todos pessoal também do A e B pessoal da serviços gerais
nov. de 2022,2,"Maceió e mini pizza, um casamento ou um funeral","Praia bacaninha mas um all in inclusive decadente. Comida horrível tudo em reforma, qualidade das bebidas padrão para um all inclusive emergente mas no geral deve em tudo, limpeza, pessoal, as duas estrelas vão para a pizza fininha servida as vezes a tarde que será sua única refeição ok"
nov. de 2022,5,Ferias,Queremos agradecer a todos do hotel pratagy que Proporcionou momentos bons incríveis queremos agradecer a todos de hotel Pratagy e também a equipe Peixe-Boi por nos trata super bem parabéns a todos da equipe Pratagy
nov. de 2022,2,Day use da whindam ! Se não tiver interesse em contratar a whindam não va !!,Fomos para o Day use oferecido pela Whindam no valor de 150 o casal. Eles disseram que ficaríamos uns 45 minutos pra apresentarem o hotel e em seguida usufruir do Day use. Ao chegarmos ficamos 2 horas sendo pressionados pelos funcionários da whindam pra contratar o serviço deles. Tivemos pouco tempo pra aproveitar o hotel. O serviço oferecido pela whindam é bom mas se vc não tiver interesse não perca seu tempo indo nesse Day use. É muito ruim ser pego de surpresa e ser pressionado para contratar um serviço que não é de seu interesse. Experiência péssima ! Perdemos nosso dia em Maceió !
nov. de 2022,4,VOLTARIA COM TODA CERTEZA,"Resort localizado na cidade de Maceió/AL, tem uma boa estrutura para descansar com os amigos. Sendo compacto, é uma ótima dica para quem não gosta de “se perder” em grandes resorts. Com uma vista deslumbrante, do hotel para a areia do mar, há um rio que cruzamos por cima da ponte. Com bons shows todas as noites, a animação é garantida. Gostaria de chamar a atenção para algumas questões que seria interessante o hotel observar: a variedade de comida é fraca, sendo a maioria dos dias da semana servidos carne de boi, porco e frango, ou seja, para quem vai num resort do nordeste, a intenção de uma parte dos hóspedes, é comer frutos do mar e peixes e isso não observei muito. Continuando, o homem que controla a volta de caiaque e de stand up paddle, é muito sem educação, grosso e estupido. Os copos de plásticos deveriam ser trocados por de acrílico pelo menos."
nov. de 2022,5,Super recomendo!!,"Máximo de respeito por esse lugar que nos acolheu com tanto respeito, amor e cordialidade. Ainda estou hospedada aqui, completo 7 dias amanhã!! Além do respeito com os hóspedes, existe também o respeito com os animais, infelizmente alguns gatos e cachorros são abandonados e ao invés do risort “chutar” esses animais, o que muitos outros risorts fazem, eles acolhem com muito amor e respeito. Existe todo um processo de acolhimento por ONGs, mas enquanto isso eles são bem-vindos e bem tratados!! Os funcionários em geral são muito amáveis, mas em especial o Erivaldo, uma pessoa incrível!!! Não deixem de conhecê-lo!!  O visual é incrível, praia maravilhosa, estrutura completa, melhor água de coco da vida, super recomendo!! Pretendo voltar com a família completa!!!"
