Data da opinião,Nota,Título,Conteúdo
19 de dez.,5,Que atendimento!,"Localização Excelente! A estrutura dos quartos em um geral é agradável! Estrutura de recepção, recreação, lazer, praia, piscina incríveis! O café da manhã e o jantar são simplesmente sensacionais, uma das melhores experiências que já tivemos no nordeste brasileiro! E o grande ponto forte do Praia Dourada: as pessoas! Atendimento impecável de todos.. simpatia.. disposição.. conhecimento.. O Praia Dourada se mostrava melhor a cada dia que ficamos nele! Parabéns a todos!"
nov. de 2022,3,Ótima infraestrutura,"O hotel possui uma ótima infraestrutura, piscina boa e adorei que é localizado na beira da praia. A praia é praticamente privativa mas tem poucas cadeiras e guarda-sol para os hóspedes na praia. Tem que chegar bem cedo para conseguir algo lá. O quarto é pequeno e simples, esperava que fosse um pouco maior pelo preço da diária. A limpeza é mediana, podia ser melhor. O café da manhã traz várias opções mas a qualidade não é excelente, é mediana. A janta é mais bonita do que gostosa, eu particularmente não gostei da comida do jantar…. Achei bem fraca, carnes sem gosto. Achei o local seguro e agradável, sem cheiro ruim no quarto…eu voltaria só pela infraestrutura que eu gostei bastante."
nov. de 2022,1,Diversas inconveniências!,"Apesar da estrutura do hotel ser boa, detectamos vários inconvenientes nos serviços oferecidos. - privada e pia entupidas. - comida extremamente gordurosa (a isca de peixe estava pingando óleo e o pão do misto que pedimos para nosso filho estava mole de tanta gordura). - quantidade ínfima de estrutura (mesa e guarda-sol) na praia. No primeiro dia chegamos na praia às 9:30h e já não tinha mesa. Tivemos que ficar dentro do hotel, em umas espécies de camas que eram pra ser algo sofisticado, mas estavam com os colchões completamente encharcados e cujas coberturas que as protegeriam do sol estavam rasgadas. - para entrar na estrutura do hotel, existe uma guarita onde toda vez tínhamos que parar e explicar que estávamos hospedados lá. Como meu filho acabou pegando uma virose e como…"
nov. de 2022,5,Hotel muito bom.,"Tive uma semana agradável em Maragogi, dessa vez hospedada neste hotel na praia do Burgalhau. Gostei dele, achei tudo bem cuidado, ambientes limpos, piscina ampla, jardins bonitos, quarto confortável, banheiro espaçoso com ótimo chuveiro, funcionários educados e gentis, algo que não me surpreende por vir do povo de Alagoas, que considero tão dócil! Refeições ótimas, principalmente o café da manhã. Deixo aqui o meu parabéns a toda a equipe do Praia Dourada!"
out. de 2022,5,"ACIMA DAS EXPECTATIVAS, EXCELENTE SUPORTE😉","Meu depoimento vai além das excelentes resenhas que os hóspedes descrevem aqui. o Hotel é tudo isso mesmo e muito mais !! Imprevistos acontecem e é aí que ,de fato, podemos avaliar a hospedagem como um todo. O Hotel, por si só já oferece serviços e experiências excelentes, mas aqui vou falar de SUPORTE. Sou Consultora e proprietária de Agência de Viagens, e estou com 2 casais hospedados no Praia Dourada desde 13 de Outubro. Infelizmente uma das hospedes sofreu um acidente, caiu e fraturou o tornozelo. O Staff do hotel imediatamente se mobilizou inteiro para socorrer e acompanhar minha cliente em todos os momentos necessários, (Pronto atendimento, farmácia, etc) inclusive disponibilizou um carro para fazer toda a logística de Maragogi até Recife para um hospital com…"
out. de 2022,3,Compatível com o preço.,"Não se enquadra na categoria Resort. O quarto é pequeno, com mobília simples. O banheiro tem uma pequena ventilação em comum com outros aptos. Instalações do hotel bem antiguinhas, com exceção do restaurante. Limpeza mediana. Academia aceitável. A equipe de recreação merece parabéns. É possível deixar os pequenos aos cuidados deles em horários pré estabelecidos. Café da manhã e jantar alto nível. Praia privativa super deserta. O hotel tem serviço de praia, mas os garçons demooooram aparecer. Recreações para todas as idades durante todo o dia. Copinha com bebedouro disponível. Toalhas de piscina e praia à vontade. Estacionamento interno sem custo adicional."
out. de 2022,4,Razoável,"O hotel tem uma estrutura muito boa. As recreadores infantis são muito legais. A programação de recreação é muito pobre. Uma atividade outdoor pela manhã e uma tarde e somente isso. Todas as demais são dentro do clubinho. Para ficar em uma sal fico em São Paulo. Hotel tenta fazer venda casada proibindo consumo de bebidas adquiridas fora do estabelecimento na piscina, o que é contra o CDC. Fila para o jantar é muito grande. Buffet não comporta grande quantidade de pessoas. Comida é normal, nada demais."
out. de 2022,5,Excelencia nos serviços,"Sinceramente, fomos surpreendidos com a excelência dos serviços deste Hotel. Restaurante impecável e quartos bem funcionais e limpos. O atendimento das pessoas também merece aplauso. Como sugestão de melhora, senti falta de pesos e anilhas no espaço chamado academia, mas que na verdade é um espaço de esteiras para aeróbico. Não precisa de aparelhos para musculação, só pesos e anilhas já são suficientes. No mais, impecável. Estão de parabéns."
out. de 2022,5,Maravilhoso,"Amei muito. Tive uma excelente hospedagem. Todos os funcionários muito educados e receptivos, área de lazer maravilhosa. Além De um café de manhã dos sonhos conta também com jantar todas as noites com inúmeras opções. Nota 1.000 vale muito a pena"
set. de 2022,5,Maravilhoso,"O hotel é maravilhoso. Quarto espaçoso, com rede na varanda...realmente sensacional. Optamos por regime de meia pensão. O café da manhã e jantar com comidas maravilhosas...Volto novamente sem pensar. Há shows ao vivo com o pé na areia (o de saxofone e MPB foram maravilhosos)."
