Data da opinião,Nota,Título,Conteúdo
uma avaliação Hoje,5,Hospedagem maravilhosa,"indico muito o hotel íbis, recepção excelente, quartos muito bom, sem contar a vista ao mar, tudo perfeito. Você q está procurando um hotel no fim de ano, esse seria sua ótima opção para passar com sua família!"
uma avaliação Ontem,5,Minha estádia foi ótima!💗,"Gostei do apartamento em frente ao mar, o café da manhã é excelente, adorei tudo que tinha lá principalmente a tapioca. O atendimento das atendentes do café foram ótimos, e gostei da limpeza do quarto."
uma avaliação Ontem,5,Eu amei demais vou recomendar muitos,"Gostei do apartamento em frente ao mar, amei a limpeza tudo ótimo perfeito o café da manhã incríveis os forro da cama tudo cheiroso a tapioca eu amei perfeita o atendimento da recepção maravilhoso todos super educados eu amei"
uma avaliação Ontem,5,Super recomendo,"Sempre que vou a Maceió eu fico neste Hotel e adoro. Experiência maravilhosa! Eu e minha família somos muito bem recebidos, funcionários maravilhosos , boa estrutura e ótima localização. Super recomendo!"
uma avaliação Ontem,4,"Gostei do hotel , as moças do restaurante são bem atenciosas","Gostei muito da localização do hotel, só não sabia que não tinha estacionamento, e tive que pagar diária com estacionamento. O quarto é grande e amplo e tem limpeza todos os dias, indico para pessoas que não viaja de carro."
uma avaliação Ontem,5,Excelente,"café da manhã farto e excelente, acomodações confortáveis, ótima localização, colaboradores prestativos. Vim de Uberlândia passar férias e tive uma ótima experiência, indico de olhos fechados o hotel Ibis Pajuçara"
uma avaliação Ontem,5,Hotel dos meus sonhos,"Muito bom o atendimento, excelente localização, funcionários bastante prestativo, recomendo para todos. O café é regional com uma boa variedade e o preço da diária é bastante atrativo, gostei muito da vista para o mar da Pajuçara."
uma avaliação Ontem,5,Ótimo hotel,"Ótimo atendimento, me hospedei aqui no mês de Dezembro hotel de frente pro mar, e ótimas acomodações. Um café da manhã muito completo que espetacular, tem quartos bastante confortáveis e de tamanho excelente, adorei minha estadia."
uma avaliação Ontem,5,TOTALMENTE SATISFEITO,"Gostaria de registrar aqui a minha total satisfação com o Ibis Maceió Pajuçara. Localização excelente, quartos impecáveis, café da manhã perfeito. Isso sem falar no atendimento diferenciado de toda a equipe. Sempre atenciosos e extremamente educados e prestativos. Recomendo o hotel para todos os meus amigos quando falam que vão para Maceió. Parabéns à toda equipe. Vocês são ótimos!!!!"
uma avaliação Ontem,5,Ibis,"Fiquei no ibis foi apenas 1 diária mas gostei muito, hotel tem uma ótima localização apartamento frente mar. Café da manhã foi o diferencial super variado tem as meninas que fazem uma tapioca maravilhosa. Hotel está passando por reforma mas não atrapalhou em nada nossa hospedagem."
uma avaliação Ontem,5,Muito bom,"Um ótimo lugar para se descansar vim de férias, e o hotel tem uma localização muito boa perto de tudo que vc precisa, e os funcionários são muito gentis e prestativos, quartos bem limpos e bem organizados."
20 de dez.,5,Caribe brasileiro,"Maravilhoso!! Estive hospedado no Ibis, excelente localização meu quarto tinha vista para a praia, e mesmo estando em reforma eu Amei, equipe Alegre e educada, café maravilhoso , muitas frutas, estão de parabéns! Maceió tem uma orla belíssima."
15 de dez.,5,Maceió,"Minha hospedagem no Ibis foi muito boa fiquei impressionada com o atendimento dos funcionários, o café da manhã é bem variado. Quem estiver vindo para Maceió e quer ficar numa ótima localização pode ter certeza q o Ibis é bem localizado fica de frente as jangadas das piscinas naturais."
15 de dez.,5,Ótimo,"Fiquei hospedado no Ibis em frente a praia da Pajuçara, ótima localização e bom custo benefício. Hotel está passando por reforma, mas isso não me impediu de ter uma ótima hospedagem, super indico pois fui muito bem recebido pela equipe. Tem um café da manhã maravilhoso tapioca feita na hora e uma grande variedade."
12 de dez.,5,Hotel Ibis Maceió,"Estive hospedada no hotel Ibis Pajuçara foi maravilhoso, ótima localização de frente para o mar, um café da manhã variado as meninas que atendem são muito simpáticas. Super indico quem for para Maceió o hotel tem um ótimo custo benefício, está passando por reforma o que melhora ainda mais."
12 de dez.,5,Amei,"Amei a receptividade dos funcionários, muito atenciosos, gentis e educados. O café da manhã é espetacular, principalmente os bolos e a tapioca, estavam divinos. Recomendo a todos e afirmo que valeu a pena"
12 de dez.,5,Avaliação,"O café da manhã muito bonito e delicioso, a tapioca, o bolo, o cuscuz estavam deliciosos.Funcionários super atenciosos e educados. A vista para o mar muito linda. Super recomendo à todos e valeu muito a pena a experiência"
nov. de 2022,1,Péssimo,"Localização ótima, funcionários educados, mas acabam os elogios: Quarto com cheiro de mofo, impossível ficar sem abrir as janelas, alergia ataca na hora, mofo aparente no teto que estava com um reparo de pintura e móveis velhos, caindo aos pedaços, cortinas de blackout mofadas, janela com vidro trincado é uma dessas com a trava estragada. Cheiro muito ruim … impossível ficar no quarto! Permaneçi somente 12 horas … não tomei nem o café! Impossível ficar… não condiz com a Rede All Accor e aos Íbis que já conheço"
nov. de 2022,1,Ibis Pajuçara - caído e sujo!,"Fiquei muito mal impressionada com a qualidade do hotel, quarto e demais instalações. Já fiquei em outros hoteis ibis e esse da Pajuçara está caído, velho, mal conservado e sujo. Estava comentando com meus primos q se hospedaram há 6 anos atrás e tiveram a mesma impressão. Por favor, reformem e melhorem as instalações pra garantir a localização. NÃO recomendo!"
nov. de 2022,4,Hotel de Transito,"O hotel tem uma localização excelente. É um hotel pequeno em comparação com outros hoteis Ibis no Brasil, mas é eficiente e prático. O café da manha atende bem as expectativas, e não tem estacionamento (indicam estacionar do outro lado da rua, vagas em 45 graus). Fórmicas da escrivaninha estavam descolando.Para quem busca um hotel de transito, funciona muito bem!"
nov. de 2022,5,Ótimo,"Lugar com funcionários receptivos e bem aconchegante, limpeza, organização nada a reclamar recomendo o local para todos que desejam uma estadia tranquila, localização muito boa também próximo a tudo, bancos feiras e transportes com certeza voltaremos"
nov. de 2022,5,Ibis Maceió o mais lindamente localizado do Brasil,"As instalações práticas, bem conservadas e limpas são a marca dessa rede que prima pelo excelente custo-benefício. Eu creio que, em outra oportunidade e outro centro de reservas, fiz uma avaliação positiva do Ibis. Mas para mim é fundamental destacar a localização em uma das mais belas praias que conheço: um hotel muito bom com essa localização se torna excelente. Mas hoje eu quero falar bem mesmo é do pessoal que faz o IBIS... Sabe aquele atendimento, aquela cortesia espontânea, isso são é 5 estrelas e nota 10. E o café da manhã? Delicioso e adorável com o pessoal do restaurante dando show para servir. Muito obrigado IBIS! Muito obrigado às pessoas que fazem o IBIS!"
nov. de 2022,5,Maravilhada,"Café da manhã espetacular Café com bastante variedades Pães fresquinho, várias opções de bolos e salgados, suco de fruta natural, opções para o cliente montar seu sanduíche, simplesmente maravilhoso. Atendimento diferenciado"
out. de 2022,5,Ibis Pajuçara Maceió AL,"Excelente atendimento. Pessoal super gentil e solicito ! A localização é nota 1000. Solicitei um sanduíche à cozinha e estava delicioso. Meu muito obrigado e abraços a toda a equipe. Em especial às queridas Gleici, Michele, Quitéria e Ana e aos prezados Carlos e Arthur. Mineiramente. Cleto Verdolin Neto"
out. de 2022,1,Hotel com acomodações ruins,"Hotel com infiltração e mofo nas paredes, passei 4 noites onde não consegui dormir em nenhuma. Você entra no quarto e a garganta trava. Quando fui solicitar a troca do quarto soube que todos do hotel estão assim. Limpeza a desejar. Ar condicionado sujo. Só posso elogiar o café da manhã, que eh pago a parte."
out. de 2022,5,Melhor Hotel de Maceió,"Hotel excelente, limpeza impecável, acomodações muito confortáveis, melhor localização!! O atendimento é perfeito, as funcionárias Quiteria e Michele estão de parabéns! Tudo no hotel funciona muito bem! E o melhor de tudo, nenhuma reclamação!!"
out. de 2022,3,380 reais e nenhum canal a cabo,"Não tem como um hotel cobrar 380 reais num dia normal durante a semana e não ter um único canal a cabo. É muita vontade de lucrar sem dar o mínimo. De resto, hotel normal sem QQ diferencial que justifique esse preço exorbitante"
ago. de 2022,2,Hotel bem ruim,"Sensação é de descuido. O Recepcionista foi ""ok"". O quarto não vale o valor que eles cobram. O ar-condicionado só fazia barulho, e durante a madrugada ficou jorrando agua dentro da minha mala, que eu acabei deixando aberta em baixo dele. O café da manhã eu n utilizei. A localização parece ser o único ponto bom. O piso do banheiro estava solto e quebrado, acabei cortando meu pé. Enfim, foi uma das piores experiência que eu tive em um Ibis."
jul. de 2022,5,Ótima localização e custo beneficio!,"Fomos em Lua de mel e eles nos receberam com arrumação no quarto. Café da manha não estava incluído, não nos avisaram e pagamos a parte. Ótima localização, quartos bem limpos. Funcionários bem prestativos. Recomendo!"
jul. de 2022,2,o Pior Ibis,"Hotel velho, com aspecto sujo e com os móveis caindo aos pedaços. O cardápio para jantar é o padrão do Ibis, porém a comida estava horrível e fria. Primeira e última vez que fico nesse hotel. sem mais."
jul. de 2022,3,ruim,"café da manhã excelente p/ padrão ibis, atendimento de funcionários imediata e excelente, mas as janelas dos quartos nao abrem, só o ar condicionado mantem o ambiente sem ventilação e troca de ar, isso achei péssimo, existem formas de manter a janela um pouco aberta e manter toda a segurança do prédio. quarto do lado do restaurante terraço, impossível assistir tv a noite ate as 22 h, pois este restaurante/bar tem um som absurdamente alto, desagradável"
jun. de 2022,2,Íbis Pajuçara - Maceió/AL,O hotel fechou a água no apartamento e ninguém teve a decência de avisar. Uma camareira entrou no quarto conosco dentro achando que o quarto estivesse desocupado. Nossa reserva estava paga até o dia seguinte. Senti que estavam nos expulsando…
jun. de 2022,5,avaliação do hotel Ibis,"Ótimo hotel, funcionários bem solícitos super atencioso, tive uma boa experiência no hotel. Fiquei num quarto frente mar, adorei super recomendo.O café da manhã é um diferencial do hotel, bem completo diferente dos outros Ibis."
jun. de 2022,5,Avaliação do ibis,Os funcionários são super atenciosos e educados. Gostei muito do café da manhã com um bolo de milho e cuscuz recheado divinos! A vista para o mar é muito bonita. Super indico o hotel para que todos aproveitem
jun. de 2022,5,Avaliação do hotel,"Me hospedei no hotel por ser época junina e tinha una dupla cantando forró e os funcionários super animados dançando. O café da manhã é completo, as atendentes super gentis, com comidas maravilhosas. Super indico."
jun. de 2022,5,Avaliação,"Passei alguns dias hospedada no hotel e gostei muito. No café da manhã havia um cuscuz recheada com banana e queijo coalho, um bolo saudável de banana com aveia, uma delícia. Indico a todos, inclusive é aberto ao público."
jun. de 2022,5,Avaliação,"Estive hospedada no hotel e gostei muito do atendimento, com funcionários bem receptivos, sempre com sorriso no rosto. A vista para o mar é muito linda. O café da manhã é muito bom, principalmente o bolo pamonha, simplesmente divino. Super indico"
abr. de 2022,3,ótima localização,"O hotel está muito bem localizado. O café da manhã foi um surpresa positiva, já que conta com produtos locais, o que sempre traz ótimas experiências. Entretanto o meu quarto tinha problemas eletrícos e muito ruído. O isolamento acústico não era muito bom, dava pra escutar o barulho dos hóspedes passando pelo corredor , que foi incômodo."
abr. de 2022,1,Pense bem,"O primeiro quarto onde fui colocado era no 2º andar, onde estavam acontecendo obras e apresentava muito barulho e considerando que estava em uma viagem de trabalho onde precisava de condições de trabalho, solicitei que o problema fosse resolvido. Fui então transferido para o 8º andar (um apartamento maior e com vista mar), porém a ar condicionado do novo quarto era ruim e não conseguia refrigerar todo ambiente, iluminação deficitária, paredes mofadas e com sinais de infiltração, fora o aspecto geral do quarto, nitidamente velho e sem manutenção ou cuidados. Já a cereja do bolo foi na sexta a noite, quando o barulho do bar ao lado do hotel era tão alto que parecia ser dentro do quarto. Ainda fui cobrado por uma refeição lançada em minha conta, a qual não havia sido consumida ou…"
abr. de 2022,3,Precisa de manutenção,"A localização do hotel é excelente, o atendimento também, principalmente das meninas do café 💕. Porém é necessário que seja feita manutenção no apartamento. No quarto que eu fiquei (segundo andar) havia pisos soltos e rachados no banheiro. Também era perceptível a falta de manutenção dos móveis. Com relação a limpeza, estava tudo limpo e organizado."
abr. de 2022,1,Necessitando de manutenção,"Fiz uma passagem rápida pelo hotel com base em uma estadia que fiz há alguns anos, mas me arrependi profundamente. O quarto está com péssimas condições, infiltração em vários pontos, uma visível falta de manutenção. Porém o atendimento e o serviço de café da manhã permanecem ok."
fev. de 2022,5,Ótima localização e atendimento,"Para uma viagem a trabalho, é bem localizado pois fica num local estratégico para diversas localidades, para passeio é de frente para a praia que tem quiosques e um restaurante movimentado ao lado, então se quiser paz e silêncio, solicite um andar alto na recepção. Ótimo café da manhã é variado com tapioca e omelete fresquinho feitos na hora, as meninas que trabalham na área do café são educadas, simpáticas e gentís."
jan. de 2022,5,Quarto superou pelo tamanho.....,"Gostei do tamanho do quarto o banheiro é conjugado não é separado como no padrão Buget. A cama é sofá cama e não em cima da cama de casal. Boa localização, café da manhã é meio tumultuado, mas eles repõem rapidamente. Pelo valor que paguei eu voltaria. Estacionamento R$ 20,00 (jane/22) a diária com manobrista."
dez. de 2021,2,DECADENTE,"Já conhecia o Hotel e fiz a escolha baseado na memória da estadia anterior. Infelizmente a manutenção do Hotel esta deixando a desejar, e muito. Elevador apresentado problema, pintura sem manutenção, apartamento com portas e paredes riscadas, acredito que por crianças. Enfim, não retornarei a essa unidade e não recomendarei a outras pessoas."
dez. de 2021,1,Pior Ibis de todos. Não condiz com a marca,"A começar pelo atendimento na chegada. Funcionários grosseiros e despreparados, política de pagamento não condiz com o praticado em outros hoteis Ibis. Não possui estacionamento. Tivemos problema no ar condicionado do quarto, chamamos a equipe que foi checar (apenas mudou o controle) e disse ter resolvido, após perceber que não foi resolvido contatei a recepção que me disse que infelizmente o hotel estava lotado e me oferecu or pro budget ( hotel da mesma marca mais barato e com quartos menores) neguei e solicitei o extorno. Tive que mudar de hotel as 22 horas depois de um dia de viagem de carro. O hotel é velho, cheira a mofo e ainda possui moveis do quarto descolando deixando inclusive exposto ao tempo o quarto"
dez. de 2021,4,Bom hotel,"Segue o padrão ibis. Os aptos são bem cuidados. Se dessem uma reformada ficaria melhor., pois parecem ser antigos. Hotel é muito bem localizado e o café da manhã é muito bom,apesar de ser um hotel económico. Vale a pena o custo/benefício. Tem tudo por perto."
nov. de 2021,5,Recomendo,"Passamos três noites no Ibis. Adoramos a estadia. Café da manhã muito bom, com bastante variedades. Super bem localizado, próximo de tudo. Ficamos num quarto com vista para o mar. Ao acordar e abrir a janela o visual encanta."
nov. de 2021,2,Ruim,"Fiquei 2 noites hospedados no IBIS Pajuçara. A cama nao possui colchão, possui algo parecido com um edredon dobrado. Pessimo!!! Nao recomendo para ninguem. Infelizmente ja tinha pago e acabei ficando por la, porem é muito ruim cama sem colchao. O café da manha é razoável."
nov. de 2021,1,Péssimo atendimento,"Apesar da boa localização do hotel e ele ser da rede all, achei o padrão de atendimento muito aquém dos demais.Fique no ap 302que fica ao lado de um barzinho que tocava música muito alto, pedi para trocarem de quarto mas disseram que estava lotado mas que até as 21 parava.Que nada a música ficou tocando até as 22:50. Depois de dois dias nesse ap fui para o 801 apesar de não ter barulho o quarto não estava tão limpo cheio de insetos no banheiro."
out. de 2021,1,Pior local para se passar as ferias,"Quartos pequenos, sem tolha de rosto, sem frigobar, e com atendimento precário, fui numa viagem de família, com mais 3 pessoas, no total éramos 5 pessoas e 3 quartos, na chegada as 00:40 hr descobrimos overbooking do hotel somente um casal podia ficar lá e o resto da família iria para outros 2 hotéis, nos apertamos e resolvemos na hora mas foi desgastante, e logo pela manha já tínhamos passeio marcado, fora momentos horríveis vividos naquele lugar, um noite sem dormir de preocupação, sem informações de como seria no dia seguinte, uma vergonha, mas no outro dia tudo se resolveu graças ao conhecimento das legislações e por medo de chamarmos a PM, de resto hotel meia boca, não retorno e não indico, e isso não aconteceu somente comigo! Local do hotel meio afastado, e com pessoal…"
out. de 2021,2,Decepcionado,"Eu não gosto de avaliar mal, mas infelizmente terei que fazer. O hotel está velgo, precisando de uma reforma e modernização urgente. Quartos cheiram a mofo e coisa velha, tampa do vaso sanitário solta, reclamamos e não arrumaram, chuveiro ruim, a água não espalha, parece de uma mangueira e não de uma ducha. Os funcionários são poucos os nada solícitos. Prorroguei minha estadia em Maceió, mas ao final do prazo fui para outro hotel"
out. de 2021,2,Deixa muito a desejar!,"Cheguei dia 04/10/21 de noite. Minha esposa solicitou uma coberta e o rapaz que estava na recepção disse que não poderia atender, pois estava sozinho no turno. No dia seguinte pedi toalhas de rosto e a menina disse que o hotel não dispunha, somente toalhas de banho, ou seja, você enxuga a ""b..."" e o rosto com a mesma toalha. A cortina blackout não veda totalmente a luz do dia. Box apertado. Não possui estacionamento. Café da manhã - ok."
out. de 2021,5,Recomendo,"Ótima localização, pé na areia literalmente, fiquei no quarto com vista mar, café da manhã ótimo várias opções, pessoal usando luva e máscara, prox a bares restaurantes mercados, só poderiam trocar os móveis do quarto, e o que incomoda um pouco é o barulho a noite dos bares com som ao vivo, fora isso é maravilhoso e recomendo"
set. de 2021,1,Péssima experiência,"Hotel totalmente fora do padrão IBIS! Mal cuidado, com móveis velhos, trava da janelas quebrada, vaso cheio de terra no hall do elevador, pois planta está morta e com uma limpeza precária! Café da manhã com poucas opções!"
set. de 2021,3,Recomendação,"A localização é excelente, mas o quarto cheirava mofo, necessita urgente de uma reforma. Móveis velhos, pintura velha, o prédio foi adaptado de um outro, necessita de uma melhoria e troca de mobiliario. O atendimento dos funcionários foi muito bom, mas as instalações estão velhas, deterioradas. A televisão só pegava 2 canais abertos, o demais eram de canais evangelicos ou religiosos."
set. de 2021,4,Preço justo!,"Sem espera na recepção para ser atendido, quarto e banheiro limpos, cama ok. Tudo conforme o anúncio. Localização excelente para estar próximo dos restaurantes e comércio. Para as praias mais bonitas provavelmente terá que alugar carro. Não tem estacionamento no hotel mas tem estacionamento público na orla em frente."
set. de 2021,2,Precisando de manutenção,"O hotel é bem localizado, em frente à praia de Pajuçara, próximo a bares e restaurantes. O café da manhã é variado, com tapioca e omelete preparados na hora. Pontos negativos - o ar condicionado do quarto não funcionava bem, os quartos já estão precisando de uma manutenção (pintura, troca das cortinas). O restaurante ao lado funciona com música ao vivo à noite, bem alta, incomodando na hora de dormir."
set. de 2021,5,Funcionários se sobressaem em cordialidade.,"O Hotel é muito bem localizado e dispõe de todo conforto. Bom café da manhã. No entanto, o que mais impressiona é a atenção dos funcionários em suprir toda necessidade dos hóspedes, saliento em especial a atenção dos recepcionistas Emerson e Bianca, meu muito obrigada."
ago. de 2021,5,Plena satisfação,"Foi uma viagem de negócios (trabalho), mas que levei minha esposa e meu filho bebê. Mais uma vez fui muito bem atendido, minhas necessidades plenamente atendidas, satisfação total! Fiquei no apartamento 301, onde a única observação é que estava com vazamento do box para dentro do banheiro, próximo ao ralo. Avisei no check-out para verificação. Mas nada que apague o belo atendimento recebido novamente. Obrigado a todos!"
ago. de 2021,3,Hotel velho,"Atendimento do funcionário Alex do turno da noite ridículo , me deixou interfonando e não atendia o telefone. Desci para pegar um cobertor, depois de interfonar 15 min. O hotel tá velho, quartos com mofo, infelizmente não volto mais. Ainda bem que estão contribuindo outro Ibis em Maceió"
jul. de 2021,2,Problemas Recorrentes,"Nossa hospedagem foi marcada por barulho no ar condicionado que dificultou nossa 1ª noite de sono, fomos transferidos de quarto do 812 para o 706 e o barulho ficou pior, dos poucos canais de tv fechada disponíveis 05 estavam travando e a limpeza e arrumação dos quartos só aconteciam mediante solicitação na recepção, mesmo deixando o aviso na porta para tal. Por fim, o equipamento de telefone do quarto estava com defeito o que impossibilitava o contato com a recepção, as vezes que liguei tive que ligar do celuluar."
jun. de 2021,5,Ibis Maceio,"De volta a Maceió e mais uma vez fiquei no Ibis. Tem funcionário simpáticos e prestativos. Sem contar num café da manhã muito bom, o diferencial, tem uma grande variedade, hotel tem uma ótima localização fica de frente pra praia de Pajuçara."
