Data da opinião,Nota,Título,Conteúdo
uma avaliação Ontem,4,"Praia maravilhosa, comida boa, mas limpeza precisa melhorar","A praia em frente ao hotel é a melhor que já visitei em Alagoas, região que já visitei 4 vezes. A estrutura do hotel é muito bonita e agradável, e achei os espaços abertos melhores do que do Salinas Maragogi e Salinas Maceió. A camida não é premium, mas é boa. Fiquei 7 dias e não enjoei. As pizzas são ótimas, o hambúrguer é muito bom, as carnes também. Entre as bebidas, não curti as cervejas e chopp, pois nem sempre estavam geladas, mas os drinks caipirinha, mojito e gin são muito bons! O que precisa melhorar com urgência é a limpeza das piscinas e dos quartos. Todos os dias tinha no mínimo 1 piscina muito suja, impossível de usar. Já a limpeza do quarto tivemos que reclamar, pois percebemos que na verdade as camareiras estavam apenas arrumando a cama a trocando as toalhas, mas…"
11 de dez.,4,Férias 2022,"Apesar de ter lido muitas avaliações negativas resolvi vir assim mesmo para conhecer. E fui surpreendida! O hotel tem muitos pontos positivos: boas piscinas; refeições saborosas e bem elaboradas; vários restaurantes e bares, inclusive um bar molhado. Também merecem destaque os funcionários, sempre atenciosos. O chopp Brahma e Itaipava em vários pontos do resort facilita bastante. A praia é privilegiada, ainda tem jet sky, bicicleta aquática, banana boat, lancha, buggy, caiaque, stand up a disposição (pagamento a parte). Fiquei hospedada em um bangalô muito bem localizado dentro do hotel, próximo do restaurante, piscina e praia. A cama é box, duas camas de solteiro unidas. A roupa de cama e banho são de boa qualidade. Os amenites equivalem aos de outros hotéis, destacando o…"
4 de dez.,5,Excelente! Recomendo!!!,Amamos do inicio ao fim! O Funcionário Tiago Braz merece todos os elogios de gentileza e atenção! E minha nota 10 para todos os funcionários que cuidam de todos os detalhes para que nossa estadia seja perfeita! Voltaremos e indicamos!
nov. de 2022,2,"Hotel com um enorme potencial, mas deixando muito a desejar","A área do hotel é muito bonita, boas piscinas, praia bonita (apesar de termos ido em época de chuva em que a água estava muito turva, diferente do que falam sobre Maragogi). Porém o hotel deixa muito a desejar com relação a muitos itens: 1. Comida - a comida é ruim. Não é simplesmente que a comida é razoável... Vários dias tinham pratos (carnes principalmente) ""incomíveis""... Carne extremamente dura e comida mal-feita. Mesmo em um dos restaurantes que depende de reserva, que fica dentro do restaurante principal, e que deveria ter uma comida excelente, a comida estava intragável... Nem o pure de batata conseguiram acertar... Lamentável. 2. Toalhas de piscina - faltavam toalhas de piscina diversos dias que estavamos no hotel. Um dia tivemos que esperar por mais de 2 horas para ter…"
nov. de 2022,2,"Poderia ser o paraíso, mas não é","Poderia ser o paraíso, mas não é. Pontos positivos: cordialidade dos funcionários, animadores das crianças, praia e beleza do lugar. Tem uma hamburgueria bacana e um restaurante mexicano. Pontos negativos: as bebidas alcoólicas são bem ruins, a cerveja stella é rara, as vezes, não ha cerveja gelada. A comida é senpre a mesma, então depois ee alguns dias enjoa. E o pior, as piscinas não são limpas todos os dias. Todo dia tem piscina suja, a piscina infantil ficou uns 2 dias interdidata de tão suja e a piscina com bar molhado, tem dia que dá até medo. Teve dia que fui buscar toalha e tinha acabado."
nov. de 2022,3,"Lugar bonito, estadia razoável",Em 5 dias no hotel não consegui nenhum dia ficar num guarda sol/cadeiras na praia. Hotel permite que guardem as cadeiras. Um dia tentei 6:50 e ja estava td ocupado com toalhas sem ninguém obviamente nas cadeiras. Só por isso já não volto. A estrada de Recife até lá deu medo. A comida não é ruim como falam. Os funcionários do restaurante são extremamente gentis e é o que salva no hotel.
nov. de 2022,5,Pedaço do Paraíso 😍,Resort maravilhoso equipe de recreadores TOP Ítalo e Vanessa ... Tio índio....Quebradeira .... Palito....Meia ....Foguinho.... Equipe de garçons fantástico: Alex .... Cleiton. .. Salatiel .... E os demais q não me recordo ....sempre com sorrisao no rosto e simpatia no atendimento .....meninas da recepção ..... parabéns pela cordialidade e simpatia tbem. ... Muito atenciosas 2020 foi ótimo! 2022 maravilhoso 😍 Que venha 2023 🥳
nov. de 2022,5,Muito bom msm!!,"Foi minha segunda vez, dessa vez estava bem mais animado... os tios da recreação todos simpáticos, todos animados... tio Índio, tio Quebradeira, tio Meia, tia Ariel, tia Moana, tia Foguinho, Italo, Thallyssom fazem toda a diferença, apresentam peças, musicais e shows incríveis, além dos garçons todos muito simpáticos, recepcionistas simpáticas, comida muito boa e de variados tipos e temas, piscinas limpas, quarto limpo e frigobar reabastecido, toalhas limpas, praia e areia limpas, lojinhas e hamburgueria limpas. Resumindo saudades já!"
nov. de 2022,5,Praia top,"Quartos muito bons, bebidas de qualidade, mensageiro Tiago Braz muito atencioso com os hóspedes, somente uma piscina tem bar e as outras ficam muito afastadas então não utilizamos, restaurante muito distante dos quartos , fotógrafos excelentes"
nov. de 2022,3,"Beleza natural incomparável, mas acomodações tem muito a melhorar","Tivemos a segunda experiência no Grand Oca. O atendimento melhorou muito, com exceção dos horários de pico no restaurante, especialmente no almoço. A comida é básica, mas gostosa. As bebidas oferecidas são simples também. As piscinas, diferente do ano passado, estavam muito sujas. Água turva, com partículas sólidas, bem ruim... O resort não conta com um sistema de reserva das cadeiras de praia. Hóspedes colocam toalhas durante a noite nas cadeiras para reservar e usar no dia seguinte. Um despropósito. Vários dias chegamos na praia com as cadeiras ""reservadas"" e ninguém por perto. Isso precisa melhorar muito. A praia e o mar são lindos demais em frente ao resort. Sem comparação a outros locais. As acomodações são ruins. Chuveiro sem água em vários horários do dia, às vezes sem…"
