Data da opinião,Nota,Título,Conteúdo
19 de dez.,5,Ótima hospedagem,"Ótima hospedagem, atendimento 100%, principalmente pelo colaborador chamado Keven que foi super atencioso. Recomendo a todos que buscam um conforto em seu passeio sem gastar muito, ótimas acomodações é uma vista linda para o mar. Voltaremos com certeza."
19 de dez.,5,Passeio memorável,"Estive hospedado no hotel durante o mês de dezembro de 2022. Fiquei muito satisfeito com os serviços disponibilizados pelo hotel. Quero fazer um agradecimento especial aos funcionários Chagas e Junior. São profissionais capacitados, gentis, atenciosos e solícitos. Quero fazer uma sugestão, visando o controle do acesso dos hóspedes: instituição de pulseiras."
19 de dez.,5,Um dos melhores hoteis que já fui.,"Hospitalidade e atenção dos funcionários, estrutura física e localização, tudo ótimo serviço de manobrista um diferencial que nos ajuda demais. Então ganhou meu carinho, voltarei sempre que possível. Recomendo a todos conheçam o Hadman Hotel, tudo muito bom."
18 de dez.,4,Ótima estadia em JP,"Bem localizado, muito confortável, café da manhã delicioso, limpeza realizada todos os dias (a senhora que limpou é um amor) e o atendimento excelente mas gostaria de fazer algumas críticas para fins de colaboração: achei o banheiro pequeno, desproporcional ao tamanho do quarto e o chuveiro era impossível de controlar kkk a maioria dos dias tomei banho frio pq a água quente ia e voltava e quantidade de água também, diminuía e aumentava. Não reclamei pq estava muuuuiiito calor e não achei necessário fazer a reclamação. Mas como existem pessoas bastante exigentes achei interessante falar."
16 de dez.,5,Hospedagem,"Uma experiência muito agradável, desde a recepção até aos funcionários de todos os setores. Pessoas muito gentis a todo instante.Acomodações excepcionais e a limpeza sempre presente. Boa localização além de contar com uma piscina maravilhosa."
11 de dez.,5,Final de semana que superou as expectativas,"O hotel é simplesmente incrível. Desde a nossa chegada , o manobrista que nos recebeu foi muito atencioso. O pessoal da recepção (principalmente Aline , Rafaela e Eduarda), educadíssimas , check in e check out , muito rápidos . Café da manhã , perfeito . Agradeço a atenção dos colaboradores do restaurante, (Lucélia, Shirley, Cléssia, Francimar e Gleydson), o local estava sempre limpo e organizado. A comida muito saborosa. Não posso esquecer também da limpeza , impecável. As meninas da limpeza, muito prestativas, discretas e eficientes . Em relação ao espaço físico , o quarto atendeu as nossas expectativas . O bar da piscina , o atendimento é perfeito. A localização é ótima , uma praia linda , só atravessar a avenida, E é bem próximo a um shopping, com uma praça de…"
9 de dez.,1,Muito descontente e decepcionado. Tinha uma expectativa. E acabei ficando muito descontente.,"Piscina: Com relação a piscina pagamos 5 diárias e ficamos sem a piscina, não pudemos usar pois estava em manutenção. Quarto: Apartamento problemas de iluminação e ar condicionado. Checkout: Quando fomos acertar a conta vieram cobrar uma despesa que não era nossa. Enfim não iremos ficar mais nesse hotel."
9 de dez.,5,Recepção muito bom,"Os atendentes foram muitos atenciosos charles e Júnior super educados. Estão de parabéns Café da manhã muito bom com varias opções Limpeza muito bom sempre limpinhos, cama muito boa com travesseiros"
7 de dez.,5,Excelente experiência!,"Excelente hotel, bem localizado, funcionários super gentis e prestativos, em especial Chagas, Júnior e Antônia, pelo carinho do atendimento as minhas solicitações. Voltando a João Pessoa eu fico aqui de novo!"
7 de dez.,1,Cobrança indevida,"Estive hospedado no hotel de 21/10 a 30/10. Fiz reserva e paguei logo na entrada, a suíte Oceano. Logo na primeira noite, sem o ar condicionado funcionar, fui transferido para a Suite Master, de valor menor, e não me foi devolvida a diferença sobre o pagamento realizado. Resumindo, para 9 diárias da Suite Oceno, onde fiquei apenas uma noite, e fui transferido para a Suite Master, com valor bem menor, para as outras 8 diárias. Já enviei dois e-mails solicitando o reembolso, mas eles se fazem de mortos, não respondem nada."
