Data da opinião,Nota,Título,Conteúdo
19 de dez.,5,Férias,"Ótimo hotel, café da manhã maravilhoso, ótima localização, perto de vários restaurantes e lisonjeado em especial a funcionária Patrícia, que nós deu todo atendimento necessário ! Voltarei mais vezes !"
18 de dez.,5,Hotel e atendimento nota 1000,"Café excelente , atendimento nota 1000! Experiência única e voltaremos muitas vezes , tudo muito perfeito … Patrícia nota 10000, muito simpática e atenciosa . Hotel maravilhoso de frente para o mar … jantar maravilhoso"
18 de dez.,5,Melhor hotel de João Pessoa,"O hotel é ótimo, os atendentes são muito simpáticos e prestativos, o café da manhã é ótimo, o bar da piscina é excelente, a atendente Patrícia é sensacional e muito simpatica . Pretendo voltar em breve,"
13 de dez.,5,Viagem família,"Ótima localização hotel, café da manhã bom,uma tapioca muito boa servida no café da manhã feita na hora, hotel muito limpo ,e sem contar a cordialidades dos funcionários. Em destaque os funcionários Vitor, Israel e Iran todos atenciosos e bem educados nota 1000. Ano que vem estarei de volta no mesmo hotel."
8 de dez.,5,Viagem com as minhas filhas,"Viemos para passeio em família, vim com as minhas filhas e a viagem foi muito legal, adoramos os passeios, adoramos os atendentes do bar e restaurante, Patrícia foi uma excelente funcionária, muito prestativa!"
8 de dez.,5,Férias com minha família,"Um hotel muito bom, a limpeza é muito boa, todos são bem prestativos com os hóspedes, o café é muito bem servido com muitas opções para os hóspedes, a patrícia que atende na piscina é muito querida e prestativa !"
4 de dez.,5,Passei com o companheiro,"Tive hospedada no Atlântico, gostei bastante do atendimento, desde a recepção até o pessoal da organização dos quartos. O café da manhã excelente com bastante variedades. A localização é excelente. A Patrícia do atendimento do bar da piscinas muito simpática e atenciosa. Voltarei com certeza."
4 de dez.,5,Férias,"Foram 07 dias de estadia no Hotel Atlântico em Tambaú. Dias maravilhosos. Hotel com todos os funcionários muito receptivos, simpáticos e atenciosos. Quarto limpo com serviço de limpeza diária (ar condicionado, tv com acesso a Net). Wi-fi disponível para os hóspedes. Destaco o restaurante do hotel: cardápio variado, desde café da manhã, almoço, lanches e jantar. Agradecimento a todos os funcionários, em especial aos funcionários: Serrinha, Amanda e Patrícia."
4 de dez.,5,Férias com a amiga,"Melhor hotel de João Pessoa, café da manhã maravilhoso,equipe do hotel de primeira qualidade, cidade maravilhosa. Super indico o hotel. Área da piscina com equipe super atenciosa Patrícia maravilhosa, Recepção Israel e Ironildo super atenciosos e educadissimos. Voltarei mais vezes."
nov. de 2022,5,Bar Piscina,"Patrícia e Claudio do bar da piscina são TOP, drinks perfeito, atendimento excelente. Café da manhã excelente e diversos. Restaurante Boungustaio, comida muito boa e garçons super simpáticos. Voltarei"
nov. de 2022,5,Férias com amigos,Local muito bom ótima localização enfrente a praia bem localizado eu super recomendo sem falar dos quartos que é muito aconchegante e com uma cobertura maravilhosa com vista 100% do mar e um bar muito bom
nov. de 2022,5,Férias em família,"Uma ótima localização no coração turístico de João pessoa, um ótimo atendimento, um ótimo restaurante, comida do restante excelente, café da manhã impecávela, esse é o meu hotel favorito. Recomendo para todos os meus amigos."
nov. de 2022,5,Férias com família,"Atendimento excelente , ambiente muito limpo , quarto maravilhoso , vista maravilhosa a atendente do bar da piscina Patrícia muito legal simpática demais , a localização é excelente perto de tudo , incrível , estão de parabéns."
nov. de 2022,3,Vale pela localização,"O hotel vale pela localização e pela simpatia dos funcionários. Eu fiquei num quarto que não tinha janelas e isso me deu uma sensação um pouco claustrofóbica . Talvez os outros quartos seja melhores. O café da manhã é bom, mas o restaurante é pequeno e em horários de pico cim o hotel muito lotado, precisa fixar aguardando desocuparem as mesas. A cama não é muito confortável mas o banheiro é bom. Já a piscina é bem legal, porém muito pequena, ficando meio lotada em alguns momentos. E como fica na cobertura, bate um vento geladinho no final da tarde. Mas para compensar o hotel fica muito próximo à feirinha de artesanatos e dos principais restaurantes, além de ficar próximo dos barcos que saem para as piscinas naturais de Seixas e de Picãozinho. Vale pelo custo x beneficio."
nov. de 2022,4,Boa permanencia,"Hotel bem situado, perto das feirinhas, perto de vários restaurantes pela calçada junto a praia. O hotel possui duas bicicletas para hospedes. A vista superior, onde se encontra a piscina é muito boa. Recomendo"
nov. de 2022,5,Turismo em jampa,"Na chegada teve imprevisto que não nos foi informado ao fazer a reserva, pagar estacionamento ninguém merece. E como cheguei cedo já poderia ir preenchendo a ficha que só foi pedido na hora do checkin. Teve pessoas reclamando que nem o apartamento está pronto na hora."
nov. de 2022,5,Minha experiência no Atlético hotel,"Não gostei de estacionamento pago, poderia ser informado antes. E não poder levar minha bebida para piscina. Obrigando consumir do hotel, mais atendimento foi excelente da Patrícia. A vista ótima. Espero que melhore para voltar outras vezes."
nov. de 2022,4,Voltaria a me hospedar,"O hotel em si tem boa estrutura, funcionários muito atenciosos, limpeza dos ambientes comuns muito boa também. A localizacao é excelenteeee, tudo perto, os passeios de barco saem da frente do hotel, lojas, mercados, quiosques, restaurantes tudo ali, bem iluminado, muito bom! Pontos negativos, a máquina de café quebrou no terceiro dia e não arrumaram, ficamos 8 dias. Isso me deixou bem decepcionada! O banheiro não tem exaustor, o que deixa o quarto com um cheiro estranho. As toalhas estavam com algumas manchas, pedimos para trocar e todas as vezes estavam manchadas. Eu fiz a compra achando que a vista era bem de frente ao mar, porém ficamos no primeiro andar o que dificultou nossa visão para o mar, ficamos em frente aos bares, e a música ao vivo muito alta incomodou um pouco…"
out. de 2022,5,Férias com o marido,Eu axoq deveria ter um espaço para as pessoas com intolerância à lactose e glúten o café da manhã bom mais fará isso a limpeza boa os funcionários ótimos principalmente Patrícia e a Thais da recepção e as meninas do café muito atenciosa voltarei
out. de 2022,5,Viagem em família,O hotel em si é maravilhoso! Atendimento e acomodações impecáveis! O restaurante do hotel serve pratos incríveis e o café da manhã é sensacional! Super recomendo as estadias! Nota 10000! A Patrícia é uma ótima funcionária!
out. de 2022,5,Férias em família,O hotel é lindo! Acomodações incríveis! Café da manhã impecável! Fui muito bem atendida pelos funcionários! Os drinks da Patrícia são ótimos! A limpeza é excelente! O lugar é de frente para a praia! Nota 10000
out. de 2022,5,Férias,"Tdos mto atencioso,super indico esse hotel.Café maravilhoso…A Patrícia do bar da piscina um doce de pessoa ☺️.Fica pertinho de tdu ,da p caminhar na orla,vários barzinhos ,atersanatos,…..Enfim mha experiência por aki foi mto boaaa.🤗"
out. de 2022,5,Atendimento,"Excelente atendimento, café da manhã Excelente, funcionários muito atenciosos, abraço especial.para Patrícia e o Cláudio. Pessoal da limpeza e recepção muito agradáveis e indicam ótimos passeios, mas faltou alimentos sem açúcar no café da manhã."
out. de 2022,4,Custo benefício excelente 👍🏻,"Local muito bom , perto de tudo , todos os funcionários muito atenciosos e educados , a princípio meu quarto estava bem empoeirado , não tinha sujeira de outro hóspede , mais era mais poderia mesmo , mais pedi para observarem esse detalhe na próxima limpeza e tudo ficou bem !!! Piscina boa e tudo funcionado bem !!! Lugar simples e custo benefício bom !!!"
out. de 2022,5,Viagem de férias,"Atendimento maravilhoso. Café completo, recepção maravilhosa, arrumação perfeita. Gratidão especial a Patrícia, funcionária simpática e alto astral que amei conhecer. Com toda certeza irei voltar ☀️😍"
out. de 2022,5,Tudo de bom !,"Simplesmente ótimo e pretendo voltar mais vezes. Um ótimo atendimento quarto bem Limpo uma vista maravilhosa, eu indo sem medo e sem esquecer de um excelente café da manhã que foi tudo de bom parabéns."
out. de 2022,5,Férias com a família,Amo o serviço. Uma moça chamada Patrícia um amor de pessoa sempre muito simpática e um belo atendimento. Serviço de quarto maravilho é ótimo café da manhã. Ótima localização Pertinho de tudo E limpeza excelente
out. de 2022,5,Comemoração de aniversário,"Ótimo lugar ,quartos limpos e aconchegantes , funcionários muitos educados , principalmente a atendente Patrícia e o fotógrafo João Moura, espetaculares , estão de parabéns , já planejando a próxima vinda para ficar uns 30 dias"
out. de 2022,5,Turismo fugitivo da ex mulher,"Nota p o café da manhã, as meninas nota 10 , a Patrícia é uma pessoa muito prestativa, Jane, luceia, edileuza..os rapazes também nota 10 - Ednaldo, Israel Sr. Gentil, João Moura. Enfim. A limpeza sempre impecável, voltarei com certeza direto aqui na minha próxima visita em João Pessoa."
set. de 2022,4,Otima. Com certeza voltarei.,"Excelente localização e atendimento. Area das piscinas muito boa também. Única reclamação é que os quartos nao possuem lugar suficiente para pendurar roupas molhadas, um varalzinho de chão resolveria."
set. de 2022,5,Férias com a família,"Ótima limpezas Café da Manhã excelente Apresentação dos drinks perfeita, sem falar do sabor que é uma perfeição, recepção do hotel ótimos atendentes, funcionários de ótimas qualidades! Vista perfeitas! Atendente Patrícia Excelente funcionaria"
set. de 2022,5,Turismo,Ótima arrumação de quarto Limpeza nota 10 Atendente do bar (Patrícia) excelente A vista da área da piscina é maravilhosa A recepção foi excelente A apresentação do drink uma perfeição e sem Falar no sabor q é ótimo
set. de 2022,5,Já virou meu hotel preferido em JAMPA.,"Hospedagem excelente. Desde a recepção já amei o atendimento. A localização é ótima e o quarto luxo é maravilhoso para desfrutar o amanhecer nessa cidade linda. O café, as pessoas e o ambiente são bem acolhedores. Com certeza voltarei mais vezes. Amei o cantinho das plantas. Kkk"
set. de 2022,5,Ameiiiii!!!!!!!,"Maravilhoso de frente a Praia. Segurança, Atendimento, praticidade, localização. Perfeito.!! Café da manhã top! Funcionários muito bem educados, área da piscina excelente. Super recomendo! Fantástico!!!"
set. de 2022,5,Turismo,"Atendimento da piscina Patrícia e João Moura , café da manhã otimo, Recepção ótimo. Quarto confortável, vista privilegiada do terraço, comidas gostosas, petiscos top. Caipirinha show de bola, Voltarei com certeza! 🥰"
