Data da opinião,Nota,Título,Conteúdo
8 de dez.,5,Estadia incrível e consciente,"Funcionários super atenciosos e gentis! Nos ajudaram com tudo que foi preciso! A proposta do hotel é também bem diferenciada, a pegada sustentável, ter horta, jardim suspenso, bicicletas a disposição dos hóspedes. Realmente muito bem pensado! Localização muito boa, é possível visitar feira de artesanato a pé ou ir até tambau. Próximo de bons restaurantes também! O quarto é bem arrumado, ainda que o hotel tenha 14 anos a estrutura está preservada! Chuveiro gostoso e não sabíamos mas há serviço de massagem disponível !! Gostamos de tudo , com certeza voltaríamos!"
8 de dez.,5,Surpreendente,"Impecável desde o momento que fomos recepcionados até o check-out. Funcionários cordiais, atenciosos e preparativos. Infraestrutura sustentável com muito conforto e qualidade. Ambiente agradável, bonito, limpo."
6 de dez.,5,Hospedagem Perfeita,"Chegamos no hotel às 3h da madrugada e fomos recepcionados com muita educação e simpatia e também com uma taça de água de coco geladinha. Esse atendimento fez toda a diferença. Existem 2 elevadores, o que fez com que não precisássemos ficar esperando. O quarto é muito bom e o banheiro também (o secador de cabelo poderia ser melhor). Café da manhã delicioso (se tivesse um pouco mais de opção ficaria melhor ainda). Pode fazer a reserva que você não se arrependerá. Hotel ""nota 10""."
nov. de 2022,5,"hotel melhor de JP, a ducha foi a melhor que já vi.","Ficamos em um quarto com vista ao mar. Ducha a melhor que já vi, super forte e com controle de temperatura de fácil manuseio, o café era um pouco fraco, com poucas opções de pães, mas a variedade de sucos compensa, ah não podemos esquecer da maravilhosa tapioca, apesar de ser pequena."
nov. de 2022,5,Excelente hospedagem,"A experiência de estadia foi maravilhosa! Fui com meu marido em comemoração ao nosso aniversário de casamento e só temos elogios ao hotel. A limpeza, a simpatia dos funcionários, o conforto do hotel, localização… tudo maravilhoso. Inclusive o restaurante… fizemos questão de parabenizar o chef Anderson, que preparou um risoto dos deuses… Voltaremos com certeza!"
nov. de 2022,5,Ótima experiência,"Limpeza muito boa, atendimento sempre atento e carinhoso. Quarto confortável. Adoramos a comida do hotel. Deliciosa, bonita e com preço justo! Precisamos de um café da manhã extra, achamos um pouco caro, mas delicioso!"
nov. de 2022,5,Gratidão pela dias que nos proporcionaram !,"Atendimento da equipe da recepção e do restaurante é excelente! A comida muito gostosa e de qualidade. Tem um Arroz de Costela sensacional! Bolinho de Bacalhau, delicioso, pastel de abóbora com carne de sol, maravilhoso. Experiência top. Indico."
nov. de 2022,5,Lugar maravilhoso.,"Excelente hotel,tudo maravilhoso,funcionários muito gentis e educados, desde a recepção, pessoal do café tudo perfeito.Nota 10 para tudo localização, limpeza,atendimento,voltarei e indicarei a todos os amigos que vierem a João Pessoa."
nov. de 2022,5,"Muito confortável, ótima localização, tudo satisfeito como previ quando escolhi esse hotel..ótima localização e como é b",Na recepção os funcionários foram atenciosos e educados. O quarto era espa coso e aconchegante. A cama de tamanho king zise . Os lençóis bem limpos. A instalacoes como ar condicionado eram eficientes. Instalações elétricas satisfazem as necessidades de utilizar vários equipamentos.
nov. de 2022,5,Nem percam tempo em pesquisar hotéis em Jampa,"Excelente localização... Restaurantes, shopping, feiras, tudo a 5 minutos a pé do hotel... Quartos c/ arrumação e limpeza impecável, café da manhã 10 estrelas; e o hotel tem um diferencial especial, um restaurante excelente ""dentro""!!! Ah... E os funcionários... Uma cordialidade e atenção extraordinária!!!! E ainda o hotel tem um ótimo preço na diária. A foto anexo é do terraço do hotel (tem um jardim lindo lá!!!!)."
nov. de 2022,3,Triste realidade apesar da excelente localização,"Retornei ao estabelecimento após a pandemia, com tristes realidades: limpeza dos dormitórios a desejar : sem reposição das amenities, nos “impondo” horário para limpar o quarto , café da manhã outrora bem variado e com itens frescos , sem opção para intolerantes à lactose, dormitórios com iluminação fraca e sem local para mais de uma mala, itens de frigobar sem variedades… Me decepcionei. A localização é extraordinária , funcionários cordiais e prestativos , principalmente os da recepção e os que conduziam o carro. Espero que melhorem!!"
nov. de 2022,5,Verdegreen mantém sua alta qualidade,"Me hospedo no Hotel Verdegreen há muito tempo e tenho que fazer um elogio pela manutenção de sua alta qualidade, quartos impecáveis, restaurante com pratos elaborados e principalmente no quesito de seus colaboradores de altíssimo nível. De início, quero salientar a presteza e eficiência do Sr BRUNO, quando efetuou minha reserva. Extremamente profissional, assim como a Sra FERNANDA, gerente de recepção, a qual me recebeu em minha chegada ao hotel com toda gentileza, fidalguia e zelo com o hóspede. Exemplar! Aproveito para elogiar TODA sua equipe pelo excelente trabalho desempenhado. Destaco os funcionários que tive contato: RYAN (check in), Carlos, Alicia e João Vitor. Estendo meu contentamento também com a equipe da governança, mensageiros e garçons do bar e restaurante/room…"
nov. de 2022,4,Hotel bom,"Bem localizado, atendimento muito bom, eles são muito atenciosos, café da manhã bem completo, quarto silencioso, o colchão é muito mole... estacionamento pequeno. De frente a praia. Alguns restaurantes dava pra ir a pé"
nov. de 2022,5,Congresso Nacional de Regentes Corais e Encontro de Coros,"O Hotel é super limpinho e a impressão que por onde passa acabou de arrumar. Café da manhã maravilhoso, com diversas opções. Localização privilegiada, mesmo a praia não ser uma das melhores, porém é ao lado da Praia de Tambau. Próximo à feri8nja de artesanato. Excelente localização."
nov. de 2022,5,Hospedagem excelente,"É a primeira vez que nos hospedamos neste hotel, a experiência tem sido maravilhosa. Fomos muito bem recepcionados pelos funcionários. Quarto amplo e muito limpo, cama grande. O café da manhã é bem variado e tudo bem saboroso. O hotel oferece bicicleta para os hóspedes. E vale muito apena passear na orla pedalando. A localização é excelente."
nov. de 2022,5,Hospedagem Maravilhosa,"Atualmente viajamos em família para João Pessoa e ficamos hospedados no hotel verdegreen , acomodações maravilhosas, o passeio foi incrível.Gostamos e indicamos a se hospedar no hotel, equipe atenciosa e de prontidão a nos atender."
nov. de 2022,5,"Dias de sol, natureza e sossego em João Pessoa","É a segunda vez que nos hospedamos nesse hotel e gostamos bastante. A localização é excelente, os funcionários muito atenciosos, a cama bem grande e confortável e o café da manhã bem gostoso e variado,comida regional e contemporânea.. Pena que a piscina estava em manutenção, mas não atrapalhou nossa estadia."
out. de 2022,5,FÉRIAS 2022,"Fui em viagem de férias, com grupo de amigos e o hotel possui: Quarto com vista para o mar, excelente atendimento, ótima localização, limpeza impecável, terraço com vista panorâmica da orla, café da manhã excelente. Recomendo"
out. de 2022,5,Hotel maravilhoso,"Tudo perfeito, desde de a recepção inicial, serviços estrutura. Sempre será nosso destino quando estivermos em João Pessoa.👏🏼👏🏼👏🏼👏🏼👏🏼. Presenciamos o atendimento a delegação de atletas paraolímpicos com todo carinho e inclusão."
out. de 2022,5,Hospedagem tranquila e aconchegante,"Os quartos são muito cheirosos, o hotel é lindo e bem localizado, o restaurante é muito bom, os funcionários são maravilhosos, sem contar a temática sustentável que o hotel propõe. Foi uma ótima experiência estar hospedado no Verdegreen, pretendo voltar quando possível."
out. de 2022,5,Conhecendo Joao Pessoa,"Hotel muito bem localizado, instalações limpas e adequadas, atendimento cordial e profissional de todos os funcionários. Cafe da manha completo, com opcoes para todos. A vista do mirante no quarto andar é linda. Excelente opção de hospedagem em João Pessoa."
out. de 2022,5,Lua de Mel,"Tivemos uma fabulosa experiência no hotel Verdegreen em nossa viagem de lua de mel. Quarto impecável localizado em frente à praia, atendimento excelente dos colaboradores do hotel, além de várias orientações sobre responsabilidade com o uso da água nos aposentos. O hotel e toda a equipe estão de parabéns."
out. de 2022,5,Excelente estadia em Jampa,"Hotel muito bem localizado, perto de vários restaurantes, bares, sorveterias, e de frente pro mar, entre as praias de Tambaú e Bessa, fizemos quase tudo a pé. O café da manhã é excelente e a equipe muito atenciosa. No chek in fomos recebidos com uma taça de água de coco, o que faz toda a diferença, já dando as boas vindas ao hóspede! Boas instalações no quarto e banheiro."
out. de 2022,5,Correndo fomos e correndo voltaremos!,"Fiz a reserva neste hotel, sem conhecer e sem expectativas, pela proximidade da largada de uma corrida de rua que eu e a esposa participaríamos. Ao sair, ficamos com vontade de quero mais, pois o hotel nos surpreendeu em tudo: atendimento, limpeza, qualidade das refeições, tanto no café da manhã como no restaurante anexo, e principalmente, por ficar perto de tudo de interessante na cidade. Sem dúvida, voltaremos na próxima edição da corrida ou na primeira oportunidade de férias."
out. de 2022,5,Hospedagem à passeio!,"Ótima acolhida, qualidade no atendimento ! Profissionais Alegres e prestativos, acomodações limpas e organizadas, café da manhã excelente, ótima localização, valores das diárias satisfatórias! Até uma próxima vez! Obrigada! Marlene e Marcos de BH MG"
set. de 2022,5,Hotel muito bom,"Comida e café da manhã excelentes. Hotel muito limpo apesar de estar sempre lotado enqto estivemos lá.  As únicas coisas que poderiam melhorar um pouco são a academia e a velocidade com que os itens do café da manhã são repostos. Mas recomendo o hotel, ficamos muito satisfeitos. A equipe sempre muito educada e atenciosa. A localização tb é ótima."
set. de 2022,5,Final de Semana Sustentável!,"Adoramos o hotel, funcionários atenciosos e sempre atentos, os cômodos confortáveis. Atendimento de excelência. De frente para o mar, local privilegiado. Voltaremos com certeza para desfrutarmos mais dos serviços do hotel, achei interessante a disponibilidade de bicicletas. Ficamos encantados com a orla de João Pessoa."
set. de 2022,5,Hotel na beira da praia,"Hotel muito bom, bem decorado e com espaços muito agradáveis, tem um solário no último andar com uma vista maravilhosa. Funcionários atenciosos e prestativos, toda estrutura do hotel voltada para questão ambiental, quarto pequeno mas confortável, café da manhã gostoso, com muitos produtos naturais, mas com reposição um pouco lenta. Ótimo custo benefício!"
set. de 2022,4,Ótimo hotel,"Muito bom hotel. Super indico.  Bem localizado.  Atendimento ótimo feito por todos funcionários.  Super atenciosos, prestativos e educados.  Café da manhã muito bom.  Pena a piscina ser muito pequena no térreo."
