Data da opinião,Nota,Título,Conteúdo
out. de 2022,3,Precisa de uma reforma urgente,"O atendimento é espetacular, café da manhã honesto (um pouco caro pela variedade) e tem um diferencial, fone do padrão Íbis que sempre deixou a desejar. Oferece refeições razoáveis por um valor competitivo. O hotel é simples, silencioso e limpo. O problema são os quartos: a cama não é confortável, longe do padrão Íbis; a ducha é excelente mas o box, de vidro, bate facilmente (precisa de manutenção); a tampa do sanitário não é adequada ao vaso; não tem tomada ao lado da cama. Agora o pior: todos móveis, aparadores precisam ser substituídos pois estão descascados, sujos e soltando material interno. O split é muito barulhento. Vale pelo preço mas poderia ser muito melhor."
ago. de 2022,4,Bom Hotel,"O hotel apesar de ficar um pouco distante do centro é um hotel tranquilo, mas nao fugindo das características do IBIS em geral. Um bom cafe da manha, cama confortável, mas um pouco distante de tudo. nada que um bom Uber nao resolva, ou um carro locado."
ago. de 2022,3,Hospedagem básica,"Hospedagem simples, com limpeza básica. Custo benefício não tão bom. Opção para hospedagem em último caso. Ao entrar no quarto não sentimos um cheirinho de limpeza. Nos aramarias havia poeira. O banheiro é bem simples e o jogo de toalhas já bem usado."
jul. de 2022,2,Infelizmente a estrutura íbis deixa a desejar,"Recepção e meninas da limpeza são ótimas , mas sempre que pedia uma toalha , algo de higiene estava em falta . A localização não tem nada perto pra comprar água etc vc fica preso ao hotel . Enfim , allaccor vamos melhorar as parcerias"
jul. de 2022,4,Entrega o que promete.,"É um hotel simples, com preço condizente coma estrutura. Os quartos são um pouco antigos, mas com roupa de cama ok, bom ar condicionado e banheiro funcionando direitinho. Afe da manha é pago (30 reais) e é juato. Não dá para pedir muito, mas o hotel não compromete em nada."
jun. de 2022,3,IBIS JOÃO PESSOA,Recebemos bom atendimento pela recepção do hotel com um bom café da manhã; mas as instalações do quarto e roupas de camas estavam desgastadas e encardidas. A limpeza tambem foi ruim inclusive deixando faltar itens de higiene pessoal.
jun. de 2022,5,"Ótimo, como sempre!","Tudo como esperado, dos funcionários, atendimento e limpeza! Localização muito boa, na praia do Cabo Branco. Bom para caminhadas no calçadão, onde é tudo plano. O café da manhã acho caro, mas economiza tempo se for procurar comer em outros locais"
jun. de 2022,1,"Ibis João Pessoa: o hotel ideal, se estivéssemos em 2010.","Desde Janiero/2022, passo uma semana do mês, pelo menos, hospedado no hotel Ibis. Esta constância me assegura criticar com propriedade todos seus aspectos. O hotel se beneficia da bela orla de João Pessoa, sendo muito bem localizado e com fácil acesso às avenidas principais. Possui uma equipe muito educada, atenciosa e prestativa, apesar de ser claro a falta de preparo e treinamento para serviços básicos como arrumação dos quartos e higienização de talheres e pratos. Contudo, a gentileza e cortesia de seus colaboradores é plenamente ofuscada pela estrutura antiga de suas acomodações. O hotel carece do básico e essencial de um empreendimento, não só do grupo Accor, mas como de qualquer outro: WI-FI. Não funciona. Seja para lazer após um dia cansativo, a fim de assistir uma…"
mai. de 2022,3,LIMPEZA DOS QUARTOS,"Minha hospedagem foi dia 13 e 14/05/22. Primeiro fiquei no quarto 370, que era péssimo. Telefone não funcionava, roupa de cama não havia sido trocada, travesseiros horrorosos, ar condicionado velho, televisão com ruído, inclusive parou de funcionar, havia uva dentro do frigobar do hóspede anterior, ou seja, NÃO HOUVE LIMPEZA DO QUARTO PARA RECEBER O PRÓXIMO HÓSPEDE! Depois fui colocada no quarto 360 e estava tudo ok. Porém, a primeira impressão não foi nada boa."
mai. de 2022,4,Boa opção de hospedagem,"O hotel fica no final da Praia de Cabo Branco, na beira mar, e é bem localizada. Os quartos são aquele padrão Ibis, sem nada que mereça destaque. Destaque para o Emanuel e a Cleide (acredito que o nome seja esse, mas caso eu erre, é a moça sem uniforme que fica na recepção): foram muito educados, simpáticos e bastante competentes. O café da manhã é muito bom. Mas a oferta de geléias continua deficitário, só tinha de goiaba. De negativo o hotel não tem nenhuma amenidade disponível: sem piscina, sem sauna, sem solário. O wifi oscila bastante, e de noite o uso é difícil."
abr. de 2022,3,João Pessoa,"O hotel continua o mesmo desde sua inauguração, padrão Íbis, porém algumas áreas merecem atenção, como jardins e placa indicativa enferrujada. Atenção especial para os sem carro, o hotel fica distante das áreas de movimento e necessitaria de Taxi."
mar. de 2022,2,Fraco além do ponto.,"O hotel fica no final do Cabo Branco, onde não tem bares ou restaurantes próximos, então tudo tem que ser feito de carro. À direita do hotel tem um prédio em construção, portante se não quiser ser acordado cedo ou ter de ficar com a janela permanentemente fechada, peça um quarto pro lado da rua. Quarto aquém até mesmo dos que se costuma encontrar nas redes Ibis. Poucos funcionários. Resultado: check-in demoradíssimo, mesas sujas no café da manhã, sem ninguém pra limpar etc. Estacionamento a céu aberto. O carro fica muito quente. Café da manhã muito fraco. Poucas opções de queijos, pães frutas; mesas sujas, sem ninguém pra limpar; falta reposição de xícaras, copos e talheres; ambiente sujo. Não recomendo."
mar. de 2022,3,Não é a melhor opção,"Embora os atendentes sejam prestativos, gentis, e o café da manhã seja excelente, falta conforto para uma estada de vários dias: travesseiro não é bom, toalhas péssimas (finas e ásperas), pouca ventilação e espaço no quarto, principalmente para uma cidade com praia."
fev. de 2022,1,Sujo .Mal atendimento.,"Hotel sujo. Quartos cheirando mal , velhos , sujos, toalhas e lençóis rotos encardidas. Tenho Receio de ir a outro IBIS. Pensei que todo IBIS tivesse o mesmo padrao de qualidade. Esse hotel não vale o preço pago."
fev. de 2022,4,Hôtel 🔝🔝🔝em João Pessoa,Estive com minha mulher hospedado neste hotel por uma semana em janeiro 2022. Todo staff muito atencioso. Quarto limpo. Café da manhã variado e saboroso. Hotel com estacionamento próprio e gratuito. Ótima localização na praia de Cabo Branco. Super recomendo!
fev. de 2022,4,Ótima opção para hospedagem econômica.,"Uma excelente opção de hospedagem em João Pessoa. Fica numa parte do Cabo Branco mais pacata. Fácil de chegar ao Farol do Cabo Branco, Seixas, Penha e as praias do sul. Bem em frente do hotel tem uma ciclovia de bom tanto e bastante extensa. O período entre 05h00 e 08h00 a circulação dos carros é restrita e limitada a 30 km/h. A rua fica dominada por atletas amadores. Termine o exercício com uma água de coco do Agnaldo, aceita PIX e já está lá às 07h30. Se quiser pegar o nascer do sol, acorde cedo, que o céu começa a mudar de cor às 04h30. A faixa de areia é pequena mas a água é quente e o pessoal uma simpatia. No hotel fomos muito bem atendidos por toda a equipe. Mas gostaria de destacar 3 nomes: Samanta, que nos recepcionou e sempre foi eficiente, simpática e muito educada.…"
fev. de 2022,4,Hotel simples mas com staff solícito,"Passei 4 dias em JP e foram incríveis. O que tem o hotel de simples tem a recepção de solícitos. Precisei que me ajudassem com um salão de cabeleireiro e estúdio fotográfico, não só me deram o endereço como marcaram os horários onde fomos super bem recebidas..."
