Data da opinião,Nota,Título,Conteúdo
ago. de 2022,5,Bem recomendado pelos clientes,"Nós prestamos serviços de transfer e passeios há mais de 6 anos. Confessamos que nas viagens que realizamos para o Tambaú Hotel os clientes sempre retornaram fazendo muitos elogios a respeito do hotel, atendimento e localização."
jan. de 2022,3,Fechado definitivamente como hotel.,"Essa avaliação é na verdade um informativo. O hotel Tambaú , um ícone da arquitetura brasileira, na região onde está situado foi fechado definitivamente segundo noticiário recente. A prefeitura decretou em dezembro de 2021, ""Bem de utilidade pública"" e vai desapropriar o imóvel conforme legislação permite. Como o Maksoud Plaza em São Paulo, mais um ícone da hotelaria brasileira é fechado."
ago. de 2021,5,Hotel maravilhoso,"Viemos com um casal de amigos, esse hotel frente ao mar, super bem localizado e confortável. Funcionários super atenciosos, café da manhã ótimo. Tudo perfeito! Com certeza voltaremos assim que der. Divino!"
out. de 2020,4,Bom!,"Hotel bom, café da manhã farto e diversificado, quarto pequeno, disponibilizam berço. Piscina grande e boa, localização excelente, perto de restaurantes. Praia onde o hotel é localizado não é tão boa."
set. de 2020,1,Hotel Fechado,"Eu e meu marido e vimos tb outros hóspedes dando com a cara na porta na manhã de ontem! Reservamos e pagamos a diária (expedia)mas ao chegar lá fomos surpreendidos por não está funcionando! Ficamos frustrados e muito chateados,adoramos o Hotel e já havíamos nos hospedados outras vezes!"
jul. de 2020,4,Arquitetura harmoniosa!,O hotel é agradável e precisa de reformas nas áreas comuns. A porta do quarto não estava travando e o hóspede ao lado entrou em nosso quarto. A porta do banheiro também não fechava. O café da manhã e a píscina é excelente! A área externa e praça próxima ao hotel não são seguras.
abr. de 2020,5,Viagem família,Hotel muito bom ... a piscina é ótima... minha filha e esposa amaram... em breve retornaremos .... tudo maravilhoso ....a localização é ótimo fica próximo de tudo ... vale a pena se hospedar nesse hotel ... o atendimento muito bom... amamos ficar aí....
abr. de 2020,5,Bom,"Chegamos no hotel dia 18 tudo programado, passeios etc dia 21 fecha tudo feira de artesanato bares e restaurantes passamos 9 dia no hotel indo para aeroporto sem VÔO voltamos para tambau desde dia 21 só havia 12 pessoas até ficarmos e 5 hj hotel está fechado em leilão amo este hotel fora as amizades com os funcionários meu amigo salva vidas pessoa maravilhosa espero que em 2021 eu volte porque está hotel e maravilhoso vai ficar melhor ainda com as reformas."
abr. de 2020,4,Hotel Formoso,"Os funcionários super educados.O quarto um pouco pequeno mas aconchegante.Café da manhã muito gostoso.Serviam o café antes do horário para os hóspedes que tinham passeios que saiam cedo por causa da maré.No dia da mulher forneceram um mimo para as mulheres presentes,o que achei de uma delicadeza só.Muito bem localizado.Voltaria a me hospedar lá com certeza."
mar. de 2020,4,Hotel Charmoso,"Hotel muito bem localizado.Funcionários atenciosos,limpeza muito boa e café da manhã excelente.O jeito carinhoso de tratar os hóspedes,pois os passeios agendados eram muito cedo por causa da maré e eles serviam o café da manhã antes do horário para nos atender.No dia da Mulher doaram uma lembrancinha para todas mulheres presentes.Muito fofo. Em um dos dias da nossa estadia foi servido um mingau de milho quentinho.Uma delicia."
mar. de 2020,4,Férias,"O Hotel já teve seus dias de glória com 5 estrelas, mas mesmo assim ainda preserva uma boa estrutura. O hotel tem muitas atividades, excelente piscina, excelente área verde, um restaurante muito bom na beira da praia e sua localização é perfeita. Vale a pena conhecer."
mar. de 2020,4,Muito bom,"Um hotel amplo, limpo e lindo. Os atendentes são educados e simpáticos... adoráveis! O quarto é bom, muito bem limpo e antigo. O café da manhã é bem variado, com muitas frutas, pães, tem tapioca feita na hora, bem gostoso. O melhor desse hotel é a localização, pé na areia, praia linda e limpa, e ainda, comércio na porta, bem diversificado. Adoro esse hotel!"
mar. de 2020,5,Hoteis,"Um dos melhores hotéis de João Pessoa, cartão postal da cidade, foi construído pelo grupo Varig. Embora com mais de 30 anos se mantém muito bem cuidado, muito frequentado o ano inteiro. Suas piscinas são de dar água na boca"
fev. de 2020,3,"Uma estrutura incrível, que está se deteriorando","Uma pena. Os quartos e banheiros são antiquados e possuem equipamentos em mau estado; o espaço para café da manhã não é suficiente para acomodar os hóspedes, que tem que improvisar a refeição nas mesas plásticas do lado de fora. Realmente uma pena, porque a área das piscinas e dos jardins é incrível e a localização é ótima, mas o velho hotel parece que está sem fôlego."
fev. de 2020,4,Férias em família,"O Hotel Tambaú tem uma ótima infraestrutura e localização. Os quartos triplos Standard são pequenos, me parece que é o mesmo quarto duplo com cama extra, mas tem uma vista linda para o mar. O banheiro é mais antigo, mas funcional. Os funcionários são atenciosos, mas a limpeza do quarto era sempre muito tarde. As vezes voltava da Praia a tarde e o quarto não estava limpo. O café da manhã deixa um pouco a desejar, pouca variação no cardápio."
jan. de 2020,1,Nunca mais!,Antecipamos nossa ida a Jampa e resolvemos nos hospedar por um dia no Tambaú! Foi uma decepção total! O hotel está bem antigo! Deu pra aproveitar a área da piscina. Nosso quarto tinha um cheiro horroso. Não recomendamos!
jan. de 2020,1,Propaganda enganosa,"Péssimo !!! Hotel velho , falido , corredor cheira mal ..As fotos de internet enganam pois o Hotel é velho , decaído , sem funcionários suficiente para o café da manhã, não tem serviço de praia , vc é obrigado a pagar no bar terceirizado do hotel para ficar na praia se quiser sentar !!!!! As toalhas acabam !!!!  Lençóis manchados são colocados , colchão velho .  Não recomendo a ninguém! Preço alto , me sentí assaltada e enganada ."
jan. de 2020,4,Muito bom,"Passamos o réveillon neste hotel de atendimento muito amigável. O hotel é o mais famoso ponto turístico da cidade, super antigo (com quase 50 anos!) mas percebe-se nitidamente o trabalho de restauração sendo realizado. A comida é muito boa com preço justo, a festa de ano novo foi linda com uma banda ótima e queima de fogos muito boa! O ponto alto é a o serviço pela boa vontade e alegria com que trabalham. Recomendo."
