Data da opinião,Nota,Título,Conteúdo
nov. de 2022,4,Ótimo custo-benefício em Fortaleza,"Esse hotel é bem grande e conta com muitas áreas de lazer, com destaque para a área da piscina e mezanino, com vista para a Praia de Iracema. O staff do hotel é atenciosos e prestativo do começo ao fim da hospedagem e o preço dos quartos é bem razoável. Os quartos são enormes, o que me chamou total atenção assim que pisei os pés no quarto, o que fez com que nossa estadia de sete longos dias fosse a mais incrível possível. A localização do hotel também é digna de menção, pois fica de frente para a Praia de Iracema e muito perto dos melhores quiosques, o que faz com que haja total oportunidade de um jantar diferente a cada noite. O buffet do café da manhã também foi algo que me chamou a atenção. Pode não ter a melhor qualidade do mundo, mas há tantas opções razoáveis que gostei…"
nov. de 2022,4,Hotel de qualidade,"Quartos grandes e muito confortaveis, hotel conta com vaga de estacionamento com manobrista, cafe da manha farto. Atendimento dos funcionarios com muita cordialidade. Localização muito boa. Ponto negativo foi que o restaurante esta em obras, então nao comporta a quantidade de hospedes quando o hotel esta cheio."
nov. de 2022,4,Ótimo hotel,"Escolhi o Holiday Inn Fortaleza pela avaliação aqui no site e realmente não tenho o que reclamar. Fiz reserva pelo booking e consegui um quarto com vista pro mar. Funcionários muito prestativos e educados. Café da manhã excelente. É permitido entrar no mar em frente ao hotel e próximo a ele, existe uma parte do mar mais calma. Também em frente e próximo, várias barraquinhas de comida. O único defeito que achei foi o frigobar ao lado do banheiro e junto da pia e sem porta para separar essa área do restante do quarto"
nov. de 2022,5,"Hotel excelente, quase 5 estrelas","Fazendo jus à rede Holiday e sua fama internacional, a franquia de Fortaleza está de parabéns!  Hotel com excelente infra estrutura, quartos limpos, funcionais, diversos tamanhos para casais, amigos ou famílias.  Ponto alto do hotel são os funcionários, de uma educação ímpar, gentileza, presteza e atenção são as suas marcas. Me senti muito bem hospedado.  O café da manhã é bom. Não é farto de variedades, mas contempla bastante coisa para uma refeição legal."
nov. de 2022,5,Excelente localização,"Hotel praticamente com o pé na areia, e próximo aos pontos turísticos da região da Iracema, podendo ser feito tudo a pé. Tinha bastante policiais na região, achei bem seguro. Atendimento excelente e cordial. Ficamos num quarto luxo com duas camas de casal e um sofá cama, bem amplo e limpo, de frente para o mar. Camas e travesseiros bem confortáveis, chuveiro bem gostoso. O frigobar fica ao lado da pia do banheiro. Ar condicionado novo e esfria bem, necessário para essa região super abafado. Café da manhã bom. Tem tapioca e omelete feito na hora. O café e o leite são feitos nas maquinas dos 3 corações, eu prefiro coado e o leite integral. Recomendo."
nov. de 2022,5,Agradavel,"Hotel bem localizado, pessoal da hotelaria muito simpáticos, seguros nas informações sabe o que falam.  Hotel bem estruturado, seguro, ótimo serviço de limpeza ,agradável, pessoal hospitaleiro , enfim um hotel que dá pra voltar sempre. A comida é boa mas pode melhorar."
nov. de 2022,4,Ótimo hotel,"Ótima localização! Ficamos num quarto amplo com um janelão de frente pro mar... que coisa linda! Uma coisa que me incomodou no quarto foi a cafeteira e o frigobar ficarem ao lado do banheiro, junto da pia. Uma renovação no banheiro e nos móveis do quarto também cairia bem, mas tudo estava limpinho e confortável.  O café da manhã era ótimo, mas o lugar que é servido é muito pequeno para o tamanho do hotel e, por conta da chapa, as vezes você sai de lá com cheiro de fritura.  A academia do hotel é bem equipada e limpa.  Atendimento muito simpático e prestativo!  Voltaria com certeza!"
out. de 2022,5,Excelente localização,"Hotel bem localizado, na orla de Fortaleza. Café da manhã caprichado, porém em alguns horários tem fila demorada na parte da tapioca e omelete devido a existir somente um funcionário atendendo. Quartos espaçosos e confortáveis. Indico para quem está a lazer e a trabalho."
out. de 2022,4,Hotel muito bem localizado e confortável. Funcionários são o destaque pela cordialidade e educação.,"O hotel é muito bem localizado e com fácil acesso a uma região com muitas opções de restaurantes. Um destaque é a equipe do hotel (recepção, camareiras, restaurante e café da manhã), educados, cordiais e sempre prestativos. Check in/out foram rápidos e eficientes. Se vc quer agendar algum passeio o hotel tem indicações de motoristas que prestam serviços para o hotel, e no nosso caso fomos muito bem atendidos pela indicação (sr. Araujo). O quarto que ficamos tem uma linda vista para o mar (Andar 12), camas e travesseiros confortáveis, o ar condicionado mantém uma temperatura adequada e a limpeza do quarto foi ótima. O safebox (cofre) estava com problema e o serviço de manutenção resolveu rapidamente nossa demanda. Bom custo/benefício. Uma ótima opção de hospedagem. Alguns pontos negativos que não comprometem a avaliação mas podem ser melhorados: o fluxo de água no chuveiro era muito fraco, bem como o controle da temperatura da água. O WIFI era muito instável e com baixa velocidade, o que prejudica quem necessita trabalhar no hotel. Foi reclamado para a recepção mas o problema não foi resolvido. Os quartos apresentam um pouco de barulho incômodo quando os hóspedes vem falar muito próximo da parede divisória, creio que em função do tipo de isolamento, e também do nível sonoro das conversas."
out. de 2022,3,Resolvam o problema do chuveiro por favor!!,"Vou tentar por aqui dar visibilidade a um problema crônico desse hotel, venho a Fortaleza todo mês a quase sempre escolho o Holiday In devido a qualidade dos quartos, localização e atendimento. Porém existe um ponto que me incomoda muito, o chuveiro, não sei por que mas ele oscila sozinho a temperatura e volume de água é muito difícil depois de um dia de trabalho não conseguir tomar um banho tranquilo, já faço essa reclamação toda vez para o pessoal da recepção na esperança de que na próxima visita isso esteja resolvido mas até agora nada, também percebi que quanto mais alto o andar, menor a oscilação, espero sinceramente que encontrem o problema e eu possa continuar a me hospedar nesse hotel."
