Data da opinião,Nota,Título,Conteúdo
20 de dez.,5,Acolhimento com afeto e dedicação.,"O Hotel Villa Mayor é aconchegante por dentro e por fora, quando o avistávamos depois de um dia na praia, a sensação de acolhimento vinha da certeza de uma ducha relaxante, um quarto restaurador e uma recepção dedicada e carinhosa de todos que são parte do verdadeiro espírito do lugar, toda a equipe nos acolheu e nos sentimos muito bem cuidados. Só temos a agradecer a cada uma e cada um o afeto e o zelo com a gente, muito obrigado por tudo, equipe do Villa Mayor, sigam brilhando."
11 de dez.,4,"Hotel com conforto, próximo da praia","Hotel com quartos confortáveis, bom atendimento, próximo à praia, uns 3 minutos à pé. Frequentado principalmente por famílias. Café da manhã com variedade. A piscina aberta durante o dia ajuda a refrescar o calor de Fortaleza."
4 de dez.,5,40 anos de casamento,Adoramos o acolhimento. Localização excelente. Café da manhã diversificado e muito saboroso. Hotellocalizado bem próximo ao calçadão da orla e da feira de artezanato. Muitos bares e comércio próximos.
nov. de 2022,5,TOP DEMAIS,"atendimento de alta qualidade e eu e a minha família amamos ficar hospedados no villa mayor pois os quartos são luxuosos e confortáveis, bem localizado, perto de mercadinhos, padarias e farmácias e pertinho da orla e teatros. super recomendo!"
nov. de 2022,5,"Descobrir que é tao maravilhoso e o qto faz bem pra alma, para o corpo e para o espirito ser hospede de vcs.","Bem, eu amei tudo, a cama, maravilhosa, a piscina maravilhosa, a localizaçao perfeita, os funcionarios super solicitos, gastronomia acima do otimo, tb. RECOMENDOOOOO. Foi inesquecivel demais, voltarei"
nov. de 2022,5,Estadia muito boa,"Quarto limpo, funcionários atenciosos. O café da manhã bem completo, piscina bonita e ambiente muito agradável. Ficamos 6 dias, a localização é mt boa, perto do bairro da Varjota, onde tem vários bares e restaurantes."
nov. de 2022,5,Férias,"Nos hospedamos no villa mayor do dia 17 a 23 de novembro de 2022, adoramos a estadia.  Ótima localização, funcionários atenciosos, quarto aconchegante, café da manhã delicioso, sinal de Wi-Fi muito bom👍."
nov. de 2022,5,Feriado 21 de novembro,"Hotel maravilhoso , bem localizado , charmoso ,café da manhã bem diversificado , quartos bem limpos ; eles disponibilizaram bicicletas aos hóspedes , realmente um hotel encantador . Como fomos de bancorbras , nos colocaram nos quartos mais o trás , mas nada q tenha deixado a estada menos gratificante"
nov. de 2022,4,Viagem em família,"Gostamos da nossa estadia. Quarto espaço e limpo. Café da manhã bom . Localização ótima. Pontos negativos: Estacionamento rotativo com poucas vagas então tivemos que deixar o carro na rua . No café alguns itens são pedidos através de aplicativo e perguntamos se poderia fazer uma troca de ingrediente e nos foi dito que sim e a pessoa acabou tomando uma bronca da pessoa que gerencia o café, na nossa frente o que gerou um desconforto desnecessário."
nov. de 2022,5,Férias em Fortaleza,A localização é ótima. Funcionários super educados e comunicativos. Desde a recepção até o pessoal da manutenção. Vai um elogio em especial para o pessoal do bar e cozinha. Lanches e comidas maravilhosas. Amei. Nair e Cristina
nov. de 2022,5,Fizeram da minha lua de mel ainda mais especial! Só tenho a agradecer a todos do hotel villa mayor,"Simplesmente maravilhoso, tratamento impecável do recepcionista ao pessoal da limpeza, todos muito cordiais, estrutura ótima, piscina maravilhosa, comidas saborosíssimas, lua de mel inesquecível OBRIGADO"
nov. de 2022,5,Parabéns,"Hotel que indico sempre que alguém vai pra Fortaleza, próximo de tudo !!!  É a minha segunda vez nesse mesmo hotel e continua com a mesma qualidade, pontualidade, atendimento……  Tudo ótimo e maravilhoso !!!"
nov. de 2022,3,Hotel bem legal,"Passamos 1 diária no Hotel e era um lugar que tinha vontade de me hospedar. O lugar é bem agradável. Por ser temático, é um hotel com arquitetura bem peculiar, bom pra quem gosta de tirar fotos. Bem localizado, fica há 1 quadra da feirinha de artesanato, na beira mar. O quarto que ficamos era limpo, cama boa e ar funcionando normalmente. Tivemos um susto quando fomos tomar banho porque caiu uma lama do chuveiro kkkkkk mas depois funcionou normal. O café da manhã tem pouca variedade, mas é bom. Refeição do jantar nada excepcional. O único inconveniente é que há muitos pombos no local e eles ficam pousando na área da refeição e da piscina. Achei os funcionários sérios, mas atendiam bem. Muito mais prós do que contras, recomendo o local."
nov. de 2022,5,"Lugar lindo, aconchegante e excelentes funcionários","Reservei este lindo hotel de presente para os meus pais. Eles amaram! Gostaram muito da cordialidade dos funcionários, especialmente do Arlindo, da Marília, do Kauã e da gerente Eli, do café da manhã, da acomodação, da área da piscina, da localização. Recomendamos sem dúvidas!"
nov. de 2022,4,Bom,"Gostei funcionarioss atenciosos .limpeza ótima ótima localização... .perto de mercados , farmácias transporte público. Café da manhã muito bom bem variados... próximo da praia de Meirelles ... bem localizado gostei bastante"
nov. de 2022,4,Hotel Villa Mayor,Hotel charmoso com ótimo atendimento e um ar peculiar. Excelente café da manhã. Piscina ótima e quartos muito confortáveis. Equipe muito receptiva e acolhedora. Próximo a beira mar e feirinha de artesanato. Manobrista para quem alugar carro. Perfeito para viagem em família.
nov. de 2022,5,Excelente hotel!,Excelente localização. O hotel é ótimo. Quartos confortáveis! Os funcionários são muito atenciosos e receptivos! Cafe da manhã com opções de crepe e tapioca feitos na hora e deliciosos. Pretendo voltar em breve!
