Data da opinião,Nota,Título,Conteúdo
dez. de 2022,3,Perto do shoppping,"A maior vantagem do hotel é estar ao lado do Shopping Iguatemi. Ademais, quarto razoável (o box do banheiro é minúsculo), café da manhã bom e preço da hospedagem elevado pelo que é o quarto, mesmo para os padrões de São Paulo."
dez. de 2022,5,TOP HOTEL,"extremamente seguro ao lado do shopping muito limpo apartamento enorme muito conforto anexo ao super zillis restaurante lobby com cafeteria super garagem com manobrista nosso apto haviam 2 wc, quarto anexo independente para nossa filha"
dez. de 2022,5,Vale muito a pena conhecer !,"Excelente localização, preços super justos, limpeza inigualável, atendimento hiper humanizado, o melhor que já nos hospedamos. Quartos super confortáveis e de tamanho excelente, ótimo wifi e area de banho sensacional. Tudo muito bom."
dez. de 2022,5,Excelente hotel,Ótima localização.  Camas e travesseiros confortáveis. Limpeza no geral muito boa. Café da manhã delicioso com bastante variedades. Atendimento cordial e eficiente. Foi a 2a vez que me hospedei nesse hotel. Recomendo
dez. de 2022,5,Hotel em excelente localização,"Quarto espaçoso e confortável , banheiro com ótimo chuveiro  Café da manhã excelente.  O restaurante tem um ótimo ambiente e boa comida, mas caso queira outras opções de alimentação é só atravessar a rua e você tem o Shopping Ibirapuera para compras e alimentação."
dez. de 2022,3,Razoável...,"Hotel bem localizado, tem bom preço, boa higiene e serviço de quarto.  Precisa trocar seus colchões por outros novos e com mais conforto.  A cama adicional para terceiro hóspede não tem o mesmo padrão das camas, é um sofá cama.  Para uma ou duas noites eu recomendo."
dez. de 2022,3,"Hotel bom, mas falta lazer.","É um hotel confortável, com quartos grandes e bem equipados. Possui um café da manhã completo e gostoso. Porém, falta opções de lazer.  A piscina é coberta mas não é aquecida e nem climatizada, o que a torna inútil. Possui uma brinquedoteca do restaurante Zilliz que é paga à parte, e só abre de final de semana e feriado, no restante dos dias, não tem absolutamente nada para a criança fazer. Possui uma espécie de café no térreo com poucas opções, o que inviabiliza um lanche da tarde ou happy hour. Resumindo, é um bom hotel para ir somente adultos e para ficar apenas uma noite, ou durante um período em que você saia para trabalhar ou para eventos, e volte apenas para dormir. Já que o hotel não possui opções para lazer."
dez. de 2022,5,Super recomendo,"Super recomendo. Há o Shopping Ibirapuera ao lado do hotel, um agradável restaurante no próprio hotel, instalações, limpeza e atendimento muito bons, funcionários educados e um variado café da manhã. Com certeza, me hospedaria novamente."
dez. de 2022,5,"Fantástico ,","Tudo ótimo. Equipe super cordial, atenciosa, prestativa . Hotel super limpo, chuveiro nota 10. O café da manhã é ótimo. A cama do quarto é super confortável. A TV do quarto deu problema no primeiro dia, ao pedirmos ajuda a manutenção veio em 15 minutos e ao verificar não ser possível o conserto no quarto, trouxe ema TV ainda na caixa para substituir a nossa . Ótimo hotel, voltaremos em breve."
dez. de 2022,3,Bom,"Localização boa e próxima de vários pontos importantes de São Paulo. Fácil acesso pasta embarque e desembarque. Boas estruturas, atendimento excelente dos funcionários. No entanto, falta uma atenção com manutenção do hotel e quartos."
dez. de 2022,5,"Conforrto, cordialidade e comodidade em São Paulo","A atenção dos profissionais e a limpeza do hotel chamam a atenção e fazem a diferença quando eu faço minha reserva, por isso sempre que fico mais de um dia em SP procuro me hospedar com vocês.  Outro diferencial é a localização do hotél pois é fácil se deslocar para outras regiões ou para Congonhas por exemplo.  Parabéns a todos do hotél"
dez. de 2022,5,Satisfação geral,Localização e qualidade das instalações e excelente café da manhã. Cordialidade no atendimento do check in e do check out. Proximidade do Shopping também ajuda quando a viagem não é somente a negócios.
dez. de 2022,2,ME COBRARAM ATÉ POR 1 GARFO QUE PEDI.,"Cobrar R$ 3,50 para entregar uma água no quarto (fora o valor da água)? Cobrar R$ 17,00, DEZESSETE REAIS, para entregar um garfo no quarto? Eu pedi um garfo e uma faca e queriam me cobrar R$ 17,00 por isso??? Vocês estão de brincadeira! Cobrar TAXA DE ENTREGA dentro do Hotel???? Minha indignação não é pelo valor, é pelo absurdo que isso é. Na próxima vez eu fico em qualquer lugar, menos em um Bourbon. O melhor foi a atendente, vendo o absurdo da informação que ela ia me passar, ela me diz: ""Pois é senhor, infelizmente aqui, cobram essa taxa."", Com uma baita voz de vergonha. Uma pena."
dez. de 2022,5,Impecável em tudo!,"Excelente em tudo! Tratamento impecável do Staff, localização, conforto, limpeza, cuidado nos mínimos detalhes. Café da manhã excelente. Não utilizei o restaurante porque estava em um evento, mas havia alimentação no mesmo, fornecida pelo hotel, incluindo almoço. Estava tudo excelente! Infraestrutura para o evento também excelente! Recomendo a estadia e voltarei a me hospedar lá, com certeza."
dez. de 2022,5,Excelente estadia,Excelente estadia e atendimento. Ótimo café da manhã. Ótimo quarto. Ótimas instalações. Academia atende a quem precisa diariamente se exercitar. Ótima qualidade de conexão com a Internet. Possui agilidade no momento do check-in com disponibilidade de preenchimento online.
nov. de 2022,5,Tudo ótimo,"Hotel com uma ótima infraestrutura, café da manhã muito bom também, com bastante variedade. Apenas a segurança disse que tínhamos que levar nossos pertences ao se servir (levar mala e mochila para se servir no café da manhã porque não pode ficar na mesa). Recepcionista Fabrício Santos muito legal, recebeu uma entrega minha e quando cheguei já estava no meu quarto me esperando."
nov. de 2022,5,Atendimento do bar,"Gostaria de deixar registrado que o funcionário Lázaro, do bar do saguão, é extremamente competente, atencioso e tem ótimo humor.  Parabéns ao hotel por mantê-lo em seu quadro.  Merece todos os elogios possíveis!"
nov. de 2022,4,Ótima hospedagem excelente custo benefício,"Ótimo custo benefício  Apto grande  Localização  Café da manhã Bom com vários itens  Toalhas de banho carecem uma melhoria ( troca).  Estacionamento e cordialidade da equipe de mensageiros, difícil encontrar atualmente.  Proximidade do shopping"
nov. de 2022,4,Passeio em Sampa,"Hotel muito bem localizado, confortável, com um excelente café da manhã e boa equipe de atendimento. É o nosso preferido quando vamos a eventos em SP . A conexão com a Internet poderia ser mais rápida, hoje dificulta acessos mais complexos"
nov. de 2022,4,Bom Hotel e ótima Localização,"A estrutura do Hotel e a localização são ótimas, entretanto, a internet não estava funcionando o que para mim é um ponto forte, pois minha viagem foi a trabalho. Fui informada que estava em manutenção e infelizmente não havia previsão.  Vale ressaltar que o sinal do celular no quarto é péssimo, impossibilitando o uso do roteador."
nov. de 2022,5,Excelente experiência,Me hospedei durante uma viagem de negócios e todo o atendimento quanto acomodações estavam excelentes. Os colaboradores do hotel sempre simpáticos e cordiais e os quartos atenderam ao esperado.  Recomendo e com certeza continuarei me hospedando.
nov. de 2022,5,Vale apenas a hospedagem,"Hotel ótimo, já o conhecia, mas desta vez foi excelente, atendimento, limpeza e principalmente o café da manhã. A equipe de colaboradores muito atenciosa. Como melhorou o café da manhã com uma grande variedade para ser degustado. A limpeza do local estava excelente"
nov. de 2022,2,Internet,A acomodação do hotel é boa mas a Internet é péssima.  Se forem se hospedar e precisar trabalhar utilizando a Internet só hotel tome cuidado pois não funciona.  Outros colegas que estavam hospedados comigo na mesma reunião também sofreram com a péssima qualidade da Internet
nov. de 2022,4,Hotel bom!,"Quarto grande, limpo, com dois banheiros, sendo que um deles o chuveiro era muito bom, a água sai com pressão!  Os travesseiros bem ruins, poderiam ser mais firmes.  Hotel bem localizado, com shopping ao lado."
nov. de 2022,5,Excelente Acolhimento,"Hotel excelente e atendimento perfeito. Café da manhã de ótima qualidade. Quarto com cama confortável e bem cuidado.  Localização perfeita para o meu objetivo, pois está próximo a estação do metrô, de um excelente Shopping Center e ótimos restaurantes."
nov. de 2022,4,Ótima localização,"Normalmente gosto de me hospedar no Bourbon, boa localização, quarto confortável e excelente café da manhã. O ap que fiquei, 1028, precisa de alguns reparos: cortina mais próxima da cabeceira da cama que feche totalmente. Reparo na trava da janela para vedação perfeita.  Tampo da pia do banheiro em mármore muito velha, manchada, precisa urgente de troca, pois tem aspecto muito sujo."
nov. de 2022,4,Ótima opção de estadia,"NOTA 10  . check in e check out ágeis e simpáticos  . cama, roupas de cama e toalhas novas e macias  . ar condicionado central eficiente    NOTA 8  . TV com boa seleção de canais e de tamanho adequado ao tamanho do quarto  . wi-fi no quarto de 20Mb atende muito bem às necessidades  . prédio novo, de fácil acesso e bem localizado  . localização a 2min de caminhada do Shopping Ibirapuera é providencial  . banheiro de tamanho adequado, box um pouco apertado, mas com boa ducha    NOTA 6  . barulho dos aviões decolando/pousando em Congonhas quase não é percebido, mas pode incomodar quem tem sono leve    NOTA 4  . nada    NOTA 2  . nada    NOTA 0  . nada    * não tomei café da manhã no hotel"
nov. de 2022,3,Não atende todas as expectativas,"Paguei adicional por uma cama de casal, e me deram um quarto com 2 camas de solteiros unidas, onde ficava caindo no buraco a noite toda.  Café da manhã satisfatório, porém encerra mto cedo, tem filas gigantescas, as tostadeiras não esquentavam.  Box do banheiro mto pequeno.  Quarto grande, confortável"
nov. de 2022,4,"Quartos amplos, boa localização","Infelizmente não hospedam 2 crianças no quarto (q é amplo). Há concorrência que o faz, mas nào conseguimos para as nossas datas.  Não recomendo para família com mais de 1 criança.  O espaço kids do restaurante Zillis, que seria um chamariz pra famílias, é bem aquem do que mostram as fotos, os monitores mal humorados."
nov. de 2022,3,Banheiro apertado .,"7.  Boa localização . Próximo ao Shopping.  Não almocei e nem jantei no local.  Café da manhã bem básico e repetido  Recepção nota 10.  Estrutura velha .  Se for para sair , trabalhar o dia todo e voltar a noite após o jantar , e uma opção."
out. de 2022,4,Excelente!,"Excelente hotel.  Atendentes gentis e solícitos.  Únicas ressalvas: travesseiros muito flat e os paezinhos doces com recheiro de chocolate do café da manhã pareciam não muito bem cozidos, a massa estava pesada...  Super recomendo: a canja estava muito saborosa e uma porção enorme que justifica o preço.  No geral, sem dúvida, me hospedaria de novo lá."
out. de 2022,4,Hotel bem localizado,"Adorei a localização ao lado do Shopping, tem um café da manhã excelente, quarto amplo e confortável. Sempre que for a São Paulo ficarei hospedado neste Hotel. O único senão é a Internet que não funciona muito bem pelo Wi-Fi."
out. de 2022,5,Ótimo hotel.,"Hotel bem localizado, aconchegante, funcionários prestativos e atenciosos. Ótimo café da manhã. Infraestrutura bastante ampla e versátil. Nas proximidades encontra-se um shopping center, Outback, China in box entrei outros estabelecimentos de gastronomia conhecidos."
out. de 2022,4,"Próximo ao aeroporto, bom restaurante","Devido ao fechamento da pista do aeroporto de Congonhas em 09/10/2022 e ao caos gerado por esta situação, me vi obrigada a encontrar um hotel às pressas por conta própria. O Bourbon Ibirapuera Convention Hotel tinha bom preço, proximidade do aeroporto, e quartos para 3 pessoas (estava com minha mãe e minha irmã), e foi a nossa escolha. Reservamos pelo próprio site do hotel, ainda no aeroporto, e em seguida fomos para o hotel.    O hotel estava com alguns problemas de sistema, e a equipe da recepção teve dificuldade de localizar meu pagamento. Ainda assim, o atendimento foi bastante cordial e acolhedor quando comentamos na recepção sobre a situação caótica do aeroporto e porque estávamos ali.    O quarto era um conjugado de duas suítes: uma suíte com cama de casal, outra suíte com cama de solteiro. Notamos que o mobiliário era um pouco datado e a televisão era antiga (não era smart TV). No entanto, o quarto nos atendeu muito bem para a nossa situação de emergência.    Jantamos no restaurante Zillis e gostamos muito da comida, do ambiente, e do atendimento descontraído! Foi o destaque da nossa estadia."
out. de 2022,4,None,"excelente hotel, atendimento, limpeza, recepção, como melhoria sugiro disponibilizar coca cola zero nos quartos, quando solicitado fui informado que este produto só esta disponível no restaurante, pq não disponibilizar nos quartos?"
out. de 2022,5,Ótimo hotel!,"Ótima experiência! Estrutura super conservada, café da manhã maravilhoso com muitas opções, e atendimento de primeira.  Nada a reclamar, e além de tudo tem uma estação de metrô em frente e um shopping ao lado. Ótima experiência! Indico de olhos fechado."
out. de 2022,5,Recomendo e COM CERTEZA retornarei em outra oportunidade!,"Atendimento de qualidade na recepção, restaurante, limpeza do apartamento.  Parabéns à Equipe do Bourbon Ibirapuera, continuem atendendo com qualidade e gentileza como fizeram conosco na nossa última estada."
out. de 2022,4,Recomendo para viagem a negócios,"Ótima localização, café da manhã e atendimento. Quarto grande, boas instalações, e limpo.    Pontos de melhoria ficam pelo chuveiro que joga água para todos os lados e pela qualidade do sinal de Wifi que oscilou bastante."
out. de 2022,5,Excelente,Excelente a estadia. Apenas a Internet muito mediana. Nos demais aspectos tudo excelente. Instalações bem conservadas. Café da manhã muito agradável. Espaços bem organizados e conservados também. Foi uma ótima experiência.
out. de 2022,4,None,"Ótimo serviço , Quarto bom, serviços bons, localização boa, poderia habilitar NetFLIX que no quarto não estava, preços poderiam ser mais acessiveis , otimo cafe da manhã, funcionarios educados e prestativos,"
out. de 2022,5,Ótima estadia,"Ficamos apenas dois dias. Mas o serviço é excelente, café da manhã completo, com muitas opções inclusive com opções zero glúten e zero lactose!  Quarto limpo, tamanho bom, localização do hotel muito boa.  Equipe muito educada, recepção, garçons, camareiras, etc.  Recomendo."
out. de 2022,4,None,"Gostei muito do Hotel. Ótimas instalações, serviço de qualidade e excelente café da manhã. A única coisa que deixou MUITO a desejar foi a internet. Péssima. Não conseguíamos conexão em alguns locais, como, por exemplo, o Centro de Convenções, e, nos apartamentos, era precária."
