Data da opinião,Nota,Título,Conteúdo
uma avaliação Ontem,5,Memorável,Gostaria de agradecer a toda equipe do hotel pela experiência diferenciada. Destaque para a vista do nosso quarto para a Esplanada e para a piscina coberta. Um agradecimento especial ao gerente Leonardo!
21 de dez.,5,Dias de descanso e conforto,"Acomodações com excelente conforto e atendimento. Café da manhã maravilhoso. Piscina aquecida fez toda diferença. Possibilidade de ir de carro, segurança ao chegar e sair. Funcionários gentis e prestativos."
10 de dez.,1,Despertado com sirenes de incêndio,"Em pleno sábado, por volta das 10h o hotel decidiu testar as sirenes de alerta de incêndio com um barulho ensurdecedor. Não possibilitando que o cliente que pagou caro pela hospedagem tenha o direito de descansar. Além do café manhã que não tem qualidade. O pior é reclamar com o gerente e os funcionários e eles desdenharem, tentando nos fazer engolir que isso é normal."
nov. de 2022,5,ótima,"Atendimento em todos os setores foi ótimo. idem para acomodações, cafe. etc. Auxilio externo com taxi, também muito bom. Serviço de restaurante , da mesma forma, mesmo em horario especial satisfez as expectativas."
nov. de 2022,5,Vista do nosso apto muito boa.,"Fomos muito bem atendidos em todos os serviços do hotel, todos os funcionários muito bem atenciosos, em especial ao dos restaurante durante o café da manhã. Os materiais de cama e banho todos de muito boa qualidade."
out. de 2022,4,Hotel confortável,"Muito bom o hotel. Me hospedei no quarto com varanda, o qual possuía uma cama bem confortável e uma vista incrível. Café da manhã excelente. Piscina e sauna boa. A academia poderia ser melhor, possui apenas uns equipamentos para aeróbico, uns halteres e uma máquina multi uso. A equipe da recepção não foi tão agradável, porém os demais funcionários são ótimos. Qualidade de outros Windsor que já me hospedei, deixando apenas para trás os funcionários da recepção."
out. de 2022,5,4 estrelas que poderia ser cinco.,"Melhor que esperado, todo novinho, atendimento atencioso e prestativo, localização incrível, café da manhã super selecionado. Pegamos um quarto com varanda e vista pra esplanada dos ministérios e janelas com vista pra Torre, 180 graus de liberdade visual. O quarto bem planejado cabe bastantes coisas, tendo em vista que viemos com muitas malas. Só me fez falta uma banheira, mas a sala de banho com toilette tem muito espaço."
set. de 2022,5,Muito bom,"O hotel tem um perfil executivo, mas atende muito bem a quem está a passeio, como no meu caso.  As instalações são excelentes. O quarto e o banheiro são amplos e a cama super confortável.  O café da manhã é bem variado e a equipe de recepção bastante atenciosa.  Voltarei!"
set. de 2022,5,MELHOR ESTADIA DA MINHA VIDA,"Eu nunca imaginei que a rede Windsor pudesse surpreender tanto. A minha estadia foi magnífica, nada de imprevistos, atendimento com excelência. Dependências espetaculares, tudo mantido com o máximo de capricho e qualidade superior. Desde a recepção nada pode desabonar a rede Windsor, em especial o Windsor Brasilia. Café da manhã absoluto, sem igual. Viajei em setembro 2021, o Hotel estava lotado, mas nem por isso houve qualquer fato que pudesse retirar a excelência no atendimento."
set. de 2022,5,Hotel Maravilhoso,"Fomos passar o final de semana em Brasília e amamos nós hospedar no Windsor. Limpeza impecável, camas e toalhas de qualidade.  O atendimento é impecável desde a recepção até os garçons do restaurante.  Ótimo custo benefício!"
set. de 2022,5,Elogio. Estadia muito agradável.,Atendimento e instalações ótimas. Localização perfeita . Excelente serviço de alimentos e bebidas. Profissionais bem treinados e muito efeicietnes e simpáticos. recomendo bastante. Ótimo custo beneficio.
set. de 2022,5,Excelente Hotel para Hospedagem em Eventos e Outras Atividades em Brasília!,"O hotel tem uma ótima infra estrutura e o atendimento foi excelente. Os quartos contam com tv com programação por assinatura, frigobar, excelente cama, banheiro amplo, ótima visão de Brasília devido a localização, restaurante super agradável, hall amplo, serviço de quarto, etc. Tudo bem completo! O salão de eventos atendeu de forma plena as necessidades da atividade proposta. Tecnologia e wi-fi rápido e de ótima qualidade por toda a estrutura do hotel. Estão de parabéns!"
set. de 2022,5,Atendimentos perfeitos e suíte agradável e aconchegante!,"Excelente recepção, um serviço de excelência por parte dos garçons, das camareiras, comida maravilhosa, tudo perfeito! Suíte super agradável, com todo o material necessário para higienização no banheiro, enfim, tudo impecável!"
set. de 2022,5,ótimo hotel,"ótimo hotel... super recomendo... boa localização... quartos limpos, chuveiro com e bem quente... toalhas e camas bem confortáveis...  café da manha com muitas variedades... funcionários educados e prestativos"
set. de 2022,5,Hotel maravilhoso! Nota 10!,"Hotel maravilhoso desde da entrada Check- In e Checkout, passando pelos quartos ótimos e a culinária almoço, café da manhã e jantar saborosos e de muita variedade.  Funcionários super atenciosos, gentis, educados e muito prestativos.  Quartos muito limpos e bem arrumados.  Comida nota 10.  Nada a reclamar só elogios para esse hotel maravilhoso."
set. de 2022,5,Perfeito,"Por ser a primeira vez que fiquei hospedado, fiquei muito satisfeito com a recepção e estadia,.  Foi uma experiência excelente e espero retornar outras vezes, parabéns a toda equipe do hotel.  A vista que tive de Brasília e do amanhecer foi mágica."
