Data da opinião,Nota,Título,Conteúdo
11 de dez.,4,"Hotel bom, porém sem estacionamento.","Hotel muito bom, quartos limpos, banheiro bom, chuveiro bom,cama sensacional, poucos canais de entretenimento mas aceitável.  Vista boa, sacada, e localização excelente.  Não tem estacionamento, que mancada, o carro fica na rua, em um local dito, estacionamento público."
nov. de 2022,2,Decepcionante!,"- Café da manhã: Fraco  - Quarto: Bom  - Estacionamento: Péssimo - Selecionei na busca hotel com Estacionamento e me foi sugerido este hotel. Mas o hotel não tem estacionamento particular, tendo na frente um estacionamento público em que os funcionários do atendimento disseram que o hotel não disponibiliza nem um vigia para cuidar dos carros.  - Serviço de Quarto: Não tem. Não foi informado isso na reserva.  - Outras comodidades: Hotel não tem bar ou outro serviço para os Hóspedes. Cobertura tem mesas de Ping Pong, Bilhar e Totó, em estado regular de conservação.    Nota Geral para o hotel conforme minha avaliação: 4,0.    Me decepcionei!!!"
out. de 2022,4,A varanda compensa os problemas (super´[aveis),"Hotel básico, com varanda deliciosa, porém perigosíssima para crianças.  Banheiro tem dois problemas :chuveiro elétrico, sem compressor, portanto força de água incompatível com o que se espera de um hotel. Nosso box (ap. 1117) merece um cloro no rejunte.  Uma das tomadas ao lado da cama estava ""afundada"". Esquecemos todos os dias de avisar á manutenção, mas de qualquer forma, a mesma não dveria etar assim na nossa chegada.  Frigo bar estava desligado quando chegamos,precisamos chamar a manutenção.  Funcionários muito atenciosos."
out. de 2022,4,Recomendo,"Hotel muito bem localizado no setor hoteleiro sul, perto das principais atrações da cidade, diversos shopping centers, também é uma excelente opção para quem vai pegar um voo no aeroporto, apesar de situado a 16 km do aeroporto o acesso é bem rápido e fácil."
set. de 2022,4,Tirar o visto,Custo x beneficio .  Ficamos hospedado dia 21/08 /2022  Internet boa.  Café da manhã muito bom.  Funcionarios muito educados.  Pra quem pretende ir para tirar o visto vale a pena .  Fica a 600m do Casv.  10 minutos do consolado indo de carro.(Uber ida : 8.90 e a volta 11.90)  20 minutos do aeroporto(uber:21.90)  No geral gostamos muito.
ago. de 2022,1,Cobrança indevida de taxa de serviço de 10%,"O hotel foi razoável, apesar de antigo e carecendo de restaurações.  O que me indignou foi a cobrança indevida de 10% de taxa de serviço (gorjeta) na nota fiscal. Um abuso. Ao ligar para o hotel, a senhora insiste em dizer que a taxa é devida."
ago. de 2022,5,Hospedagem à trabalho! Recomendo muito,"Estive uma semana em Brasília à trabalho, e fiquei hospedado no Hotel Paul Plaza, em que achei super bem localizado, a qual é de fácil acesso entre meu trabalho e o shopping por exemplo.    O atendimento foi bom, embora não conseguiram identificar a minha reserva, mas no final o atendente encontrou. Fiquei no sétimo andar e um quarto bem limpo, cheiroso e com uma vista muito lindo.    O café da manhã foi sensacional, pois tinha muitas opções e sempre estavam repondo os mesmos achei a equipe bem gentil, pois me cumprimentavam.    No geral, achei o hotel com uma estrutura bem amplo e diversificado. Super recomendo.    Parabéns a toda a equipe"
jul. de 2022,4,CARAVANA DO SEBRAE PARÁ,"*** À equipe deste maravilhoso hotel. Ótimo atendimento de todos os funcionários, com muita cordialidade e carinho, minhas expectativas foram preenchidas. Voltaremos logo, com certeza! Obrigada! Parabéns ao ST Paul Plaza. ***"
jul. de 2022,4,Excelente acomodação.,"Muito boa a acomodação. Quarto muito confortável, pensado nos detalhes pra quem vai fazer uma viagem de negócios rápida, ou até mesmo pra curtir umas férias. Local privilegiado, próximo dos principais pontos turísticos da cidade, próximo de shoppings, postos de combustível e metrô.  Recomendo."
jun. de 2022,5,Obrigado Paulo,"Eu cheguei ao St Paul Plaza hotel depois de uma viagem internacional frustrada! Estava muito triste e precisa descansar! O funcionário Paulo me atendeu com tanto carinho e compreensão que me senti acolhida! Falou com sua chefe e nos antecipou o check in para as 10h esse que seria as 14h!  O hotel e confortável, limpíssimo, os funcionários sao gentis! Cafe da manha maravilhoso! Paisagem linda de Brasilia!  Recomendo e sempre retornarei!  Obrigado Paulo"
