Data da opinião,Nota,Título,Conteúdo
18 de dez.,5,Viagem,"Excelente opção para se hospedar em Brasília. Ótimo serviço de quarto. Fácil localização e próximo ao aeroporto, que dependendo das condições do trânsito é uma viagem de só 10 minutos. O café da manhã é muito bom, com uma boa variedade de frios, frutas e pães."
6 de dez.,4,Ótimo Hotel,"O Hotel é muito bom, limpo e confortável. Os funcionários foram muito atenciosos e prestativos. O quarto a mim disponibilizado era amplo e muito confortável. A única coisa que deixou um pouco a desejar foi o café da manhã que não tinha muita variedade de alimentos mas no geral o hotel é ótimo."
out. de 2022,5,Excelente Aparthotel,"Ótima localização próximo ao shopping Casa Park, supermercados, padarias e tem uma Cobasi do lado também. Tem piscina aquecida, academia e uma sauna para momentos de lazer. O restaurante Toro (dentro do hotel) tem ótimas refeições e algumas promoções. Excelente opção para quem busca conforto, qualidade sem gastar muito."
set. de 2022,4,"Hotel com localização excelente.. O café da manhã pode melhorar. O ponto fraco e o restaurante Toro dentro do hotel, ate","O hotel e bem localizado, fica ao lado do shopping e de vários restaurantes. O ponto fraco e o restaurants Toro dentro do hotel. Atendimento ruim e comida comum. O café da manhã e bom, mas pode melhorar. O quarto e muito bom. O atendimento e excelente dos recepcionistas"
ago. de 2022,1,Horrível!!!! Não tem porte de 5 estrelas!!! Não recomendo!!,"Cama desconfortável, colchão afunda no meio. Pessimo serviço, funcionários destreinados e despreparados: o pedido do bar da piscina veio errado e cobraram itens que não consumi. Serviço de quarto SUPER demorado para atender qualquer solicitação. Manobrista nos atrasou com a demora para ser localizado. Recepcionista mal humorado, não atende bem os hospedes. Café da manhã simples, pouca variedade, quase não tem itens para dietas restritas. Pior 5 estrelas que já fiquei, precisa melhorar."
ago. de 2022,5,Ótimo custo/benefício,"Sensacional. Quartos espaçosos, limpos, camas confortáveis e ótimo café da manhã. Fizeram a reserva sem exigir o pagamento prévio e permitiram o check in antes das 14h. Próximo ao Park Shopping Brasília, metrô e rodoviária. Me hospedaria novamente com certeza!!"
jul. de 2022,5,Muito bom,"Hotel muito bom. Está longe dos pontos de maior interesse de Brasilia. Café da manhã muito bom. Atendimento muito bom. O quarto é grande, com banheiro muito bom. Quarto com sacada. Cama de casal bem grande. Fiquei somente uma noite, mais recomendo."
jul. de 2022,5,Final de semana com a família,"Excelente opção para passar um final de semana diferente com a família. A piscina principal é aquecida, tem uma quantidade razoável de espreguiçadeiras, a sauna estava ótima, enfim, a experiência foi excelente e por um preço justo."
jul. de 2022,5,Agradável em todos os aspectos.,"Excelente quarto, bem espaçoso, bom atendimento, excelente gastronomia, tanto das refeições solicitadas ao quarto quanto no café da manhã, que por sinal possui uma grande variedade para todos os gostos.."
jan. de 2022,5,Custo benefício muito bom e ótima localização,"É um hotel muito organizado, com funcionários comprometidos com a satisfação do hóspede. Tem ótima área de lazer, bom custo benefício e estacionamento bom. A localização é muito boa e a preocupação com a limpeza e desinfecção também. O café da manhã e a sauna e o restaurante também são interessantes."
jan. de 2022,3,Dentro do padrão.,"Apartamento de ótimo tamanho. Contudo, ar condicionado com barulho e limpeza diária deixou a desejar. Fiquei 4 diárias e na última não haviam deixado sabonete, tendo que solicitar via telefone, mesmo o quarto tendo sido visitado pelo serviço. Café da manhã normal. Atendimento ok."
dez. de 2021,1,Não voltaria,"Acho que fiz uma grande expectativa para este hotel e me decepcionei demais. Fomos conhecer Brasilia em novembro/2021. Escolhi o Blue Tree pois já conheço o impecavel hotel Blue Tree de São Paulo Morumbi. Para minha surpresa, não gostamos muito do atendimento em geral e ainda nos deram um quarto péssimo, chão manchado, banheiro precisando de manutenção e ainda com uma vista para uma construção barulhenta que começava muito cedo. Achei o café da manhã muito fraco também. Achei que não valeu o custo x beneficio e se voltar em Brasilia, não me hospedaria nele novamente. O hotel tinha muitos quartos bons vazio, e mesmo assim, nos colocaram em um dos piores."
nov. de 2021,5,A melhor experiência em hospedagem,"Passei 18 dias trabalhando e quando chegava do hotel, o seu conforto, proporcionava um ótimo descanso, para mais um dia de trabalho. Sua acomodações, dependências e todos os serviços são de excelência, recomendo. Melhor experiência em hospedagem já vivida."
set. de 2021,5,ótimo,"cama confortável, limpeza impecável, funcionários atenciosos, café da manhã excelente e piscina aquecida. Passamos apenas uma noite mais foi tudo muito agradável. No hotel tem o restaurante TORO que é excelente."
ago. de 2021,5,Noite para casais,"Amamos o hotel, a recepção, o café da manhã maravilhoso, tem de tudo, e tudo do bom e do melhor! o tamanho do quarto excelente, as luzes do quarto maravilhosas, a luz da cabeceira da cama deixa o ambiente agradável, hotel muito lindo e limpo, ficamos só uma noite, porém queríamos ter passado mais dias, mas tínhamos uma viagem marcada no dia seguinte. A área da piscina Super agradável. Eu e meu esposo recomendamos o hotel para casais, família, é um ambiente muito familiar. Estão de parabéns."
jul. de 2021,5,Elogios!!!!,"Gostaria de registrar o excelente atendimento , boa vontade , educação e profissionalismo do Carlos Gerente e TB do Reginaldo da recepção . As camareiras Todas muito profissionais perfeitas em destaque a Antônia . Muito satisfeita obrigada Luciana e Vera ."
jul. de 2021,5,Experiência maravilhosa,"O hotel é excelente. Quarto muito limpo, cama maravilhosa, roupa de caca nova e bem limpa. Todo higienizado. Equipe muito educada e solícita. O café da manhã é bem variado, com tapiocas, omeletes e outros itens. O frigobar é bem abastecido e ainda tem café nespresso de cortesia no quarto."
jul. de 2021,4,Tem muito a melhorar,"Café da manha com pouquissímas variedades de doces Agua das piscinas geladas sendo impossível usa-las No complexo aquatico só tem UM GUARDA SOL, solicitei para a recepção e falaram que não tinham mais. Quarto bom Comida bom Atendimento bom Bem limpo"
jun. de 2021,4,Quarto grande,"Gostei muito do hotel. O quarto é grande, bem limpo e bem arejado. A piscina climatizada é agradável e não ficou cheia nos dias que ficamos hospedados, mas, como fica ao lado dos apartamentos térreos, vez ou outra, algum hóspede levava as próprias bebidas com taças de vidro pra piscina. Ponto negativo: frigobar não tem opções sem açúcar O restaurante do hotel é excelente! Tem boas opções no cardápio e se você quiser, não precisa sair do estabelecimento pra comer bem. Recomendo."
jun. de 2021,3,Avaliação,"A área da piscina no dia 13 de junho pela manhã estava parecendo ambiente de guerra. Uma imundície...resto de comida no chão, garrafas e copos. O serviço de limpeza não providenciou a organização para aproveitarmos o domingo pela manhã e evitar aglomeração. Foi decepcionante. De resto, estava tudo perfeito."
jun. de 2021,5,Quarto otimo!,"a cama é e enorme, confortável e o tamanho do quarto é excelente. Espelho grande!!! So o banheiro que é bem pequeno. A tv poderia ser smart. O atendimento do bar da piscina é bem ruim, a area da piscina nao é tao grande, mas foi confortável."
jun. de 2021,5,Vale muito a pena!!,"Excelente atendimento e higienização! Hotel maravilhoso! Bom em todos os sentidos! Recomendo a todos, que puderem, passar por essa experiência. Fui muito bem atendido desde a recepção até na hospedagem. Realmente, nada a reclamar, só a elogiar!"
jun. de 2021,5,Hotel top.,"Possui quartos bem aconchegantes, dá para descansar muito bem com a estrutura que o hotel oferece. Funcionários receptivos e atenciosos. Está bem localizado em Brasília, perto de supermercado e shopping."
mai. de 2021,5,Muito aconchegante,Ameeeeei a experiência nesse hotel. A equipe é extremamente educada e simpática. Amei os mimos que eles colocaram para nos receber O café da manhã é muito bom Quero voltar o mais rápido possível!!!!!!
mai. de 2021,5,Excelente,"Amei a estadia, a equipe muito profissional e atenciosos, o lugar lindo, confortável e tranquilo, perto de tudo e perfeito para quem deseja descansar ou trabalhar. Com certeza voltarei em breve. Super indico."
mai. de 2021,5,Muito confortável,"Sempre tenho ótimas experiências no Jade. Os quartos são confortáveis, a piscina bem limpa e o atendimento excelente. A única coisa que deixa a desejar são os valores dos itens do frigobar, realmente bem abusivos."
abr. de 2021,5,Atendimento e Estrutura de quarto excepcionais!,"Maravilhoso!!! Atendimento excepcional e eficiente, com muita simpatia, cortesia e atenção de todos os funcionários e quarto enorme, limpo e confortável. Estrutura do hotel muito boa e confortável. Nos hospedamos para lua de mel."
mar. de 2021,1,Não volto mais - hóspede Constrangido,"Sou hóspede assídua do hotel Blue Tree jade que fica em Brasília. Eu entendo que todos os hóspedes são iguais e tem os mesmos direitos. O atendimento da recepção (recepcionista VICTOR) deixa a desejar, os ferros disponibilizados não funcionam. A estrutura do quarto e maravilhosa, o café da manhã é bom, apesar de poucas opções nessa pandemia e isso nós temos que entender. Porém hoje, dia 23/03/2021 as 19h20min fui descer com minhas bagagens para colocar no carro De uma conhecida e ela entrou com o carro perto da recepção. Nos deparamos com carro branco de marca BMW na frente e pedimos educada mente ao recepcionista e ao motorista para retirar o carro, ele nem olhou na nossa cara. O atendente Victor, por sua vez foi ignorante comigo e disse: a senhora vai ter que esperar. Não…"
mar. de 2021,4,Atendimento muito bom,"Quarto confortavel, restaurante com boas opções. Hotel super limpo, usando todas recomendações contra covid, nclusive o cafe da manhã só esta sendo servido no quarto. Estacionamento gratuito , entrada com digital"
fev. de 2021,5,Prontidão e simpatia,"Fiquei 1 final de semana e fui muito bem atendida. Me surpreendeu a simpatia das pessoas que trabalham lá, gostei e voltaria. A vista para as piscinas são maravilhosas pois conseguimos ver uma boa parte de Brasília da janela do quarto."
jan. de 2021,5,Hotel Excelente,"Hotel muito bom, bonito, quartos confortáveis, banheiro com um excelente chuveiro, vista privilegiada e ótimas piscinas, perto do Park Shopping e do Carrefour, ótimo estacionamento, atendimento muito bom!"
jan. de 2021,2,O atendimento ao hóspede precisa melhorar!,"Estive hospedada no hotel do dia 01 a 03 de Janeiro/2021, com mais 4 casais, tivemos um problema na reserva pelo booking no momento do check in e que logo foi solucionado pelo pessoal da recepção. Os quartão são grandes e espaçosos, cama grande, café da manhã bom, área de lazer boa, porém o atendimento de limpeza de quarto precisa ser revisto, fiquei apenas duas diárias, e tive uma péssima impressão do hotel. No primeiro dia que entraram no quarto para efetuar a limpeza, tive uma infeliz surpresa: entraram no quarto e em vez de se preocuparem com a limpeza, mexeram em todos os meus cosméticos que estavam na bancada do banheiro, inclusive esvaziaram por inteiro um vidro de reparador de pontas de cabelo, deixando somente o frasco ( ele era novo , comprei apenas para viagem), o…"
dez. de 2020,5,Perfeito,"Fui passar apenas 1 diária para descansar e achei tudo maravilhoso! As piscinas são ótimas e deu pra aproveitar tudo mantendo o distanciamento social! Realmente incrível, super recomendo! E a cama é gigaaante kk"
dez. de 2020,5,Somente uma diária.,"Se hospedei no hotel, para comemorar meu aniversário de casamento, o hotel em si estava impecável, equipe super atenciosa, ficamos no quarto que tem acesso a piscina e ele é bem espaçoso e eles estão seguindo todas as normas de segurança do covid."
nov. de 2020,5,Cama Maravilhosa,"super agradável, um enxoval maravilhoso , uma cama ótima . ficamos no quarto que dava acesso a piscina e foi super agradável. Eu volto fácil ! piscina com temparuta gostosa. pode reparar sobre a limpeza porque estava tudo impecável. sobre o café da manhã tinha uma tapioca deliciosa mas poderia ser melhor ."
nov. de 2020,5,Boa opção em Brasília,"Boa opção para não precisa estar no plano piloto. Quarto bom e cama confortável. Ambientes agradáveis, sauna ótima. O único ponto de atenção é o restaurante, que tem foco em carnes, deixando quem não quer carne praticamente sem opções..."
out. de 2020,4,Pode melhorar o café da manhã!,"A estrutura do hotel é excelente, tem grande potencial. O quarto é bem espaçoso, mas o banheiro é pequeno. A área de piscinas é muito boa e tem uma com aquecimento. Os funcionários são atenciosos e gentis. O ponto fraco da estadia foi o café da manhã que deixou muito a desejar. Faltam opções de bolos, frutas e salgadinhos, o suco não é da fruta, o molho de salsicha estava doce. E, o hotel, não está seguindo a risca os protocolos para prevenção da Covid-19. Não foram aferidas as nossas temperaturas ao fazer o check-in. No café da manhã, apesar de ter luva plástica, as pessoas não usam e não há fiscalização neste sentido. Sugiro que o funcionário que fica na porta do restaurante, ao anotar o número do quarto, já forneça a luva para o hóspede. No café da manhã, falta logística até…"
out. de 2020,5,Excelente estadia!,"Todos os funcionários foram super solícitos e eficientes. Só sentimos falta de ter a opção de café coado (tinha somente café instantâneo). O quarto, piscina, restaurante e demais áreas comuns são incríveis! Com certeza indico! 😁"
out. de 2020,1,Hotel sem normas e funcionários nada solícitos.,"Fiquei hospedada no hotel com minha família do dia 10 a 12/10. Reservei 2 quartos, um Premier Pool ( quarto limpo e a varanda suja, teia de aranha e muita poeira) pedi um tapete para colocar da varanda para o quarto para não molhar com a saída da piscina e a recepção me informou que o hotel não tinha. Achei um absurdo! Não ter tapete de banheiro para ceder? Eu com criança de 8 anos e um bebê de 9 meses, o quarto só ficava sujo.) Piscina suja, não estão com uma boa política de prevenção ao corona vírus, pessoas andando sem máscara, e falta de cuidados necessários. Som alto tanto na piscina de hóspedes quanto no bar dentro do hotel. Se tiver que ter música que seja uma ambiente própria do hotel. Já pensou cada hóspede colocar um tipo de música? Fiz reclamação na recepção e o…"
out. de 2020,2,Custo alto.,"O hotel é muito bonito, porém a área de lazer deixou muito a desejar, as piscinas estavam sujas, a única piscina climatizada também não estava funcionando. O quarto é muito bonito, tem um vista bem legal, é limpo, o único problema foi o ar condicionado que tinha um barulho bem desagradável. Fui para o hotel exatamente por conta das piscinas, e voltei extremamente decepcionada."
ago. de 2020,5,O melhor hotel da rede blue three,"Foi muito bom a viagem que eu fiz. No quarto eu sempre jogo vídeo game, o pessoal do hotel muito atencioso e o quarto sensacional. Descansei bastante nessa viagem a negócios e aproveitei para encontrar alguns amigos que não via a muito tempo. Em breve voltarei novamente."
jul. de 2020,4,Agradável,"Vou com uma certa frequência, sempre fui muito bem recebida, atendimento de recepção e restaurante são excelentes. O quarto é sempre bem arrumado com uma cama maravilhosa. Só precisa de uma reforma André de lazer. Já está com o aspecto largado e encardido, os bangalôs com a pintura3 antiga. E acho alto o valor da diária pro que oferecem."
jun. de 2020,5,Reserva dia dos namorados,"Hotel excelente, limpo, confortável! Contratei pacote romântico e fui surpreendida positivamente, decoração impecável em todas os detalhes e preço compativel com o oferecido. regras de higiene respeitadas"
jun. de 2020,2,Atendimento péssimo,"No dia 12/06/20 dias dos namorados reservamos uma suíte, o problema começou qnd pedimos pra fazer o checking para decorarmos o quarto, ao fazermos o cadastro da biometria do estacionamento a cancela não lia os dedos cadastrados e para entrar ou sair sempre era necessários chamar algum funcionário através de buzina do carro, ou ter que ir na recepção chamar alguém, o hotel não havia gelo e balde para enviar ao quarto quando solicitado, foi necessário sair para comprar fora, o pior ocorrido foi quando pedimos um jantar pelo ifood ligamos na recepção por volta das 22:00 avisando que aguardávamos o jantar do restaurante MADERO(que já havia saído pra entrega pelo app desde 21h53,o restaurante estava a 5min do hotel) e pedimos pra interfonar quando chegassem, fomos bem específicos e…"
mai. de 2020,1,Decepção!,"Me hospedei no sábado 22/5, fiz reserva por e-mail onde me prometeram café da manhã e água como cortesia. Fora outras coisas que vinham no pacote. Late checkout, onde reservei que ficaria até as 18h de domingo. Na sexta à tarde me ligaram falando que não teria como mais pq tinha reserva depois e que era pra deixar o quarto até as 14h. Fiquei super chateada e falei que a reserva já estava paga e que não concordava pois tinha colocado meus horários de entrada e saída antes de efetuar a reserva e aceitaram os horários. Enfim... não tive outra escolha se não mudar, aí deixaram eu entrar as 10h do dia anterior. Perguntaram qual champanhe eu queria (brut ou moscatel) eu escolhi o moscatel e no dia colocaram o Brut. O quarto não veio com a decoração como eles divulgam no Instagram. A…"
mai. de 2020,1,Péssima experiência - risco de morte,"Me hospedei no Hotel Blue Tree Premium Jade Brasília, com minha família ( Eu, esposa, 1 filho com 1 ano e uma filha com 7 anos ), de 25/09/19 a 29/09/19 . Para alerta geral, os móveis não são fixados na parede, pois são paredes de gesso ( drywall ). Acreditem: Os móveis não tem como fixar na parede e ficam sem sustentação alguma. E ainda tem uma TV que “puxa” o móvel para frente. E o mais grave. Tem um pequeno móvel ao lado do painel da televisão que ficam os copos de vidro e este móvel tem uma prateleira embaixo e outra mais em cima onde ficam os copos de vidro. Tem um guarda roupa ao lado destes 2 móveis ( 1 - móvel dos copos / 2 - É onde fica a tv ), que não fica colado no móvel da Tv e dos copos. Vamos aos fatos: Estava com meu filho de 1 ano no cercado posicionado na…"
