Data da opinião,Nota,Título,Conteúdo
11 de dez.,5,Semana Incrível,"Minha experiência com o Golden sempre foi excelente. É a quinta vez que nós ficamos hospedados neste hotel, mas nunca cheguei avaliar. Hoje resolvi avaliar. Desde o dia que reservamos até o último minuto, nós amamos... O atendimento da recepção, a suíte, as camareiras, os espaços comuns, o café, a cordialidade de todos...Foi magnífico! Queremos voltar mais vezes com certeza! E Agradecemos todo o carinho que recebemos do início ao fim. Isso tudo sem contar com a natureza exuberante do local, do lago Paranoá e da cidade. Enfim, tudo,tudo,tudo perfeitinho! Nossa semana foi exatamente o que queríamos e mais do que esperávamos. Obrigada e até a próxima! Flávia - Belo Horizonte."
nov. de 2022,5,Dias incríveis,"Ótimo hotel, desde o atendimento na recepção até o quarto amplo e muito confortável! A equipe do hotel é sensacional, atenciosos, alegres! A única coisa a pontuar é a piscina que é extremamente gelada ( deveria ter um aquecedor). Amei as tendas Kids."
out. de 2022,1,Um pesadelo para quem queria apenas descansar,"Cheguei no hotel as 20h e me cederam um quarto sem limpeza (cama desarrumada, banheiro usado). Esperei um bom tempo ate que o atendente da recepção me mudasse de quarto. Mesmo com o upgrade, a pia estava entupida, o ralo do banho tb com escoamento lento, o secador é muito antigo e mal funciona, a camareira me acordou as 9h da manhã para arrumar o quarto, o edredom está sujo. Enfim, péssima experiência. Não recomendo."
out. de 2022,1,fiquei no prejuizo ate o momento,"Fiquei hospedado no Golden do dia 15/10 para 16/10 Queria primeiro agradecer ao Pedro e Frederick que me atenderam super bem, mas, Quando estava no quarto um funcionário abriu a porta para entrar mas não deixei, fiquei muito incomodado pois já estava indo me trocar para sair novamente. Reservei um quarto cama de casal executivo com vista para o palácio da alvorada, fizeram meu check in numa luxo sem vista cama de solteiro, juntaram as camas mas, uma ficou baixa perante a outra, ficou muito ruim pois estava de casal a cama separava a gente. fiz a reserva para ir para o show de stand up e curtir a piscina no dia seguinte, indo para piscina fui informado que quem fica no golden não pode utilizar a piscina do royal , mas no site quando faz a reserva mostra fotos do complexo…"
out. de 2022,5,Estadia,"Espaço maravilhoso , cama confortável, atendimento 24h. Café da manhã incrível. Ótimo espaço de lazer . O buffet eu achei um pouco caro . Deveria ter ais opções. Tem salão de beleza e uma conveniência o que ajuda muito os hóspedes."
out. de 2022,1,Quarto sujo e velho.,"Ficamos 4 dias no hotel, e em 5 quartos, todos os quartos estavam sujos, o pé ficava preto só de andar no quarto, além disso muito mofo e ácaros, o ar condicionado entupido de tanto pó. As toalhas estavam sujas, o teto do banheiro mofado. Quartos velhos, precisam ser renovados."
set. de 2022,5,Atendimento recepção acolhedor e de excelente qualidade da Ana Beatriz,"Após perder voo e passarmos por mais alguns problemas em decorrência da perda, buscamos um hotel para descansarmos. Chegamos estresados no Golden Tulip Alvorada.  A recepção carinhosamente acolhedora e de excelente qualidade da Ana Beatriz nos trouxe de volta a calma e tranquilidade para curtirmos a estadia privilegiada no Golden Tulip. O hotel tem excelente estrutura, bem localizado, ótimos preços tanto na estadia quanto nos serviços e, principalmente o que mais nos encantou e fez com que decidíssemos pela estadia neste hotel foi o atendimento humanizado, empático e de muito profissionalismo na nossa recepção pela Ana Beatriz.  Parabéns ao Golden Tulip Brasília pela excelência dessa sua colaboradora.  Obrigado, Ana Beatriz. Sua primazia em nos recepcionar fez nossa estadia valer à pena.    Helder Falcão e Edna Thomaz"
ago. de 2022,3,Eu devia ter ficado no Royal Tulip,"Descaso e desorganização no café da manhã: após longa espera por uma tapioca, descobri que meu pedido (por escrito) tinha simplesmente desaparecido 😳 A garçonete simplesmente deu de ombros 😒    Não tem vista para o Lago.    O chuveiro é no estilo europeu."
ago. de 2022,1,"GOLDEN TULIP ALVORADA BRASILIA DECEPÇÃO. SEQUER PODEMOS CHEGAR NA BEIRA LAGO E DECKS, SEM TOALHAS E USO RESTRITO AO ROYA","Realizei uma reserva em meu nome para estadia entre 12 e 13/08 no Hotel Golden Tulip Brasília Alvorada através do site 123milhas (Pedido 1021060), com o intuito de usufruir de minha folga junto com minha esposa, como noutras oportunidades já o fizemos, especialmente, no Royal Tulip. Durante o check in, já por volta das 15h00, o atendente Alexandre, apenas nos recebeu e nos orientou quanto ao local e horário do café da manhã, como esperado. Nos deslocamos a estrutura, piscinas e decks do lago, localizado na frente do Royal Tulip, e por ali ficamos. Estranhamente, percebemos que, talvez, os únicos que estavam sem pulseiras éramos nós; nenhum funcionário se prontificou em atender-nos e tão pouco conseguimos pegar a toalha, ainda na piscina. Fomos orientados, em meio ao frio, que deveríamos pegá-las na área restrita ao Golden Tulip. Nos direcionamos para a recepção, sendo informado que toalhas só deveriam ser pegas na área da minúscula piscina próxima as quadras de tênis. Ainda molhados e no frio assim fizemos, nos dirigindo para a área da piscina, porém apenas havia um ramal para entrar em contato com os funcionários do setor. Por inúmeras vezes ninguém atendeu, e quando feito contato no ramal da recepção foi-nos transferido novamente para o serviço de toalhas que não atendia. Desistimos de entrar na piscina e ainda molhados buscamos a recepção, quando fomos alertados pelo funcionário Alexandre que não poderíamos ter utilizado a área às margens do lago, piscinas, correndo o risco de sermos ""expulsos"". Ao insistir pelas toalhas logo foi-nos concedidas, pois estavam a poucos metros do local. Transtornados, resolvemos jantar fora do hotel, mas para surpresa, ao retornarmos, fomos interpelados pelo manobrista que o hotel não concedia o direito a vaga para hóspedes, sendo necessário o pagamento de R$25,00 por diária, caso desejassemos deixar nosso veículo nas vagas reservadas por serviços de empresas terceirizadas. Assim foi feito. No dia seguinte levantamos cedo para aproveitar oque ainda não havíamos conseguido, porém fomos barrados por seguranças que alegaram que sequer poderíamos chegar na orla do lago, ainda que não fosse para a utilização das piscinas, pois seria de uso exclusivo de hóspedes do Royal Tulip. Consternados por todo o constrangimento passado durante a hospedagem, posto sequer haver informações por parte dos funcionários e tão pouco no momento do fechamento da reserva, buscamos o gerente, Sr André, que muito educadamente nos atendeu e nos prometeu a impossível reparação de toda a vergonha e constrangimento que passamos durante esta estadia.    Reitero, não compensa ficar no Golden Tulip. suas piscinas são minúsculas e não comportam 10 pessoas. Políticas segregadoras para um hotel de seu porte, valor e história. Jamais ficarei neste hotel novamente e o contraindicarei daqui para frente. Virou um hotelzinho de se pernoite e nada mais.    Aonde já se viu ficar num hotel beira lago e não poder chegar na beira do lago e usar nada de sua estrutura e os do Royal fazerem uso da do Golden?"
ago. de 2022,5,Hospedagem incrível,"Adoro esse hotel, tudo muito bom. Atendimento excelente, restaurante com comidas deliciosas, café da manhã incrível. A limpeza impecável, vistas maravilhosas, com belos jardins.. Voltarei outras vezes com certeza!  Viagem romântica, fugir da rotina, ver o pôr do sol e tomar deliciosos drinks."
