Data da opinião,Nota,Título,Conteúdo
5 de dez.,5,Elogio,"Gostei muito das acomodações, quarto, banheiro, sala /“copa” com frigobar e microondas. Uma sacada bacana, só faltou a rede. Café da manhã. Ótimo. Gostei também da localização, perto de tudo q eu precisava"
out. de 2022,3,Decepcionado,"Apartamento antigo, não tem tomadas próximo a mesa pra ligar o notebook, cadeira nada confortável, quarto com cheiro de mofo, paredes sujas, cabeceira da cama tbm suja, TV com pouquíssimos canais interessantes, fora que não tem janelas antiruído. Banheiro com pouca luminosidade, porém bem limpo e cheiroso, mais limpo que o quarto."
jul. de 2022,4,Hotel bom,"O hotel tem uma ótima localização! Fomos bem recepcionados por um rapaz ( não lembro o nome) mas foi muito educado. O quarto tem um tamanho bom. Estava tudo limpo. As camas são boas, porém o sofá cama foi o ponto negativo. Muito desconfortável. A piscina estava aquecida e tem uma vista bem bonita. Café da manhã estava bom. Tudo fresquinho. Tem máquina de café e também capuccino. Recepcionista do café da manhã muito educada."
jul. de 2022,3,atendimento da recepção ruim,"Ùnicos funcionário educados são as meninas que ficam na recepção no café da manhã. Os funcionários da recepção do checkin são antipáticos. Quarto bem limpo, funcionária da limpeza cuidadosa com as coisas e o café da manhã muito bom."
jul. de 2022,1,Atendimento ruim.,Desde a chegada o atendimento foi ruim. O quarto é muito velho e o cobertor tem no mínimo 50 anos de uso. Quando solicitei arrumação (pois não fizeram durante o dia) simplesmente recusaram. O mínimo que se espera de um hotel...
jun. de 2022,4,Ótimo hotel,"A localização do hotel é muito boa, possibilitando ir a pé aos pontos turísticos e próximo da rodoviária municipal. Tivemos um excelente atendimento, que nos atendeu prontamente quando solicitamos uma troca de quarto. O café da manhã é muito gostoso e tem boas opções. O quarto é limpinho e os móveis novos. Solicitamos um check out tardio e nos foi concedido sem nenhum problema e nenhuma cobrança.  Os pontos que deixaram a desejar foram: wi-fi que funcionava mas era lento e o chuveiro que não esquentava muito, mas não reclamamos com o hotel sobre esses pontos, mas acredito que seria resolvido se reclamássemos.    Recomendo o hotel!"
mai. de 2022,1,Atendimento ruim,"Reservamos o hotel pelas ótimas avaliações, porém foi decepcionante. Nos deixaram esperando 50 minutos no check-in, sem dar nenhuma justificativa e tivemos que ir perguntar várias vezes se o quarto estava pronto. Após nos entregarem a chave do quarto, foi outra espera para pegarmos as malas! Pedimos para arrumar o quarto no dia seguinte e nos disseram que esse serviço não estava disponível no dia, apenas no próximo."
fev. de 2022,2,As aparências enganam,"Atendimento na recepção - frio  Internet - horrível, esse sistema de cadastro para uso não funciona  TV - tv a cabo com opções somente de canais abertos  Café - muito bom  Limpeza- boa  No meu caso, o quarto foi adaptado, colocaram uma cama de casal em um sofá cama, pequeno, desconfortável. O quarto para uma pessoa seria ótimo, eu fui com família. Poderia ter pedido para trocar de quarto mas infelizmente nem me atentei a isso."
set. de 2021,1,Hotel Mercenário e desonesto,"Total desrespeito ao hóspede, muito cuidado ao fazer reserva nesse hotel, não honram com a reserva feita com antecedência e PAGA, se o hotel estiver cheio, entra quem pagar mais, só consegui o quarto após pagar de novo a diária que estava paga, lógico que acionarei a justiça"
set. de 2021,2,Desconectado,"Os quartos até são amplos e confortáveis, exceto pelo colchão vencido pelo tempo. Seria uma boa opção no centro de Brasília, se tivesse estacionamento e internet. Bom, internet teoricamente tem. Só não funciona. Inacreditável que em pleno 2021 ainda existam hotéis que pretendem focar num público de negócios sem entender que isso é tão essencial quanto água ou energia elétrica."
