Data da opinião,Nota,Título,Conteúdo
12 de dez.,5,"Hotel muito confortável, acolhedor e bem localizado.",A equipe da recepção é muito atenciosa e gentil. Sempre pricuram atender bem ao hospede nas suas solicitações. Necessitei uma troca de quarto e fui atendido. Ressalto que fui bem atendido pelo atendente Adriano e tbem pelos demais da equipe.
3 de dez.,5,Experiência ótima!,"Os recepcionistas são super simpáticos e o hotel conta com uma hospedagem de qualidade! O café da manhã é bem servido e conta com várias opções de comidas e frutas! A localização é perfeita, bem próximo à praia!"
nov. de 2022,5,Uma experiência muito agradável,"O hotel é ótimo por conta do atendimento sensacional, sendo todos muito atenciosos e prestativos, sempre dispostos a solucionar qualquer problema. O restaurante é muito bom e o café da manhã completo. No restaurante alguns pontos ""operacionais"" precisam de atenção. São oferecidos opções quentes em richos e panelas grandes com tampas pesadas que não tem suportes para apoio enquanto você tenta se servir. Ou detalhe é com o ar-condicionado que pinga (goteja) em cima do pote de gelo que dá guarnição aos sucos e refrescos. N"
nov. de 2022,5,Recomendo,"Hotel muito confortável, preço acessível e boa localização ., a destacar, boa cama grande, café da manhã excelente e o atendimento pessoal 10 , a observar eu diria que há a necessidade de melhorar a infraestrutura"
nov. de 2022,5,Excelente,"Os atendentes da recepção são muito simpáticos e prestativos. Todos sempre prontos a ajudar. Em especial o Tiago. Café da manhã excelente. Ótima localização, pertinho de várias praias e comércios. Ótima limpeza."
out. de 2022,3,Pode melhorar,"Estive hospedado em outubro de 2022 com minha família...achei de razoável para ruim a hospedagem. Não senti tanta presteza na recepção, o hotel não possui mensageiro, hotel com estrutura bem antiga, elevadores velhos e necessitando manutenção. Café da manhã bom, há uma academina que dá para treinar, boa localização no Meireles."
out. de 2022,2,Frustado e não retorno +,"Experiência classificada como média baixa. Ficamos no quarto 612.    Pontos positivos:  Cafe da manhã  Limpeza    Pontos Negativos:    Elevadores antigos;  Wi- fi muito ruim;  Acesso a piscina somente com hora marcada;  Tv desproporcional ao tamanho do quarto;  Quarto grande e banheiro pequeno;  Batente no banheiro que quase perdi o dedão do pé;  Um pino para evitar a batida da porta no blindex;  Limpeza em dias alternadas;  Local para estender a toalha;  O corredor de acesso ao quarto com sistema de sensor para acendimento das luzes, parecia um filme de terror,  Mimos e cartinha de boas vindas no quarto não existe  Despedida para saída do hotel, parecem que não fazem questão do seu retorno."
out. de 2022,5,Avaliação,"Ótimo atendimento!  Recepção e atendimento no café da manhã foram incríveis.  Atendente João muito educado e Gentil.  Recomendó muito!  Quando voltar pra Fortaleza, pretendo me hospedar aqui novamente.    Ótima localização tbm"
out. de 2022,5,Ferias em familia Out.22,"Hotel ótimo, pessoal super bem treinado,atento as necessidades dos hóspedes e gentis todo tempo. Tiago foi super atencioso com nossa família e sempre com sorriso para nos agradar e atender com primor."
out. de 2022,4,Boa opção em Fortaleza,"O hotel é bem localizado e confortável. Fica perto do calçadão e a poucos minutos a pé da feira de artesanato de Fortaleza. Pode melhorar nos quartos os travesseiros, que são muito baixos.  Demorou um pouco o check in, apesar de já termos cadastro nos hotéis da rede Atlântica. O check out foi bem rápido.  O atendimento foi ótimo. Destaque ao Renato, da recepção."
