Data da opinião,Nota,Título,Conteúdo
nov. de 2022,1,"NÃO TROCAM LENÇÓIS, É UM MOTEL IMUNDO, DORMI SEM TRAVESSEIRO, FOI HUMILHANTE","Um hotel incrivelmente PORCO!! (atenção, não é mera reclamação, não costumo reclamar, os comentários a seguir são de utilidade pública) NÃO TROCAM OS LENÇOIS, acreditem, encontramos pelos, cabelos e visíveis sinais de lençol usado, talvez mais de uma vez, e não foi por acaso, apenas um caso isolado, não, ao trocar de quarto, adivinhem.......sim, pelos, cabelos novamente e dessa vez com a presença da recepcionista, ela viu pessoalmente. pedimos lençóis limpos, embalados. Após alguns minutos, a resposta foi que não havia disponível, então ela sugeriu que dormíssemos sobre o edredom. Inacreditável? calma, tem mais bizarrices. MEU TRAVESSEIRO FOI O COBERTOR DOBRADO - Eu, minha esposa e minha filha. 3 pessoas e apenas 2 travesseiros. Sim, solicitamos os travesseiros e a…"
nov. de 2022,2,"Procure outro, não compensa.","Não é uma boa opção. Estacionamento terceirizado faz da entrada e saida no hotel uma aventura de alto risco, a quantidade de elevadores não é suficiente para atendimento aos hóspedes, pessoal da limpeza e Room service usam os dois elevadores sociais e o de serviço fica sendo segurado pelos demais funcionários. Recepção lenta, funcionário conversando ao telefone ou jogando no celular enquanto cliente fica esperando para ser atendido, chaves do tipo cartão muito velhas e desmagnetizam só de pegar nela. Quarto, grande bem distribuído piso laminado, ar condicionado velho tipo split tinham dois no meu quarto com as aletas quebradas, pessoal da manutenção informam que já avisaram a chefia e nada, esquecem de repor papel higiênico, toalhas rotas, lâmpadas queimadas, enfim paro por aqui…"
nov. de 2022,5,Final de semana sem filhos,"Atendimento com cordialidade, café da manhã maravilhoso com várias opções. Muito conforto no quarto, ducha bem quente além da limpeza e ótima localização. Muita variedade gastronômica na região e shoppings, onde facilita o deslocamento."
out. de 2022,3,Decepcionado,"Bom café da manhã, piscina não estava funcionando e não foi avisado com antecedência , ar condicionado do quarto também não funcionava. Recepcionistas pouco cordiais. Localização muito boa e manobristas educados e prestativos."
set. de 2022,4,"Hotel confortável, mas tem problemas","Costumo ficar em hotéis da Accor através do programa de fidelidade All. Ibis, Ibis styles, Mercure, Novotel, você sabe o que esperar com poucas variações em cada bandeira. Este Mercure segue o padrão. Fiquei no quarto executivo com cozinha, muito bem equipado, grande, cama king size super confortável, travesseiros, edredon, tudo de qualidade! Poderia ter coca zero no frigobar, é um detalhe. Agora os problemas: estacionamento - um verdadeiro caos! Lotado, carros amontoados, fila para entrar. Parece que houve um problema com o turno da noite e realmente o hotel estava lotado. Mas fica inviável! Tive que estacionar de madrugada em um estacionamento na 7 de setembro a 4 quadras do hotel e voltar andando, pois deixar na rua era uma opção insegura. O banheiro do quarto é espaçoso e…"
set. de 2022,3,"Lindo hotel, serviço ruim","Hotel lindo e maravilhoso, mas o serviço poderia ser bem melhor.  Me hospedei com minha esposa e filhos, liguei antes para ver se havia berço, fui informado que sim. Fiz a reserva, coloquei no comentários a necessidade e ao chegar lá, não havia disponibilidade. Além disso, havia apenas 2 toalhas no quarto e a WI-FI não funcionava.  Tinha tudo para ser perfeito e foi razoável. E tive que pedir as toalhas que chegaram rápido.  Porém o berço só soube quando cheguei no quarto.  Achei um descaso."
ago. de 2022,1,Cobrança boba,"Cheguei algumas horas mais cedo ao hotel, as 11 horas, havia quartos livres, mas ao invés de liberarem a entrada, queriam cobrar meia hospedagem. Não se é prática da rede Mercure atualmente, mas muito viagei nessa rede e nunca houve essa mesquinhez.Acho incompatível com o nível do hotel, lamentável. Vou evitar a rede depois dessa desfeita"
ago. de 2022,3,Bonzinho,"Como sendo uma cliente fidelidade não fui perguntada pelo andar e me colocaram num andar baixo (1º), o quarto não estava tão limpo e tinha um vazamento no banheiro na pia e no chuveiro, molhando todo o local. Mandaram uma pessoa e arrumou. A limpeza do quarto era feita muito tarde. Após as 16h00 e tive que reclamar. Faltou uma empatia depois de tantos problemas. Não teve."
ago. de 2022,3,"Muito bom, porém um susto durante uma noite","Nossa experiência foi muito boa, exceto um susto muito grande que tivemos na ultima noite,    fomos acordados com um hospede estranho dentro do nosso quarto, alguém da recepção equivocadamente, deu cartões do nosso quarto pra um novo hospede, nossas filhas estavam dormindo, sorte que não acordaram, mas caso o hospede, fosse alguém de má índole, poderia ter acontecido algo pior."
jul. de 2022,5,Melhor hotel em Curitiba.,"Tivemos uma excelente experiência no Mercure Curitiba Batel. Nossa estada foi ótima. No apartamento em que ficamos já tinha banheira e berço montado para nossa neném.  Obrigada, Pamella e time Mercure Batel."
