Data da opinião,Nota,Título,Conteúdo
dez. de 2022,2,Restaurante do hotel: surpresa desagradável,"Imagine pedir um bife à parmegiana e receber um bife com uma fatia fina de queijo derretido; uma mínima guarnição de arroz que mal serve uma criança; uma salada composta por quatro fatias de tomate e três pequenas folhas de alface? Assim, descrevo algumas das guarnições servidas pelo restaurante à minha família! Infelizmente, atraídos pelo bom nome da rede, acreditávamos que o preço de R$75,00 por cada refeição (uma proteína acompanhada por duas guarnições e molho) seria justo. Expectativa que se frustrou com um serviço muito aquém do esperado."
dez. de 2022,4,Certos detalhes retomem quaisquer limitações.,"Eu estava pronto para avaliar negativamente esse hotel pela ausência de smart tv integrada, item básico como chuveiro hoje em dia. Mas depois eu encontrei na piscina do hotel uma grata surpresa que redime todas as limitações a aprimorar: uma cadeira elétrica de acesso para cadeirantes. Eu trabalho com reabilitação e sei que é um aparelho bastante dispendioso. Mas que ajuda demais na inclusão de pcd em atividades tão importantes como natação. Estão de parabéns!"
nov. de 2022,2,Só presta a Localização (Av. Paulista).,"Primeiro, podem observar no Reclame aqui, que é uma empresa ""não recomendada""; não respondem hóspedes lá, se esquivam.  Segundo, tenho me hospedado no Meliá Paulista, em São Paulo só pela boa localização (Av Paulista) central para minhas atividades na cidade.  Terceiro, TODAS as vezes tenho problemas nesse hotel que está classificado como 5 estrelas, mas tá ""longe"" disso!  Reservei 11 diárias no hotel, para ter serviços de hotelaria, se não, eu teria reservado no Airbnb, porque sairia muito mais barato!  Reservei quarto Grand Premium, reformado pois muitos não são reformados, fiquem atentos!  Ainda me encontro hospedado no quarto 1303 com minha mãe idosa dormindo numa cama de casal porque no hotel não tem Grand Premium com 2 camas.  O café da manhã é de no máximo 3 estrelas, repetido diariamente, sem variedades de queijos ( Brie, Gorgonzola etc) e outros; sem tortas salgadas, e uma bagunça!  Mais o motivo maior da minha reclamação aqui é que saí hoje com minha mãe as 10h30 min , chegamos quase às 17h e o quarto NÃO estava arrumado, mesmo eu deixando o sinal verde para arrumação. E não é a primeira vez que acontece isso nesse hotel!  As diárias em média de 1 mil reais! então não é um hotel barato, pagamos caro!  E pior, aqui e no TripAdvisor tem inúmeras reclamações semelhantes e a gestão não melhora os serviços!  Eu realmente desisto do Meliá Paulista! E tenho status Gold no Meliá, imagino quem não tem."
nov. de 2022,3,Razoável.,"Hotel se localiza no final da avenida Paulista, infelizmente próximo a vários sem teto que tornam a região mais complicada de sair a noite. Os quartos são amplos porém não estão tão bem cuidados, fomos muito bem atendidos pelos funcionários na recepção, mas no café da manhã eles deixam a desejar."
set. de 2022,4,Muito bom,"Bom hotel, bem localizado na Avenida Paulista, em frente à estação de metrô Consolação, facilitando a mobilidade.  Próximo a shoppings e restaurantes.  Quarto confortável, banheiro limpo.  Funcionários sempre solícitos e simpáticos."
ago. de 2022,3,"Bom, mas...","O hotel é muito bem localizado e, por isso, sempre que vou a Sampa me hospedo (hospedava) nele. O prédio é algo antigo, por isso prefira os quartos recém renovados. Na última viagem - ocorrida no final de semana passado - duas coisas me deixaram descontentes:  1 - chegamos ao hotel próximo das dez da manhã, havia quarto disponível na categoria mas, se quisesse antecipar o check-in, teria que pagar por isso, o que achei uma tremenda falta de respeito. Ora: se havia quarto, deveriam, por cortesia (afinal, fiz a reserva diretamente com o hotel e sou membro do programa de fidelidade respectivo) ter antecipado a entrada gratuitamente. Acabei aceitando fazer o pagamento porque, como estava acompanhado, fiquei constrangido em recusar a indecente proposta;  2 - o café da manhã é péssimo. Os produtos são ou ruins ou industrializados e o café propriamente dito, terrível, não condizendo com a pretensa qualidade do hotel.  Enfim, Meliá Paulista nunca mais."
ago. de 2022,5,Intersolar,"Hotel muito bem localizado , equipe atenciosa ,servico eficiente de room service agil e completo  Cafe da manha tipo continental ,vista privilegiada da paulista ,realmente nao tenho nenhum tipo de reclamacao"
ago. de 2022,3,Fiquei decepcionada,"Na recepção não encontravam nossas reservas, depois de muitas idas e vindas, descobrimos que mudaram nosso quarto e nso ficamos bem servidos.  Limpeza a desejar  Roupas de cama rasgadas e manchadas.  Não há tomadas 220w nos quartos  O banheiro e pequeno,não há ganchos para toalhas apenas 1  Muito barulho que vem dos banheiros vizinhos.  As portas são desafinadas cada hóspede que fecha ou abre as portas replete no quarto vizinho.  Os corredores são escuros e apertados.  Os funcionários são atenciosos,  Tem um bom cafe da manhã"
ago. de 2022,4,Pé na Av Paulista,Hotel bom  Fiquei em um quarto reformado  Tudo novo  Boa cama  Toalhas Top  Boa mesa para trabalhar    Saiu do hotel esta na Av paulista  E um diferencial    Na saída chek in  Havia um fila considerável  Muvuca na recepção  Poucos funcionários para atender  O Hall do hotel e pequeno
jul. de 2022,4,"Muito bom, mas pode melhorar.","Hotel é lindo, muito bem localizado, minha suíte era grande e bem decorada. Banheiro aconchegante e limpo.  Não dei 5 estrelas por 2 motivos: 1. Café da manhã não vale o preço cobrado. Opções simples e muito, muito cheio. 2. Pedir itens no bar que depois me ligaram para avisar que não estavam disponíveis, apesar de constar no cardápio."
