Data da opinião,Nota,Título,Conteúdo
uma avaliação Ontem,5,Hotel muito bom,"Ficamos hospedados em dez/22 e foi tudo ótimo. Ficamos muito satisfeitos em todos os aspectos, alimentacao, recreação, atendimento, funcionários. A recreação tb foi ótima, os tios são muito animados. Destaco a simpatia do Tio Abacate na recreação e do Paulo do restaurante da piscina."
20 de dez.,5,Tudo perfeito,"Local estava muito limpo, organizado, varios funcionarios para atender, as piscinas sao exelente, com enorme espaco para criancas, bar molhado, salva vidas, cafe da manha estava muito bom, e a localizacao e otima proximo a todos os pontos turisticos."
18 de dez.,5,Hotel Expetacular,"O tio Abacate e a tia Lacinho são muito legais e merecem aumento. O hotel tem estrutura de ponta e espaços agradáveis a todos os hóspedes, comida muito boa e funcionários gentis e organização em todas as areas do hotel."
16 de dez.,5,Vale a pena!!!,"Hotel excelente! Quartos aconchegantes, atendimento de primeira e ótima localização!!! Piscinas adequadas, água limpa, excelente comida e a equipe de recreação para crianças e adolescentes muito boa!!!"
15 de dez.,5,Excelente para um descanso,"Hotel com funcionários atenciosos, piscina principal excelente, área para caminhadas, dos bares, dois restaurantes. Quartos bons, café da manhã muito bom. Oferece almoço por 75,00. Mas tem bares para lanche e petiscos, incluindo da piscina."
14 de dez.,5,Boa Localização e atendimento,"Sempre muito solícitos e com qualidade no serviço em geral. Café da manhã de alta qualidade com muitas variedades. Acomodação muito confortável e muito bem limpo. Todos os turnos das recepções, sempre muito bem atendida"
11 de dez.,4,Visita ao SAN Juan,"Hotel muito bom. Estão pecando um pouco na limpeza, principalmente na ala antiga. Banheiros da piscina.  Recreação muito boa e muito cuidado com as crianças.Elis se apaixonou pela tia Chiquinha. Com certeza voltaremos em breve."
11 de dez.,5,Excelente Hotel,"Eu só tenho coisas boas para falar sobre o hotel. Quarto de qualidade, cama confortável, tudo muito limpo, chuveiro muito bom. Funcionários educados, simpáticos e sempre solícitos. Serviço de quarto, restaurante e bar da piscina muito bons. A piscina sempre limpa. Para mim a localização foi perfeita, perto do aeroporto e longe da bagunça(movimento) do centro da cidade."
6 de dez.,5,Estar em casa com muito conforto !,"O hotel com certeza e a seta para mim sempre minha parada de estadia , toda equipe de recreação Tio Abacate e Chiquinha são excepcionais . A área de limpeza simplesmente maravilhosa . Não há como não deixar nota 100 para todas começando da recepção . ❤️❤️❤️❤️❤️"
5 de dez.,5,Férias,"Nota mil, todos os funcionários super simpáticos e atenciosos, a equipe de recreação são maravilhosos. Parabéns eco cataratas resort. Parabéns tios da recreação vocês são demais, minhas crianças já querem voltar para ver vocês. 💝👏🙏"
3 de dez.,5,Surpreendente a nova torre,"A nova torre de apartamentos ficou excelente, dando ainda mais conforto para a hospedagem. Já tinha ficado na ala Comfort e já tinha gostado, agora com a ala Superior ficou melhor ainda, Além de toda estrutura de lazer que é ótima."
nov. de 2022,4,Excelente hotel,"Estrutura nova e excelente café da manhã e bem próximo do parque das Aves, Dreamland, Cataratas e fronteira com a Argentina.  Mas a piscina não é aquecida e falta treinamento da equipe e aumentar a equipe, o pessoal se esforça pra dar conta de tudo."
nov. de 2022,4,Bom hotel,Uma estrutura diferenciada com muitas atrações e atividades que buscam agradar desde crianças até os hóspedes de mais idade. Um ambiente com uma presença marcante da natureza em todos os ambientes externos.
nov. de 2022,5,TUDO SHOW!,"Tudo perfeito!  Equipe da recreação maravilhosa, atenciosa e muito cuidadosa com os pequenos!!!!    O shampoo, condicionador e creme do quarto, simplesmente maravilhosos e nunca visto em qualquer outro hotel .    Café da manhã delicioso .    Espaços lindos para confraternizar com a família!"
